Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Xn1hiHo8B2urhy87EqA3L,"지붕 위의 바이올린 (Feat. 가리온)","Step Under The Metro","Primary Skool;가리온",2006-09-28,248685,17,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-19T23:59:06Z,"한국 랩","타일뮤직",0.701,0.859,1,-4.402,0,0.231,0.162,0,0.193,0.911,92.967,4
spotify:track:05ofWSJ9EJxM9TqbIK9sM0,"무투","무투","가리온",2005-10-25,232989,14,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-19T23:59:30Z,"한국 랩","타일뮤직",0.814,0.859,7,-3.271,1,0.228,0.0438,0.00296,0.0976,0.439,99.99,4
spotify:track:6ltUEOv4UaOLG3xt0iRFri,"Youngsunwi","KPOP Rhythm, Flow & Tone Vol. 8","가리온;Nekoseopsyan",2018-10-29,257184,9,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:02:32Z,"한국 랩","Blue Pie Records USA",0.606,0.948,5,-4.397,0,0.236,0.0506,0,0.105,0.605,90.057,4
spotify:track:5gOaqBC9ORq49ZhJMd4mob,"Better Than Yesterday (feat. Mr.Room9, Baechigi, Ktcob, bK, Outsider & P-Masta)","How Bad Do U Want It?","MC 스나이퍼;Mr. Room9;Baechigi;Ktcob;bK;아웃사이더;P-Masta",2007-03-05,406871,4,true,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:03:02Z,"한국 랩,K-발라드","포니캐년코리아",0.535,0.99,9,-2.252,0,0.154,0.0355,0,0.113,0.54,184.026,4
spotify:track:63xfFWoPhZOBQcYjSHk90g,"Rhymonic Storm","Fanatic","화나",2009-02-26,164706,20,true,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:03:43Z,"한국 랩","The Ugly Junction",0.567,0.779,7,-6.597,1,0.462,0.0498,0,0.36,0.893,188.511,4
spotify:track:6LHb7wvfi5dxm9iBKDtTY6,"쾌지나 칭칭","2nd Round","1TYM",2000-04-01,234493,27,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:04:49Z,"한국 랩","Pan Entertainment Co., Ltd.",0.833,0.765,8,-4.979,1,0.168,0.0146,0.00000136,0.245,0.813,95.07,4
spotify:track:4T3F3jQgdVcy9216A4BG6v,"Superstar (behind the scene)(Feat. Tiger JK & Sean2Slow & DJ Tukutz)","Taxi Driver","다이나믹 듀오;Tiger JK;Sean2Slow;DJ Tukutz",2004-05-17,233000,24,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:06:10Z,"한국 랩,케이팝,사운드트랙","Genie Music Corporation, Stone Music Entertainment",0.671,0.932,11,-2.085,0,0.255,0.0369,0.00000255,0.334,0.61,92.04,4
spotify:track:0TuYTs97rvw55fN3MKsAyI,"기름과 물처럼 우린 섞일 수 없는 운명 (Feat. 박화요비) - Supertouch Remix","Heartbreaker","다이나믹 듀오;박화요비",2007-10-25,265506,17,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:06:23Z,"한국 랩,케이팝,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.719,0.747,10,-6.502,0,0.173,0.0164,0,0.385,0.469,79.943,4
spotify:track:02g8j2wRYsBxiZdbtWf7AL,"고백 (Feat. 정인)","Double Dynamite","다이나믹 듀오;정인",2005-10-26,226346,50,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:06:48Z,"한국 랩,케이팝,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.793,0.917,11,-1.552,1,0.154,0.213,0,0.423,0.767,111.992,4
spotify:track:7wbzNHzSTzUQzSy9orvw9K,"It′s Alright (Feat. Brown eyed soul, 개리, 전제덕)","Double Dynamite","다이나믹 듀오;브라운 아이드 소울;개리;전제덕",2005-10-26,273520,18,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:07:21Z,"한국 랩,케이팝,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.67,0.745,0,-3.423,1,0.122,0.0142,0,0.0857,0.517,89.017,4
spotify:track:3Gpdzw72aBVJSrm5J1leVK,"헤어지지 못하는 여자, 떠나가지 못하는 남자 Can't Breakup Girl, Can't Breakaway Boy (feat. 정인 Jung In)","Hexagonal","리쌍;정인",2009-10-06,284626,56,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:07:54Z,"K-발라드,한국 랩","Jungle Entertainment",0.523,0.841,10,-2.505,0,0.331,0.15,0,0.164,0.383,173.903,4
spotify:track:1k4poPLl62xepcGZx855Iw,"Ballerino","Black Sun","리쌍",2007-05-16,267320,54,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:08:04Z,"K-발라드,한국 랩","위지스제이",0.685,0.779,7,-4.467,0,0.0536,0.217,0,0.352,0.717,95.026,4
spotify:track:1oBUbM6xZOPQoHkMJNrRTp,"TV를 껐네... (feat. 윤미래 & 권정열)","AsuRaBalBalTa","리쌍;윤미래;Kwon Jung-yeol",2011-08-25,215986,45,true,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:08:37Z,"K-발라드,한국 랩,사운드트랙,케이팝","정글엔터테인먼트",0.552,0.794,10,-3.376,1,0.0514,0.512,0,0.0896,0.765,142.25,3
spotify:track:2qw0JhYLzuhkeHHIAajZ9D,"내가 웃는게 아니야","Library Of Soul","리쌍;Ali",2005-10-13,252586,46,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:09:11Z,"K-발라드,한국 랩","위지스제이",0.68,0.76,0,-4.149,0,0.0571,0.338,0,0.382,0.826,84.293,4
spotify:track:3rQRx89A7kGuyXMbE72WCa,"몽환의 숲 (feat. 이루마)","Challenge 4Da Change","Kinetic Flow;이루마",2006-02-28,244746,0,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:09:38Z,"신고전주의","포니캐년코리아(주)",0.738,0.648,4,-7.107,1,0.0515,0.051,0.0000125,0.12,0.59,84.986,4
spotify:track:6MMgFZq7nJPGjhNqn0bEtk,"헤어지던 밤(feat. 혜란)","Challenge 4Da Change","Kinetic Flow;Hyeran",2006-02-28,265000,0,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:10:06Z,"","포니캐년코리아(주)",0.643,0.748,4,-4.455,0,0.0922,0.0116,0,0.11,0.681,147.994,4
spotify:track:3APCFJnbcPjiXGQIw9Yy9M,"만우절","Challenge 4Da Change","Kinetic Flow",2006-02-28,245853,0,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:10:18Z,"","포니캐년코리아(주)",0.84,0.681,10,-4.653,0,0.142,0.121,0.00000998,0.0958,0.802,90.013,4
spotify:track:4ebC0oQEzTTNTpCDM1IBWD,"말해줘","Jinusean","지누션",1997-03-01,233000,46,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:10:44Z,"한국 랩","YG Entertainment",0.761,0.952,4,-5.747,0,0.0557,0.0366,0.0000518,0.0246,0.877,120.016,4
spotify:track:7IErrQn4dPUf5ch0EQVEPp,"전화번호","노.라.보.세. 4집","지누션",2004-11-12,212306,42,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:10:52Z,"한국 랩","YG Entertainment",0.699,0.792,2,-4.569,1,0.1,0.0515,0.0000348,0.31,0.942,176.108,4
spotify:track:2XbeVUIpalh7O9FZflpydb,"너희가 힙합을 아느냐?","Year of The Tiger","드렁큰 타이거",1999-05-03,220609,34,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:13:14Z,"한국 랩","오감엔터테인먼트",0.782,0.838,1,-5.156,1,0.0566,0.0521,0,0.359,0.4,102.019,4
spotify:track:0VmxLVoAW9AR5cNm7JKIqY,"A-Yo","The Reign","지누션",2001-02-01,225946,37,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:13:41Z,"한국 랩","YG Entertainment",0.86,0.852,6,-3.646,0,0.135,0.0881,0,0.339,0.934,93.002,4
spotify:track:7aZm9Uq1lesRJCpv4tWQks,"광대","Library Of Soul","리쌍;BMK",2005-10-13,226693,50,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:15:21Z,"K-발라드,한국 랩","위지스제이",0.697,0.898,10,-3.222,0,0.178,0.245,0,0.136,0.654,160.81,3
spotify:track:59SvswsfxIXboMr9cjfn1y,"마이동풍","마이동풍","배치기",2006-09-04,191573,0,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:15:44Z,"K-발라드,한국 랩","포니캐년코리아(주)",0.869,0.842,7,-3.134,1,0.119,0.165,0,0.0573,0.96,108.032,4
spotify:track:2ya7fqUkDMXFMR2NGLW5UN,"눈물샤워 (feat. 에일리)","4집 Part.2","배치기;에일리",2013-01-14,235853,44,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:16:38Z,"K-발라드,한국 랩,케이팝","YMC엔터테인먼트",0.753,0.702,10,-4.905,0,0.0518,0.367,0,0.0978,0.554,111.956,4
spotify:track:2RVjDCmtwaBf8RBq9kQGY8,"반갑습니다 (feat. AG성은)","Giant","배치기;AG Sung Eun",2005-02-18,226373,0,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:17:03Z,"K-발라드,한국 랩","포니캐년코리아(주)",0.841,0.653,9,-4.828,0,0.079,0.00581,0,0.128,0.802,116.995,4
spotify:track:5B9LYQM9EBdzvVmQO3aQog,"Supermagic","Supreme Team Guide to Excellent Adventure","Supreme Team",2009-07-14,219053,31,false,5kgmxuqfqi52j0yfmiteyhp7a,2024-01-20T00:18:29Z,"한국 랩,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.831,0.791,11,-5.261,0,0.206,0.0461,0,0.0569,0.742,111.986,4
