Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1OQ3PoRZRtE7RH0NIh3p1O,"서랍","그 해 우리는 (Original Television Soundtrack), Pt.1","10CM",2021-12-07,237266,61,false,,1970-01-01T00:00:00Z,"K-발라드,사운드트랙","MOST CONTENTS",0.359,0.469,7,-8.06,1,0.0326,0.745,0,0.101,0.259,84.366,4
spotify:track:046Gh1kXtPynYPaKep5M8E,"그렇게 살아가는 것","그렇게 살아가는 것","허회경",2022-01-07,194633,55,false,,1970-01-01T00:00:00Z,"K-발라드","MUN HWA IN",0.673,0.19,2,-10.072,1,0.0366,0.963,0.0000244,0.112,0.0907,121.778,4
spotify:track:7JQH2lBMZ10ztDnpoeq6Ki,"yours","yours","데이먼스 이어 Damons year",2019-04-10,165229,64,false,,1970-01-01T00:00:00Z,"K-발라드","WM Korea",0.483,0.469,11,-6.367,1,0.032,0.658,0,0.188,0.316,109.263,4
spotify:track:1OhIn0L6iofnk5bjalWfHq,"소나기","선재 업고 튀어, Pt. 1 (Original Soundtrack)","ECLIPSE",2024-04-08,233031,70,false,,1970-01-01T00:00:00Z,"K-발라드,사운드트랙","Genie Music Corporation, Stone Music Entertainment",0.469,0.506,0,-6.283,1,0.0291,0.587,0,0.102,0.217,133.403,4
spotify:track:1Vd8qFWC07LB8UvNHyIlzg,"나만, 봄","사춘기집Ⅰ 꽃기운","볼빨간사춘기",2019-04-02,217044,57,false,,1970-01-01T00:00:00Z,"케이팝,K-발라드","쇼파르뮤직",0.563,0.649,7,-3.561,1,0.0571,0.397,0,0.08,0.548,195.977,4
spotify:track:66d19CSx5ru7mAzvwJ3JtF,"Love in the Milky Way Cafe","1.0","10CM",2011-02-10,172760,51,false,,1970-01-01T00:00:00Z,"K-발라드,사운드트랙","CAM",0.759,0.333,11,-8.68,0,0.0357,0.246,0,0.222,0.673,121.831,4
spotify:track:33xRp6ZX1DKraRFHR9ZDck,"숲","유영","최유리",2022-08-24,228266,58,false,,1970-01-01T00:00:00Z,"K-발라드","쇼파르엔터테인먼트",0.406,0.302,2,-9.011,1,0.0367,0.92,0.000001,0.104,0.186,114.093,3
spotify:track:3JKv5rt1H6o3TomGYdSsai,"어른","나의 아저씨 (Original Television Soundtrack), Pt. 2","Sondia",2018-03-29,259887,59,false,,1970-01-01T00:00:00Z,"K-발라드,사운드트랙","Genie Music Corporation",0.447,0.32,2,-7.159,1,0.0356,0.777,0.00265,0.0968,0.0989,119.829,4
spotify:track:3scRk3rUGIwpCg9kMNrtEQ,"첫사랑","첫사랑","백아",2018-10-11,188942,55,false,,1970-01-01T00:00:00Z,"K-발라드","Baek A",0.469,0.284,9,-10.177,0,0.0446,0.814,0,0.103,0.403,133.685,4
spotify:track:1hQDMQleO7992DMawi3lhd,"심해","신지훈 1집 ‘별과 추억과 시’","신지훈",2022-05-01,227586,48,false,,1970-01-01T00:00:00Z,"K-발라드","Jihoony Company",0.606,0.451,5,-7.129,1,0.0274,0.796,0.0000175,0.159,0.413,141.967,4
