Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0mzKZuumYicstydeEiCP9J,"Sadness","Solitude and Solidarity","9 and the Numbers",2016-12-16,255000,35,false,,1970-01-01T00:00:00Z,"한국 록","Tune Table Movement/ORM Entertainment",0.548,0.445,2,-7.535,1,0.0264,0.658,0.039,0.16,0.267,76,4
spotify:track:5BGxDtIEw8zxoP29Fid69a,"Ling Ling","TEEN TROUBLES","검정치마",2022-09-15,229999,56,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK",0.53,0.659,7,-4.903,1,0.0253,0.0311,0,0.101,0.542,79.999,4
spotify:track:3tbHqU6PKS2bIGWx9cn082,"영원은 그렇듯","영원은 그렇듯","Redoor",2021-01-09,237160,62,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Genie Music Corporation, Stone Music Entertainment",0.498,0.429,4,-7.53,1,0.0249,0.696,0.247,0.107,0.327,76.986,4
spotify:track:3RbRTEloMZ6VNTJYhHNCZU,"날씨의 요정","희망서","Shin In Ryu",2022-11-12,227000,48,false,,1970-01-01T00:00:00Z,"한국 록","SHIN IN RYU",0.581,0.517,5,-6.364,0,0.036,0.562,0.00000146,0.103,0.345,139.958,4
spotify:track:3RqJbTr2A464z2YVrCdKyX,"Side by side","Climbers","jisokuryClub",2025-02-17,180080,33,false,,1970-01-01T00:00:00Z,"한국 록","jisokuryClub",0.544,0.505,7,-7.963,1,0.0269,0.521,0.465,0.129,0.308,119.941,4
spotify:track:6B11t08k9uqcGIsPLFBhod,"High Heart","9th Anniversary of 9 and The Numbers","9 and the Numbers",2018-09-14,238492,32,false,,1970-01-01T00:00:00Z,"한국 록","ORM ENT.",0.356,0.621,2,-7.796,1,0.0293,0.0121,0.000383,0.105,0.545,184.021,4
spotify:track:20tWEsVsKU6FfzXGt4IOuV,"고백","Espresso","DELISPICE",2003-01-24,323531,55,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","오감엔터테인먼트",0.473,0.644,6,-4.447,1,0.027,0.0588,0,0.0942,0.24,79.617,4
spotify:track:2U34HCuUcXcyqWPQtY7tUa,"Big Love","TEAM BABY","검정치마",2017-05-30,239000,46,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.58,0.748,2,-4.873,1,0.0285,0.000377,0.00174,0.128,0.573,119.953,4
spotify:track:0o29ZYfMkduYssRlefeb8s,"아름다운 것","가장 보통의 존재","언니네 이발관",2008-08-08,291253,39,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.672,0.418,9,-8.892,1,0.0295,0.599,0.000545,0.0849,0.69,106.043,4
spotify:track:7mFCdtjbSn8PGlPggpgSsk,"Telltale Signs","아나토미","Erøtic Wørms Exhibitiøn",2023-11-02,228833,32,false,,1970-01-01T00:00:00Z,"한국 록","EWE",0.617,0.665,6,-6.404,0,0.035,0.0969,0.758,0.0807,0.714,159.969,4
spotify:track:42SqpfyWBvURAl8OB4VtYv,"Tear Wind","Grace","9 and the Numbers",2016-06-03,233835,31,false,,1970-01-01T00:00:00Z,"한국 록","Tune Table Movement/ORM Entertainment",0.448,0.465,4,-5.92,1,0.027,0.676,0.544,0.0922,0.223,146.266,4
spotify:track:2AfW3wIFo6uR2YIPoVewrd,"비틀비틀 짝짜꿍","비틀비틀 짝짜꿍","HANRORO",2022-09-04,211000,53,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.653,0.731,4,-2.524,1,0.026,0.174,0,0.147,0.529,99.991,4
spotify:track:2oPm7OANNjJfLgMXt7re40,"Endless Shine","Endless Shine","Tuesday Beach Club",2022-07-05,260092,46,false,,1970-01-01T00:00:00Z,"한국 록","Tuesday Beach Club",0.409,0.412,6,-8.353,1,0.0271,0.305,0.052,0.119,0.234,137.779,4
spotify:track:6630UyH72yGwAWhYYKkB5G,"Love Shine","Don't You Worry Baby (I'm Only Swimming)","검정치마",2011-07-13,260560,45,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.633,0.655,11,-5.383,0,0.0288,0.0526,0.0056,0.21,0.761,109.971,4
spotify:track:79FDhH7QRpooYN2irLM8Yk,"가장 보통의 존재","가장 보통의 존재","언니네 이발관",2008-08-08,322760,36,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.704,0.341,5,-10.463,0,0.0283,0.872,0.163,0.104,0.579,107.157,4
spotify:track:6kFk6TYKpjSR2nVxFDrbSS,"Hearts High","Treasure Island","9 and the Numbers",2015-02-03,238173,22,false,,1970-01-01T00:00:00Z,"한국 록","Tune Table Movement",0.531,0.627,2,-7.223,1,0.0259,0.38,0.0126,0.14,0.49,91.994,4
spotify:track:3kNeVQowXmRBGh4elxryd6,"취미는 사랑","가을방학","Autumn Vacation",2010-10-07,176480,33,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","가을방학",0.748,0.651,4,-6.196,1,0.0292,0.683,0,0.25,0.59,117.968,4
spotify:track:3Xz3KJ4ZsFmiwRcrzuXV3m,"Mouse","Mouse","이고도",2021-01-18,238493,46,false,,1970-01-01T00:00:00Z,"한국 록","Lee go do",0.654,0.452,9,-5.423,1,0.0262,0.641,0.000024,0.118,0.385,78.002,4
spotify:track:5eavA656hVayh6kDPI88ak,"언제나 여름","Summer Tales","라쿠나",2022-02-24,256320,30,false,,1970-01-01T00:00:00Z,"한국 록","Happy Robot Records",0.28,0.623,9,-5.199,1,0.0355,0.0253,0.601,0.265,0.284,127.235,4
spotify:track:1QoZ5G6pg7pZgEA7uFpgVh,"Love Is All","TEAM BABY","검정치마",2017-05-30,164000,48,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.277,0.577,5,-6.699,1,0.0319,0.623,0.0000217,0.0968,0.682,176.998,4
spotify:track:3rB6wFA0uDhnGsHR6ubvot,"Farewell Addict","9th Anniversary of 9 and The Numbers","9 and the Numbers",2018-09-14,205636,32,false,,1970-01-01T00:00:00Z,"한국 록","ORM ENT.",0.782,0.519,7,-10.216,0,0.0319,0.81,0.0173,0.0991,0.366,109.997,4
spotify:track:2Nu7RQVXJLdZdClXw7MDVm,"작은 마음","가장 보통의 존재","언니네 이발관",2008-08-08,238213,29,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.799,0.342,8,-12.243,1,0.0368,0.741,0.000591,0.102,0.698,92.936,4
spotify:track:7sxUb59tfiuzagetBF47AN,"자처","자처","HANRORO",2023-04-21,272000,57,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.385,0.675,5,-4.937,1,0.0326,0.276,0.00000427,0.132,0.112,161.6,4
spotify:track:4oXzQhoo9E9vvDtrIYPdtr,"Abandoned Umbrella","Hidden Picture","놀이도감",2020-10-20,199052,29,false,,1970-01-01T00:00:00Z,"한국 록","ormdstudio",0.746,0.388,8,-9.53,1,0.039,0.381,0.809,0.292,0.538,76.993,4
