Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4TlKVrK0TnVlwvVSbUbbM4,"바람이 분다","눈썹달","이소라",2004-12-10,236693,45,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:54:39Z,"K-발라드,케이팝","Seiren",0.443,0.509,7,-7.659,1,0.0297,0.351,0,0.109,0.125,123.872,4
spotify:track:261levqvyy1gnEuMut93Pi,"보편적인 노래","골든-힛트 모음집 [앵콜요청금지.]","브로콜리너마저",2012-06-22,422562,0,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:54:48Z,"한국 록,K-발라드","Studio broccoli",0.534,0.362,9,-9.424,1,0.0435,0.559,0.0000527,0.0762,0.164,154.11,3
spotify:track:0Tc5rJmMphUeuOp1mTUPAu,"Coca Cola Red (Feat. oygli)","NOWITZKI","빈지노;oygli",2023-07-03,200253,36,true,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:54:57Z,"한국 랩","BANA",0.729,0.701,2,-4.048,1,0.189,0.0547,0.0036,0.352,0.849,157.942,4
spotify:track:0o29ZYfMkduYssRlefeb8s,"아름다운 것","가장 보통의 존재","언니네 이발관",2008-08-08,291253,39,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:55:08Z,"한국 록","blue boy",0.672,0.418,9,-8.892,1,0.0295,0.599,0.000545,0.0849,0.69,106.043,4
spotify:track:2YNrv84MQ5SA4jZ8k3Us9d,"늑대가 나타났다","늑대가 나타났다","Lang Lee",2021-08-23,217500,23,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:55:16Z,"","Lang Lee",0.401,0.502,0,-10.144,1,0.0548,0.55,0,0.119,0.4,173.677,4
spotify:track:5TSVsb0rX427EaNYlUD4Jo,"going home","315360","김윤아",2010-04-26,221346,39,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:55:22Z,"K-발라드","LV co.",0.466,0.154,10,-10.282,1,0.036,0.962,0.000117,0.234,0.251,77.934,4
spotify:track:7knbpkZYcgAK7lZikiqOcR,"그리고 별이 되다","Memory Lane","나윤선",2007-04-10,266631,4,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:55:41Z,"보컬 재즈,재즈","허브뮤직(Herb Music)",0.446,0.189,1,-19.985,1,0.0405,0.747,0.00264,0.0959,0.28,75.644,4
spotify:track:01xtF3HjxjeeRp9j2vXz0F,"서로다른","Life Is Strange","서울전자음악단",2009-03-12,463870,13,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:55:54Z,"한국 록","오감엔터테인먼트",0.386,0.499,9,-5.11,1,0.0285,0.000152,0.0279,0.11,0.284,130.726,4
spotify:track:1dBK30swlPUpcE9DC9iAiy,"Melodie","11111101","IDIOTAPE",2011-11-11,300771,26,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:56:06Z,"뉴 레이브,한국 록","DOOROODOOROO ARTIST COMPANY",0.537,0.941,9,-5.092,1,0.0485,0.00543,0.851,0.105,0.0903,127.99,4
spotify:track:2OcHlYHykmzAvPNg47dida,"모든 것이 꿈이었네","뽕","250",2022-03-18,256706,22,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:56:28Z,"","BANA",0.661,0.373,2,-9.319,0,0.0743,0.78,0.0179,0.107,0.145,96.03,3
spotify:track:5BqwC9kOBbqYkzdOKeXFFk,"주저하는 연인들을 위해","전설","잔나비",2019-03-13,265000,61,false,31ufcdcdkfqtuf3sva5r5g46aj4m,2024-04-02T05:56:47Z,"K-발라드,한국 록","PEPONI MUSIC",0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004,4
