Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7aWapAUFjpMm0AN3IjEowd,"그래이젠","No More Contaminated World","INK",1993-05-01,262269,1,false,,1970-01-01T00:00:00Z,"","RIAK",0.735,0.676,7,-12.627,0,0.0752,0.0918,0,0.083,0.802,120.419,4
spotify:track:5ZRS1jfampQ4mVfNidYZfk,"3!4!","All System Go","룰라",1996-06-15,249420,45,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.809,0.937,7,-3.766,1,0.0733,0.167,0.0000109,0.0572,0.769,122.417,4
spotify:track:47mdByHmgWGDKOyKrVKp73,"이브의 경고","Jungle New Style","박미경",1995-07-22,252493,39,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.663,0.978,0,-2.623,1,0.0352,0.0601,0.00456,0.0784,0.62,136.374,4
spotify:track:2khPCdofF2cFTDKjINZavV,"We are the future","Wolf And Sheep","H.O.T.",1997-07-05,220733,38,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.708,0.983,1,-6.374,1,0.0529,0.00105,0.00000727,0.0838,0.708,130.014,4
spotify:track:1bVFzQdPfTcNspZQKzeNQB,"우리들만의 추억","Seotaiji and Boys II","서태지와 아이들",1993-06-21,233266,31,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.739,0.872,7,-6.989,1,0.0486,0.00402,0.0000769,0.0739,0.739,104.921,4
spotify:track:44Ek27aLNFXdrBEHmP07fr,"Osud","Osud","INK",2026-02-21,156577,0,true,,1970-01-01T00:00:00Z,"","4416612 Records DK",0.721,0.642,11,-7.038,0,0.42,0.109,0,0.318,0.881,183.878,4
spotify:track:6JrNdcEqbwt50I19SxJr2x,"왜불러","디바(Diva) 2집(Snappy Diva's Second Album)","디바",1998-04-22,247928,29,false,,1970-01-01T00:00:00Z,"","istar music",0.81,0.924,9,-5.709,1,0.0384,0.0113,0.000171,0.295,0.967,132.047,4
spotify:track:4iYW28u7mpxEokJT2zPGmp,"프로와 아마츄어","날개 잃은 천사","룰라",1997-01-24,226667,35,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.815,0.914,11,-6.055,0,0.0842,0.0165,0.000556,0.178,0.771,120.835,4
spotify:track:2VYLSWoSgHcWTOoJIKr5t5,"천생연분","솔리드(Solid) 3집(Light Camera Action!)","솔리드",1996-04-12,227630,37,false,,1970-01-01T00:00:00Z,"K-발라드","MUSICDESIGN",0.601,0.928,7,-7.442,1,0.0408,0.00836,0.505,0.152,0.674,133.998,4
spotify:track:1KPGmGWPLNTNoEt5J9oow1,"Fire","Love Story","Eagle Five",1999-03-01,250502,17,false,,1970-01-01T00:00:00Z,"","오감엔터테인먼트",0.643,0.986,8,-5.48,0,0.0797,0.0268,0.00000329,0.705,0.491,140.032,4
spotify:track:1707ZbnvA3PbzsOMPkPF0X,"Drž se stranou","Jde Svoji Cestou","INK",2025-10-14,148871,0,true,,1970-01-01T00:00:00Z,"","4416612 Records DK",0.841,0.673,11,-6.016,0,0.202,0.0244,0,0.0746,0.813,150.168,4
spotify:track:068bOiQGiSATNe2kWMZKin,"나를 돌아봐","Deux","듀스",1993-04-23,227933,34,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Beyond Music",0.856,0.657,11,-12.89,0,0.0597,0.0428,0.000035,0.151,0.962,116.407,4
spotify:track:0TUAoiYlIzPr9key2s0z3N,"순정","순정","코요태",1998-12-02,222266,43,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.634,0.938,4,-2.951,0,0.0311,0.0255,0.0597,0.29,0.961,136.955,4
spotify:track:0KC29fSZDTiDIrcJ5tgK6M,"환상속의 그대","Seotaiji and Boys","서태지와 아이들",1992-03-23,205480,32,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.904,0.839,5,-6.163,0,0.048,0.0339,0,0.0535,0.881,126.063,4
spotify:track:2T1PYapG5H8k44c7NlLMbH,"연가(戀歌)","유승준 4집(OVER AND OVER)","유승준",1999-12-10,263026,34,false,,1970-01-01T00:00:00Z,"","RIAK",0.807,0.93,11,-4.507,0,0.0379,0.0318,0,0.253,0.901,117.969,4
spotify:track:2QYwmvfTAeY96hvgqt0vIw,"Vůně hudby","Konečně tu","INK",2020-10-03,162821,0,true,,1970-01-01T00:00:00Z,"","4416612 Records DK",0.835,0.592,2,-7.134,1,0.248,0.313,0,0.126,0.528,87.008,4
spotify:track:2X8dHI8PeFg9h8iFwdfsEz,"날개 잃은 천사","날개 잃은 천사","룰라",1997-01-24,242341,43,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.846,0.921,9,-4.557,1,0.0898,0.0528,0.0000615,0.193,0.921,129.169,4
spotify:track:2saze3DWopH6ArRTxXN2nd,"비련","비련","구피",1997-01-01,235213,36,false,,1970-01-01T00:00:00Z,"","RIAK",0.644,0.946,7,-5.815,1,0.0483,0.00374,0.00000347,0.0245,0.927,136.074,4
spotify:track:0CkxJw4CAJ7aDCmfTSKr24,"비련(Club Version)","B.B`S Come","B.B",1996-04-01,253093,21,false,,1970-01-01T00:00:00Z,"","RIAK",0.754,0.957,4,-4.68,0,0.0437,0.146,0.000133,0.0849,0.828,129.931,4
spotify:track:17gXggYxNjopMUZtXRcNnV,"Poison","엄정화 4집(Invitation)","엄정화",1998-07-01,224397,39,false,,1970-01-01T00:00:00Z,"","istar music",0.674,0.942,11,-5.898,0,0.0466,0.000978,0.00806,0.0503,0.721,135.011,4
spotify:track:1vJrBbmMIIFN70Tj9mNRnc,"Nechceš zůstat stát","Jde Svoji Cestou","INK",2025-10-14,216058,0,true,,1970-01-01T00:00:00Z,"","4416612 Records DK",0.909,0.579,4,-8.983,0,0.187,0.113,0,0.0662,0.281,120.011,4
spotify:track:5m7xjjiQHXNSe9uI8yCVL8,"사랑 그리고 추억","I Was In Love","소호대",1999-08-16,238550,18,false,,1970-01-01T00:00:00Z,"K-발라드","Kakao Entertainment",0.692,0.998,10,-4.286,1,0.0546,0.0406,0.0546,0.0888,0.739,135.98,4
spotify:track:1Oue5v3x5AT6jxVXSkBz24,"귀머거리 하늘","Forever","R.ef",1998-05-01,259733,22,false,,1970-01-01T00:00:00Z,"","TEAMEnt.",0.622,0.945,8,-7.48,0,0.0482,0.107,0.0308,0.177,0.493,138.697,4
spotify:track:1Mr3U7Ku6Y30EShsQtGoiS,"성숙","Power Bit Techno Space A","스페이스에이",1999-08-17,226893,37,false,,1970-01-01T00:00:00Z,"","RIAK",0.818,0.834,0,-4.821,1,0.0598,0.0157,0.000139,0.289,0.767,134.009,4
spotify:track:0qgQUo4UwRL9AIYyGgGulP,"사랑법","Reincarnation Of The Legend","룰라",1997-03-01,226458,30,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.662,0.977,0,-4.054,1,0.107,0.00766,0.0000424,0.173,0.519,125.032,4
spotify:track:40VmaBt6J1hGSQuLK6OVjk,"Best nálada","Konečně tu","INK",2020-10-03,208404,0,true,,1970-01-01T00:00:00Z,"","4416612 Records DK",0.92,0.513,9,-7.432,0,0.238,0.097,0,0.0382,0.636,91.004,4
spotify:track:0wTzOdNHp1s1eRLTvw9sS8,"책임져","무제 (無題)","Untitle",1996-09-01,224866,28,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Beyond Music",0.875,0.931,6,-4.002,0,0.0647,0.0758,0,0.0876,0.884,120.95,4
spotify:track:3gvzzrTDnxhnNYigB511S4,"넌 남이 아냐(House Version)","We`Re Back The Myth Of E.O.S","이오스(EOS)",1995-10-01,229146,24,false,,1970-01-01T00:00:00Z,"","RIAK",0.568,0.996,0,-6.602,1,0.0427,0.00913,0.00201,0.104,0.706,139.972,4
spotify:track:4JLRY75NOoiwQaTIH0I1Xo,"어제와 다른 오늘","Noise 3rd Revolution","NOISE",1995-04-01,212866,28,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.761,0.967,2,-2.806,1,0.0398,0.124,0.0000968,0.16,0.756,132.821,4
spotify:track:7JhPSCbdaIEfM41AzBEuoT,"마음속을 걸어가","Back To The Black","R.ef",1996-04-01,239086,22,false,,1970-01-01T00:00:00Z,"","TEAMEnt.",0.636,0.928,1,-8.263,0,0.0473,0.00208,0.0149,0.291,0.563,144.998,4
spotify:track:4IruvZDJSzBJHVik3VlEn0,"Obrat","Jde Svoji Cestou","INK",2025-10-14,210076,0,true,,1970-01-01T00:00:00Z,"","4416612 Records DK",0.867,0.674,3,-7.623,0,0.52,0.153,0,0.069,0.659,79.968,4
spotify:track:3oiWco0alxrw4qtM9EO3nx,"연인","The Final 5집","룰라",1997-01-24,225584,32,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.784,0.952,2,-2.873,1,0.0796,0.178,0.00000633,0.228,0.96,136.415,4
spotify:track:0HSMUHakYEzQBZqS5LTUuq,"Sweetest Love","졸업(卒業)","Circle",1998-12-27,235102,25,false,,1970-01-01T00:00:00Z,"","Beyond Music",0.703,0.823,11,-4.985,1,0.0315,0.366,0,0.334,0.912,98.021,4
spotify:track:5100hBvLs3g4OJfpv2AtGI,"금지된 사랑","순정","코요태",1998-12-02,219066,26,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.646,0.935,0,-5.439,1,0.0407,0.0403,0.000473,0.0517,0.822,132.009,4
spotify:track:0WSS3DmpxUIxrbLK6ETXTu,"정","1집-정","YTC",1996-08-01,230791,42,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.747,0.927,2,-6.127,1,0.0475,0.0359,0.0000821,0.224,0.971,133.019,4
spotify:track:3X34QUyEqc07NMQMbCZ69h,"Beat You","Living Is Easy with Eyes Closed","INK",2015-02-01,232000,0,false,,1970-01-01T00:00:00Z,"","Prodejhudbu.cz",0.692,0.269,7,-18.347,0,0.0363,0.604,0.00597,0.112,0.0625,120.011,4
spotify:track:2FVeVYf4IeekabfrLBZIbk,"Ballad of Memories","Jang Hye Ri (I`ll Give You My Love/Ballad of Memories)","Jang Hye Ri;장혜리",1989-05-01,229506,16,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.585,0.553,6,-11.892,0,0.0388,0.328,0.00000831,0.0499,0.837,155.605,4
spotify:track:41PgRpm39s1h3MtuREOqUf,"나만의 친구 (Hip Hop)","솔리드(Solid) 2집(The Magic Of 8 Ball)","솔리드",1995-03-01,191788,25,false,,1970-01-01T00:00:00Z,"K-발라드","MUSICDESIGN",0.736,0.892,0,-5.39,1,0.0766,0.0727,0.00000187,0.133,0.868,118.109,4
spotify:track:1gUY50tATt2dguXnHaGfJv,"화려한 싱글 - Clubmix Version","Luxurious Singles","Yang Hye-Seung",2003-08-14,208013,25,false,,1970-01-01T00:00:00Z,"","갑봉엔터테인먼트",0.648,0.978,5,-2.634,0,0.0352,0.00993,0.00623,0.136,0.941,138.015,4
spotify:track:7If10ObAFihZnEy2KiqNJB,"철없던 사랑","86 홍수철 뉴앨범(철없던 사랑/바람부는 날엔)","홍수철",1985-10-25,166927,16,false,,1970-01-01T00:00:00Z,"","RIAK",0.607,0.784,4,-10.414,0,0.0307,0.0123,0,0.133,0.966,137.82,4
