Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6G4qa5d3rrRrCLIuHZyKQH,"늦잠","늦잠","KIM PUREUM",2026-03-10,255000,34,false,,2026-03-20T09:08:08Z,"","TONE Studio",0.579,0.441,11,-7.002,0,0.0371,0.298,0.00000296,0.121,0.281,139.624,4
spotify:track:6vwYtXrVDgYHsAfqbpqt44,"곰곰이","곰곰이","deulrejang",2026-03-20,227024,0,false,,2026-03-20T09:08:08Z,"","WOWSAN RECORD",0.657,0.184,0,-13.299,1,0.0402,0.968,0.0106,0.145,0.13,130.021,4
spotify:track:3OcZ0MlUU5dtP7wj4qGPjp,"그럼에도 불구해서","그럼에도 불구해서","O.O.O",2026-03-20,217216,0,false,,2026-03-20T09:08:08Z,"한국 록","O.O.O",0.626,0.651,9,-7.099,1,0.0284,0.0222,0.162,0.113,0.659,97.998,4
spotify:track:1bnxyxbTnr8B88Nto0jf34,"Oh my 달링","머물던 순간들","박찬영",2026-03-03,218000,36,false,,2026-03-20T09:08:08Z,"","Park Chan Young",0.485,0.514,7,-7.46,1,0.0263,0.798,0.0272,0.146,0.314,94.805,4
spotify:track:02EGe74DUyiuQp76biMQ8i,"진실에게","진실에게","안다영",2026-03-17,249354,25,false,,2026-03-20T09:08:08Z,"한국 록","MAGIC STRAWBERRY SOUND",0.641,0.55,2,-10.154,1,0.0366,0.804,0.257,0.0806,0.337,143.904,4
spotify:track:2HOHvjZiZRInQXcy1SXkHD,"Today, Today","TRUTHBUSTER","놀이도감",2026-03-18,249382,27,false,,2026-03-20T09:08:08Z,"한국 록","ormdstudio",0.397,0.602,2,-8.975,1,0.0412,0.412,0.323,0.11,0.511,185.995,4
spotify:track:6zQrcQ7jXnlvj9Q8WBrMCf,"When Spring Comes","When Spring Comes","E.ul",2026-03-19,187501,21,false,,2026-03-20T09:08:08Z,"K-발라드","Universal Music Ltd.",0.609,0.772,5,-5.61,0,0.0433,0.372,0,0.303,0.497,93.953,4
spotify:track:2UeMHseXwiwB4zpdAIy0DY,"흔해 빠진 사랑 노래","흔해 빠진 사랑 노래","Kim Siwon",2026-03-08,147222,32,false,,2026-03-20T09:08:08Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.716,0.527,9,-6.925,1,0.0284,0.583,0,0.137,0.756,108.063,4
spotify:track:3nrorWOmfweHzDtiCLZrJE,"Orange","Orange","연우",2026-03-08,198586,29,false,,2026-03-20T09:08:08Z,"","연우 (Yeonwoo)",0.772,0.7,5,-4.935,1,0.0606,0.209,0,0.0772,0.752,109.962,4
spotify:track:1gdZlHRdr3OXnUpDb4FYQC,"No way A way (NWAW)","No way A way (NWAW)","장수빈",2026-03-16,198000,25,false,,2026-03-20T09:08:08Z,"","Jang Soo Bin",0.657,0.258,5,-15.292,0,0.15,0.772,0.0264,0.141,0.219,75.02,4
spotify:track:0eDsev28hCgdfpngRPPHRD,"Summer in space","Summer in space","heyden",2026-03-12,208055,34,false,,2026-03-20T09:08:08Z,"","Universal Music Ltd.",0.644,0.478,11,-7.652,1,0.026,0.857,0,0.24,0.372,107.99,4
spotify:track:2IWqrZomXVc0YmcfDFyCXa,"마음의 형태 (With You)","마음의 형태 (With You)","UmYull",2026-03-16,245000,31,false,,2026-03-20T09:08:08Z,"한국 록,K-발라드","CREPE SOUND",0.419,0.873,1,-3.88,1,0.0592,0.0692,0.000436,0.0984,0.701,189.979,4
spotify:track:2S6pQwV5E9W0RLp6oNbyiK,"Joe","Orange Courage","Potatoi",2026-03-13,208000,32,false,,2026-03-20T09:08:08Z,"","Wavy International",0.471,0.51,2,-8.039,1,0.0255,0.515,0.883,0.339,0.36,73.011,4
spotify:track:7LejDiEo66ywqax0uwYAQp,"Dum Dum","Dum Dum","The Suicide Diary",2026-03-07,140000,26,false,,2026-03-20T09:08:08Z,"","The Suicide Diary",0.871,0.442,10,-8.553,0,0.0347,0.325,0.153,0.125,0.772,109.959,4
spotify:track:0bxtHyBu4hJMk2irUkQFpQ,"Oasis","Oasis","아월",2026-03-03,287000,33,false,,2026-03-20T09:08:08Z,"한국 록,일본 인디","MPMG MUSIC",0.248,0.443,11,-5.269,1,0.0292,0.641,0.0362,0.11,0.0918,169.889,4
spotify:track:5XTuQ4vMX1gHDLmzxhMOd6,"it was always me, never us.","it was always me, never us.","Lokid",2026-03-04,236823,33,false,,2026-03-20T09:08:08Z,"K-발라드","WM Korea",0.5,0.605,0,-5.77,1,0.0466,0.622,0,0.0957,0.18,84.597,4
