Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3I71PFicYG614VGl6hqcUK,"나는 나비","Why Be?","YB",2010-01-01,214906,52,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:18:06Z,"K-발라드,한국 록","Universal Music Ltd. Distributed Labels",0.593,0.708,11,-1.247,1,0.0382,0.0252,0,0.105,0.283,127.031,4
spotify:track:2L1d8klSiq0dhndAszGWuO,"챠우챠우-아무리 애를 쓰고 막아 보려 해도 너의 목소리가 들려","델리스파이스(Deli Spice) 1집(Deli Spice)","DELISPICE",1997-08-01,269514,49,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:18:32Z,"K-발라드,한국 록","MUSICDESIGN",0.464,0.765,6,-8.407,1,0.048,0.0111,0.0000141,0.205,0.235,114.841,4
spotify:track:5pHYQ1TuV7Ye5WWYcAxFjE,"Lonely Night","Color","부활",2011-06-20,218592,44,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:19:17Z,"K-발라드,한국 록","부활 엔터테인먼트",0.452,0.868,6,-4.374,1,0.0508,0.00109,0.00000146,0.414,0.432,96.879,4
spotify:track:1Bjds5pJTvgzlheWp1oHGo,"넌 내게 반했어","Stand Up Again!","노브레인",2004-12-02,223653,8,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:23:56Z,"한국 록","㈜록스타뮤직앤라이브",0.515,0.901,7,-2.956,1,0.0864,0.00118,0.00000133,0.256,0.821,152.01,4
spotify:track:2jl1Ie5tjAA4m2EHtWB27p,"크게 라디오를 켜고","Heavy Metal Sinawe","시나위",1986-03-01,275840,15,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:26:13Z,"한국 록","예전미디어",0.399,0.547,9,-10.161,1,0.0295,0.000963,0.000105,0.131,0.626,91.831,4
spotify:track:587ZPoU2g5hkI34QUl4w1I,"Delma And Luis","Debut 1995","이한철",1995-10-31,283560,0,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:27:09Z,"K-발라드","GAP",0.625,0.486,7,-13.405,1,0.0292,0.169,0.021,0.174,0.273,118.051,4
spotify:track:1mroH1ZHDweYcZ9x6uTXXb,"동경 Admiration (Remastered)","비둘기는 하늘의 쥐 Pigeon Is a Rat in the Sky (Remastered)","언니네 이발관",2018-01-25,187853,8,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:27:39Z,"한국 록","Stoneage Records",0.567,0.871,9,-6.446,1,0.0332,0.0584,0.101,0.285,0.596,123.029,4
spotify:track:2khE65smnGItZUMEukAAY1,"Here, I Stand For You","Here, I Stand For You","넥스트",1997-02-01,294133,24,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:29:51Z,"한국 록,K-발라드","빅뱅뮤직",0.335,0.679,0,-4.573,1,0.0362,0.225,0.000028,0.0422,0.275,126.08,4
spotify:track:5BqwC9kOBbqYkzdOKeXFFk,"주저하는 연인들을 위해","전설","잔나비",2019-03-13,265000,61,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:30:10Z,"K-발라드,한국 록","PEPONI MUSIC",0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004,4
spotify:track:3UDcg2Q0Ud8j9XW5g7hV3S,"깊은 밤의 서정곡","miracle","Black Hole",1989-02-07,331826,18,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:30:36Z,"한국 록,파워 메탈","수도미디어",0.41,0.411,11,-12.499,0,0.0284,0.297,0.000431,0.0752,0.161,76.188,4
spotify:track:4BriSEc7phaQeLeU38nx7B,"도시인","Home","넥스트",1992-01-01,269456,16,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:31:38Z,"한국 록,K-발라드","다날(포이보스)",0.65,0.597,7,-15.466,1,0.0457,0.00134,0,0.0513,0.91,124.834,4
spotify:track:4fGMgcuSTWlXup9kiMJsst,"황야의 무법자","이현석 프로젝트","LEE HYUN SUK PROJECT",1998-11-30,184360,2,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:36:11Z,"한국 록","SKY HIGH Media Entertainment",0.492,0.97,11,-5.381,1,0.0743,0.0417,0.927,0.0873,0.404,144.901,4
spotify:track:59BZmZ4MZWNw8pu6quSfLc,"Beautiful River And Mountain","Shin Junhyun & Musicpower 1.","Shin Joong Hyun And Musicpower",1980-12-01,487758,5,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:40:54Z,"한국 록","Jigu Records",0.641,0.599,0,-13.57,0,0.0443,0.203,0.0136,0.102,0.773,108.124,4
spotify:track:3KpJ44c612IWGpZ5NaZJhm,"밤이 깊었네","하수연가","크라잉넛",2001-06-01,248476,36,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:44:00Z,"K-발라드,한국 록","드럭",0.718,0.596,9,-5.558,1,0.047,0.201,0.0000172,0.356,0.352,115.083,4
spotify:track:6x0KwPhVlGEnToXO3baFgO,"Loveholic","Florist","러브홀릭",2003-04-26,219376,0,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:57:34Z,"K-발라드,한국 록","플럭서스1",0.531,0.832,2,-4.278,1,0.0391,0.0432,0,0.278,0.432,136.207,4
spotify:track:0wdchmE75VwSL2zTAgbFra,"낭만고양이","Made In Korea?","체리필터",2002-08-13,230240,44,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:57:46Z,"한국 록,K-발라드","Music Farm",0.416,0.85,5,-4.344,0,0.118,0.00196,0,0.369,0.257,82.944,4
spotify:track:0lyqOQHPupP6ruQ0f263WJ,"미안해 널 미워해","연인(戀人)","자우림",1998-11-01,235173,32,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T10:58:40Z,"한국 록,K-발라드","Cornerstone",0.469,0.865,5,-5.46,1,0.0467,0.000141,0.0116,0.117,0.202,99.996,4
spotify:track:6kL0CcL4rx6VUt6m2zP0tM,"습관 (Bye Bye)","Roller Coaster","Rollercoaster",1999-07-01,259346,40,false,3124waitfy3fjqxundo4wnhgbsrm,2024-06-05T11:00:13Z,"시부야계,애시드 재즈,한국 록","Cornerstone",0.795,0.518,6,-10.28,1,0.029,0.0325,0.0000102,0.0532,0.785,122.996,4
