Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3miWrYBNEk4sd288qBmdjH,"물망초","새벽별","Park Sae Byul",2010-03-29,210853,9,false,,1970-01-01T00:00:00Z,"K-발라드","Don't Stop the Music",0.615,0.441,5,-8.99,0,0.0302,0.86,0,0.105,0.298,106.949,4
spotify:track:7HPtra6fwCtCD0EaTQPTI0,"기억속 켜진불","샤이닝 OST Part.5","SOOBIN",2026-03-20,264000,54,false,,1970-01-01T00:00:00Z,"","SLL",0.322,0.373,8,-8.687,1,0.0322,0.87,0,0.094,0.19,138.142,4
spotify:track:0dS2N40tmMVx3Xc0VEUK1R,"우리 아름다운 시간은","그대를 사랑합니다 OST","루시드폴",2011-02-09,220383,19,false,,1970-01-01T00:00:00Z,"인디 R&B","Don't Stop the Music",0.676,0.169,2,-15.852,1,0.0329,0.943,0.733,0.103,0.26,123.878,4
spotify:track:0RkcLACgrWL9aZ4YTHz3Er,"그저 바라만 보는 (feat. 강겨울)","그저 바라만 보는","Kim Miseong;Kang Gyeoul",2025-12-08,241093,13,false,,1970-01-01T00:00:00Z,"","Kim Miseong",0.697,0.168,5,-12.058,1,0.0448,0.99,0.00135,0.111,0.316,125.782,4
spotify:track:7EzBiP79ihJm32E1ynNwyc,"행복했으면 좋겠어","소리들","HEN",2022-11-28,200000,24,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.328,0.184,5,-15.757,1,0.036,0.957,0.000649,0.13,0.236,172.47,4
spotify:track:6AfJTgzIyIEEMQLHFmKuVA,"너무 아픈 사랑은 사랑이 아니었음을","왜그래 풍상씨 (Original Television Soundtrack), Pt.4","Park Sae Byul",2019-02-14,284610,22,false,,1970-01-01T00:00:00Z,"K-발라드","모스트콘텐츠",0.47,0.304,11,-9.663,0,0.0299,0.615,0.00000167,0.125,0.118,132.008,4
spotify:track:5TSVsb0rX427EaNYlUD4Jo,"going home","315360","김윤아",2010-04-26,221346,39,false,,1970-01-01T00:00:00Z,"K-발라드","LV co.",0.466,0.154,10,-10.282,1,0.036,0.962,0.000117,0.234,0.251,77.934,4
spotify:track:1NffRCauCg7GpMGpS1grSy,"소슬바람","원","nardis",2025-12-16,177750,15,false,,1970-01-01T00:00:00Z,"","NARDIS",0.305,0.147,11,-13.118,1,0.0352,0.93,0.000153,0.118,0.272,66.199,3
spotify:track:4GLLNm93NbwmM0HTsGOKwg,"선인장 (feat. 차세정)","Short Stories. 1 - 선인장","에피톤 프로젝트;Cha Se Jeong",2010-06-29,255186,17,false,,1970-01-01T00:00:00Z,"K-발라드","Pastel Music",0.504,0.525,7,-7.815,1,0.0313,0.305,0.146,0.363,0.695,91.989,4
spotify:track:14308UZCGOQ15C6vz1W0Ff,"As If Love Meant Nothing (feat. Lee Young Hoon)","Eternal Moment","위수;이영훈",2019-10-12,233129,32,false,,1970-01-01T00:00:00Z,"K-발라드","TEAM WISUE",0.619,0.12,11,-14.326,1,0.0506,0.957,0.00000528,0.129,0.358,118.051,4
spotify:track:5HVsk1WP54cyCXAqUMLnMo,"숨:still (inst.)","숨:Still","Park Sae Byul",2025-09-30,68000,2,false,,1970-01-01T00:00:00Z,"K-발라드","Antenna",0.718,0.406,0,-15.815,1,0.0439,0.972,0.929,0.0901,0.345,138.098,3
spotify:track:5MD068QOyOZMkTCzJkUS0Y,"너의 반의 반만이라도 (엄마, 단둘이 여행 갈래? X 헨) (Original Soundtrack)","너의 반의 반만이라도 (엄마, 단둘이 여행 갈래? X 헨) (Original Soundtrack)","HEN",2024-06-09,209533,18,false,,1970-01-01T00:00:00Z,"K-발라드","SLL",0.467,0.187,3,-12.111,1,0.0412,0.983,0.0000629,0.128,0.173,128.393,4
spotify:track:7pJ1b2X9LLpPn3PiKo7Kwe,"마음에 쓰는 편지","MBC '지금 1위는?' Part 4","Oksangdalbit",2019-05-10,218000,12,false,,1970-01-01T00:00:00Z,"K-발라드","KOEN MEDIA",0.513,0.394,6,-7.056,1,0.029,0.823,0,0.134,0.253,137.792,4
spotify:track:17e21NjJp8Ow9KhGI9dZ4r,"사랑이 아니라 말하지 말아요","싱어게인4 - 무명가수전 Episode.7","이영훈",2025-11-26,211358,30,false,,1970-01-01T00:00:00Z,"K-발라드","Music Farm, SLL",0.547,0.162,11,-11.311,1,0.0525,0.826,0,0.113,0.263,114.351,4
spotify:track:0xWvU1Tgjqgv39qHzZcici,"그대는 어디에 (feat. 한희정)","긴 여행의 시작","에피톤 프로젝트;한희정",2009-02-24,230186,30,false,,1970-01-01T00:00:00Z,"K-발라드,사운드트랙","파스텔뮤직",0.553,0.538,10,-8.764,1,0.0257,0.29,0.00732,0.0757,0.24,143.977,4
spotify:track:1ANFk7iXRY5oZm1H98vQ4U,"노래할게요 (Feat. Christian Kim)","노래할게요","Park Sae Byul;Christian Kim",2013-12-23,235200,11,false,,1970-01-01T00:00:00Z,"K-발라드","Don't Stop the Music",0.268,0.299,0,-9.48,1,0.0548,0.914,0,0.198,0.186,170.333,4
spotify:track:4m9Badp5xjHRXcPjsSPqHk,"가끔 미치도록 네가 안고 싶어질 때가 있어","가을방학","Autumn Vacation",2010-10-07,243266,41,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","가을방학",0.639,0.423,1,-8.964,0,0.0293,0.801,0.000567,0.142,0.206,77.985,4
spotify:track:1J9RkXTuReFqVlWwmmn7NI,"익숙한 새로움","소리들","HEN",2022-11-28,182000,22,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.467,0.18,3,-10.64,1,0.0318,0.977,0.00000851,0.0989,0.304,134.934,3
spotify:track:01ERegBOx1K8LttjRCsG2G,"아는지","Last Decade","Kim Kwangjin",2017-04-01,290213,25,false,,1970-01-01T00:00:00Z,"K-발라드","캐슬뮤직",0.36,0.201,5,-11.673,1,0.0328,0.558,0,0.116,0.12,121.658,4
spotify:track:2xqZgDhbEzNIQGEz8HdrkJ,"운이 좋았지","나의 모양","권진아",2019-09-19,256906,48,false,,1970-01-01T00:00:00Z,"K-발라드","Antenna",0.428,0.389,9,-5.26,1,0.0303,0.762,0,0.116,0.269,130.947,4
spotify:track:18aBHOfe5IMmks4dt7AElL,"세상의 모든 인연 (Duet With 박원 Of 원모어찬스)","하이힐","Park Sae Byul;Park Won (One More Chance)",2013-05-28,228906,5,false,,1970-01-01T00:00:00Z,"K-발라드","Don't Stop the Music",0.624,0.518,8,-8.456,0,0.0673,0.59,0,0.118,0.439,82.048,4
spotify:track:5xddFJymDX6tgtEJg1zENx,"내일을 묻는다 - Edit Version","It's Spring","제이레빗",2011-03-04,210946,27,false,,1970-01-01T00:00:00Z,"","friendz.net",0.59,0.172,2,-8.656,1,0.0392,0.887,0,0.121,0.444,139.118,4
spotify:track:1i4F4KVOAfPmPdWdYnQlPm,"힘내","힘내","커피소년",2015-03-30,233011,18,false,,1970-01-01T00:00:00Z,"K-발라드","로스팅뮤직",0.696,0.482,1,-11.085,0,0.0264,0.405,0.753,0.0953,0.617,109.997,4
spotify:track:0aLVAdroQBdU94Hx1id5Xm,"다음 생엔 그냥 스쳐 가기만 해요","바람같은 날을 살다가","정미조",2020-11-10,243826,23,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.365,0.22,7,-13.178,1,0.0311,0.955,0.00369,0.129,0.221,133.274,4
spotify:track:3EAKUXIMjJhfWmmdFBQtsR,"이화동 (With 한희정)","유실물 보관소","에피톤 프로젝트;한희정",2010-05-12,241346,27,false,,1970-01-01T00:00:00Z,"K-발라드,사운드트랙","Pastel Music",0.41,0.447,10,-6.777,1,0.028,0.659,0.000112,0.167,0.234,145.744,4
spotify:track:7LHiok88z9ObSGOcT11V1o,"잊으라 하지마","Ballades Op.3","Park Sae Byul",2019-10-31,259399,4,false,,1970-01-01T00:00:00Z,"K-발라드","Antenna",0.379,0.45,7,-4.943,1,0.0378,0.705,0,0.104,0.104,115.999,4
spotify:track:6uYBDTTolezL3ne2HsXDm0,"위로","멜로가 체질 (Original Television Soundtrack), Pt. 1","권진아",2019-08-10,196999,49,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.494,0.173,7,-10.342,1,0.0349,0.966,0.00000385,0.0993,0.227,63.233,4
spotify:track:7wnypxN2qneErAS846FJPG,"숨바꼭질","인사","이제",2024-09-21,183444,24,false,,1970-01-01T00:00:00Z,"K-발라드","Tawny Birch",0.596,0.141,9,-12.36,1,0.0533,0.974,0.000295,0.369,0.234,119.394,4
spotify:track:62aCcSSKD36qc9HuYzpART,"바다","바다","초승",2021-10-26,254999,26,false,,1970-01-01T00:00:00Z,"K-발라드","authentic",0.298,0.221,2,-10.102,1,0.0316,0.942,0.000011,0.105,0.267,137.957,4
spotify:track:2PPhu2WbRzXFMHqs1vFUoS,"사랑이 찾아오면 When Love Comes to You","첫 번째 음악 로스팅 1st Music Roasting","커피소년",2011-07-14,243626,24,false,,1970-01-01T00:00:00Z,"K-발라드","CCM Hub",0.547,0.207,5,-15.651,1,0.0312,0.827,0.00245,0.0997,0.27,106.9,4
spotify:track:1KWoyI7YaJnO6YWlF9k5aD,"사랑이 우릴 다시 만나게 한다면","하이힐","Park Sae Byul",2013-05-28,307533,7,false,,1970-01-01T00:00:00Z,"K-발라드","Don't Stop the Music",0.405,0.272,0,-6.288,1,0.0407,0.833,0,0.132,0.163,121.928,4
spotify:track:2wp2lmbKstMOFEz9CycZY0,"꿈의 왈츠","꿈의 왈츠","임연",2023-11-16,215750,10,false,,1970-01-01T00:00:00Z,"","Jubal Company",0.547,0.364,5,-8.123,1,0.0283,0.874,0,0.142,0.311,104.955,3
spotify:track:77RS5wVafWJ7MnzfY5NhnZ,"사랑은 언젠가 끝에 닿아","Lasha","사비나앤드론즈",2024-09-09,252000,13,false,,1970-01-01T00:00:00Z,"","Saviimusic",0.496,0.39,0,-7.705,1,0.034,0.841,0.00000138,0.12,0.206,129.803,4
spotify:track:0QpgMnBaZNL1vkWzA2bDO8,"그대 내게 다시","그대 내게 다시 (소년시절의 너 X 김수영)","김수영 Kim Suyoung",2024-10-16,195453,23,false,,1970-01-01T00:00:00Z,"K-발라드","TOON STUDIO",0.713,0.193,7,-6.877,1,0.0282,0.9,0,0.142,0.302,94.858,4
spotify:track:1gdoiphM1yeU2PyXnj9pS9,"이 마음이 사랑일까","찬란한 너의 계절에 (Original Television Soundtrack) Pt. 6","영준",2026-03-14,219594,34,false,,1970-01-01T00:00:00Z,"K-발라드","팬엔터테인먼트",0.356,0.331,10,-9.338,1,0.0313,0.616,0.00000439,0.0951,0.277,130.455,4
spotify:track:1ALqR0ZzddSWBKKnGYEyP8,"저 별은 아직 기억하고 있어","숨:Still","Park Sae Byul",2025-09-30,198000,3,false,,1970-01-01T00:00:00Z,"K-발라드","Antenna",0.468,0.607,8,-3.969,0,0.0289,0.59,0.0000019,0.114,0.228,84.897,4
spotify:track:1uBGu5FGfBI27baUdrE4NB,"어쩌면 오래전부터","Integrity","Captain Planet;Park Sae Byul",2024-10-30,247160,3,false,,1970-01-01T00:00:00Z,"K-발라드","Captain Planet",0.276,0.378,4,-7.827,1,0.0505,0.608,0,0.168,0.123,74.295,5
spotify:track:0vew8Vlca3NtP7jisHm32A,"Heart for One Person","Memory For You","럼블피쉬",2008-11-20,281626,23,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","WM Korea",0.532,0.553,1,-7.211,1,0.0381,0.456,0,0.193,0.335,136.864,4
spotify:track:4kplXGxjoD3K3C8FBqvy6B,"내가 되었으면","Dream","no reply",2010-09-15,215092,17,false,,1970-01-01T00:00:00Z,"K-발라드","Happy Robot Records",0.344,0.701,3,-4.833,1,0.0445,0.564,0,0.195,0.358,147.944,4
spotify:track:58ZaNuaTGlDTJk5639F6VC,"나는 여기에 있어","영화 거북이의 꿈 : 느림의 미학 OST (Original Sound Track)","HEN",2025-12-08,234000,24,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.378,0.185,10,-12.401,1,0.0313,0.977,0.000223,0.0843,0.169,94.813,3
spotify:track:4pa65Dkia0wPyP0qO4S2RJ,"한 여름 밤의 별","하이힐","Park Sae Byul",2013-05-28,229053,1,false,,1970-01-01T00:00:00Z,"K-발라드","Don't Stop the Music",0.292,0.24,10,-13.215,1,0.0424,0.879,0.0000256,0.0858,0.402,156.526,3
spotify:track:74BHWnCioCU7JzmQ0sk1gR,"마음 앞에서","마음 앞에서","초승",2022-06-02,278078,19,false,,1970-01-01T00:00:00Z,"K-발라드","authentic",0.42,0.383,1,-7.795,1,0.0309,0.791,0,0.107,0.133,122.901,4
spotify:track:2vhWBIK3IlDVOpNvHrYmgm,"어느새 너에게","어느새 너에게","문빛",2023-05-03,247560,32,false,,1970-01-01T00:00:00Z,"K-발라드","INHEART MUSIC",0.669,0.341,9,-6.136,1,0.0286,0.803,0,0.135,0.41,91.955,4
spotify:track:2JaMNB15OK29dcwl2wvvPN,"일종의 고백","싱어게인4 - 무명가수전 Episode.2","이영훈",2025-10-22,193628,31,false,,1970-01-01T00:00:00Z,"K-발라드","Music Farm, SLL",0.486,0.254,5,-11.635,1,0.0636,0.576,0.0000027,0.143,0.266,86.533,4
spotify:track:5u22yXyqZvp7r94N5J9NgW,"바라만 봐도 좋은데","바라만 봐도 좋은데","no reply",2011-07-04,244409,20,false,,1970-01-01T00:00:00Z,"K-발라드","Happy Robot Records",0.45,0.547,8,-6.627,1,0.0319,0.587,0.000636,0.112,0.241,170.036,4
spotify:track:1D6GZigg6dBeTe07sl3GfJ,"우리는 선처럼 가만히 누워 (feat. 이상순)","우리는 선처럼 가만히 누워","요조;이상순",2010-12-06,237733,23,false,,1970-01-01T00:00:00Z,"K-발라드","Pastel Music",0.525,0.387,9,-9.635,1,0.0286,0.875,0.29,0.124,0.249,89.933,4
spotify:track:2oKfNijIkKQIkjqXyNOzMf,"아직 스무 살 (Guitar Feat. Thomas Cook)","하이힐","Park Sae Byul;Thomas Cook",2013-05-28,221533,1,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Don't Stop the Music",0.511,0.325,6,-11.018,0,0.0401,0.767,0,0.11,0.354,151.285,4
spotify:track:2SbHGxsY29Y5o86ppi0x6s,"그대는 은하가 되어요","그대는 은하가 되어요","초승",2021-04-16,255999,29,false,,1970-01-01T00:00:00Z,"K-발라드","authentic",0.574,0.361,1,-7.901,1,0.0246,0.746,0.0000639,0.107,0.126,62.996,4
spotify:track:5n4nqqH1oyB9MKcL780iWb,"사랑이란 그 이유만으로","사랑이란 그 이유만으로","Ian Chung",2024-10-18,254415,11,false,,1970-01-01T00:00:00Z,"인디 포크","Second Language Records",0.567,0.177,7,-16.355,1,0.0421,0.798,0.0103,0.522,0.153,126.632,4
spotify:track:1jk9CsxTfzgMeEbTB742wJ,"집에 가자","Stairs","스텔라장",2021-10-15,233520,33,false,,1970-01-01T00:00:00Z,"","GLG, JS MUSIC",0.747,0.345,0,-8.792,1,0.03,0.778,0.00000139,0.1,0.292,103.017,4
