Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7EXNaGJErtAHF7T8TToXww,"I Don't Know Anything But Love","Best Of Best","Shim Soo Bong",2005-11-01,180000,31,false,,1970-01-01T00:00:00Z,"K-발라드","Shim Soo Bong",0.362,0.463,3,-8.093,0,0.0367,0.768,0.000146,0.0544,0.323,83.852,4
spotify:track:3EN6dsVRR4PMgZ8bgdOJEk,"Sadness Of Love","Lee Chi Hyun & friends Complete Collection","이치현",1990-01-01,214831,32,false,,1970-01-01T00:00:00Z,"","Jigu Records",0.346,0.249,0,-17.212,0,0.0412,0.72,0.0000913,0.0838,0.341,173.872,4
spotify:track:5gqhaP5cEvTP4xpDpSjAI5,"Pungnean Ga","Lee Mi-ja's folk song album (Hong Hyun-Gul's arrangement Book)","이미자",1970-06-19,167482,20,false,,1970-01-01T00:00:00Z,"엔카","Jigu Records",0.46,0.222,7,-13.441,1,0.0292,0.811,0.0000508,0.163,0.496,83.278,5
spotify:track:5nSBcnvB8fbgu0xJLPYdkl,"내마음의 보석상자","사랑은 언제나 그자리에","해바라기",1986-04-15,245880,33,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.406,0.449,11,-8.361,0,0.0276,0.879,0.257,0.101,0.399,85.615,4
spotify:track:1kPHaUWQIFebAHGMiOXkkN,"Night of candel lights","Night of candel lights","Yang Hayoung;양하영",1988-06-29,248163,16,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.647,0.4,6,-11.564,0,0.0304,0.801,0.197,0.0817,0.173,119.53,4
spotify:track:4yJFAv7xVCVCeU5NTtNTvh,"Million roses","Hymn of Wish","Shim Soo Bong",2003-10-22,268560,24,false,,1970-01-01T00:00:00Z,"K-발라드","Shim Soo Bong",0.403,0.527,11,-8.259,0,0.0363,0.814,0.00118,0.26,0.573,81.757,4
spotify:track:0FIgjsljigrtOrQL6MRriN,"누구라도 그러하듯이","누구라도 그러하듯이","배인숙",1979-05-10,211546,27,false,,1970-01-01T00:00:00Z,"","RIAK",0.397,0.391,8,-10.463,0,0.0275,0.433,0,0.113,0.279,105.912,4
spotify:track:4z3caihObhWOAyuz0VIIIA,"봄비","Golden Best","이은하",1994-01-01,170133,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.432,0.415,7,-6.268,0,0.0276,0.86,0.000055,0.134,0.137,77.229,4
spotify:track:2xlgvZZNWLjavtD7W2SHYg,"gypsy Woman","Lee Chi Hyun & friends Complete Collection","이치현",1990-01-01,204289,33,false,,1970-01-01T00:00:00Z,"","Jigu Records",0.714,0.405,11,-13.772,0,0.0314,0.718,0.00664,0.0584,0.88,105.393,4
spotify:track:7LjG6CGvK9l5Knnj1Ew4BV,"어서 말을해","그날 이후","해바라기",1985-01-15,189306,24,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.422,0.412,11,-9.13,0,0.0283,0.769,0.845,0.091,0.491,147.619,4
spotify:track:6MddblGpeRgsxonb6KN1I0,"Binari","My Life Began to Shine","Shim Soo Bong",2018-06-15,260386,23,false,,1970-01-01T00:00:00Z,"K-발라드","Shim Soo Bong",0.292,0.317,0,-11.93,0,0.0334,0.926,0.000116,0.13,0.239,139.649,4
spotify:track:3XdkFtfkjqRhVV4lZ64Sv8,"미워요","골든앨범 그시절 그노래 50","Sim Soo Bong",1991-12-01,181666,20,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.58,0.482,2,-14.05,0,0.0622,0.617,0.0164,0.125,0.574,103.668,4
spotify:track:0QputQWTAg9shMxve11ON8,"이별","베스트 콜렉션","패티김",1991-05-01,227800,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.372,0.474,11,-9.892,1,0.0318,0.296,0.0000334,0.162,0.148,81.835,4
spotify:track:3BLv6BZs5Gf6PLOduIxKfQ,"휘파람을 부세요","37년","정미조",2016-02-24,226022,28,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.539,0.319,2,-9.835,0,0.0255,0.928,0.000595,0.131,0.153,76.023,4
spotify:track:3vgmumFWvFRNwiJmVsxFEB,"잃어버린 우산","대학가요제 Golden Best","Woo Soon Sil",1997-12-01,247533,22,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.514,0.515,7,-5.507,0,0.0286,0.565,0,0.129,0.415,139.55,4
spotify:track:7oopdmWdGa1b9OtnTK8DeI,"Rose of Sharon","Hesed, The Promise of Love","Shim Soo Bong",2014-01-06,236923,20,false,,1970-01-01T00:00:00Z,"K-발라드","Light Wave",0.212,0.369,9,-10.253,0,0.0313,0.879,0.000245,0.0953,0.124,80.74,4
spotify:track:5fDkXmyQ3tTmDHl9AkqirF,"세월가면","Original First Recording Best","이광조",2017-09-29,265040,21,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.257,0.449,4,-9.47,0,0.0358,0.615,0.000949,0.327,0.176,70.533,4
spotify:track:4mWGoXHiHAsdulRIn3hsPY,"사랑밖엔 난 몰라","골든앨범 그시절 그노래 50","Sim Soo Bong",1991-12-01,183960,23,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.483,0.287,3,-13.628,0,0.0353,0.718,0.0000227,0.0756,0.267,125.793,3
spotify:track:5NPLUq3lA0WiaTCaF8ltXW,"가을을 남기고간 사랑","가을을 남기고간 사랑/한줄기 사랑","패티김",1990-05-01,182800,28,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.412,0.293,8,-12.631,1,0.03,0.48,0.000849,0.0827,0.311,142.088,4
spotify:track:5HEsyxuhQ7SgBQ1lxe62N3,"그리움만 쌓이네","그리움만 쌓이네","여진",2000-02-16,251730,30,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.387,0.173,9,-10.298,1,0.0292,0.96,0,0.235,0.36,149.84,4
spotify:track:58epqjRXtbCa6e7k8C7qM4,"Then That Person","Best Of Best","Shim Soo Bong",2005-11-01,209453,19,false,,1970-01-01T00:00:00Z,"K-발라드","Shim Soo Bong",0.579,0.392,10,-10.474,0,0.0529,0.829,0.00000561,0.103,0.374,117.815,4
spotify:track:0H3tvSiwJ2YEzP1KmZSElR,"아직도 기억하고 있어요","37년","정미조",2016-02-24,192800,27,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.231,0.243,2,-10.066,1,0.0324,0.965,0.000421,0.104,0.099,88.089,3
spotify:track:1ysIpDcQ85ay2TXFW9s1ez,"내 마음 갈 곳을 잃어","불혹","최백호",2017-03-09,189216,26,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.379,0.278,7,-8.973,0,0.0487,0.493,0,0.084,0.0637,141.793,4
spotify:track:4RKIlDcOLzxWytDhLErZho,"울면서 후회하네","울면서 후회하네 / 빗물이야","주현미",1985-11-20,197933,18,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.449,0.272,7,-16.035,1,0.0303,0.422,0.00000516,0.0911,0.421,113.401,3
spotify:track:3lS8hdTzKw0xoorggWPMPM,"그 때 그 사람","대학가요제 Golden Best","Sim Soo Bong",1997-12-01,208866,23,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.614,0.574,10,-7.375,0,0.0294,0.562,0.000138,0.198,0.541,131.746,4
spotify:track:3F3i8HumLTaWS1bP2QpnE4,"Person in Moments","Hesed, The Promise of Love","Shim Soo Bong",2014-01-06,200568,20,false,,1970-01-01T00:00:00Z,"K-발라드","Light Wave",0.44,0.465,10,-8.798,0,0.0312,0.495,0.00000188,0.167,0.189,122.369,4
