Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1a3Ko5dtyuP1XVBHPbVrx6,"With You","Feel (Original TV Soundtrack)","Son Jichang;김민종",2020-11-06,203933,37,false,,1970-01-01T00:00:00Z,"K-발라드","WM Korea",0.696,0.666,2,-10.875,1,0.0293,0.0158,0.000995,0.0482,0.588,131.965,4
spotify:track:5ZRS1jfampQ4mVfNidYZfk,"3!4!","All System Go","룰라",1996-06-15,249420,45,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.809,0.937,7,-3.766,1,0.0733,0.167,0.0000109,0.0572,0.769,122.417,4
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,40,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:2bAMoEukdKb0Rk4u6IcUM3,"이밤이지나면","임재범1집","임재범",1991-01-01,250279,51,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.685,0.621,5,-8.877,1,0.0234,0.322,0.000075,0.0698,0.786,96.297,4
spotify:track:0SAgZ4I7m2LjM1znA1D6ox,"입영열차안에서","사랑일뿐야","Kim Minwoo",1990-02-10,232881,37,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.395,0.608,0,-11.693,0,0.036,0.409,0.0000969,0.0837,0.681,170.128,4
spotify:track:6Q3qUZHT9NUG60PchOZ4bI,"넌 언제나","넌 언제나","모노",1993-10-01,239853,35,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","morning",0.563,0.81,8,-6.234,1,0.0389,0.207,0.0000324,0.306,0.487,116.268,4
spotify:track:507GurK1J2BWxX5lp0HOzR,"사랑은 창밖에 빗물같아요","사랑은 창밖에 빗물같아요","양수경",1988-02-01,211983,39,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.672,0.442,9,-14.692,1,0.0288,0.694,0.00225,0.103,0.734,121.939,4
spotify:track:4AfuS3hTBd6ptS72KJummz,"One and a Half","Two Two One and a Half","TwoTwo;투투(Two Two)",1994-05-01,235826,42,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.76,0.73,6,-8.394,1,0.0251,0.249,0,0.0644,0.963,100.932,4
spotify:track:1buHqj9bKMLBXYBRvQUSV0,"여우야","The Classic 2","더 클래식",1995-10-01,272360,46,false,,1970-01-01T00:00:00Z,"K-발라드","캐슬뮤직",0.729,0.677,7,-9.03,1,0.0328,0.487,0.0227,0.0853,0.759,112.026,4
spotify:track:1blyIE0WgFpmxVvctPG6Ok,"여름 안에서","Best","듀스",1996-08-21,274626,39,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Beyond Music",0.749,0.81,8,-9.383,1,0.0374,0.135,0.000847,0.38,0.905,105.004,4
spotify:track:3VuQoOFwJdcQ5IOamXlWZa,"커플","Special","젝스키스",1998-10-03,250066,46,false,,1970-01-01T00:00:00Z,"케이팝,K-발라드","DSP media",0.793,0.88,7,-2.712,1,0.0319,0.0554,0.0000367,0.497,0.891,110.025,4
spotify:track:7GrgH8eGc1LIRXIjT1VFfp,"사랑일뿐야","사랑일뿐야","Kim Minwoo",1990-02-10,247170,42,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.389,0.265,7,-12.65,1,0.0264,0.408,0,0.33,0.111,137.693,4
spotify:track:3TiVCPJrFiBzpAverOkPL1,"소녀","3집 - 난 아직 모르잖아요","이문세",1985-11-20,220053,48,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.577,0.235,5,-13.24,1,0.0325,0.718,0.000173,0.103,0.175,127.818,4
spotify:track:5mCY172DdlbnXfXWoLINmF,"애송이의 사랑","애송이의 사랑","Yangpa",1997-11-01,220760,45,false,,1970-01-01T00:00:00Z,"K-발라드","신촌뮤직",0.52,0.554,6,-6.624,1,0.0302,0.759,0,0.1,0.302,143.882,4
spotify:track:373fb3tsAbcShtD2RZ8edv,"벌써 일년","Brown Eyes","브라운 아이즈",2001-06-01,207826,60,false,,1970-01-01T00:00:00Z,"K-발라드","CJ E&M MUSIC",0.72,0.73,8,-4.205,1,0.0237,0.19,0.00000344,0.192,0.55,104.017,4
spotify:track:2R49jFMrgIKV2ASFjJvnm3,"회상","산울림 제8집 - 새야 날아","산울림",1982-05-25,199133,39,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.648,0.438,2,-9.187,1,0.0299,0.671,0.000116,0.316,0.523,139.209,4
spotify:track:1Yh71bGWlW136ihjQJWHvh,"이별 아닌 이별","이별 아닌 이별","이범학",1991-08-20,211533,28,false,,1970-01-01T00:00:00Z,"K-발라드","morning",0.677,0.743,7,-8.972,1,0.039,0.194,0.00684,0.166,0.831,107.961,4
spotify:track:25bNurMXP64FqiLno4npS8,"동네","김현철 Vol.1 (오랜만에/동네)","김현철",1989-08-26,276373,36,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.704,0.455,5,-13.964,1,0.0534,0.0622,0.000967,0.301,0.74,98.911,4
spotify:track:3ZjdXmSOZW6fUq6veGfIq2,"눈물나는 날에는","푸른하늘 2집 (눈물나는 날에는)","Blue Sky",1989-07-01,308333,41,false,,1970-01-01T00:00:00Z,"K-발라드,비주얼계","Beyond Music",0.411,0.436,3,-11.575,1,0.0303,0.126,0.0000891,0.101,0.104,122.451,4
spotify:track:3Rtl3hU47q3TorqSI2ZwnH,"보랏빛향기","강수지 1집","강수지",1990-04-01,208431,38,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","신세계음향",0.79,0.558,6,-10.762,1,0.0443,0.213,0.0536,0.109,0.852,125.224,4
spotify:track:7tSt4Jbnml5l7MMWqxfx7f,"김밥","The Jadu 3","The Jadu",2003-05-15,225866,46,false,,1970-01-01T00:00:00Z,"K-발라드","위지스제이",0.609,0.856,1,-3.98,0,0.0339,0.0123,0.00503,0.0677,0.886,186.115,4
spotify:track:47mdByHmgWGDKOyKrVKp73,"이브의 경고","Jungle New Style","박미경",1995-07-22,252493,39,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.663,0.978,0,-2.623,1,0.0352,0.0601,0.00456,0.0784,0.62,136.374,4
spotify:track:4w5jHmaPBwNN2Q9rOuYHUC,"내 마음에 비친 내 모습","사랑하기 때문에","유재하",1987-08-20,293044,48,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.563,0.253,9,-13.514,1,0.032,0.229,0,0.136,0.232,120.282,4
spotify:track:6d6PKeGQpvvH4V8bLYwyfa,"그대안의 블루 (Duet With 이소라)","영화 그대안의 블루 OST","김현철;이소라",1994-03-01,215826,35,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드,케이팝","Beyond Music",0.423,0.273,9,-14.749,1,0.0301,0.252,0,0.148,0.139,119.702,4
spotify:track:2ghebdwe2pNXT4eL34T7pW,"그 아픔까지 사랑한거야","그 아픔까지 사랑한거야","조정현",1989-06-15,237688,47,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.447,0.214,10,-16.48,1,0.0273,0.565,0,0.0649,0.17,71.979,4
spotify:track:2VaqwzVK98GIDQXERrGkqW,"행복한 나를","에코(Eco) 2집(Voice Of Eco)","Eco",1997-08-01,278226,36,false,,1970-01-01T00:00:00Z,"K-발라드","MUSICDESIGN",0.745,0.548,5,-7.964,1,0.0328,0.461,0,0.191,0.387,132.01,4
spotify:track:2aAyFw5luE9dF10JJa8hNY,"잠못드는 밤 비는 내리고","Kim Gun Mo","김건모",1992-10-29,268186,44,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.693,0.788,2,-6.59,1,0.0558,0.0638,0,0.0273,0.755,93.98,4
spotify:track:1g4DYYt1NRY0fVxz8xK8tt,"날 위한 이별","날 위한 이별","김혜림",1994-10-01,260075,32,false,,1970-01-01T00:00:00Z,"K-발라드","ESJ Entertainment",0.503,0.413,0,-8.472,1,0.0293,0.726,0,0.0931,0.14,133.732,4
spotify:track:64cuomBVoSkO27t6hG4RSl,"흐린 가을 하늘에 편지를 써","김광석 다시 부르기 I","김광석",1993-02-03,284306,38,false,,1970-01-01T00:00:00Z,"K-발라드","With 33 Entertainment",0.548,0.312,7,-14.591,1,0.0301,0.057,0.000331,0.067,0.227,127.832,4
spotify:track:3aBkJjXgWGdvSEXNpVb11A,"시간속의향기","강수지2집","강수지",1990-05-01,223973,35,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.811,0.602,11,-10.665,0,0.0329,0.605,0.00000102,0.078,0.928,122.225,4
spotify:track:5SiLwTHvdUWGqH9vaTEUMF,"아마도 그건","최용준 2집 (거울이 되어/그대 눈빛)","Choi Yong Jun",1990-12-01,232600,31,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.592,0.358,2,-11.579,1,0.0319,0.365,0,0.101,0.176,134.018,4
spotify:track:6DgclwC2Us4WUXaOwtesYI,"인형의 꿈","좋아좋아","일기예보",1996-07-07,257799,51,false,,1970-01-01T00:00:00Z,"K-발라드","음제협",0.552,0.462,3,-6.136,1,0.0264,0.308,0,0.152,0.121,139.782,4
spotify:track:3QbNxxlLghOMje1U1X0Hvo,"슬픈 인연","Big 5","015B",1994-01-01,244509,39,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","다날(포이보스)",0.41,0.308,4,-13.273,1,0.0327,0.763,0,0.0808,0.29,130.008,4
spotify:track:35gsxb0rqBnLX7G3TwCulU,"너에게","Seotaiji and Boys II","서태지와 아이들",1993-06-21,277160,41,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.461,0.497,7,-7.514,1,0.0293,0.0475,0,0.113,0.237,149.85,4
spotify:track:1vGYF7tmd35FgZPC0t2G8r,"지난날","사랑하기 때문에","유재하",1987-08-20,314230,39,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.64,0.528,2,-10.305,1,0.0273,0.36,0,0.181,0.687,111.287,4
spotify:track:4rmW33jfL8Rqq2oZ0esAtM,"칵테일 사랑","칵테일 사랑","Maronnier",1994-03-01,234160,42,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.635,0.77,7,-8.305,1,0.029,0.0441,0,0.089,0.845,90.02,4
spotify:track:0G2to1KZwCBe4H0VJdSeDf,"슬픈 인연","유혹하지 말아요 1985","나미",1985-01-01,275043,38,false,,1970-01-01T00:00:00Z,"K-발라드","MG Media",0.308,0.466,9,-7.786,1,0.029,0.149,0,0.161,0.194,70.969,4
