Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4seRKk36VSoE2LsZskvYYg,"너만을 느끼며","NEW RELEASE","The Blue",1992-12-01,231306,30,false,,1970-01-01T00:00:00Z,"K-발라드","Kakao Entertainment",0.67,0.726,2,-10.925,1,0.0288,0.137,0,0.246,0.757,106.167,4
spotify:track:6Q3qUZHT9NUG60PchOZ4bI,"넌 언제나","넌 언제나","모노",1993-10-01,239853,35,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","morning",0.563,0.81,8,-6.234,1,0.0389,0.207,0.0000324,0.306,0.487,116.268,4
spotify:track:4AfuS3hTBd6ptS72KJummz,"One and a Half","Two Two One and a Half","TwoTwo;투투(Two Two)",1994-05-01,235826,42,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.76,0.73,6,-8.394,1,0.0251,0.249,0,0.0644,0.963,100.932,4
spotify:track:1buHqj9bKMLBXYBRvQUSV0,"여우야","The Classic 2","더 클래식",1995-10-01,272360,46,false,,1970-01-01T00:00:00Z,"K-발라드","캐슬뮤직",0.729,0.677,7,-9.03,1,0.0328,0.487,0.0227,0.0853,0.759,112.026,4
spotify:track:7GrgH8eGc1LIRXIjT1VFfp,"사랑일뿐야","사랑일뿐야","Kim Minwoo",1990-02-10,247170,42,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.389,0.265,7,-12.65,1,0.0264,0.408,0,0.33,0.111,137.693,4
spotify:track:2VaqwzVK98GIDQXERrGkqW,"행복한 나를","에코(Eco) 2집(Voice Of Eco)","Eco",1997-08-01,278226,36,false,,1970-01-01T00:00:00Z,"K-발라드","MUSICDESIGN",0.745,0.548,5,-7.964,1,0.0328,0.461,0,0.191,0.387,132.01,4
spotify:track:3ZjdXmSOZW6fUq6veGfIq2,"눈물나는 날에는","푸른하늘 2집 (눈물나는 날에는)","Blue Sky",1989-07-01,308333,41,false,,1970-01-01T00:00:00Z,"K-발라드,비주얼계","Beyond Music",0.411,0.436,3,-11.575,1,0.0303,0.126,0.0000891,0.101,0.104,122.451,4
spotify:track:373fb3tsAbcShtD2RZ8edv,"벌써 일년","Brown Eyes","브라운 아이즈",2001-06-01,207826,60,false,,1970-01-01T00:00:00Z,"K-발라드","CJ E&M MUSIC",0.72,0.73,8,-4.205,1,0.0237,0.19,0.00000344,0.192,0.55,104.017,4
spotify:track:5mCY172DdlbnXfXWoLINmF,"애송이의 사랑","애송이의 사랑","Yangpa",1997-11-01,220760,45,false,,1970-01-01T00:00:00Z,"K-발라드","신촌뮤직",0.52,0.554,6,-6.624,1,0.0302,0.759,0,0.1,0.302,143.882,4
spotify:track:2ghebdwe2pNXT4eL34T7pW,"그 아픔까지 사랑한거야","그 아픔까지 사랑한거야","조정현",1989-06-15,237688,47,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.447,0.214,10,-16.48,1,0.0273,0.565,0,0.0649,0.17,71.979,4
