Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1eBaezYjURwfv6WOkmJ607,"난 멈추지 않는다","잼 1집: 난 멈추지 않는다","Zam",1992-02-01,244854,28,false,,1970-01-01T00:00:00Z,"","㈜디에스피미디어",0.701,0.8,10,-8.364,0,0.107,0.387,0.00000388,0.356,0.597,108.83,4
spotify:track:5ZRS1jfampQ4mVfNidYZfk,"3!4!","All System Go","룰라",1996-06-15,249420,45,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.809,0.937,7,-3.766,1,0.0733,0.167,0.0000109,0.0572,0.769,122.417,4
spotify:track:0OxRmpJnl1hV1jHVH3V4me,"샴푸의 요정","빛과 소금","빛과 소금",1990-03-01,227306,42,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.752,0.545,2,-10.198,0,0.0244,0.221,0.0000492,0.0395,0.75,110.984,4
spotify:track:1blyIE0WgFpmxVvctPG6Ok,"여름 안에서","Best","듀스",1996-08-21,274626,39,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Beyond Music",0.749,0.81,8,-9.383,1,0.0374,0.135,0.000847,0.38,0.905,105.004,4
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,40,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:47mdByHmgWGDKOyKrVKp73,"이브의 경고","Jungle New Style","박미경",1995-07-22,252493,39,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.663,0.978,0,-2.623,1,0.0352,0.0601,0.00456,0.0784,0.62,136.374,4
spotify:track:4AfuS3hTBd6ptS72KJummz,"One and a Half","Two Two One and a Half","TwoTwo;투투(Two Two)",1994-05-01,235826,42,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.76,0.73,6,-8.394,1,0.0251,0.249,0,0.0644,0.963,100.932,4
spotify:track:2X8dHI8PeFg9h8iFwdfsEz,"날개 잃은 천사","날개 잃은 천사","룰라",1997-01-24,242341,43,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.846,0.921,9,-4.557,1,0.0898,0.0528,0.0000615,0.193,0.921,129.169,4
spotify:track:2tlLzYnwgfbFGZ63F0KYWz,"삐에로는 우릴 보고 웃지","삐에로는 우릴 보고 웃지","김완선",1990-12-01,206710,32,false,,1970-01-01T00:00:00Z,"시티 팝","케이더블유썬플라워엔터테인먼트",0.633,0.588,6,-12.066,0,0.039,0.524,0,0.312,0.909,206.037,4
spotify:track:068bOiQGiSATNe2kWMZKin,"나를 돌아봐","Deux","듀스",1993-04-23,227933,34,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Beyond Music",0.856,0.657,11,-12.89,0,0.0597,0.0428,0.000035,0.151,0.962,116.407,4
spotify:track:3Rtl3hU47q3TorqSI2ZwnH,"보랏빛향기","강수지 1집","강수지",1990-04-01,208431,38,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","신세계음향",0.79,0.558,6,-10.762,1,0.0443,0.213,0.0536,0.109,0.852,125.224,4
spotify:track:1gfc6WeaZ8rabkRTIt4Hvm,"너는 왜","철이와 미애","Chuli & Miae",1992-09-25,227800,29,false,,1970-01-01T00:00:00Z,"","노트뮤직",0.873,0.681,5,-12.553,0,0.109,0.0561,0,0.198,0.913,122.644,4
spotify:track:507GurK1J2BWxX5lp0HOzR,"사랑은 창밖에 빗물같아요","사랑은 창밖에 빗물같아요","양수경",1988-02-01,211983,39,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.672,0.442,9,-14.692,1,0.0288,0.694,0.00225,0.103,0.734,121.939,4
spotify:track:4iYW28u7mpxEokJT2zPGmp,"프로와 아마츄어","날개 잃은 천사","룰라",1997-01-24,226667,35,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.815,0.914,11,-6.055,0,0.0842,0.0165,0.000556,0.178,0.771,120.835,4
spotify:track:1XrfEfQj3x4XfIM1nxMJJW,"와","Let's Go To My Star","이정현",1999-10-08,212400,47,false,,1970-01-01T00:00:00Z,"","Pan Entertainment Co., Ltd.",0.758,0.996,8,-1.185,0,0.057,0.0161,0.143,0.27,0.753,140.977,4
spotify:track:0SAgZ4I7m2LjM1znA1D6ox,"입영열차안에서","사랑일뿐야","Kim Minwoo",1990-02-10,232881,37,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.395,0.608,0,-11.693,0,0.036,0.409,0.0000969,0.0837,0.681,170.128,4
spotify:track:1Yh71bGWlW136ihjQJWHvh,"이별 아닌 이별","이별 아닌 이별","이범학",1991-08-20,211533,28,false,,1970-01-01T00:00:00Z,"K-발라드","morning",0.677,0.743,7,-8.972,1,0.039,0.194,0.00684,0.166,0.831,107.961,4
spotify:track:50Flfamu7vjRXNnY5lWGF0,"늘 지금처럼","Impression","Lee Ye Rin",1996-02-01,247560,22,false,,1970-01-01T00:00:00Z,"뉴 잭 스윙","Kakao Entertainment",0.688,0.806,0,-7.054,1,0.0259,0.2,0.00000888,0.162,0.938,99.032,4
spotify:track:1vGYF7tmd35FgZPC0t2G8r,"지난날","사랑하기 때문에","유재하",1987-08-20,314230,39,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.64,0.528,2,-10.305,1,0.0273,0.36,0,0.181,0.687,111.287,4
spotify:track:3oiWco0alxrw4qtM9EO3nx,"연인","The Final 5집","룰라",1997-01-24,225584,32,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.784,0.952,2,-2.873,1,0.0796,0.178,0.00000633,0.228,0.96,136.415,4
spotify:track:6Q3qUZHT9NUG60PchOZ4bI,"넌 언제나","넌 언제나","모노",1993-10-01,239853,35,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","morning",0.563,0.81,8,-6.234,1,0.0389,0.207,0.0000324,0.306,0.487,116.268,4
spotify:track:7tSt4Jbnml5l7MMWqxfx7f,"김밥","The Jadu 3","The Jadu",2003-05-15,225866,46,false,,1970-01-01T00:00:00Z,"K-발라드","위지스제이",0.609,0.856,1,-3.98,0,0.0339,0.0123,0.00503,0.0677,0.886,186.115,4
spotify:track:0UqC7F1XzJUCugA7L3xTtk,"Sweety","4ever Feel So Good","샵",2001-02-21,211748,39,false,,1970-01-01T00:00:00Z,"K-발라드","월드뮤직",0.775,0.965,10,-2.711,0,0.0668,0.079,0.00007,0.0643,0.878,120.016,4
spotify:track:37EZHboPFZ19iwUJek2aR1,"열정(熱情)","유승준 3집(Now Or Never)","유승준",1999-04-15,233848,40,false,,1970-01-01T00:00:00Z,"","RIAK",0.788,0.992,9,-2.939,0,0.0601,0.0922,0.0000938,0.299,0.907,125.015,4
spotify:track:3aBkJjXgWGdvSEXNpVb11A,"시간속의향기","강수지2집","강수지",1990-05-01,223973,35,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.811,0.602,11,-10.665,0,0.0329,0.605,0.00000102,0.078,0.928,122.225,4
spotify:track:0kbYTOdPLl3Fydv6UbkojG,"세상에 뿌려진 사랑만큼 As Much As The Love Scattered","Always","이승환",1991-07-15,243093,41,false,,1970-01-01T00:00:00Z,"K-발라드","드림팩토리",0.753,0.585,9,-9.824,1,0.0251,0.309,0.0000318,0.0818,0.941,107.372,4
spotify:track:2VYLSWoSgHcWTOoJIKr5t5,"천생연분","솔리드(Solid) 3집(Light Camera Action!)","솔리드",1996-04-12,227630,37,false,,1970-01-01T00:00:00Z,"K-발라드","MUSICDESIGN",0.601,0.928,7,-7.442,1,0.0408,0.00836,0.505,0.152,0.674,133.998,4
spotify:track:7GrgH8eGc1LIRXIjT1VFfp,"사랑일뿐야","사랑일뿐야","Kim Minwoo",1990-02-10,247170,42,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.389,0.265,7,-12.65,1,0.0264,0.408,0,0.33,0.111,137.693,4
