Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5tnMhUVfxCSYfRE3o8Xi1i,"어제 만난 슈팅스타 Yesterday I Met a Shooting Star","후일담 Reminiscences","언니네 이발관",1998-12-01,311200,20,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:15:11Z,"한국 록","Stoneage Records",0.511,0.873,2,-6.346,1,0.0321,0.00749,0.00592,0.109,0.362,136.861,4
spotify:track:42OTaKIDWseqiU8qflqjap,"말달리자 Speed Up Losers","말달리자 Speed Up Losers","크라잉넛",1998-06-01,186000,29,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:15:17Z,"한국 록","Drug Records LSM",0.423,0.839,2,-6.652,1,0.102,0.00147,0.0000271,0.222,0.566,117.59,4
spotify:track:0fRKePr6Dc4uoHoTvgwsqo,"청춘 98 - 20th Anniv Version","20","노브레인",2016-11-17,201000,1,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:15:30Z,"한국 록","(주)록스타뮤직앤라이브",0.472,0.961,2,-2.198,1,0.0576,0.0319,0,0.417,0.638,103.814,4
spotify:track:3vHnKbm9tIvrNh20FddfAw,"춤","골든-힛트 모음집 [앵콜요청금지.]","브로콜리너마저",2012-06-22,242637,0,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:15:55Z,"한국 록,K-발라드","Studio broccoli",0.787,0.585,6,-7.4,0,0.0317,0.651,0.0125,0.336,0.341,109.91,4
spotify:track:5DypcKUjc5MGsrVPCUpsVX,"거울","Guckkasten","국카스텐",2010-04-20,280226,27,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:16:09Z,"한국 록","Kakao Entertainment",0.524,0.933,11,-2.509,0,0.0374,0.0138,0.0038,0.0234,0.902,150.015,4
spotify:track:0ZlIv0GSqYEKQK5Zf5cZTM,"파도","여름깃","새소년",2017-10-26,284250,0,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:16:28Z,"한국 록,일본 인디","Magicstrawberry Sound",0.605,0.803,9,-3.825,0,0.168,0.0261,0.291,0.0632,0.539,90.148,4
spotify:track:0gottliAdN7AKSd8M028RQ,"강아지","201 (Special Edition)","검정치마",2010-03-18,208466,37,true,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:16:36Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.54,0.936,4,-3.507,1,0.0734,0.018,0,0.337,0.704,131.932,4
spotify:track:745W6tNeXVKjskHoCsMJvV,"Antifreeze","201 (Special Edition)","검정치마",2010-03-18,243986,55,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:16:41Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.55,0.855,6,-4.7,1,0.0299,0.00408,0,0.2,0.336,127.961,4
spotify:track:0o29ZYfMkduYssRlefeb8s,"아름다운 것","가장 보통의 존재","언니네 이발관",2008-08-08,291253,38,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:16:46Z,"한국 록","blue boy",0.672,0.418,9,-8.892,1,0.0295,0.599,0.000545,0.0849,0.69,106.043,4
spotify:track:3uVoQCKWqqayAPfrujRjfR,"폭설","Another Secret","NASTYONA",2008-09-04,194053,33,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:17:29Z,"시부야계","Soul Part",0.594,0.776,9,-4.988,0,0.0286,0.433,0.312,0.432,0.655,121.97,4
spotify:track:672P0Z6SZ2tdPQhz9bfUaU,"깊은 밤 안개 속 A Heavy Night Fog","Nine Days or a Million","3호선 버터플라이",2009-11-19,293440,15,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:18:01Z,"한국 록","Southpole Sound Lab",0.64,0.494,4,-8.559,1,0.0356,0.513,0.00000111,0.11,0.221,112.002,4
spotify:track:4kP3DptyJOk9RvFEBOtEl8,"서울역에서 출발","청파소나타","JEONGMILLA",2020-10-22,323500,13,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:18:11Z,"","Geumbanji Records",0.727,0.304,4,-10.353,1,0.054,0.674,0.0000171,0.114,0.477,140.004,4
spotify:track:2OQ631iKFenCfXRgdrJUXO,"안드로메다 Andromeda","2012","무키무키만만수",2012-04-24,91693,19,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:18:23Z,"안티 포크","Beatball Music Group",0.479,0.795,5,-3.752,1,0.0652,0.103,0.565,0.0747,0.934,160.852,4
spotify:track:5tykC60D2o26mvSktGqfgx,"거짓말","Beautiful Violet","뷰렛",2007-05-11,259706,0,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:18:50Z,"한국 록","Beyond Music",0.582,0.755,7,-3.383,1,0.0536,0.0415,0,0.116,0.409,124.963,4
spotify:track:20tWEsVsKU6FfzXGt4IOuV,"고백","Espresso","DELISPICE",2003-01-24,323531,55,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:18:58Z,"K-발라드,한국 록","오감엔터테인먼트",0.473,0.644,6,-4.447,1,0.027,0.0588,0,0.0942,0.24,79.617,4
spotify:track:2L1d8klSiq0dhndAszGWuO,"챠우챠우-아무리 애를 쓰고 막아 보려 해도 너의 목소리가 들려","델리스파이스(Deli Spice) 1집(Deli Spice)","DELISPICE",1997-08-01,269514,49,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:19:09Z,"K-발라드,한국 록","MUSICDESIGN",0.464,0.765,6,-8.407,1,0.048,0.0111,0.0000141,0.205,0.235,114.841,4
spotify:track:0rIs7Dkv0cW3DtnBdH22fs,"노인 구국결사대","Espresso","DELISPICE",2003-01-24,129076,13,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:19:26Z,"K-발라드,한국 록","오감엔터테인먼트",0.427,0.959,9,-4.088,1,0.0449,0.0032,0.00362,0.124,0.691,163.456,4
spotify:track:3dRjgD726V3FTob1r2Mk3s,"날개","비선형","Mot",2004-06-18,207633,33,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:19:37Z,"한국 록","Motmusic",0.716,0.0768,9,-20.35,0,0.0462,0.958,0.275,0.101,0.206,77.929,4
spotify:track:7bTLVzZBoZFQSV7nUip1Do,"청승고백 Plaintive Confession","후일담 Reminiscences","언니네 이발관",1998-12-01,448533,9,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:19:43Z,"한국 록","Stoneage Records",0.57,0.622,9,-6.364,0,0.0263,0.1,0.00591,0.1,0.146,128.053,4
spotify:track:1yMRHLZiZF3dcs6SBXrUWb,"Cold Blood","비선형","Mot",2004-06-18,219373,22,false,8cnebifwal6ck5rst2zynmrci,2023-09-25T23:19:50Z,"한국 록","Motmusic",0.564,0.487,11,-8.608,0,0.0278,0.149,0.127,0.116,0.359,160.104,4
