Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1OzCTRwO4znqWZsPJZpRSt,"Endless","소품집 : 해룡의 Sad Love Story","플라워",2001-08-21,255555,0,false,sims1509,2021-09-15T04:41:31Z,"K-발라드,한국 록","오감엔터테인먼트",0.45,0.594,0,-5.458,1,0.028,0.244,0,0.242,0.282,73.826,4
spotify:track:4DSuNseoQlb4X4sGamoxWP,"눈물","Tears...","플라워",1999-09-01,285361,40,false,sims1509,2021-09-15T04:41:31Z,"K-발라드,한국 록","오감엔터테인먼트",0.513,0.473,0,-5.515,1,0.0259,0.699,0,0.0926,0.249,76.357,4
spotify:track:40WUDKRTXlGr2hg8ARrnFu,"Please - 고유진 Song Version","소품집 : 해룡의 Sad Love Story","플라워",2001-08-21,232150,0,false,sims1509,2021-09-15T04:41:31Z,"K-발라드,한국 록","오감엔터테인먼트",0.443,0.476,7,-6.602,1,0.0279,0.13,0,0.169,0.121,139.529,4
spotify:track:5pHYQ1TuV7Ye5WWYcAxFjE,"Lonely Night","Color","부활",2011-06-20,218592,44,false,sims1509,2021-09-15T04:41:31Z,"K-발라드,한국 록","부활 엔터테인먼트",0.452,0.868,6,-4.374,1,0.0508,0.00109,0.00000146,0.414,0.432,96.879,4
spotify:track:5amgK2rjUTSyXS1q1IUNR8,"내가 너의 곁에 잠시 살았다는 걸","토이2집-YOUHEEYEOL","김연우",1996-03-01,312229,0,false,sims1509,2021-09-15T04:41:31Z,"K-발라드","신나라뮤직",0.525,0.373,9,-6.802,0,0.0267,0.595,0,0.254,0.0768,131.922,4
spotify:track:52p5RtEaTXx1u1udrx8Fqr,"다시 사랑한다 말할까","기억속의 멜로디","김동률",2012-09-05,287741,47,false,sims1509,2021-09-15T04:41:31Z,"K-발라드","다날엔터테인먼트",0.532,0.54,2,-8.434,1,0.0315,0.176,0.00000503,0.298,0.243,139.975,4
spotify:track:2fQdvi7IsZ8SpowaXXyOPV,"시작되는 연인들을 위해","이원진","이원진",1994-01-01,239240,0,false,sims1509,2021-09-15T04:41:31Z,"K-발라드","쿠킹뮤직",0.503,0.518,0,-7.744,1,0.0346,0.442,0,0.103,0.303,76.121,4
spotify:track:6ketqdsMdVIS8BSNIZEtnk,"조조할인","독창회 Ⅱ 1981~2002 (Live)","이문세",2003-05-24,238693,28,false,sims1509,2021-09-15T04:41:31Z,"K-발라드","M studio",0.503,0.578,0,-7.315,1,0.0367,0.406,0,0.107,0.417,132.81,4
spotify:track:0WSS3DmpxUIxrbLK6ETXTu,"정","1집-정","YTC",1996-08-01,230791,42,false,sims1509,2021-09-15T04:41:31Z,"K-발라드","오감엔터테인먼트",0.747,0.927,2,-6.127,1,0.0475,0.0359,0.0000821,0.224,0.971,133.019,4
spotify:track:4S1DHRXeVin5COOFAyFHIM,"마지막 승부","Good Time","김민교",2005-10-06,219454,22,false,sims1509,2021-09-15T04:41:31Z,"K-발라드","오감엔터테인먼트",0.518,0.88,9,-3.848,0,0.0397,0.0414,0.0000302,0.341,0.392,143.882,4
