Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2dkFx49dfYOSxFxPEDUa3o,"Malibu","Malibu","맥거핀  ",2022-08-02,165386,25,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:53:14Z,"한국 록","맥거핀 (MGFF)",0.65,0.978,8,-1.766,1,0.0973,0.0426,0,0.324,0.517,120.006,4
spotify:track:10ghh7XuPOiqW24K8HTu9r,"좋지 아니한가","그레이트 서울 인베이전 Semi Final","유다빈밴드",2022-09-29,212746,50,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:53:42Z,"한국 록,K-발라드","MPMG MUSIC",0.343,0.832,10,-2.232,1,0.125,0.0353,0.0000222,0.0976,0.225,95.123,4
spotify:track:6YrGilVIsj6fzslV8d2PKy,"FILM","FILM","나상현씨밴드",2022-08-23,216296,13,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:53:50Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.343,0.903,4,-4.635,1,0.0596,0.0000242,0.00029,0.421,0.312,162.051,4
spotify:track:2pz1e16Fx98CRuF6Qx8Xmq,"로마네스크","계몽","THORNAPPLE",2019-07-04,268426,41,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:54:00Z,"한국 록","Happy Robot Records",0.481,0.76,8,-4.68,0,0.0367,0.323,0.000194,0.0966,0.758,172.111,4
spotify:track:41y7eDk8h4W2S8fwmhJs7E,"월드투어","LOVE SAND","Bosudongcooler;hathaw9y",2022-08-09,201400,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:54:06Z,"한국 록","Bosudongcooler X Hathaw9y",0.602,0.656,2,-5.81,0,0.0408,0.188,0.00000219,0.116,0.669,89.84,4
spotify:track:0ZnSRfXEfg5PpgY9WtJrXO,"수성의 하루","계몽","THORNAPPLE",2019-07-04,310773,37,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:54:28Z,"한국 록","Happy Robot Records",0.345,0.858,1,-2.964,0,0.047,0.0182,0.0000256,0.217,0.546,118.062,4
spotify:track:69ipqZWSTwadx4v2VMeDo8,"Tree","삭 (SAK)","OWALLOIL",2021-09-28,217397,27,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:54:34Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.615,0.889,4,-4.054,1,0.0329,0.206,0.00000222,0.185,0.701,99.992,4
spotify:track:4khZdbCOLPH5qBl3oV6Ksw,"날 선","Today From Past Days","Low Hanging Fruits",2022-04-14,220125,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:54:39Z,"한국 록","Fruit Shop",0.646,0.581,2,-4.803,1,0.0264,0.546,0.0000595,0.109,0.312,94.959,4
spotify:track:2laLy2MXwiv1uTeyDa2PvP,"잔","HOME","O.O.O",2016-01-25,260000,27,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:54:43Z,"한국 록","케스뮤직컴퍼니, 파스텔뮤직",0.714,0.777,10,-2.768,0,0.048,0.0443,0.00000704,0.184,0.585,120.011,4
spotify:track:3ksQ8YO4mOIU57mol8xVEQ,"골목길이 끝나는 곳","PLAYGROUND","O.O.O",2018-12-04,202000,20,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:54:56Z,"한국 록","NOL Entertainment",0.659,0.933,11,-4.432,0,0.131,0.047,0.036,0.138,0.404,130.036,4
spotify:track:6e9W7Eo6I34JgJW5ZiXz26,"GO!DO!RIGHT!","블루","O.O.O",2022-08-12,242000,12,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:55:57Z,"한국 록","BORDERLINE",0.373,0.699,9,-1.818,1,0.0481,0.00235,0.00000595,0.141,0.695,160.186,4
spotify:track:0BZmXwyC0eHCibMnsiS4sp,"오디세이","여명","Hangronan",2021-11-15,232810,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:56:03Z,"한국 록","행로난",0.379,0.754,11,-4.915,0,0.0399,0.0266,0.0000806,0.281,0.585,169.94,4
spotify:track:0pZ8Y9fgNWVukHGF441xqA,"WYA","MOIM","맥거핀  ",2023-01-19,202653,9,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:56:06Z,"한국 록","맥거핀 (MGFF)",0.708,0.698,6,-4.129,0,0.171,0.243,0,0.0609,0.471,171.962,4
spotify:track:60zVQIWNBAs6SXBQrRCXsY,"허공꽃","여명","Hangronan",2021-11-15,196911,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:56:09Z,"한국 록","행로난",0.557,0.637,9,-3.868,1,0.0386,0.241,0.00000143,0.265,0.563,117.891,4
spotify:track:5CievkVz0QepORWuOsFHiu,"SURPRISE!","MONKEY HOTEL","잔나비",2016-08-04,202000,35,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:56:32Z,"K-발라드,한국 록","PEPONI MUSIC",0.447,0.776,2,-3.415,1,0.0344,0.229,0.00026,0.225,0.491,163.94,4
spotify:track:5sbj0LrUTByRgErDLnKnAO,"Cherry","HEADACHE.","데이먼스 이어 Damons year",2021-01-28,196967,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:56:49Z,"K-발라드","Akashic Records",0.605,0.56,5,-4.481,1,0.0448,0.261,0,0.18,0.494,135.783,3
spotify:track:3yGjAIrwzaGS3URe8Wum7T,"Abduvida (Moneygun)","MUFFY","맥거핀  ",2018-06-29,206306,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:56:58Z,"한국 록","WM Korea",0.782,0.686,11,-6.023,0,0.0315,0.0634,0.00000181,0.137,0.84,114.038,4
spotify:track:1lTx7lePhKcMmQjvtT9pGy,"Tonight","MUFFY","맥거핀  ",2018-06-29,205764,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:57:05Z,"한국 록","WM Korea",0.59,0.76,8,-4.447,0,0.0391,0.163,0,0.0953,0.593,111.883,4
spotify:track:7BmWxlxcviJDgnzvzm1DFy,"초신성","유명 : LIFE","Hangronan",2022-11-29,179626,25,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:57:33Z,"한국 록","Hangronan",0.564,0.801,11,-4.252,1,0.042,0.0107,0.0000723,0.0619,0.717,164.959,4
spotify:track:6nktNn9UfpR0t2uG9iL5M8,"낭만파A.I.","핑크 무비 감독판","Crystal Tea",2021-04-21,217586,15,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:58:00Z,"한국 록","Crystal Tea",0.273,0.863,9,-2.713,1,0.0526,0.0124,0.000142,0.156,0.495,175.977,4
spotify:track:2rmG2IyLxt9AhjWWPL0zgA,"샛별","HEADACHE.","데이먼스 이어 Damons year",2021-01-28,107169,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:58:41Z,"K-발라드","Akashic Records",0.448,0.263,7,-8.822,1,0.0285,0.945,0.00115,0.181,0.769,144.084,3
spotify:track:0J4voWn8sm2nwRbKqvwuls,"Hero","Hero","creespy",2022-05-24,176625,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-01T14:58:50Z,"한국 록","creespy",0.73,0.455,4,-9.183,1,0.0439,0.394,0.0000544,0.0847,0.641,104.978,4
spotify:track:4BW4E5kn6EP1dLFXbidn19,"기린","계몽","THORNAPPLE",2019-07-04,212826,29,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-04T11:25:07Z,"한국 록","Happy Robot Records",0.388,0.888,7,-3.908,1,0.0527,0.0124,0.000011,0.0967,0.535,168.123,4
spotify:track:48JjpKbGmbCLFw8eYN64x6,"Highlight","그레이트 서울 인베이전 Section 2","TOUCHED",2022-08-18,219320,41,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-04T11:26:22Z,"한국 록","MPMG MUSIC",0.466,0.715,11,-3.948,0,0.0576,0.00274,0.00735,0.324,0.253,100.025,4
spotify:track:4fT7gfr7zYD0V6E1IfFJFG,"미로","Fluke","Electriceels",2016-05-19,265000,33,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-04T11:26:30Z,"한국 록","전기뱀장어",0.402,0.727,4,-3.902,1,0.028,0.0272,0.00000376,0.109,0.275,170.035,4
spotify:track:5x10QpbGDx31JOr82oWnqj,"21세기의 어떤 날","Beginner's Luck","페퍼톤스",2012-04-24,252866,27,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-04T11:26:50Z,"시부야계,한국 록","Don't Stop the Music",0.339,0.838,4,-5.358,0,0.0517,0.00231,0,0.467,0.556,170.54,4
spotify:track:2T5YVtQspCHTAgk392GHNS,"러브앤피스","Beginner's Luck","페퍼톤스",2012-04-24,333666,18,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-04T11:26:59Z,"시부야계,한국 록","Don't Stop the Music",0.616,0.834,7,-4.86,1,0.0547,0.0167,0.0074,0.091,0.603,112.933,4
spotify:track:5fgNE9JusosZULPTh9uSti,"Wish","Wish","OWALLOIL",2023-03-11,164522,34,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-11T12:07:45Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.633,0.861,4,-3.39,1,0.0433,0.126,0.0000428,0.318,0.569,119.962,4
spotify:track:6qNNzobBawHyzV749oYFRp,"Stupid Boy","Mannequin","9001",2022-10-20,167707,15,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-11T12:07:58Z,"한국 록","AMUSE ENTERTAINMENT",0.878,0.601,8,-7.192,0,0.0476,0.151,0,0.169,0.963,145.067,4
spotify:track:6RKwiWyzIyr9YKJp5BVjo2,"자취방","Room Vol.1","이무진",2022-06-23,217160,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-11T12:37:37Z,"K-발라드","BIGPLANETMADE, SWING ENTERTAINMENT",0.741,0.357,8,-9.02,1,0.0319,0.841,0,0.29,0.7,107.955,4
spotify:track:3skm7578EkNlRmOkdeJiyl,"우주비행사","Room Vol.1","이무진",2022-06-23,129065,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-11T12:43:50Z,"K-발라드","BIGPLANETMADE, SWING ENTERTAINMENT",0.828,0.499,10,-7.159,1,0.0454,0.434,0,0.0902,0.68,100.043,4
spotify:track:6EGAM4UTKM6yr5sMFJE5KM,"가을목이","그때는 왜 몰랐을까","소란",2010-08-19,177560,22,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-12T14:50:04Z,"한국 록","SORAN",0.7,0.834,2,-6.164,1,0.0498,0.09,0.00000313,0.102,0.802,137.963,4
spotify:track:2k2nVKSkJ6ZGIRpo3jb8M5,"오리엔탈 디스코 특급","The Golden Age Revisited","Sultan of the Disco",2019-04-16,250500,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-06-12T14:58:22Z,"한국 록,시티 팝","BGBG Records",0.727,0.823,3,-4.718,1,0.063,0.0163,0.00000127,0.333,0.911,120.015,4
spotify:track:7ndWQhT9RZ4P8WYTe7VGBF,"각자의 밤","각자의 밤","나상현씨밴드",2019-01-18,235836,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-08-26T17:23:03Z,"한국 록","Band Nah",0.553,0.773,2,-2.165,1,0.0271,0.0956,0,0.112,0.66,92.016,4
spotify:track:4tExRFqIXIAHKp0DpODvjy,"Bucket List","MUFFY","맥거핀  ",2018-06-29,192337,2,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-08-26T17:23:11Z,"한국 록","WM Korea",0.718,0.797,7,-4.463,1,0.0495,0.0841,0,0.0878,0.77,112.006,4
spotify:track:655nHBvIfHnrr3mLLfRDbo,"Michelle","Michelle","HeMeets",2020-12-28,188791,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-08-26T17:25:03Z,"한국 록","Hckman Records",0.778,0.621,6,-6.701,0,0.0318,0.185,0.000436,0.0727,0.702,104.02,4
spotify:track:3VyhNQNqtEtx26ZmR2Mr6z,"사라지는 꿈","Aliens","Sultan of the Disco",2018-10-30,257250,37,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-09-02T22:53:25Z,"한국 록,시티 팝","붕가붕가레코드, CJ문화재단",0.777,0.628,2,-4.657,0,0.0311,0.137,0.0000249,0.101,0.664,110.015,4
spotify:track:641mffMtAHVcWP4c8emiKw,"One Two Three","Share","소란",2018-12-06,194455,19,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-09-24T15:16:03Z,"한국 록","Happy Robot Records",0.781,0.557,10,-5.565,1,0.0526,0.415,0,0.184,0.83,99.979,4
spotify:track:4nXbMeiYZCMxl2B7NvxLdR,"긴 꿈","긴 꿈","새소년",2017-06-20,258420,0,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-09-24T15:16:13Z,"한국 록,일본 인디","Magicstrawberry Sound",0.644,0.609,9,-4.498,1,0.0379,0.191,0.0000432,0.0714,0.65,128.01,4
spotify:track:66UcQu5LBo2A7AC0A5r0lI,"위잉위잉","20","혁오",2014-09-18,194866,59,false,31s24ihkxuurl6prfhrrqxmz5sh4,2023-09-24T15:16:21Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.7,0.696,7,-5.356,1,0.0525,0.262,0,0.107,0.293,124.825,4
