Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2cTK5kS6aPYBNdhUQCzFN7,"Square (2017)","Every letter I sent you.","백예린",2019-12-10,261762,56,false,,2024-04-04T20:09:20Z,"K-발라드","Blue Vinyl",0.504,0.79,8,-5.254,1,0.0399,0.0633,0,0.26,0.528,99.916,4
spotify:track:6z1kLsntE7FuzKZHZWrXYN,"instagram","instagram","DEAN",2017-12-26,255728,65,false,,2024-04-04T20:09:20Z,"한국 랩,케이팝","Universal Music Ltd.",0.463,0.566,8,-6.195,1,0.145,0.196,0,0.284,0.219,93.921,4
spotify:track:6TBJkXHPhu3EsMk1bshwuI,"ONLY","4 ONLY","이하이",2021-09-09,240906,77,false,,2024-04-04T20:09:20Z,"K-발라드,케이팝","Genie Music Corporation, Stone Music Entertainment",0.536,0.296,5,-7.451,1,0.0346,0.892,0,0.0873,0.151,122.907,3
spotify:track:3rQmTAyMDDZ73rMyhLkn98,"DANCE","boy.","offonoff",2017-07-24,219034,53,false,,2024-04-04T20:09:20Z,"한국 랩","OFFONOFF",0.805,0.393,3,-6.976,0,0.0339,0.717,0.00000656,0.105,0.407,89.03,4
spotify:track:0lYtIvI7bO51PZSeK22Mbz,"눈, 코, 입","RISE","태양",2014-06-03,229989,70,false,,2024-04-04T20:09:20Z,"케이팝","YG Entertainment",0.63,0.516,0,-5.759,1,0.0379,0.736,0,0.264,0.254,143.786,4
spotify:track:0wnSAKtD7n2Z5uOZcu0Obr,"그건 아마 우리의 잘못은 아닐거야","Our love is great","백예린",2019-03-18,233003,49,false,,2024-04-04T20:09:20Z,"K-발라드","JYP Entertainment",0.273,0.604,5,-6.517,1,0.0787,0.763,0.0000931,0.168,0.625,191.726,4
spotify:track:2jiI8bNSDu7UxTtDCOqh3L,"21","130 Mood : TRBL","DEAN",2016-03-25,207129,59,false,,2024-04-04T20:09:20Z,"한국 랩,케이팝","Universal Music Ltd.",0.686,0.73,6,-5.673,0,0.153,0.18,0,0.341,0.576,109.93,4
spotify:track:0g1AmSKokPboFrxmG1dxKx,"썸 (feat. 릴보이)","썸","소유;정기고;릴보이",2014-02-07,211374,67,false,,2024-04-04T20:09:20Z,"K-발라드,케이팝,한국 랩","Starship Ent.",0.738,0.676,11,-3.025,0,0.0507,0.446,0,0.253,0.961,95.04,4
spotify:track:7saJl9V0kRYGWuyeURHYNU,"양화대교","Yanghwa BRDG","Zion.T",2014-09-22,229349,55,false,,2024-04-04T20:09:20Z,"한국 랩,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.539,0.436,3,-8.73,0,0.0504,0.726,0,0.151,0.37,87.111,4
spotify:track:7svHY5rTJ1Aotj6sDsDgdV,"With Coffee…","Brown Eyes","브라운 아이즈",2001-06-01,215840,49,false,,2024-04-04T20:09:20Z,"K-발라드","CJ E&M MUSIC",0.766,0.745,1,-2.735,1,0.0239,0.165,0.00000235,0.19,0.715,108.007,4
spotify:track:0i2XXofKXlXbZ2sjnh06Jj,"우주를 건너","FRANK","백예린",2015-11-30,247173,50,false,,2024-04-04T20:09:20Z,"K-발라드","JYP Entertainment",0.395,0.564,5,-5.477,0,0.148,0.664,0,0.0998,0.45,185.628,4
spotify:track:2p980qlVXYLh3HdHusbhfa,"풀어","130 Mood : TRBL","DEAN;지코",2016-03-25,211972,59,true,,2024-04-04T20:09:20Z,"한국 랩,케이팝","Universal Music Ltd.",0.89,0.501,5,-5.562,0,0.0589,0.0958,0,0.103,0.758,126.949,4
spotify:track:0Ss0kgHzdnZvLRaJD3UPJM,"With Me","YG Family 10주년 기념 앨범 'YG 10TH'","휘성",2006-09-01,211293,26,false,,2024-04-04T20:09:20Z,"K-발라드","YG Entertainment",0.617,0.713,0,-4.792,0,0.046,0.295,0,0.321,0.655,86.033,4
spotify:track:79zakrunWiO9JLOJNfcDuJ,"My Story","The Wind, The Sea, The Rain","브라운 아이드 소울",2007-10-30,278173,37,false,,2024-04-04T20:09:20Z,"K-발라드","CJ E&M MUSIC",0.6,0.589,5,-5.139,1,0.0358,0.339,0.00000155,0.0809,0.454,133.952,4
spotify:track:3yUNSNlU0h7ag5DTABjr2a,"가끔","Crush on You","Crush",2014-06-05,263644,50,false,,2024-04-04T20:09:20Z,"한국 랩,케이팝,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.662,0.588,11,-4.704,0,0.146,0.194,0,0.0735,0.634,91.952,4
spotify:track:1WKoaRdUQGSoo8qfiWc1dT,"비오는 압구정","Reason 4 breathing?","브라운 아이즈",2002-11-01,216373,38,false,,2024-04-04T20:09:20Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.775,0.631,11,-9.68,0,0.0281,0.207,0.00451,0.164,0.69,110.011,4
spotify:track:5mCY172DdlbnXfXWoLINmF,"애송이의 사랑","애송이의 사랑","Yangpa",1997-11-01,220760,45,false,,2024-04-04T20:09:20Z,"K-발라드","신촌뮤직",0.52,0.554,6,-6.624,1,0.0302,0.759,0,0.1,0.302,143.882,4
spotify:track:7AoK7YuZ5sQYtPofTFElIE,"I'm Not Sorry","I'm Not Sorry","DEAN;Eric Bellinger",2015-07-07,209095,58,false,,2024-04-04T20:09:20Z,"한국 랩,케이팝","Universal Music Ltd.",0.577,0.751,3,-4.352,0,0.0356,0.000727,0,0.102,0.506,129.014,4
spotify:track:1WT5I6vlWjYW2cnhR1UkVA,"Shut Up & Groove","And July","헤이즈;DEAN",2016-07-18,199281,46,false,,2024-04-04T20:09:20Z,"K-발라드,케이팝,한국 랩","Genie Music Corporation",0.655,0.665,7,-4.785,1,0.036,0.0859,0,0.122,0.531,112.831,4
spotify:track:35fj3t29nIWf8JiZc7Jz0j,"어제처럼","In Love","제이",2000-04-01,249106,39,false,,2024-04-04T20:09:20Z,"K-발라드","음제협",0.566,0.619,4,-7.79,1,0.058,0.626,0,0.204,0.54,136.146,4
spotify:track:373fb3tsAbcShtD2RZ8edv,"벌써 일년","Brown Eyes","브라운 아이즈",2001-06-01,207826,60,false,,2024-04-04T20:09:20Z,"K-발라드","CJ E&M MUSIC",0.72,0.73,8,-4.205,1,0.0237,0.19,0.00000344,0.192,0.55,104.017,4
spotify:track:4ppKRxity3jJd2hGoVyD4u,"No Make Up","No Make Up","Zion.T",2015-10-12,189154,61,false,,2024-04-04T20:09:20Z,"한국 랩,K-발라드","Stone Music Entertainment",0.731,0.402,9,-5.066,1,0.0556,0.411,0,0.217,0.515,92.255,4
spotify:track:0LBeVhd82bHcyOc0SrIoig,"Love Ballad","Browneyed Soul","브라운 아이드 소울",2010-11-25,301026,43,false,,2024-04-04T20:09:20Z,"K-발라드","Long Play Music",0.435,0.522,4,-5.713,1,0.0444,0.449,0,0.109,0.291,173.923,3
spotify:track:6HkeCtEHZSDReE5EEvjv2J,"그대 떠난 뒤 (with 브라운 아이드 소울)","Back To The Soul Flight","나얼",2005-01-08,337946,32,false,,2024-04-04T20:09:20Z,"K-발라드","CJ E&M MUSIC",0.654,0.509,8,-8.655,1,0.0392,0.627,0.0000372,0.352,0.473,80.018,4
spotify:track:6G4z9WbxyEeWdEQTfShACT,"한숨","SEOULITE","이하이",2016-03-09,288915,59,false,,2024-04-04T20:09:20Z,"K-발라드,케이팝","YG Entertainment",0.616,0.251,8,-8.454,1,0.038,0.803,0,0.079,0.356,123.802,4
