Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2VBQqRRGd7tDSTaR49vLPX,"홍시","나훈아 - 40주년 기념 특별 기획음반","나훈아",2018-02-05,262133,30,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.625,0.631,4,-5.263,1,0.0482,0.288,0.000057,0.0981,0.298,86.976,4
spotify:track:1kPHaUWQIFebAHGMiOXkkN,"Night of candel lights","Night of candel lights","Yang Hayoung;양하영",1988-06-29,248163,16,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.647,0.4,6,-11.564,0,0.0304,0.801,0.197,0.0817,0.173,119.53,4
spotify:track:2vuVqMRCZg1xQXUm1v4wMP,"빈잔","가요앨범 박춘석 전곡집 1","남진",2010-03-01,185133,22,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.258,0.346,1,-11.561,0,0.0466,0.926,0.0447,0.23,0.337,82.28,5
spotify:track:2HgCqQXfsqZ1QLuA1wGuaB,"가시","2023강문경 싱글앨범 (그놈,가시)","강문경",2023-09-07,191346,11,false,,1970-01-01T00:00:00Z,"","RIAK",0.418,0.559,3,-5.1,0,0.0323,0.366,0,0.0989,0.363,72.731,3
spotify:track:5UdygzfgxuIGylnL0X6Jr6,"비내리는 영동교","주현미 신곡","Joo Hyun Mi",1991-01-29,153800,18,false,,1970-01-01T00:00:00Z,"","오아시스레코드 뮤직컴퍼니",0.518,0.332,8,-10.107,1,0.0412,0.471,0,0.215,0.431,85.084,3
spotify:track:6dGaNwluxq2QLUDTrfUUlE,"내 삶을 눈물로 채워도","나훈아 빅히트 40곡 (나훈아 전곡 모음집)","나훈아",2018-02-05,250466,31,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.394,0.472,8,-7.11,1,0.0324,0.307,0.0000238,0.175,0.232,148.027,4
spotify:track:3nozYM4IPQ7lR2oy8gjEbB,"훨훨훨","빙빙빙","김용임",2009-04-10,224000,24,false,,1970-01-01T00:00:00Z,"","김용임",0.358,0.679,10,-4.279,0,0.0387,0.536,0.0000107,0.123,0.273,69.882,4
spotify:track:4luHr79UtHisg9iTbAY9C6,"남자라는 이유로","남자라는 이유로 / 꽃이 된 여자","조항조",1997-03-01,221387,28,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.51,0.563,1,-7.333,1,0.0294,0.477,0,0.0931,0.488,133.721,4
spotify:track:4j24qHyMUi2NcAEseG1CUl,"모르리","모르리","남진",2002-01-01,216213,18,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.489,0.418,5,-9.756,1,0.0304,0.0725,0.16,0.102,0.429,75.801,4
spotify:track:3kUYMbrhuJbuwWAlnjnNid,"Will Love In This Autumn","Best Of Best","Shim Soo Bong",2005-11-01,187226,16,false,,1970-01-01T00:00:00Z,"K-발라드","Shim Soo Bong",0.415,0.428,4,-10.723,0,0.0323,0.747,0.0812,0.234,0.1,83.511,4
spotify:track:2oBwtJ1T645Hng8WPyJeZE,"사내","나훈아 - 40주년 기념 특별 기획음반","나훈아",2018-02-05,225040,29,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.759,0.893,9,-4.414,1,0.0801,0.248,0.0000107,0.0897,0.869,108.011,4
spotify:track:6CryL5Vcu5SfPyxGb4mf9j,"안개속의 두 그림자","7080 카페 테라스 cafe terrace","Ham Jung A",2010-06-28,180480,10,false,,1970-01-01T00:00:00Z,"","RIAK",0.609,0.625,11,-11.987,0,0.0458,0.0285,0.00102,0.145,0.702,117.033,4
spotify:track:5F4ybudH60n2k3zDZ3BOio,"Summer","Balloon (So Disappointing/Firebird to the Garden)","풍선(이정선/이광조/엄인호)",1979-01-05,165170,15,false,,1970-01-01T00:00:00Z,"","RIAK",0.632,0.511,9,-9.272,1,0.0384,0.233,0.00000242,0.105,0.765,116.305,4
spotify:track:5NPLUq3lA0WiaTCaF8ltXW,"가을을 남기고간 사랑","가을을 남기고간 사랑/한줄기 사랑","패티김",1990-05-01,182800,28,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.412,0.293,8,-12.631,1,0.03,0.48,0.000849,0.0827,0.311,142.088,4
spotify:track:3mWIIdg62A1eFPNcWp0cXG,"해변의 여인","BEST TWO 1","남진;나훈아",1990-01-01,192000,20,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","RIAK",0.254,0.337,0,-12.194,1,0.0312,0.805,0.000788,0.123,0.156,110.832,3
spotify:track:2hOWBhhiq9gkW0hpAhDw3c,"청춘을 돌려다오","나훈아 22년 기념 Best Hit곡","나훈아",2018-02-05,178200,23,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","예소리",0.517,0.483,9,-10.09,1,0.037,0.201,0.0021,0.152,0.356,130.278,4
spotify:track:5uzvl71FiTgtRrS9OD2JUA,"열정","열정/파란나라","혜은이",1985-09-25,215248,26,false,,1970-01-01T00:00:00Z,"K-발라드","쿠킹뮤직",0.667,0.611,7,-14.545,0,0.0347,0.00913,0.0065,0.349,0.839,145.011,4
spotify:track:7ESq2ZGhHOdvtuA96W2e6E,"내 나이가 어때서","오승근 Special `내 나이가 어때서`","오승근",2014-05-23,199171,31,false,,1970-01-01T00:00:00Z,"","오감엔터테인먼트",0.67,0.555,9,-7.028,1,0.0287,0.858,0.00000469,0.182,0.726,136.038,4
spotify:track:1Mee2wbHdqOKkbGjGstHJg,"안개속으로 가버린 사랑","불멸의 가수 배호 슈퍼골든 Vol.1 (배호의 마지막 노래)","배호",2010-08-18,215304,17,false,,1970-01-01T00:00:00Z,"","정호상사",0.354,0.179,3,-19.094,0,0.0326,0.884,0.854,0.17,0.16,109.595,3
spotify:track:3u1C6nWVRoP5F0w8gGrDL3,"사랑의 미로","최진희 골든 Vol.15","Choi JinHee",1987-06-01,222380,25,false,,1970-01-01T00:00:00Z,"K-발라드","예전미디어",0.367,0.194,7,-19.057,1,0.04,0.617,0.00000583,0.162,0.367,144.316,4
spotify:track:3as63aLEUK7SRF47Esjwq2,"사랑","나훈아 빅히트 40곡 (나훈아 전곡 모음집)","나훈아",2018-02-05,198266,27,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.497,0.441,7,-7.989,1,0.0278,0.69,0.0000147,0.126,0.3,109.149,3
spotify:track:3srZa425atdBy1aKExDEdH,"머나먼 고향","BEST TWO 2","남진;나훈아",1990-01-01,200640,22,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","RIAK",0.533,0.532,10,-10.544,0,0.0376,0.252,0.0191,0.266,0.434,119.254,4
spotify:track:3d3rJImRNh8hHppkkkRoks,"비의 초상","현역가왕 결승전 1R 국대필살기-1위 탈환전","Park Hye Sin",2024-02-07,245947,16,false,,1970-01-01T00:00:00Z,"엔카","CReA Entertainment",0.33,0.62,10,-3.64,0,0.0337,0.586,0.0000277,0.433,0.223,76.419,4
spotify:track:0xxFvzPM4ajsVXLY9zA4hY,"신사동 그 사람","골든 특집","Joo Hyun Mi",1992-01-01,201440,23,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.703,0.513,8,-8.03,1,0.0249,0.648,0.000809,0.088,0.841,100.32,4
spotify:track:1Gts7qEowmAzB7vax045Rb,"돌아가는 삼각지","불멸의 가수 배호 슈퍼골든 Vol.1 (배호의 마지막 노래)","배호",2010-08-18,172176,20,false,,1970-01-01T00:00:00Z,"","정호상사",0.324,0.292,5,-14.146,1,0.0321,0.84,0.00878,0.11,0.214,124.751,4
spotify:track:0nQ42udF752nBqhVgcRp3Y,"고장난 벽시계","나훈아 - 벗 (40주년 기념앨범)","나훈아",2018-02-05,184866,32,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","예소리",0.49,0.704,8,-6.227,1,0.0477,0.442,0.00000106,0.122,0.689,135.998,4
spotify:track:0gi3XkW3Ba8Wr4mlx0BvMs,"보라빛 엽서","사랑의 트위스트","Seol Undo",1997-01-01,221026,28,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.518,0.51,9,-7.726,1,0.026,0.481,0.0278,0.151,0.255,111.001,3
spotify:track:2i8Ea4CagrqgMXKx1sq7Jx,"사랑은 눈물의 씨앗","BEST TWO 2","남진;나훈아",1990-01-01,147866,17,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","RIAK",0.312,0.269,4,-12.794,0,0.0348,0.677,0.00287,0.121,0.347,121.778,4
spotify:track:3BBjklXhgnW6j8ACOY392i,"우린 너무 쉽게 헤어졌어요 (2015 Version)","최진희 Golden Best","최진희",2014-08-01,204293,31,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.524,0.445,5,-6.351,0,0.0256,0.257,0.0000526,0.121,0.441,147.935,4
spotify:track:4wRjUh0pim4pIk250xtHyl,"사랑이 비를 맞아요","사랑이 비를 맞아요","배금성",2022-07-11,219753,15,false,,1970-01-01T00:00:00Z,"","RIAK",0.481,0.773,8,-2.522,1,0.0328,0.513,0.0353,0.315,0.546,122.361,4
spotify:track:3NDry6zc0jn2cVpe66XXMI,"무시로","나훈아 22년 기념 Best Hit곡","나훈아",2018-02-05,152133,25,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","예소리",0.5,0.539,7,-10.667,0,0.0852,0.556,0.00211,0.456,0.608,86.92,4
spotify:track:0ICE2kFiemZWwtFZ9GRJSp,"여자이니까","심수봉과나훈아의아베크Song","심수봉",1981-06-10,228036,16,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.327,0.302,0,-15.959,1,0.0658,0.523,0.00155,0.697,0.47,154.459,4
spotify:track:5tlGznRkxVR3pYT74cciP6,"정녕","조항조(2010 Johangjo Emotion2)","조항조",2010-09-27,220000,30,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.406,0.455,0,-7.553,1,0.0268,0.672,0.000175,0.193,0.135,139.747,4
spotify:track:2Oe3w89zo0JlU5BBOT7Q0B,"갈대의 순정","BEST TWO 1","남진;나훈아",1990-01-01,202093,20,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","RIAK",0.381,0.265,10,-12.867,1,0.0353,0.799,0.0121,0.164,0.292,117.71,4
spotify:track:2NiLyGuYJzQg0pj1bf3jsg,"짝사랑","김영광 작곡 30년 기념음반 2집","주현미",1990-03-30,193173,16,false,,1970-01-01T00:00:00Z,"","RIAK",0.612,0.418,4,-8.115,1,0.0318,0.83,0,0.204,0.733,115.098,4
spotify:track:4Kq9tpbPlNhCoNwISKkKp9,"공","나훈아 - 40주년 기념 특별 기획음반","나훈아",2018-02-05,270306,30,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.59,0.625,7,-6.307,1,0.0491,0.345,0.00000721,0.184,0.439,88.002,4
spotify:track:7wDitcaETwr4diDPC7smP1,"홀로 된 사랑","강변가요제 & 대학가요제 Best of best - 강변가요제","그린비 (Grinbi)",2001-10-08,221066,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.7,0.566,10,-7.482,0,0.025,0.518,0.00000143,0.294,0.831,106.407,4
spotify:track:69Pblxq2qUIUw7Qt4TKaqS,"비나리","미스트롯 DEATH MATCH","홍자",2019-03-30,134960,19,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","TIZZO C&C",0.334,0.626,3,-5.943,0,0.0741,0.872,0.00113,0.171,0.362,137.162,4
spotify:track:2fdR8x0u9gnxaKFjpRpKOV,"당신께만","오리지날 힛송 총결산집 - 겨울장미 / 한순간 / 봄비","이은하",1990-11-01,163360,19,false,,1970-01-01T00:00:00Z,"","오아시스레코드 뮤직컴퍼니",0.819,0.517,11,-16.118,0,0.0644,0.0952,0.00326,0.0422,0.958,125.555,4
spotify:track:3Epqqyec5Eb5FlLAjEN8hL,"둥지","저리가/사랑의 퍼레이드/빈지게","남진",2005-01-01,204493,24,false,,1970-01-01T00:00:00Z,"엔카","RIAK",0.579,0.896,5,-5.508,0,0.0792,0.183,0.000228,0.183,0.878,163.672,4
spotify:track:4PhzRlRXCBTJ7264n1MmvW,"영영","나훈아 빅히트 40곡 (나훈아 전곡 모음집)","나훈아",2018-02-05,224226,26,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.186,0.439,7,-5.899,1,0.029,0.521,0.000529,0.242,0.268,172.735,3
spotify:track:0BUX3tgLYkjD2rZYVb968r,"Sachiko","Yo-Se-Yo","NYC NYUSA",1988,246773,14,false,,1970-01-01T00:00:00Z,"","PONY CANYON INC.",0.39,0.452,8,-12.615,0,0.0413,0.419,0.00000127,0.124,0.483,112.916,3
spotify:track:6rrap4qyNpmSvQgupa6LYH,"사랑님","사랑님","김용임",2014-08-14,223826,31,false,,1970-01-01T00:00:00Z,"","RIAK",0.559,0.816,9,-2.923,0,0.044,0.547,0,0.224,0.45,137.202,4
spotify:track:4z3caihObhWOAyuz0VIIIA,"봄비","Golden Best","이은하",1994-01-01,170133,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.432,0.415,7,-6.268,0,0.0276,0.86,0.000055,0.134,0.137,77.229,4
spotify:track:0cpQM2GBiUNfTRLiM2MnEL,"방랑자","박인희 고운노래모음 제3집","박인희",1978-01-01,209826,17,false,,1970-01-01T00:00:00Z,"","거성레코드(주)",0.491,0.4,9,-10.384,1,0.0382,0.561,0.000227,0.136,0.584,130.771,4
spotify:track:2GgwEFicj96ZtoAx9AVe7f,"삶","새벽","나훈아",2023-07-10,213226,28,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","예소리",0.235,0.61,6,-8.044,1,0.0493,0.595,0.0000151,0.0915,0.287,70.698,4
spotify:track:35uS6hd0JBNedNPxLNFapw,"임과 함께","BEST TWO 1","남진;나훈아",1990-01-01,145800,25,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","RIAK",0.698,0.68,3,-11.741,0,0.0937,0.677,0.00000149,0.0932,0.81,123.375,4
spotify:track:1FWky06BAGDBfASg6Jvaa9,"안동역에서 - New Version","안동역에서","진성",2016-03-17,233567,28,false,,1970-01-01T00:00:00Z,"","Plus Media / ADA",0.535,0.791,1,-3.67,0,0.0308,0.407,0,0.127,0.6,133.861,4
spotify:track:7f0DQ8AfQIJKzp7Z1Fa9FQ,"못 잊어","패티김 Remaster","패티김",2019-02-11,198008,20,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.43,0.545,7,-8.403,1,0.0293,0.678,0.000578,0.118,0.21,103.146,3
spotify:track:7830PXhNvsh1VTcyE1ZWD2,"옛날 애인","현역가왕2 예선전 PART 1","Kang Moon Kyung",2024-11-27,192819,16,false,,1970-01-01T00:00:00Z,"엔카","CReA Entertainment",0.437,0.583,10,-5.231,0,0.0312,0.732,0.00000159,0.0845,0.573,122.799,4
