Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3y1Aq9UzyzhMGuVaS8i2oA,"? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)","Primary And The Messengers LP","프라이머리;최자;Zion.T",2012-10-31,194115,56,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:24:43Z,"한국 랩,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.702,0.733,3,-3.527,0,0.12,0.216,0,0.0643,0.926,96.02,4
spotify:track:5PaUW7tmYvVZzTMGG4uqcP,"죽을만큼 아파서 PART.2 (FEAT.스웨덴세탁소)","MISS ME OR DISS ME","MC몽;스웨덴세탁소",2014-11-03,245711,45,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:24:52Z,"K-발라드,한국 랩","RBW, Inc",0.663,0.835,7,-5.701,0,0.0741,0.488,0.0000014,0.386,0.512,123.973,4
spotify:track:1VnjByC7TUx5A73A4qtgoo,"우산 (feat. 윤하)","Pieces, Part One","에픽하이;윤하",2008-04-17,301720,58,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-19T10:31:36Z,"한국 랩,케이팝,K-발라드","CJ E&M MUSIC",0.744,0.71,6,-5.939,1,0.0279,0.393,0,0.488,0.346,113.003,4
spotify:track:12WJh701b8EPb7E1sG1U0t,"Bk Love","So Sniper","MC 스나이퍼",2002-05-15,263485,8,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:24:58Z,"한국 랩,K-발라드","포니캐년코리아",0.556,0.675,11,-5.261,0,0.0366,0.312,0.074,0.116,0.492,165.954,4
spotify:track:5gOaqBC9ORq49ZhJMd4mob,"Better Than Yesterday (feat. Mr.Room9, Baechigi, Ktcob, bK, Outsider & P-Masta)","How Bad Do U Want It?","MC 스나이퍼;Mr. Room9;Baechigi;Ktcob;bK;아웃사이더;P-Masta",2007-03-05,406871,4,true,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:25:02Z,"한국 랩,K-발라드","포니캐년코리아",0.535,0.99,9,-2.252,0,0.154,0.0355,0,0.113,0.54,184.026,4
spotify:track:38srLCqsLKdlpEaCrEibvm,"TV를 껐네... (feat. 윤미래 & 권정열)","AsuRaBalBalTa","리쌍;윤미래;Kwon Jung-yeol",2011-08-25,215986,0,true,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:25:33Z,"K-발라드,한국 랩,사운드트랙,케이팝","정글엔터테인먼트",0.552,0.794,10,-3.376,1,0.0514,0.512,0,0.0896,0.765,142.25,3
spotify:track:1k4poPLl62xepcGZx855Iw,"Ballerino","Black Sun","리쌍",2007-05-16,267320,54,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:25:37Z,"K-발라드,한국 랩","위지스제이",0.685,0.779,7,-4.467,0,0.0536,0.217,0,0.352,0.717,95.026,4
spotify:track:7uIQXdnGTW1j0eJ1pQC7Uw,"야간비행 (feat. Rachael Yamagata)","마이너스1집 (부제: 40)","MC 스나이퍼;Rachael Yamagata",2019-04-05,216042,0,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:28:12Z,"한국 랩,K-발라드","스나이퍼사운드",0.664,0.851,0,-4.54,0,0.0726,0.051,0,0.233,0.295,95.043,4
spotify:track:7aZm9Uq1lesRJCpv4tWQks,"광대","Library Of Soul","리쌍;BMK",2005-10-13,226693,50,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:25:43Z,"K-발라드,한국 랩","위지스제이",0.697,0.898,10,-3.222,0,0.178,0.245,0,0.136,0.654,160.81,3
spotify:track:5eRAZCLutVhc6Ig652gTyI,"외톨이","MAESTRO","아웃사이더",2009-06-01,191360,0,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:26:06Z,"한국 랩","포니캐년코리아(주)",0.726,0.918,0,-4.548,0,0.0906,0.318,0.000118,0.407,0.547,124.96,4
spotify:track:5ZvOiFNa14akPXHddJgYFW,"1분 1초 (feat. 타루)","Lovescream","에픽하이;타루",2008-09-30,268133,47,false,upd6mlbfrlj2otje9s2j6ui5s,2022-07-02T11:26:22Z,"한국 랩,케이팝,K-발라드","CJ E&M MUSIC",0.713,0.802,4,-6.162,0,0.151,0.282,0.000328,0.369,0.34,77.481,4
