Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1KBGmamfkXuZ3hzrellsK1,"민수는 혼란스럽다","민수는 혼란스럽다","민수",2019-03-05,226735,35,false,,1970-01-01T00:00:00Z,"","MAGIC STRAWBERRY SOUND",0.683,0.752,9,-5.845,1,0.0351,0.134,0.00508,0.413,0.794,104.043,4
spotify:track:5UYFb1uulJIf8A44zT6OxQ,"청춘 (DAY)","청춘","우효",2016-07-05,184946,49,false,,1970-01-01T00:00:00Z,"","MUN HWA IN",0.458,0.793,4,-5.833,1,0.0295,0.0733,0.307,0.216,0.301,159.981,4
spotify:track:0wnSAKtD7n2Z5uOZcu0Obr,"그건 아마 우리의 잘못은 아닐거야","Our love is great","백예린",2019-03-18,233003,49,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.273,0.604,5,-6.517,1,0.0787,0.763,0.0000931,0.168,0.625,191.726,4
spotify:track:7wcEpnPu8tqbnj4bsTxAlL,"머무르자","환승연애3, Pt. 3 (Original Soundtrack)","onthedal",2024-01-14,216573,40,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation",0.785,0.662,8,-4.603,1,0.0458,0.4,0,0.102,0.889,111.94,4
spotify:track:4wVjtiDEfilSTVGIhaHhAX,"Time","Time","pigfrog",2023-04-21,197321,13,false,,1970-01-01T00:00:00Z,"","pigfrog",0.663,0.609,1,-8.054,1,0.0354,0.229,0.774,0.125,0.636,84.006,4
spotify:track:7vop5n6Gia8Y0Q37BevKmy,"섬","섬","민수",2018-08-08,181697,32,false,,1970-01-01T00:00:00Z,"","MAGIC STRAWBERRY SOUND",0.615,0.565,5,-7.915,1,0.112,0.789,0.0000034,0.242,0.433,80.063,4
spotify:track:7mFCdtjbSn8PGlPggpgSsk,"Telltale Signs","아나토미","Erøtic Wørms Exhibitiøn",2023-11-02,228833,32,false,,1970-01-01T00:00:00Z,"한국 록","EWE",0.617,0.665,6,-6.404,0,0.035,0.0969,0.758,0.0807,0.714,159.969,4
spotify:track:57WQ4bFLJraEzz4zat21bZ,"I Feel Your Love","I Feel Your Love","이루리",2021-04-21,224705,32,false,,1970-01-01T00:00:00Z,"시티 팝,한국 록","MAGIC STRAWBERRY SOUND",0.819,0.623,2,-6.901,1,0.0396,0.564,0.0115,0.0982,0.551,101.972,4
spotify:track:0FfGs47PNQ81c01ceX8kdL,"지켜줄게","Our love is great","백예린",2019-03-18,224726,41,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.824,0.55,4,-9.719,1,0.0554,0.7,0.0000446,0.136,0.729,117.962,4
spotify:track:4TBHfv2isYco3fNKjQ8oSI,"난춘","난춘","새소년",2020-05-10,229493,59,false,,1970-01-01T00:00:00Z,"한국 록,일본 인디","MAGIC STRAWBERRY SOUND",0.49,0.534,1,-3.43,1,0.0302,0.0455,0.0000189,0.433,0.439,141.173,3
spotify:track:3PZjvLoknyAGymt7YmN3ZU,"Hello, S - Interlude","Me, Stranger","민수",2024-09-27,66434,10,false,,1970-01-01T00:00:00Z,"","WM Korea",0.284,0.328,1,-9.421,1,0.0285,0.248,0.92,0.616,0.118,57.768,4
