Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3scRk3rUGIwpCg9kMNrtEQ,"첫사랑","첫사랑","백아",2018-10-11,188942,55,false,,1970-01-01T00:00:00Z,"K-발라드","Baek A",0.469,0.284,9,-10.177,0,0.0446,0.814,0,0.103,0.403,133.685,4
spotify:track:3sOAwRg5esaxDcWnUigWPv,"0+0","자몽살구클럽","HANRORO",2025-08-04,192000,68,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.457,0.523,9,-5.862,1,0.0286,0.492,0.0157,0.163,0.196,135.899,4
spotify:track:4bjNOhOMvqFPflwHIaS7Fw,"한시 오분 (1:05)","TEAM BABY","검정치마",2017-05-30,240000,58,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.636,0.674,4,-6.953,1,0.0247,0.371,0.0000729,0.142,0.554,88.011,4
spotify:track:5UYFb1uulJIf8A44zT6OxQ,"청춘 (DAY)","청춘","우효",2016-07-05,184946,49,false,,1970-01-01T00:00:00Z,"","MUN HWA IN",0.458,0.793,4,-5.833,1,0.0295,0.0733,0.307,0.216,0.301,159.981,4
spotify:track:1osW08ygBwopWmjWzqWbfJ,"Antifreeze","선물","백예린",2021-09-10,245840,59,false,,1970-01-01T00:00:00Z,"K-발라드","Blue Vinyl",0.731,0.602,1,-7.765,1,0.0399,0.774,0.00000142,0.142,0.573,124.069,4
spotify:track:4VnBF5nptyzyiY9AKJ95z9,"영화","bright #9","백아",2020-09-10,180893,44,false,,1970-01-01T00:00:00Z,"K-발라드","Mint Paper/Label GHS",0.478,0.295,7,-10.204,1,0.0291,0.941,0.00168,0.107,0.152,110.246,3
spotify:track:7JQH2lBMZ10ztDnpoeq6Ki,"yours","yours","데이먼스 이어 Damons year",2019-04-10,165229,64,false,,1970-01-01T00:00:00Z,"K-발라드","WM Korea",0.483,0.469,11,-6.367,1,0.032,0.658,0,0.188,0.316,109.263,4
spotify:track:4qdBPJta3BVPXCS0wJZ6yO,"입춘","입춘","HANRORO",2022-03-14,248407,64,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.25,0.372,9,-4.619,0,0.0379,0.435,0,0.108,0.0535,161.257,4
spotify:track:03YtYSkpHqqY3EBmHJkTjP,"기다린 만큼, 더","또 오해영, Pt. 7 (Original Television Soundtrack)","검정치마",2016-06-14,269000,57,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation",0.547,0.311,0,-12.23,1,0.0276,0.865,0.231,0.129,0.199,120.106,4
spotify:track:3tbHqU6PKS2bIGWx9cn082,"영원은 그렇듯","영원은 그렇듯","Redoor",2021-01-09,237160,62,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Genie Music Corporation, Stone Music Entertainment",0.498,0.429,4,-7.53,1,0.0249,0.696,0.247,0.107,0.327,76.986,4
spotify:track:03kFIoPgCpqlvj7sG9cI64,"이 세계","소녀의 세계 (Original Soundtrack), Pt. 3","백아",2020-05-16,219584,46,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.544,0.369,0,-7.421,1,0.0283,0.92,0.00371,0.125,0.09,129.902,4
spotify:track:3s761CQaziQ0GEN1yUkIsG,"좋은 밤 좋은 꿈","좋은 밤 좋은 꿈","너드커넥션",2020-03-23,265983,59,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Your Summer",0.491,0.422,2,-4.59,1,0.0304,0.0569,0.00000889,0.0758,0.137,129.83,4
spotify:track:046Gh1kXtPynYPaKep5M8E,"그렇게 살아가는 것","그렇게 살아가는 것","허회경",2022-01-07,194633,55,false,,1970-01-01T00:00:00Z,"K-발라드","MUN HWA IN",0.673,0.19,2,-10.072,1,0.0366,0.963,0.0000244,0.112,0.0907,121.778,4
spotify:track:3WvM2dIR9iIxMGNMP7WsNw,"사랑하게 될 거야","이상비행","HANRORO",2023-08-29,165000,68,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.625,0.516,7,-6.018,1,0.0265,0.426,0.0000015,0.187,0.326,92.94,4
spotify:track:0V3eVNmgkOzJ5wQztnCpAV,"혜야","TEAM BABY","검정치마",2017-05-30,325000,49,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.17,0.378,5,-9.092,1,0.0321,0.661,0.827,0.334,0.0597,58.874,4
spotify:track:1JFymIwM3Hc9cKHxP2BCBl,"시차","편지","백아",2024-05-02,213813,30,false,,1970-01-01T00:00:00Z,"K-발라드","Studio JAMM",0.35,0.402,5,-7.358,1,0.0339,0.928,0.0118,0.0789,0.211,136.106,4
spotify:track:3eOXiUUfz9OhyVqoREsJYe,"민들레 - single ver.","민들레","우효",2017-05-30,252460,52,false,,1970-01-01T00:00:00Z,"","MUN HWA IN",0.523,0.546,2,-7.342,1,0.0312,0.186,0.000529,0.2,0.222,119.844,4
spotify:track:2rXabO62OjjZIZAOn6uzuv,"0310","Every letter I sent you.","백예린",2019-12-10,238401,51,false,,1970-01-01T00:00:00Z,"K-발라드","Blue Vinyl",0.548,0.459,7,-6.467,1,0.0304,0.703,0.0000145,0.0989,0.525,135.975,4
spotify:track:20tWEsVsKU6FfzXGt4IOuV,"고백","Espresso","DELISPICE",2003-01-24,323531,55,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","오감엔터테인먼트",0.473,0.644,6,-4.447,1,0.027,0.0588,0,0.0942,0.24,79.617,4
spotify:track:2AfW3wIFo6uR2YIPoVewrd,"비틀비틀 짝짜꿍","비틀비틀 짝짜꿍","HANRORO",2022-09-04,211000,53,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.653,0.731,4,-2.524,1,0.026,0.174,0,0.147,0.529,99.991,4
spotify:track:3v3ZFFAhWkgRijv5cqfhTb,"오류","향기","백아",2023-04-27,212863,34,false,,1970-01-01T00:00:00Z,"K-발라드","AB record",0.473,0.49,5,-7.376,1,0.0298,0.818,0.0115,0.0796,0.283,139.652,4
spotify:track:0LSmb1eo894EJ7eIWPaAgQ,"기억을 걷는 시간","Separation Anxiety","넬",2008-03-21,312880,55,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Genie Music Corporation",0.759,0.399,10,-6.024,1,0.0533,0.561,0,0.0818,0.671,88.998,4
spotify:track:30tYWTkLIQtZWnRIOqcHnJ,"나무","나무","카더가든",2019-04-16,232558,57,false,,1970-01-01T00:00:00Z,"K-발라드","Kakao Entertainment",0.329,0.409,11,-5.983,1,0.0328,0.464,0,0.173,0.278,141.439,4
spotify:track:6XdXTQV3qwim4Bji87TT8t,"Bye bye my blue","Bye bye my blue","백예린",2016-06-20,203409,53,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.511,0.54,3,-6.726,1,0.114,0.613,0.00000316,0.121,0.297,87.704,4
