Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Hyl7YrOtBcnh1geON2kSO,"Only One","Only One - The 7th Album","보아",2012-07-22,217085,58,false,,1970-01-01T00:00:00Z,"케이팝,J-pop,j-R&B","SM Entertainment",0.641,0.645,0,-6.54,1,0.0366,0.136,0.000145,0.145,0.546,90.027,4
spotify:track:3JRlINdL0n6OlySVpn8cvy,"the Love Bug","ASTROMANTIC","m-flo;보아",2004-05-26,242226,46,false,,1970-01-01T00:00:00Z,"j-R&B,J-pop,j-랩,시부야계,케이팝","rhythm zone",0.725,0.826,1,-5.059,1,0.0586,0.0964,0,0.376,0.716,117.016,4
spotify:track:6whFRgwg7je2SYzpSfansM,"Dreams Come True","SHOO. EUGENE. SEA - The 2nd Album","S.E.S.",1998-11-23,245773,47,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.706,0.835,0,-4.357,1,0.0506,0.0813,0.00165,0.336,0.771,93.943,4
spotify:track:0E0nqXEw6HtFEqsQTTOMcJ,"パピヨン 〜papillon〜","PAPILLON","Hitomi Shimatani",2001-06-27,255433,44,false,,1970-01-01T00:00:00Z,"j-R&B,J-pop,가요쿄쿠,애니메이션,엔카","avex trax",0.695,0.877,5,-5.747,0,0.0514,0.0609,0.00000129,0.307,0.467,100.011,4
spotify:track:6LeH7ExfGkYevlBGHiqRyf,"Twinkle","'Twinkle' Mini Album","소녀시대-태티서",2012-04-30,206731,52,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.809,0.883,1,-2.1,0,0.0498,0.239,0,0.296,0.962,110.034,4
spotify:track:7sQaZvlFFqlBsObK8A3y0S,"아틀란티스 소녀 (Atlantis Princess)","Atlantis Princess - The 3rd Album","보아",2003-05-31,224373,48,false,,1970-01-01T00:00:00Z,"케이팝,J-pop,j-R&B","SM Entertainment",0.738,0.919,7,-4.126,0,0.0442,0.164,0,0.0712,0.866,110.049,4
spotify:track:3mtyprgk9RSzV8a64Zap5O,"桜色舞うころ (Album Mix)","MUSIC","Mika Nakashima",2005,296520,48,false,,1970-01-01T00:00:00Z,"J-pop,애니메이션,j-R&B","Sony Music Labels Inc.",0.408,0.377,3,-5.775,1,0.0286,0.871,0,0.17,0.287,168.105,4
spotify:track:0K25zmumCzn2kFmh9zcLWy,"CANDY","We Hate All Kinds of Violence... - The 1st Album","H.O.T.",1996-09-07,217226,52,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.741,0.977,10,-2.318,1,0.044,0.134,0,0.145,0.951,119.988,4
spotify:track:7BrWFGg6iIfSVDO7IVKAbN,"Just A Feeling - Original Version","Choose My Life-U","S.E.S.",2002-02-15,228000,39,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.761,0.947,8,-4.47,1,0.0634,0.0824,0,0.0829,0.822,111.991,4
spotify:track:4iQXwYTAU3gb60tM8DNjEr,"ENDLESS STORY","ENDLESS STORY","REIRA starring Yuna Ito",2005-04-01,304733,54,false,,1970-01-01T00:00:00Z,"J-pop","Sony Music Labels Inc.",0.426,0.466,9,-5.766,1,0.0306,0.0338,0.00000382,0.145,0.147,119.94,4
