Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2R49jFMrgIKV2ASFjJvnm3,"회상","산울림 제8집 - 새야 날아","산울림",1982-05-25,199133,39,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.648,0.438,2,-9.187,1,0.0299,0.671,0.000116,0.316,0.523,139.209,4
spotify:track:0OxRmpJnl1hV1jHVH3V4me,"샴푸의 요정","빛과 소금","빛과 소금",1990-03-01,227306,42,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.752,0.545,2,-10.198,0,0.0244,0.221,0.0000492,0.0395,0.75,110.984,4
spotify:track:2U1Eu386dNyt83f3kXTWMu,"그래 걷자","기타가 있는 수필","Kim Chang-Wan",1983-10-15,228893,42,false,,1970-01-01T00:00:00Z,"","Ecole de Gorae",0.501,0.146,9,-15.828,0,0.0434,0.933,0.238,0.116,0.428,79.394,4
spotify:track:4w5jHmaPBwNN2Q9rOuYHUC,"내 마음에 비친 내 모습","사랑하기 때문에","유재하",1987-08-20,293044,48,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.563,0.253,9,-13.514,1,0.032,0.229,0,0.136,0.232,120.282,4
spotify:track:2bE4wberMurwLeVwiS4UOi,"그것만이 내 세상","들국화 Ⅰ","들국화",1985-09-01,330800,34,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Beyond Music",0.48,0.372,5,-12.236,1,0.0279,0.02,0.000159,0.134,0.224,96.293,4
spotify:track:4fQFJ665o0c4trTqDSiThT,"너의 의미","산울림 제10집 - 너의 의미","산울림",1984-07-20,221573,42,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.65,0.313,7,-10.878,1,0.0271,0.348,0.0444,0.135,0.461,79.233,4
spotify:track:1lmzjWYz6Nxa18wkeqCFUs,"I Am Alone You Are Yearning","Park Youngmee 1.","Park Yeong Mi",1990-01-01,246270,21,false,,1970-01-01T00:00:00Z,"시티 팝","Jigu Records",0.69,0.586,3,-9.136,1,0.0397,0.558,0.0026,0.0744,0.233,114.849,4
spotify:track:507GurK1J2BWxX5lp0HOzR,"사랑은 창밖에 빗물같아요","사랑은 창밖에 빗물같아요","양수경",1988-02-01,211983,39,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.672,0.442,9,-14.692,1,0.0288,0.694,0.00225,0.103,0.734,121.939,4
spotify:track:5vVL45nncczKCWS0uIQpzN,"깊은 밤을 날아서","이문세 4집","이문세",1987-03-10,182866,53,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.647,0.685,0,-9.831,1,0.0406,0.637,0.000145,0.11,0.529,123.208,3
spotify:track:6WmRocm9w09tCZT44HU1qs,"빗속의 여인","장현 베스트","Jang Hyeon",1991-03-12,145373,28,false,,1970-01-01T00:00:00Z,"","예전미디어",0.605,0.282,2,-17.973,0,0.0366,0.128,0.0146,0.247,0.954,131.296,4
spotify:track:0o9rzRmUNOQtVIN4V8vm1k,"가지 마","산울림 제11집 - 그대 떠나는 날 비가 오는가","산울림",1986-09-10,256133,33,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.807,0.645,6,-8.346,0,0.0763,0.164,0.561,0.336,0.717,103.901,4
spotify:track:1UbXXZMnlsyfZ5ziKNxJ7y,"걱정말아요 그대","들국화","들국화",2013-12-06,276163,38,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","들국화컴퍼니(Deulgukhwa Company)",0.547,0.486,7,-5.095,1,0.0262,0.394,0.0000148,0.177,0.331,127.983,4
spotify:track:0I9vXVUpijjek2ULH4UUJw,"사랑하기 때문에","사랑하기 때문에","유재하",1987-08-20,380555,48,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.272,0.221,9,-11.644,1,0.0347,0.406,0,0.177,0.148,115.608,4
spotify:track:7fETFt5bKDjgMN0ttQAf3L,"비처럼 음악처럼","김현식 III","김현식",1986-12-05,277506,43,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.44,0.312,5,-13.303,1,0.0282,0.0646,0,0.109,0.126,126.827,4
spotify:track:0ACRegRh3QSjCGgWw7xtGV,"그런 날에는","어떤날 II","어떤날",1989-06-20,240866,29,false,,1970-01-01T00:00:00Z,"K-발라드","도이키뮤직(doekee music)",0.561,0.251,7,-16.423,1,0.0294,0.624,0.00257,0.313,0.159,116.509,4
spotify:track:1l89Esm79YNAnF2Rq3Nn5s,"청춘","산울림 제7집 - 가지 마오","산울림",1981-08-01,211266,37,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.656,0.28,9,-13.745,0,0.0319,0.766,0.000158,0.12,0.718,113.269,3
spotify:track:3ZjdXmSOZW6fUq6veGfIq2,"눈물나는 날에는","푸른하늘 2집 (눈물나는 날에는)","Blue Sky",1989-07-01,308333,41,false,,1970-01-01T00:00:00Z,"K-발라드,비주얼계","Beyond Music",0.411,0.436,3,-11.575,1,0.0303,0.126,0.0000891,0.101,0.104,122.451,4
spotify:track:6YutvaST3bCOPTqpeQf5GJ,"매일 그대와","들국화 Ⅰ","들국화",1985-09-01,215600,33,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Beyond Music",0.584,0.227,9,-14.955,1,0.0295,0.859,0,0.0859,0.332,93.327,4
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,40,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:3EN6dsVRR4PMgZ8bgdOJEk,"Sadness Of Love","Lee Chi Hyun & friends Complete Collection","이치현",1990-01-01,214831,32,false,,1970-01-01T00:00:00Z,"","Jigu Records",0.346,0.249,0,-17.212,0,0.0412,0.72,0.0000913,0.0838,0.341,173.872,4
spotify:track:1yDZuVCnVq1bpGnzHeZs7j,"나 어떡해","산울림 제2집 - 내 마음에 주단을 깔고","산울림",1978-05-10,244640,25,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.518,0.721,2,-6.646,1,0.0362,0.00178,0.00179,0.0765,0.38,126.337,4
spotify:track:6kjIBvMBIYxy0fWUf9BFem,"Someday","Darkness","이상은",1993-01-01,254106,42,false,,1970-01-01T00:00:00Z,"K-발라드","Breeze Music",0.629,0.257,7,-15.225,1,0.0309,0.158,0.00000921,0.219,0.401,133.757,4
spotify:track:4AfuS3hTBd6ptS72KJummz,"One and a Half","Two Two One and a Half","TwoTwo;투투(Two Two)",1994-05-01,235826,42,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.76,0.73,6,-8.394,1,0.0251,0.249,0,0.0644,0.963,100.932,4
spotify:track:1buHqj9bKMLBXYBRvQUSV0,"여우야","The Classic 2","더 클래식",1995-10-01,272360,46,false,,1970-01-01T00:00:00Z,"K-발라드","캐슬뮤직",0.729,0.677,7,-9.03,1,0.0328,0.487,0.0227,0.0853,0.759,112.026,4
spotify:track:70zAAYzecX27gWNka6RM94,"The Street With The First Snow","Lee Mi-Ja's Setereo Hit Song Selection 12th Album","이미자",1970-11-30,186369,23,false,,1970-01-01T00:00:00Z,"엔카","Jigu Records",0.437,0.16,6,-17.301,1,0.0337,0.872,0.000373,0.193,0.238,109.747,4
spotify:track:1AVgdZOc9DD0GF3UgrzYex,"찻잔","산울림 제6집 - 조금만 기다려요","산울림",1980-05-05,135466,29,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.672,0.16,7,-11.604,1,0.0408,0.83,0,0.103,0.207,72.193,4
spotify:track:2xlgvZZNWLjavtD7W2SHYg,"gypsy Woman","Lee Chi Hyun & friends Complete Collection","이치현",1990-01-01,204289,33,false,,1970-01-01T00:00:00Z,"","Jigu Records",0.714,0.405,11,-13.772,0,0.0314,0.718,0.00664,0.0584,0.88,105.393,4
spotify:track:2ghebdwe2pNXT4eL34T7pW,"그 아픔까지 사랑한거야","그 아픔까지 사랑한거야","조정현",1989-06-15,237688,47,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.447,0.214,10,-16.48,1,0.0273,0.565,0,0.0649,0.17,71.979,4
spotify:track:61nV2X34dA3b7QBxnBvCH7,"매일 그대와","들국화","들국화",2013-12-06,205648,30,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","들국화컴퍼니(Deulgukhwa Company)",0.368,0.268,9,-8.127,1,0.0309,0.919,0,0.101,0.207,179.503,4
spotify:track:5zS7tVGoD7yvuhMTCju1fO,"나는 너를","장현 베스트","Jang Hyeon",1991-03-12,202293,23,false,,1970-01-01T00:00:00Z,"","예전미디어",0.611,0.387,6,-16.636,0,0.034,0.724,0.00251,0.261,0.826,134.282,4
spotify:track:6n8ux9GZYSRkqwFL7MYtmw,"아니 벌써","산울림 새 노래 모음 - 아니 벌써","산울림",1977-12-15,338560,29,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.564,0.744,9,-9.012,1,0.0445,0.027,0.00516,0.131,0.652,134.428,4
spotify:track:2bAMoEukdKb0Rk4u6IcUM3,"이밤이지나면","임재범1집","임재범",1991-01-01,250279,51,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.685,0.621,5,-8.877,1,0.0234,0.322,0.000075,0.0698,0.786,96.297,4
spotify:track:0G2to1KZwCBe4H0VJdSeDf,"슬픈 인연","유혹하지 말아요 1985","나미",1985-01-01,275043,38,false,,1970-01-01T00:00:00Z,"K-발라드","MG Media",0.308,0.466,9,-7.786,1,0.029,0.149,0,0.161,0.194,70.969,4
spotify:track:0QeZsX40wCUzebIJ4zzHoG,"어느새","장필순 1집 (어느새 / 내 작은 가슴속에)","장필순",1989-11-25,291666,31,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.629,0.54,7,-14.474,1,0.0304,0.25,0.0556,0.0934,0.663,91.936,4
spotify:track:4lxFginFEci4oMoKq5fF7k,"아쉬움","신촌 블루스 1집(그대 없는 거리)","Sinchon Blues",1988-01-14,227800,23,false,,1970-01-01T00:00:00Z,"한국 록","MUSICDESIGN",0.388,0.421,0,-9.659,1,0.0404,0.586,0.297,0.102,0.195,139.568,4
spotify:track:0PxlYecQh6dajoaECLJv3u,"예쁜 맘 예쁜 꿈","개구장이 - 어린이에게 보내는 산울림의 동요 선물","산울림",1979-02-10,167653,18,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.517,0.466,2,-15.6,1,0.0267,0.186,0.00189,0.0832,0.729,109.426,4
spotify:track:42cwRiFR25LYJG6CCsjWo9,"너무 아픈 사랑은 사랑이 아니었음을","김광석 4집 리마스터링앨범","김광석",2014-11-12,379013,43,false,,1970-01-01T00:00:00Z,"K-발라드","With 33 Entertainment",0.71,0.429,4,-10.337,0,0.0413,0.0935,0.000828,0.0464,0.294,140.061,4
spotify:track:7cfsDqJhupcy3Hu9a6jjH7,"행진","들국화 Ⅰ","들국화",1985-09-01,309866,21,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Beyond Music",0.501,0.529,0,-10.207,1,0.0354,0.0344,0.000236,0.336,0.186,112.434,4
spotify:track:189LjPCuBvhXBna8YU4lKT,"Short Hair","Cho Yongpil 1","조용필",1980-03-01,231317,36,false,,1970-01-01T00:00:00Z,"K-발라드","Jigu Records",0.717,0.608,7,-12.422,1,0.104,0.306,0.0000108,0.144,0.785,103.925,4
spotify:track:2aAyFw5luE9dF10JJa8hNY,"잠못드는 밤 비는 내리고","Kim Gun Mo","김건모",1992-10-29,268186,44,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.693,0.788,2,-6.59,1,0.0558,0.0638,0,0.0273,0.755,93.98,4
spotify:track:2jwZ56nWASR7I3cPiIMaCt,"창문 너머 어렴풋이 옛 생각이 나겠지요","산울림 제6집 - 조금만 기다려요","산울림",1980-05-05,191760,28,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.616,0.402,7,-11.716,1,0.0408,0.104,0.00016,0.24,0.698,159.872,4
spotify:track:3HaI4ogu2cT7zUOGEjkwVF,"내 사랑 내곁에","김현식 Vol.6","김현식",1991-01-26,267333,43,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.489,0.252,7,-17.965,1,0.031,0.191,0.0000258,0.206,0.382,124.312,4
spotify:track:25Jthp0nWmLfDCSeqHGvZg,"널 사랑하겠어","널 사랑하겠어","Zoo",1995-10-01,230911,36,false,,1970-01-01T00:00:00Z,"K-발라드","케미컬레코드",0.664,0.479,7,-7.999,1,0.0237,0.492,0,0.0924,0.48,91.997,4
spotify:track:3v9VhLru12X2I5l8JIcPK0,"오래된 친구","빛과 소금 4 (오래된 친구)","빛과 소금",1994-03-01,227186,36,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.791,0.65,4,-9.987,0,0.038,0.137,0.000029,0.0416,0.96,119.88,4
spotify:track:7o3jGm6eSGTyoixBIK68Ph,"행복을 주는 사람","그날 이후","해바라기",1985-01-15,198013,31,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.366,0.647,7,-6.228,1,0.0317,0.79,0.0137,0.294,0.535,82.694,4
spotify:track:6BMRkynNLXO6c63bAeofE2,"그대 떠나는 날 비가 오는가?","산울림 제11집 - 그대 떠나는 날 비가 오는가","산울림",1986-09-10,223133,32,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.26,0.269,2,-13.072,1,0.0332,0.692,0.0127,0.164,0.104,150.036,4
spotify:track:5xtATcLzRFvpEAWlKcKivO,"추억속의그대","황치훈1집","황치훈",1988-12-15,207008,35,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","오감엔터테인먼트",0.617,0.596,9,-11.978,0,0.0526,0.361,0,0.0784,0.661,88.198,4
spotify:track:3Rtl3hU47q3TorqSI2ZwnH,"보랏빛향기","강수지 1집","강수지",1990-04-01,208431,37,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","신세계음향",0.79,0.558,6,-10.762,1,0.0443,0.213,0.0536,0.109,0.852,125.224,4
