Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0tMSl7CuVOiSxvXdse68Yv,"타임 포스트는 잊지 말아요 Time Capsule","Highlights","스웨터",2008-05-29,244120,1,false,,1970-01-01T00:00:00Z,"시부야계","Beatball Music Group",0.534,0.669,11,-6.128,0,0.0289,0.000358,0.0123,0.105,0.515,119.939,4
spotify:track:7xha3EMJ7Uy5Ch5MePFYS2,"Signal Waltz","Labor in Vain","라이너스의 담요",2005-06-22,176800,22,false,,1970-01-01T00:00:00Z,"시부야계","Beatball Music Group",0.569,0.423,2,-8.574,1,0.0316,0.798,0.681,0.178,0.354,155.877,3
spotify:track:0lVJIHTB13L9HgvmyghcPV,"슈케이저","4/4 Sentimental Painkiller - 겨울은 봄의 심장","미스티 블루",2010-03-17,213626,38,false,,1970-01-01T00:00:00Z,"시부야계","Pastel Music",0.651,0.488,9,-8.17,1,0.0307,0.0657,0.692,0.0684,0.636,103.983,4
spotify:track:27064NGzls7hJqVbd2KxQf,"日々の泡","ひとびと","rourourourous",2024-09-25,253071,36,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Sunshine Tunes",0.575,0.336,1,-13.377,0,0.0397,0.615,0.624,0.127,0.496,160.014,4
spotify:track:6SGdKwHeHP4qNtv5U2glg5,"Mimi the Puppy","Heart in Motion","The Green Tea",2008,232440,27,false,,1970-01-01T00:00:00Z,"시부야계,보사노바","Feel Music",0.685,0.917,0,-5.953,0,0.048,0.191,0,0.0596,0.569,130.048,4
spotify:track:1ERUys1ia34ipsVFDhBP6X,"Undo","여정(旅程)","캐스커",2012-10-25,223986,24,false,,1970-01-01T00:00:00Z,"시부야계","파스텔뮤직",0.745,0.581,2,-8.326,1,0.03,0.894,0.283,0.0995,0.531,132.02,4
spotify:track:5JgZxNSqxBwxCjD6xzjNc9,"행운","행운","yewee",2024-04-04,248999,19,false,,1970-01-01T00:00:00Z,"","yewee",0.418,0.232,1,-11.249,1,0.03,0.972,0.867,0.114,0.081,92.859,3
spotify:track:41nqSiFrgF8tPcJYuviMmC,"Parade","Parade","라이너스의 담요",2013-08-29,181061,16,false,,1970-01-01T00:00:00Z,"시부야계","레이블 벅스",0.791,0.378,7,-8.718,1,0.0341,0.749,0.00000117,0.133,0.856,113.002,4
spotify:track:0jGILMAynLnmoCPz7oL12E,"봄에게 미처 배우지 못한 것 Pt. Ⅰ","4℃ 유리 호수 아래 잠든 꽃","미스티 블루",2006-01-05,137053,17,false,,1970-01-01T00:00:00Z,"시부야계","Pastel Music",0.465,0.326,0,-9.731,1,0.0278,0.722,0.701,0.333,0.135,139.949,4
spotify:track:2pEKvJH5PF1MldjnNNcBVL,"내가 태어난 해 여름","MIRAE COMPLEX Pt. 1","문없는집",2025-09-26,241936,20,false,,1970-01-01T00:00:00Z,"한국 록","Dorly’s House",0.486,0.548,6,-6.61,1,0.0284,0.608,0.00731,0.0746,0.541,199.951,4
spotify:track:36WOdy91Cs6wCUTlic2mdN,"흑백사진","Day Is Far Too Long","전자양",2001-08-31,233015,32,false,,1970-01-01T00:00:00Z,"시부야계,쟁글 팝,한국 록,슈게이징,슬로우코어","문라이즈",0.713,0.708,3,-8.342,1,0.0352,0.821,0.808,0.157,0.975,123.993,4
