Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5p3BybOa38IjjviVrN9xN1,"BIG VOID","BIG VOID","실리카겔",2025-12-11,221326,52,false,,1970-01-01T00:00:00Z,"한국 록","CAM",0.654,0.758,11,-6.02,0,0.0539,0.163,0.00000234,0.407,0.515,119.033,4
spotify:track:3A76bRRuVaIJrV8mrVeb21,"Peanut butter Sandwich","pool vol. 2 - Peanut Butter Sandwich","jisokuryClub",2023-04-30,231386,47,false,,1970-01-01T00:00:00Z,"한국 록","THE VAULT, jisokuryClub",0.597,0.552,2,-8.508,1,0.0288,0.132,0.153,0.139,0.292,114.102,4
spotify:track:0pqHwgmPKRM2GrPWrYcceR,"not us.","burning.","Tokai",2025-01-25,181530,42,false,,1970-01-01T00:00:00Z,"한국 록","Tokai",0.544,0.797,10,-5.273,0,0.0351,0.282,0.00005,0.28,0.714,98.038,4
spotify:track:6Lzkw092JlfJs14PsrmZzO,"Camel","漠 Mak","다섯",2017-06-22,243362,36,false,,1970-01-01T00:00:00Z,"한국 록","Dasutt",0.713,0.896,0,-5.542,1,0.0284,0.0605,0.0000192,0.107,0.901,122.002,4
spotify:track:6DA7kCWYMggJjqPM84V2Ng,"TOMBOY","23","혁오",2017-04-24,241692,59,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.301,0.431,3,-5.314,1,0.0299,0.0961,0.0000105,0.114,0.221,148.2,4
spotify:track:3ylVy90sNu8DALe0RbwEbi,"Kyo181","Kyo181","실리카겔",2020-08-23,253614,45,false,,1970-01-01T00:00:00Z,"한국 록","Silica Gel",0.523,0.559,5,-4.378,0,0.0351,0.123,0.0000626,0.171,0.602,80.005,1
spotify:track:7mFCdtjbSn8PGlPggpgSsk,"Telltale Signs","아나토미","Erøtic Wørms Exhibitiøn",2023-11-02,228833,32,false,,1970-01-01T00:00:00Z,"한국 록","EWE",0.617,0.665,6,-6.404,0,0.035,0.0969,0.758,0.0807,0.714,159.969,4
spotify:track:1IRgKvGt6H58RSwoq4lu2g,"The Liar's Tragedy","Hidden Picture","놀이도감",2020-10-20,221079,33,false,,1970-01-01T00:00:00Z,"한국 록","ormdstudio",0.814,0.405,5,-8.924,1,0.0347,0.0602,0.0372,0.177,0.814,109.99,4
spotify:track:579uHOz2E7JtV3YNNOwJqu,"삐뽀삐뽀","꿈에서 걸려온 전화","김뜻돌",2020-09-27,203911,46,false,,1970-01-01T00:00:00Z,"일본 인디,한국 록,시부야계","Meaningful Stone",0.503,0.763,4,-6.005,0,0.0795,0.31,0.0000179,0.129,0.322,96.075,4
spotify:track:43G5pwhJ76ED6UzR6x8xbl,"Mercury","너의 파도","Bye Bye Badman",2017-04-29,229833,31,false,,1970-01-01T00:00:00Z,"한국 록","MAGIC STRAWBERRY SOUND",0.615,0.663,4,-6.033,1,0.0302,0.0928,0.459,0.0996,0.324,90.015,4
spotify:track:0A8rsZXxXzPqLbzLjEscWd,"Ryudejakeiru","POWER ANDRE 99","실리카겔",2023-12-20,249159,44,false,,1970-01-01T00:00:00Z,"한국 록","MAGIC STRAWBERRY SOUND",0.47,0.707,1,-5.176,1,0.0263,0.000386,0.00105,0.823,0.458,81.022,4
spotify:track:3tbHqU6PKS2bIGWx9cn082,"영원은 그렇듯","영원은 그렇듯","Redoor",2021-01-09,237160,62,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Genie Music Corporation, Stone Music Entertainment",0.498,0.429,4,-7.53,1,0.0249,0.696,0.247,0.107,0.327,76.986,4
spotify:track:5Gloz0eWPsy5uGS0GSGWC2,"Echo","Nightmare","OWALLOIL",2022-10-08,242005,43,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.644,0.701,7,-4.909,1,0.0286,0.417,0.00501,0.104,0.448,140.008,4
spotify:track:1TSG0nEWTIQbSU1ya4uuNb,"Minsu Is Confused","Minsu Is Confused","놀이도감",2020-09-10,238835,32,false,,1970-01-01T00:00:00Z,"한국 록","CAM",0.774,0.396,4,-9.809,1,0.0403,0.48,0.388,0.127,0.796,134.998,3
spotify:track:36cMs0d2TC5Hs7keii0hp4,"최약체","최약체","24th",2024-10-06,220800,33,false,,1970-01-01T00:00:00Z,"한국 록","24th",0.314,0.805,8,-3.498,0,0.0435,0.00944,0.893,0.63,0.392,99.939,4
spotify:track:0ugn9oHp1QufOLaAi3rbQv,"NEO SOUL","SiO2.nH2O","실리카겔",2017-11-07,258424,37,false,,1970-01-01T00:00:00Z,"한국 록","Silica Gel",0.525,0.748,7,-4.647,0,0.0408,0.00113,0.0539,0.214,0.313,112.055,4
spotify:track:2kx4bHNlACOSd3wCRlV9hF,"Guitar Hero : Dreams Come True","12가지 말들","bongjeingan",2023-10-04,211268,23,false,,1970-01-01T00:00:00Z,"한국 록","DOOROODOOROO ARTIST COMPANY",0.625,0.815,7,-4.552,1,0.0449,0.00171,0.406,0.166,0.796,146.289,4
spotify:track:0Nld5ohgWfoPueMEtYNbgE,"와리가리","22","혁오",2015-05-28,228320,54,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.748,0.721,6,-6.345,0,0.0408,0.103,0,0.108,0.625,119.892,4
spotify:track:3dRjgD726V3FTob1r2Mk3s,"날개","비선형","Mot",2004-06-18,207633,33,false,,1970-01-01T00:00:00Z,"한국 록","Motmusic",0.716,0.0768,9,-20.35,0,0.0462,0.958,0.275,0.101,0.206,77.929,4
spotify:track:6NKAKulkYABhP7s63wbCDK,"work, shit, sleep","work, shit, sleep","jisokuryClub",2023-12-17,202800,36,false,,1970-01-01T00:00:00Z,"한국 록","jisokuryClub",0.53,0.653,11,-9.526,1,0.0518,0.00175,0.512,0.111,0.716,150.043,4
spotify:track:4ceXU11FfeiQ47B4cX28gB,"NO PAIN","POWER ANDRE 99","실리카겔",2023-12-20,221390,52,false,,1970-01-01T00:00:00Z,"한국 록","MAGIC STRAWBERRY SOUND",0.543,0.556,8,-4.266,1,0.0307,0.0253,0,0.322,0.4,94.01,4
spotify:track:4oXzQhoo9E9vvDtrIYPdtr,"Abandoned Umbrella","Hidden Picture","놀이도감",2020-10-20,199052,29,false,,1970-01-01T00:00:00Z,"한국 록","ormdstudio",0.746,0.388,8,-9.53,1,0.039,0.381,0.809,0.292,0.538,76.993,4
spotify:track:2pz1e16Fx98CRuF6Qx8Xmq,"로마네스크","계몽","THORNAPPLE",2019-07-04,268426,41,false,,1970-01-01T00:00:00Z,"한국 록","Happy Robot Records",0.481,0.76,8,-4.68,0,0.0367,0.323,0.000194,0.0966,0.758,172.111,4
spotify:track:0VrZodRby4IfK3rZIxSajI,"Young Man","AAA","혁오;落日飛車 Sunset Rollercoaster",2024-07-10,257286,47,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드,대만 인디,중국 인디,베드룸 팝","DOOROODOOROO ARTIST COMPANY, Sunset Music Productions Co., Ltd",0.658,0.732,9,-5.3,1,0.032,0.0139,0.00147,0.2,0.717,110.99,4
spotify:track:6SVB6WGdh2GbXvtqeI092E,"The Things You Put Off","The Myth Of Sisyphus","윤지영",2025-11-05,175250,33,false,,1970-01-01T00:00:00Z,"K-발라드","Chihuahua.WAV / ADA",0.664,0.491,0,-7.653,0,0.0319,0.307,0.631,0.338,0.71,145.566,3
spotify:track:434NEm5AW4ykfi83dnW7oS,"9","Silica Gel","실리카겔",2016-10-12,245000,40,false,,1970-01-01T00:00:00Z,"한국 록","Silica Gel",0.23,0.905,1,-0.799,1,0.0446,0.000553,0.00383,0.341,0.503,93.167,4
spotify:track:4JGiIFr49qQUYZlqsGhiZi,"Take On","Orientation","jisokuryClub",2022-10-23,199133,39,false,,1970-01-01T00:00:00Z,"한국 록","jisokuryClub",0.606,0.557,11,-7.693,1,0.0381,0.405,0,0.114,0.495,104.867,4
spotify:track:4qdBPJta3BVPXCS0wJZ6yO,"입춘","입춘","HANRORO",2022-03-14,248407,64,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.25,0.372,9,-4.619,0,0.0379,0.435,0,0.108,0.0535,161.257,4
spotify:track:7ophvrIUAHSbf0uCEb5TzB,"멸종","동물","THORNAPPLE",2023-08-28,284000,45,false,,1970-01-01T00:00:00Z,"한국 록","Happy Robot Records",0.64,0.954,11,-3.069,1,0.0541,0.0161,0.0268,0.0791,0.802,132.978,4
spotify:track:3RbRTEloMZ6VNTJYhHNCZU,"날씨의 요정","희망서","Shin In Ryu",2022-11-12,227000,48,false,,1970-01-01T00:00:00Z,"한국 록","SHIN IN RYU",0.581,0.517,5,-6.364,0,0.036,0.562,0.00000146,0.103,0.345,139.958,4
spotify:track:19qEziB8L5GHAQce044UML,"Nap","SiO2.nH2O","실리카겔",2017-11-07,237015,29,false,,1970-01-01T00:00:00Z,"한국 록","Silica Gel",0.615,0.726,0,-4.717,1,0.0548,0.00277,0.000329,0.0503,0.595,95.994,4
spotify:track:1YUpOr8DUaLoTXCNBDCiGA,"항상 엔진을 켜둘께","DRRRR!","DELISPICE",2001-09-13,198478,37,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","프레쉬엔터테인먼트",0.425,0.837,6,-4.421,1,0.0318,0.00196,0.0000203,0.313,0.594,143.038,4
spotify:track:4B9GdhLzBOhvSMeLXDZDxD,"Then Tonight","Orientation","jisokuryClub",2022-10-23,233426,35,false,,1970-01-01T00:00:00Z,"한국 록","jisokuryClub",0.537,0.458,11,-7.411,0,0.0269,0.369,0.379,0.119,0.408,89.973,4
spotify:track:7vOkJsWdlHZF2NXwliYsrg,"모래","모래","Bosudongcooler",2021-11-30,225653,28,false,,1970-01-01T00:00:00Z,"한국 록","Boiler Record",0.469,0.702,3,-5.132,1,0.0284,0.292,0.00452,0.0953,0.545,76.983,4
spotify:track:2O8pQEw1iv65v9Rqqs494T,"청춘","TIME","솔루션스",2022-03-17,227013,41,false,,1970-01-01T00:00:00Z,"한국 록","Happy Robot Records",0.629,0.478,11,-6.01,1,0.0321,0.491,0.000143,0.123,0.308,126.059,4
spotify:track:79sw3c1uKUVuq0xB0fljL8,"Lover","Silica Gel","실리카겔",2016-10-12,216000,33,false,,1970-01-01T00:00:00Z,"한국 록","Silica Gel",0.346,0.669,7,-2.952,1,0.0324,0.000689,0.0014,0.197,0.226,88.135,4
spotify:track:3PJg0fgeLcYVBqiOCL0x4o,"Always In Love","Always In Love","Bye Bye Badman",2017-10-25,234023,30,false,,1970-01-01T00:00:00Z,"한국 록","피치스레이블, 매직스트로베리사운드",0.508,0.794,1,-3.978,1,0.0311,0.0075,0.00000531,0.0988,0.713,94.976,4
spotify:track:2H1jcbKpC5jqHIsYBmEdVf,"푸른달","GARDEN","O.O.O",2017-08-23,204000,30,false,,1970-01-01T00:00:00Z,"한국 록","NOL entertainment",0.697,0.974,1,-3.389,1,0.0966,0.0461,0.00062,0.0976,0.42,117.9,4
spotify:track:4lL9vNnwOvqopBxxFZMnza,"BABY","12가지 말들","bongjeingan",2023-10-04,200208,30,false,,1970-01-01T00:00:00Z,"한국 록","DOOROODOOROO ARTIST COMPANY",0.48,0.604,5,-6.096,1,0.0309,0.00158,0.0589,0.0842,0.894,173.496,4
spotify:track:5cqBLGTic49hsZSPflkQV1,"죽여줘","죽여줘","Bosudongcooler",2018-04-20,242438,36,false,,1970-01-01T00:00:00Z,"한국 록","Boiler Record",0.593,0.576,0,-7.39,1,0.0262,0.128,0.00495,0.0862,0.398,75.033,4
spotify:track:2CTda1dhYmzOVZVjZdQD9N,"Realize","POWER ANDRE 99","실리카겔",2023-12-20,259175,45,false,,1970-01-01T00:00:00Z,"한국 록","MAGIC STRAWBERRY SOUND",0.299,0.794,10,-4.898,1,0.0909,0.00209,0.000692,0.422,0.469,183.922,4
spotify:track:2m5tBREKTYsBlBzjsPrwS5,"The Legend of Pine Forest","Hidden Picture","놀이도감",2020-10-20,127837,34,false,,1970-01-01T00:00:00Z,"한국 록","ormdstudio",0.503,0.493,11,-9.171,0,0.0337,0.473,0.832,0.104,0.656,193.847,4
spotify:track:0miJmqa979m1MlVmsDTgKT,"너의 한마디","너의 한마디","Shin In Ryu",2018-09-26,254003,39,false,,1970-01-01T00:00:00Z,"한국 록","Shin In Ryu",0.456,0.458,7,-9.427,1,0.0251,0.458,0.0188,0.298,0.132,79.908,4
spotify:track:3Vr0ood3JGIMIT15O9Zle9,"It better one shot of Jameson","For the person who think like me","다섯",2024-01-06,204705,23,false,,1970-01-01T00:00:00Z,"한국 록","Dasutt",0.557,0.749,2,-7.564,1,0.0305,0.2,0.396,0.131,0.354,135.987,4
spotify:track:637aU7AYlA9cglvyEKWAZR,"GAEKKUM","GAEKKUM / GOOD","bongjeingan",2022-12-12,239506,26,false,,1970-01-01T00:00:00Z,"한국 록","DOOROODOOROO ARTIST COMPANY",0.422,0.843,2,-5.635,1,0.0669,0.00858,0.681,0.182,0.783,110.621,4
spotify:track:0haCeyoW7lP7PNRu3RnSZZ,"Desert Eagle","Desert Eagle","실리카겔",2021-08-15,309664,48,false,,1970-01-01T00:00:00Z,"한국 록","MAGIC STRAWBERRY SOUND",0.231,0.513,9,-5.848,0,0.0356,0.00412,0.0166,0.265,0.322,159.05,4
spotify:track:4OJ3lHcyZdUaYNyhFQdbax,"Summer","The Volunteers","The Volunteers",2021-05-27,251033,46,false,,1970-01-01T00:00:00Z,"한국 록","Blue Vinyl",0.424,0.633,6,-9.235,1,0.0283,0.0807,0.00485,0.201,0.177,96.887,4
spotify:track:5Fm5M3A8vbv6q4i7o0GT5u,"인생은 금물","가장 보통의 존재","언니네 이발관",2008-08-08,249000,33,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.736,0.754,9,-6.383,1,0.0269,0.365,0.011,0.11,0.967,110.941,4
spotify:track:7w1rIobPql6ZIKGlVJ9QLv,"너의 속삭임 Residue of a Whisper","너의 속삭임 Residue of a Whisper","3호선 버터플라이",2025-07-28,193291,22,false,,1970-01-01T00:00:00Z,"한국 록","Southpole Sound Lab",0.405,0.795,9,-5.381,0,0.0347,0.0116,0.0816,0.0518,0.457,157.938,4
spotify:track:3VyhNQNqtEtx26ZmR2Mr6z,"사라지는 꿈","Aliens","Sultan of the Disco",2018-10-30,257250,37,false,,1970-01-01T00:00:00Z,"한국 록,시티 팝","붕가붕가레코드, CJ문화재단",0.777,0.628,2,-4.657,0,0.0311,0.137,0.0000249,0.101,0.664,110.015,4
