Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ATIeBo4fQnecpNzm3CUFm,"UNLOVE (prod. HONNE)","Zip","Zion.T",2023-12-06,180044,53,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-04-28T13:02:09Z,"한국 랩,K-발라드","THEBLACKLABEL",0.92,0.427,8,-8.419,1,0.057,0.169,0.285,0.107,0.917,106.976,4
spotify:track:4Dr2hJ3EnVh2Aaot6fRwDO,"Blueming","Love poem","아이유",2019-11-18,217053,64,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:04:46Z,"케이팝,K-발라드","Kakao Entertainment",0.819,0.674,0,-3.145,1,0.0587,0.0849,0,0.0667,0.682,106.032,4
spotify:track:4RewTiGEGoO7FWNZUmp1f4,"Celebrity","Celebrity","아이유",2021-01-27,195546,55,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:04:52Z,"케이팝,K-발라드","EDAM Entertainment",0.73,0.784,9,-2.62,1,0.0691,0.191,0,0.0956,0.673,99.995,4
spotify:track:2g0LdZQce9xlcHb1mBJyuz,"strawberry moon","strawberry moon","아이유",2021-10-19,205333,56,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:04:56Z,"케이팝,K-발라드","EDAM Entertainment",0.475,0.712,6,-3.306,1,0.0431,0.138,0,0.0936,0.443,169.796,4
spotify:track:5xrtzzzikpG3BLbo4q1Yul,"라일락","IU 5th Album 'LILAC'","아이유",2021-03-25,214253,65,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:01Z,"케이팝,K-발라드","EDAM Entertainment",0.738,0.89,2,-2.275,0,0.0748,0.0895,0.00000189,0.213,0.75,114.942,4
spotify:track:0pYacDCZuRhcrwGUA5nTBe,"에잇(Prod.&Feat. SUGA of BTS)","에잇","아이유;SUGA",2020-05-06,167573,67,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:07Z,"케이팝,K-발라드","EDAM Entertainment",0.676,0.869,1,-1.573,1,0.0423,0.115,0,0.132,0.594,120.029,4
spotify:track:4YvtgtEH5E1pahZu9uzKRy,"Into the I-LAND","I-LAND Part.1 Signal Song","아이유",2020-06-19,217322,50,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:11Z,"케이팝,K-발라드","EDAM Entertainment",0.521,0.926,0,-3.719,1,0.137,0.139,0,0.124,0.31,121.883,4
spotify:track:0KVClXxsZEKkyWRNXeRFrE,"내 손을 잡아","최고의 사랑 OST Part.4","아이유",2011-05-25,195216,53,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:16Z,"케이팝,K-발라드","Kakao Entertainment",0.638,0.663,9,-5.049,1,0.0306,0.281,0,0.35,0.463,96.025,4
spotify:track:6RBziRcDeiho3iTPdtEeg9,"사건의 지평선","YOUNHA 6th Album Repackage 'END THEORY : Final Edition'","윤하",2022-03-30,300786,56,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:19Z,"K-발라드","C9 Entertainment",0.534,0.861,11,-3.177,0,0.0361,0.0758,0,0.167,0.286,97.977,4
spotify:track:49KDK2ccYnOCYPeXfDO3YT,"DINOSAUR","SUMMER EPISODE","AKMU",2017-07-20,240571,60,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:45Z,"K-발라드,케이팝","YG Entertainment",0.767,0.755,11,-3.938,0,0.03,0.303,0.0000362,0.105,0.631,120.978,4
spotify:track:0x50cQ1pZeV4xl737GhKBk,"오랜 날 오랜 밤","사춘기 하 (思春記 下)","AKMU",2017-01-03,283800,57,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:50Z,"K-발라드,케이팝","YG Entertainment",0.665,0.537,0,-4.65,1,0.0267,0.146,0,0.124,0.271,116.995,4
spotify:track:0hqj5JBnFt1BHEz2UCFwrl,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","항해","AKMU",2019-09-25,290095,64,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:54Z,"K-발라드,케이팝","YG Entertainment",0.52,0.248,5,-8.675,1,0.0355,0.91,0.00000136,0.118,0.228,129.214,4
spotify:track:4dMGKGfaWMZNLQEjkd8lme,"여행","Red Diary Page.2","볼빨간사춘기",2018-05-24,220980,55,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:05:58Z,"케이팝,K-발라드","쇼파르뮤직",0.708,0.889,1,-2.879,1,0.0622,0.46,0,0.113,0.645,128.05,4
spotify:track:6IBPrw5nYj84x8JpiOvXUp,"You(=I)","Full Album RED PLANET","볼빨간사춘기",2016-08-29,169477,63,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-05-10T15:03:01Z,"케이팝,K-발라드","쇼파르뮤직",0.695,0.895,0,-3.237,0,0.0403,0.618,0.000321,0.307,0.681,105.03,4
spotify:track:4UYG6t46aWiMKrjnIcp19L,"워커홀릭","Two Five","볼빨간사춘기",2019-09-10,191080,42,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:01Z,"케이팝,K-발라드","쇼파르뮤직",0.727,0.766,11,-3.006,0,0.055,0.35,0,0.644,0.664,108.029,4
spotify:track:3jsYQw78lrxJA2ysnmOIf9,"썸 탈꺼야","Red Diary Page.1","볼빨간사춘기",2017-09-28,181373,67,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:05Z,"케이팝,K-발라드","쇼파르뮤직",0.659,0.799,1,-2.849,0,0.0629,0.417,0,0.0562,0.782,103.991,4
spotify:track:15c7KZTrsCUxCQcOdUVELc,"우주를 줄게","Full Album RED PLANET","볼빨간사춘기",2016-08-29,213853,60,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-05-10T15:03:16Z,"케이팝,K-발라드","쇼파르뮤직",0.483,0.814,0,-2.407,1,0.143,0.683,0,0.0918,0.696,82.814,4
spotify:track:6uEWYpv8HNAdbwHlqemG1F,"Love story","Seoul","볼빨간사춘기",2022-04-20,197333,52,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:10Z,"케이팝,K-발라드","쇼파르엔터테인먼트",0.865,0.822,4,-3.261,1,0.0548,0.432,0,0.0989,0.634,114.058,4
spotify:track:4gMPlHHAjOQnUrhsuqHivn,"나의 사춘기에게","Red Diary Page.1","볼빨간사춘기",2017-09-28,222680,63,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-05-10T15:02:39Z,"케이팝,K-발라드","쇼파르뮤직",0.424,0.564,9,-4.619,1,0.0563,0.685,0,0.292,0.441,173.334,4
spotify:track:3NFXgRyGUH3j0dQ9PB4rWC,"아틀란티스 소녀 (Atlantis Princess)","Our Beloved BoA #2 - SM STATION","볼빨간사춘기",2020-08-07,211293,39,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:18Z,"케이팝,K-발라드","SM Entertainment",0.681,0.82,10,-3.246,1,0.0494,0.387,0,0.171,0.537,108.157,4
spotify:track:0UnOf7i44YK0ULpkEGHe4R,"나의 X에게","나의 X에게","경서",2022-04-24,187733,48,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:22Z,"K-발라드","Engine of Dream",0.701,0.553,3,-3.393,1,0.0287,0.528,0,0.147,0.515,94.023,4
spotify:track:2LwH6T39A5IODRgPv9XitR,"옥탑방 (Rooftop)","FLY HIGH PROJECT #2 '옥탑방'","엔플라잉",2019-01-02,210652,54,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:36Z,"한국 록,케이팝","FNC Entertainment",0.692,0.9,0,-2.188,1,0.051,0.532,0,0.235,0.915,96.989,4
spotify:track:4v62eKhSpKkzWVIirLxlDa,"우리의 꿈","20th ANNIVERSARY 'REborn'","KYT",2019-02-08,251517,42,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:41Z,"K-발라드","KYT ENTERTAINMENT",0.579,0.88,6,-1.485,1,0.0537,0.175,0,0.15,0.448,149.913,4
spotify:track:7F7s8Hh6h1PgGUyVzpRfDs,"Baby I Need You","Baby I Need You","Joosiq",2022-03-30,215400,47,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:50Z,"K-발라드","WM Korea",0.73,0.558,4,-4.403,1,0.0418,0.354,0,0.165,0.744,100.044,4
spotify:track:0rXtV4L8uQ7KHNxxKd2jGZ,"Think About You","Think About You","Joosiq",2021-09-22,212608,53,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:06:54Z,"K-발라드","WM Korea",0.745,0.567,10,-4.888,1,0.0341,0.673,0,0.171,0.806,92.033,4
spotify:track:7MXtr93z4ltQzhfIxYnYWX,"밤 하늘의 별을(2020)","밤하늘의 별을(2020)","경서",2020-11-14,217253,51,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:01Z,"K-발라드","Engine of Dream",0.583,0.643,3,-5.338,1,0.0775,0.492,0,0.225,0.691,154.133,4
spotify:track:1MtCOuTy3B6fU72LQPvg16,"헤픈 우연","HAPPEN","헤이즈",2021-05-20,193560,53,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:06Z,"K-발라드,케이팝","Genie Music Corporation, Stone Music Entertainment",0.704,0.674,9,-4.972,0,0.0799,0.168,0,0.341,0.565,112.893,4
spotify:track:6FZAc2XaVYc8G8jaDnBshv,"비도 오고 그래서","/// (너 먹구름 비)","헤이즈;신용재",2017-06-26,205312,57,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:09Z,"K-발라드,케이팝,사운드트랙","Genie Music Corporation",0.509,0.502,1,-6.972,0,0.0915,0.765,0,0.396,0.341,79.16,4
spotify:track:4a0OYMqeBOGuzCPLg5SfWU,"비가 오는 날엔 (2021)","비가 오는 날엔 (2021)","헤이즈",2021-08-04,230186,52,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:12Z,"K-발라드,케이팝","Genie Music Corporation, Stone Music Entertainment",0.468,0.637,10,-7.618,0,0.216,0.862,0,0.384,0.123,87.998,4
spotify:track:03qu1u4hDyepQQi2lNxCka,"신호등","신호등","이무진",2021-05-14,231586,55,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:16Z,"K-발라드","ShowPLAY ENTERTAINMENT",0.609,0.717,6,-3.547,0,0.0597,0.0965,0,0.0694,0.545,97.026,4
spotify:track:5gllIJSLyRouz1bGO5ues4,"오래된 노래","Shine","스탠딩 에그",2013-10-04,272762,0,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:20Z,"K-발라드","Born",0.577,0.574,0,-6.121,1,0.0291,0.134,0,0.108,0.375,143.917,4
spotify:track:0lZZ0Icm0dVmJHTpMCuy1H,"허리춤","허리춤","오반",2021-06-21,211640,39,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:24Z,"K-발라드,한국 랩","Romantic Factory",0.647,0.783,7,-4.337,1,0.119,0.849,0,0.199,0.641,92.937,4
spotify:track:1ee336VqMtJzZzZKRqNXAK,"어떻게 지내 (Prod. By VAN.C)","어떻게 지내","오반",2020-03-05,230769,46,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:27Z,"K-발라드,한국 랩","Romantic Factory",0.652,0.77,11,-5.289,1,0.167,0.468,0,0.318,0.78,142.896,4
spotify:track:6AZqC0amAg49hiTk67DWxL,"과제곡 (교수님 죄송합니다)","과제곡","이무진",2021-07-17,229226,41,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:33Z,"K-발라드","ShowPLAY ENTERTAINMENT",0.556,0.659,0,-5.935,1,0.0606,0.219,0,0.101,0.159,126.175,4
spotify:track:2PmLP4DNUPJC98L78mrkal,"참고사항","Room Vol.1","이무진",2022-06-23,221760,0,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:36Z,"K-발라드","BIGPLANETMADE, SWING ENTERTAINMENT",0.692,0.672,1,-6.089,1,0.0448,0.313,0.00000675,0.0736,0.702,116.025,4
spotify:track:6hfSBKcK4txmsY8ZpXYCgs,"너에게 못했던 내 마지막 말은","너에게 못했던 내 마지막 말은","다비치",2019-05-17,268213,46,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:44Z,"K-발라드,사운드트랙,케이팝","Genie Music Corporation",0.498,0.573,2,-4.45,1,0.0373,0.749,0,0.118,0.358,88,4
spotify:track:1SwZVVH9BnXtLRLi2cbFhw,"좋은 날","REAL","아이유",2010-12-09,233586,64,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:48Z,"케이팝,K-발라드","Kakao Entertainment",0.637,0.882,9,-3.034,1,0.0654,0.165,0,0.0981,0.552,128.027,4
spotify:track:4TZYF2Ul2fPNVp0I5wqTZz,"늦은 밤 헤어지긴 너무 아쉬워","LOVE & HATE","케이시",2022-05-19,164253,39,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:52Z,"K-발라드,사운드트랙,케이팝","Nextar Entertainment",0.812,0.626,0,-3.842,1,0.0534,0.241,0,0.119,0.539,97.01,4
spotify:track:7y4oE4ATKrE9XIM9XSeyQN,"8282","Davichi In Wonderland","다비치",2009-02-27,219160,5,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:07:59Z,"K-발라드,사운드트랙,케이팝","Beyond Music",0.561,0.675,2,-5.6,1,0.0783,0.0806,0,0.095,0.277,143.037,3
spotify:track:3ZMPl8BrHqX0erYjqWiZ0c,"안녕이라고 말하지마","Love Delight","다비치",1997,231800,0,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:02Z,"K-발라드,사운드트랙,케이팝","Beyond Music",0.684,0.712,10,-2.963,1,0.0291,0.413,0,0.0905,0.49,113.98,4
spotify:track:0afoCntatBcJGjz525RxBT,"노래방에서","장범준 3집","장범준",2019-03-21,239842,47,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:11Z,"K-발라드","BuskerBusker",0.599,0.648,0,-3.618,0,0.027,0.211,0,0.472,0.723,104.011,4
spotify:track:775S83AMYbQc8SYteOktTL,"그라데이션","5.3","10CM",2022-07-03,201280,0,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:16Z,"K-발라드,사운드트랙","MAGIC STRAWBERRY SOUND",0.63,0.653,11,-3.592,1,0.0252,0.175,0,0.108,0.442,104.003,4
spotify:track:3I71PFicYG614VGl6hqcUK,"나는 나비","Why Be?","YB",2010-01-01,214906,53,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:21Z,"K-발라드,한국 록","Universal Music Ltd. Distributed Labels",0.593,0.708,11,-1.247,1,0.0382,0.0252,0,0.105,0.283,127.031,4
spotify:track:4L1MHK27ifT30Ndicpr7js,"다시 여기 바닷가","다시 여기 바닷가","싹쓰리",2020-07-18,233853,41,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:25Z,"K-발라드","MBC",0.563,0.951,0,-1.693,0,0.123,0.0463,0,0.341,0.614,131.958,4
spotify:track:0U5HgFCn3EJN2zZqI0KGfJ,"사랑한다고 말해줘","사랑한다고 말해줘","Tophyun",2022-08-07,199266,44,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:30Z,"K-발라드","Tophyun world",0.716,0.557,1,-5.889,1,0.0308,0.776,0,0.121,0.625,106.986,4
spotify:track:2njgIBj0nJ1UUFYNuW06et,"비가 오는 날엔","비가 오는 날엔","비스트",2011-05-12,225800,41,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:35Z,"케이팝","CUBE ENTERTAINMENT",0.688,0.612,8,-6.303,0,0.0574,0.72,0,0.106,0.692,90.022,4
spotify:track:4ytyLpIwUXbdFsNOvgNnmP,"사계 (Four Seasons)","사계 (Four Seasons)","태연",2019-03-24,188237,54,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:39Z,"케이팝,K-발라드","SM Entertainment",0.596,0.768,6,-4.948,1,0.145,0.0548,0,0.154,0.673,173.99,4
spotify:track:4jX2t5UJX0odaOY2VJahmx,"통화연결음","통화연결음","보라미유;MJ (써니사이드)",2022-08-14,180240,39,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:42Z,"K-발라드","Project Ribbon plus",0.634,0.698,6,-3.219,1,0.0336,0.63,0,0.0512,0.702,78.064,4
spotify:track:2xms6U7ngGDBYJ4RnRTPyz,"스토커 Stalker","3.0","10CM",2014-11-19,252800,0,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:47Z,"K-발라드,사운드트랙","Magic Strawberry Sound",0.583,0.288,1,-5.907,1,0.0288,0.816,0,0.106,0.218,136.014,4
spotify:track:0GtnPY1LePGHquWzIEiqMj,"비밀번호 486","고백하기 좋은 날","윤하",2007-03-15,228153,0,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:50Z,"K-발라드","Beyond Music",0.622,0.882,9,-2.886,1,0.105,0.0867,0,0.0931,0.726,136.926,4
spotify:track:7tOsgOjrzBVQqyaMDBlZV8,"오르트구름","YOUNHA 6th Album 'END THEORY'","윤하",2021-11-16,206626,47,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:53Z,"K-발라드","C9 Entertainment",0.722,0.822,4,-4.355,0,0.0648,0.0224,0.00000214,0.0882,0.684,127.994,4
spotify:track:3scRk3rUGIwpCg9kMNrtEQ,"첫사랑","첫사랑","백아",2018-10-11,188942,55,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:08:57Z,"K-발라드","Baek A",0.469,0.284,9,-10.177,0,0.0446,0.814,0,0.103,0.403,133.685,4
spotify:track:3UPjb91Fwm7u2tAm92Bk0p,"우리 왜 헤어져야 해","우리 왜 헤어져야 해","신예영",2019-11-20,247360,0,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:09:02Z,"K-발라드","Studio O.D.R",0.554,0.526,7,-5.21,1,0.0394,0.808,0,0.074,0.23,129.845,4
spotify:track:0GCinPS9Gdb7z0WjLNMVXL,"하늘바라기 (FEAT. 하림)","Dream","정은지;Ha Reem",2016-04-18,220518,44,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:09:07Z,"K-발라드,사운드트랙","Above Music",0.495,0.774,0,-3.214,0,0.149,0.209,0,0.195,0.466,186.165,4
spotify:track:3LpAsXjqTQ5FUyptb2lujH,"그때가 좋았어","그때가 좋았어","케이시",2018-12-31,235392,44,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:09:10Z,"K-발라드,사운드트랙,케이팝","Nextar Entertainment",0.615,0.447,7,-5.522,1,0.0398,0.695,0,0.122,0.316,133.742,4
spotify:track:2vA5M8uXee4amGQajyUMFR,"눈이 오잖아(Feat.헤이즈)","눈이 오잖아(Feat.헤이즈)","이무진;헤이즈",2021-12-03,232026,52,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:09:14Z,"K-발라드,케이팝","ShowPLAY ENTERTAINMENT",0.574,0.54,8,-7.508,1,0.0316,0.31,0,0.289,0.176,96.005,4
spotify:track:7B04nsd6Y08zVUHSZ2THj4,"애상","Cool Best","쿨",2004-04-19,209659,45,false,31nqt6cxigxwtcb6wvtv7qjtta4y,2024-03-03T15:09:19Z,"K-발라드","Cool",0.722,0.95,7,-3.712,1,0.0488,0.0368,0.0000324,0.318,0.925,124.046,4
