Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3IvbHxGks1b6iwBYj5RjhZ,"악마의 연기 (Feat. Perry)","무시","양현석;Perry",1998-04-06,226026,8,false,,1970-01-01T00:00:00Z,"한국 랩","YG Entertainment",0.727,0.785,4,-5.094,0,0.0446,0.0106,0.0000702,0.0722,0.759,103.275,4
spotify:track:5HiSc2ZCGn8L3cH3qSwzBT,"러시안 룰렛 (Russian Roulette)","Russian Roulette - The 3rd Mini Album","Red Velvet",2016-09-07,211243,72,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.726,0.903,7,-2.277,0,0.0357,0.055,0.000225,0.158,0.958,129.986,4
spotify:track:28v5XsF5Weg0SeXK3xSKcV,"난 알아요 - '92 TV Edit","Seotaiji and Boys","서태지와 아이들",1992-03-23,204320,38,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.703,0.754,6,-5.162,1,0.0537,0.0142,0,0.211,0.408,111.801,4
spotify:track:6NEoeBLQbOMw92qMeLfI40,"휘파람","SQUARE ONE","BLACKPINK",2016-08-08,211631,73,false,,1970-01-01T00:00:00Z,"케이팝","YG Entertainment",0.818,0.723,11,-4.82,1,0.114,0.00561,0,0.0866,0.607,102.945,4
spotify:track:0t7kjpVLgOYITrSfFCoBEA,"Gee","Oh! - The Second Album","소녀시대",2010-01-28,201160,70,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.756,0.93,1,-1.082,0,0.0274,0.281,0,0.11,0.737,99.988,4
spotify:track:2bAQsNqdo62T8akkIvWzGl,"RUDE!","RUDE!","Hearts2Hearts",2026-02-20,200000,85,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.78,0.784,6,-4.2,0,0.0893,0.169,0.00000839,0.339,0.467,128.076,4
spotify:track:0HmNuAoSYVsRRjKiAucFn7,"초대","엄정화 4집(Invitation)","엄정화",1998-07-01,234057,42,false,,1970-01-01T00:00:00Z,"","istar music",0.854,0.383,1,-9.545,1,0.0528,0.036,0.000256,0.0405,0.954,99.986,4
spotify:track:4ebC0oQEzTTNTpCDM1IBWD,"말해줘","Jinusean","지누션",1997-03-01,233000,46,false,,1970-01-01T00:00:00Z,"한국 랩","YG Entertainment",0.761,0.952,4,-5.747,0,0.0557,0.0366,0.0000518,0.0246,0.877,120.016,4
spotify:track:5sJTlfMwhlvspaozMic4Ca,"Come Back Home","Seotaiji and Boys IV","서태지와 아이들",1995-10-05,235666,41,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.591,0.76,7,-5.111,1,0.232,0.000888,0.0106,0.155,0.71,185.87,4
spotify:track:5LuiS6pmJ9VoIFPnxPNYxK,"난 널 원해","Drunken Tiger Best","드렁큰 타이거",2014-02-17,233966,41,false,,1970-01-01T00:00:00Z,"한국 랩","도레미미디어",0.496,0.966,1,-3.354,1,0.264,0.0544,0.0000025,0.409,0.461,174.13,4
