Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0uv5YRu8DUa0kAmfa7xXHf,"선인장 (feat. 심규선)","유실물 보관소","에피톤 프로젝트;심규선",2010-05-12,210253,35,false,,1970-01-01T00:00:00Z,"K-발라드","Pastel Music",0.657,0.483,3,-8.641,1,0.0301,0.768,0,0.124,0.556,96.039,4
spotify:track:6XdXTQV3qwim4Bji87TT8t,"Bye bye my blue","Bye bye my blue","백예린",2016-06-20,203409,53,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.511,0.54,3,-6.726,1,0.114,0.613,0.00000316,0.121,0.297,87.704,4
spotify:track:1K0UnPnWrV7rrLVl2Xm1dD,"Cheer Up","28","옥상달빛",2011-04-26,179026,43,false,,1970-01-01T00:00:00Z,"K-발라드,중국 인디","MAGIC STRAWBERRY SOUND",0.659,0.353,9,-7.681,1,0.0426,0.852,0,0.0708,0.362,156.133,3
spotify:track:3a67SvevTyWCy6Q1NYAjAk,"일종의 고백","내가 부른 그림 2","이영훈",2015-02-05,223200,42,false,,1970-01-01T00:00:00Z,"K-발라드","Magic Strawberry Sound",0.512,0.377,6,-8.328,1,0.0308,0.827,0.413,0.104,0.21,119.786,4
spotify:track:5TSVsb0rX427EaNYlUD4Jo,"going home","315360","김윤아",2010-04-26,221346,39,false,,1970-01-01T00:00:00Z,"K-발라드","LV co.",0.466,0.154,10,-10.282,1,0.036,0.962,0.000117,0.234,0.251,77.934,4
spotify:track:0xWvU1Tgjqgv39qHzZcici,"그대는 어디에 (feat. 한희정)","긴 여행의 시작","에피톤 프로젝트;한희정",2009-02-24,230186,30,false,,1970-01-01T00:00:00Z,"K-발라드,사운드트랙","파스텔뮤직",0.553,0.538,10,-8.764,1,0.0257,0.29,0.00732,0.0757,0.24,143.977,4
spotify:track:623MRGJs27mi0ne71LEqGa,"Fall in Love Again","Fall in Love Again","알레프",2017-08-24,218456,46,false,,1970-01-01T00:00:00Z,"K-발라드","MUN HWA IN",0.609,0.356,0,-8.384,1,0.0295,0.836,0,0.115,0.315,140.037,4
spotify:track:3lTObYGSKuuDDacZsEqvnR,"Leaning On you(너에게..기대)","Be Mate","mate(메이트)",2011-07-04,282546,33,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","gemcultures",0.547,0.274,0,-9.114,1,0.0289,0.743,0.00000202,0.0995,0.217,131.744,4
spotify:track:6uYBDTTolezL3ne2HsXDm0,"위로","멜로가 체질 (Original Television Soundtrack), Pt. 1","권진아",2019-08-10,196999,49,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.494,0.173,7,-10.342,1,0.0349,0.966,0.00000385,0.0993,0.227,63.233,4
spotify:track:2nVV04iCLePuvNBkw3HJJk,"소란했던 시절에","소란했던 시절에","빌리어코스티",2014-04-22,231983,30,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.252,0.312,6,-8.968,1,0.0321,0.654,0.000117,0.149,0.143,63.884,4
spotify:track:6P1l6iNWXvNzlZGv5mSD8I,"봄날, 벚꽃 그리고 너","At Your Favorite Place","에피톤 프로젝트",2008-04-23,230035,40,false,,1970-01-01T00:00:00Z,"K-발라드","NOL entertainment",0.507,0.125,2,-19.165,1,0.0422,0.994,0.934,0.133,0.203,140.123,3
spotify:track:14308UZCGOQ15C6vz1W0Ff,"As If Love Meant Nothing (feat. Lee Young Hoon)","Eternal Moment","위수;이영훈",2019-10-12,233129,32,false,,1970-01-01T00:00:00Z,"K-발라드","TEAM WISUE",0.619,0.12,11,-14.326,1,0.0506,0.957,0.00000528,0.129,0.358,118.051,4
spotify:track:1D6GZigg6dBeTe07sl3GfJ,"우리는 선처럼 가만히 누워 (feat. 이상순)","우리는 선처럼 가만히 누워","요조;이상순",2010-12-06,237733,23,false,,1970-01-01T00:00:00Z,"K-발라드","Pastel Music",0.525,0.387,9,-9.635,1,0.0286,0.875,0.29,0.124,0.249,89.933,4
