Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:06eq0M1eZRcIIRfx6d00nu,"METEOR","Boyhood","창모",2019-11-29,197096,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:17:32Z,"한국 랩","Genie Music Corporation, Stone Music Entertainment",0.728,0.642,8,-4.989,1,0.0727,0.316,0,0.0834,0.755,185.797,4
spotify:track:16YSuCnEjfRU3ic7Zb7fFA,"띵 (Prod. By 기리보이)","Dingo X Indigo Music","Jvcki Wai;양홍원;Osshun Gum;한요한",2019-01-13,226566,42,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:18:08Z,"한국 랩","Indigo Music, Dingo Music",0.83,0.769,0,-1.543,0,0.135,0.282,0,0.121,0.91,154.042,4
spotify:track:12u4NCbED8sXWUoBh9KEpA,"I'MMA DO 아마두 (feat.Woo, Keem Hyoeun, Nucksal, Huckleberry P)","Dingo X DAMOIM (Part 2)","염따;딥플로우;팔로알토;The Quiett;사이먼 도미닉;우원재;김효은;넉살;허클베리 피",2019-12-03,345620,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:18:22Z,"한국 랩","AOMG, Dingo Music, Hi-Lite Records, ILLIONAIRE RECORDS, VMC, YUMDDA",0.784,0.562,7,-7.931,1,0.404,0.223,0,0.0863,0.594,149.987,4
spotify:track:7Mrb4sz3MQNdTQINeO1dOB,"We Are","We Are","우원재;로꼬;GRAY",2017-09-04,196020,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:18:43Z,"한국 랩,케이팝","Stone Music Entertainment",0.756,0.808,7,-3.272,1,0.0752,0.147,0,0.129,0.685,100.019,4
spotify:track:3eHkFA3StDR9BU7EVrUFLs,"오늘 취하면 (FEAT.창모) (PROD. SUGA)","WINE","SURAN;창모",2017-04-27,232194,53,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:19:01Z,"케이팝,한국 랩","Million Market,Inc",0.62,0.644,4,-2.713,0,0.0447,0.314,0,0.105,0.502,145.87,4
spotify:track:15nSGpRfeHnBdIG1lXSvYN,"Boys And Girls","Boys and Girls","지코;Babylon",2015-11-03,200169,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:19:14Z,"한국 랩,케이팝","Stone Music Entertainment",0.815,0.75,1,-3.029,1,0.0581,0.0399,0,0.0553,0.614,103.037,4
spotify:track:08aurbdx6Lh5dhNYAXYiBa,"Bar Code (Prod. GroovyRoom)","School Rapper2 Team-Battle Part 3","김하온;빈첸",2018-03-31,222898,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:19:39Z,"한국 랩","Stone Music Entertainment",0.81,0.769,9,-5.259,1,0.204,0.269,0,0.406,0.285,105.017,4
spotify:track:2s9jWbxBzLBk673E2TPHsY,"Who You?","Show Me the Money 5 Episode 1","사이먼 도미닉;ONE;지투;BewhY",2016-06-18,306213,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:20:16Z,"한국 랩","Stone Music Entertainment",0.711,0.918,2,-4.86,1,0.231,0.147,0,0.244,0.694,139.996,4
spotify:track:7Ixn1yXMvF8YBuKnJKjliu,"Don't Know You","/// (You, Clouds, Rain)","헤이즈",2017-06-26,189410,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:20:42Z,"K-발라드,케이팝","Genie Music Corporation",0.699,0.562,4,-5.573,0,0.253,0.213,0,0.42,0.471,104.995,4
spotify:track:7ftv3uigGigYVND065syjM,"또 하루 (FEAT.개코)","또 하루","개리;개코",2015-12-31,217019,39,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:20:58Z,"한국 랩,K-발라드","LEESSANG COMPANY",0.559,0.743,10,-6.741,1,0.0695,0.171,0,0.101,0.505,149.63,4
spotify:track:3PWyoYwI4iHLnLWltMt4gd,"No Make Up","No Make Up","Zion.T",2015-10-12,189154,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:21:26Z,"한국 랩,K-발라드","Stone Music Entertainment",0.758,0.402,9,-5.066,1,0.0459,0.411,0,0.217,0.519,92.109,4
spotify:track:66DjEtulsWPzGiHDzwDEoI,"So What","So What","빈지노",2015-03-11,221096,0,true,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:21:48Z,"한국 랩","Genie Music Corporation, Stone Music Entertainment",0.761,0.547,11,-8.248,0,0.307,0.245,0,0.603,0.406,101.244,4
spotify:track:0LWlUOcUuxPZhj3hykvqlc,"Story of Someone I Know","'Not' Based on the True Story","산이",2013-12-02,206600,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:22:07Z,"한국 랩,K-발라드,케이팝","WM Hong Kong",0.837,0.91,1,-3.742,1,0.138,0.22,0,0.339,0.849,94.998,4
spotify:track:6g5SFT8S2FoXscWZueaAdk,"YGGR#Hip Hop","Show Me the Money3, Pt. 4","BOBBY",2014-08-29,240571,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:23:12Z,"한국 랩,케이팝","Genie Music Corporation",0.589,0.807,4,-4.656,0,0.382,0.385,0,0.352,0.63,94.966,4
spotify:track:32raq5fE3JqPn7HqZ6rgsk,"BAAAM","Luckynumbers","다이나믹 듀오;뮤지",2013-07-01,220880,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:23:58Z,"한국 랩,케이팝,시티 팝","Stone Music Entertainment",0.61,0.8,7,-5.544,1,0.211,0.0437,0,0.0405,0.682,99.193,4
spotify:track:0iYZsa6xdTvKrwFufLWafC,"You, Clouds, Rain","/// (You, Clouds, Rain)","헤이즈;신용재",2017-06-26,205312,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:24:24Z,"K-발라드,케이팝,사운드트랙","Genie Music Corporation",0.509,0.502,1,-6.972,0,0.092,0.765,0,0.396,0.341,79.16,4
spotify:track:2nRm7BbBcpVaInDBCag61K,"술이 달다 (feat. Crush)","sleepless in __________","에픽하이;Crush",2019-03-11,250758,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:24:44Z,"한국 랩,케이팝,K-발라드","OURS Co.",0.732,0.704,7,-6.294,1,0.132,0.526,0,0.104,0.493,89.932,4
spotify:track:3mNbGPCLCxia3yvwWp2P51,"시간이 들겠지 (Feat. Colde)","시간이 들겠지","로꼬;Colde",2018-10-08,231602,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:25:09Z,"한국 랩,케이팝","AOMG",0.728,0.503,3,-7.147,1,0.08,0.777,0.00000257,0.249,0.267,120.032,4
spotify:track:5XSaFLb9dlUdCwC9WAAsaC,"오랜만이야 (feat. Zion.T)","HELLO","로꼬;Zion.T",2019-02-07,205999,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:25:40Z,"한국 랩,케이팝,K-발라드","AOMG",0.653,0.712,5,-3.732,1,0.0587,0.637,0,0.207,0.675,80.031,4
spotify:track:1TM0n3pwhDOPZhmhDRpOLS,"Don’t Forget","Don't Forget","Crush;태연",2016-01-22,219106,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:25:52Z,"한국 랩,케이팝,K-발라드","Stone Music Entertainment",0.646,0.628,5,-5.81,1,0.0337,0.451,0,0.198,0.261,93.897,4
spotify:track:5TZXc0oTCm0FoarV8OGGP3,"Star","Star","헤이즈",2016-12-05,218280,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:26:18Z,"K-발라드,케이팝","Genie Music Corporation",0.509,0.471,11,-6.374,0,0.0721,0.572,0,0.38,0.306,68.426,4
spotify:track:6KyafpXji3NKMmlmSokT9Y,"Don’t","The Hyena on the Keyboard Pt. 4","로꼬;화사",2018-04-21,231654,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:26:28Z,"한국 랩,케이팝","Genie Music Corporation, Stone Music Entertainment",0.85,0.488,1,-7.052,1,0.0689,0.552,0,0.127,0.531,92.023,4
spotify:track:70asJaz2YBwCKQQVDQdWw1,"착해 빠졌어 (STUPID IN LOVE)","착해 빠졌어 (Stupid in love)","소유;매드클라운",2013-09-10,249496,40,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:26:57Z,"K-발라드,케이팝,한국 랩","STARSHIP X",0.67,0.949,1,-1.299,0,0.284,0.323,0,0.13,0.633,143.824,4
spotify:track:4hqlf0C2fcxPbzZSZNVgVw,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)","THINKING Part.1","지코;Jvcki Wai;염따",2019-09-30,252360,36,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:29:33Z,"한국 랩,케이팝","KOZ ENTERTAINMENT",0.868,0.789,0,-3.534,1,0.0801,0.149,0,0.108,0.699,117.043,4
spotify:track:3kjyG3jI6a2EzYVa3ZlvFI,"First Sight","First Sight","헤이즈",2018-12-14,205523,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:30:39Z,"K-발라드,케이팝","Genie Music Corporation",0.688,0.724,4,-5.421,0,0.0401,0.157,0.0000217,0.0735,0.207,104.974,4
spotify:track:2ZMzg8vFYRbvVZvzqx3jMT,"Puss","Unpretty Rapstar Semi Final","지민;Irion",2015-03-20,182750,0,true,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:31:17Z,"케이팝","Genie Music Corporation",0.817,0.936,1,-3.897,1,0.0895,0.00958,0.0000905,0.209,0.864,99.983,4
spotify:track:3gug38ZhXQWJbwN7sh0YRR,"한여름밤의 꿀","San E, 레이나 Project Single '한여름밤의 꿀'","산이;Raina",2014-06-12,233456,47,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:31:52Z,"한국 랩,K-발라드,케이팝","PLEDIS, BRANDNEW MUSIC",0.781,0.737,8,-3.915,1,0.227,0.57,0,0.31,0.778,85.973,4
spotify:track:3Gpdzw72aBVJSrm5J1leVK,"헤어지지 못하는 여자, 떠나가지 못하는 남자 Can't Breakup Girl, Can't Breakaway Boy (feat. 정인 Jung In)","Hexagonal","리쌍;정인",2009-10-06,284626,56,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:32:03Z,"K-발라드,한국 랩","Jungle Entertainment",0.523,0.841,10,-2.505,0,0.331,0.15,0,0.164,0.383,173.903,4
spotify:track:7y9FSrF6PBzTWwQIOVVUOj,"화 (FEAT.진실 OF MAD SOUL CHILD) (FIRE)","Piece of mine","매드클라운;Jinsil",2015-01-09,211111,38,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:32:21Z,"한국 랩,K-발라드","STARSHIP X",0.792,0.864,9,-3.19,1,0.25,0.0914,0,0.142,0.646,113.061,4
spotify:track:17jWB9tfanpXJGWJ8FSiEe,"1llusion","1llusion","Dok2",2016-05-21,170490,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:32:52Z,"한국 랩","Stone Music Entertainment",0.791,0.658,10,-6.886,0,0.355,0.233,0,0.118,0.584,96.924,4
spotify:track:7i6FTYnqGAy7ICUB8bkPoh,"Beautiful","Guardian (Original Television Soundtrack), Pt. 4","Crush",2016-12-17,227583,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:33:02Z,"한국 랩,케이팝,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.524,0.405,10,-6.145,1,0.028,0.842,0,0.107,0.237,109.984,4
spotify:track:5tUvlErZdS2SDhDVDpRnAn,"Dali, Van, Picasso","12","빈지노",2016-05-31,223402,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:33:15Z,"한국 랩","Genie Music Corporation, Stone Music Entertainment",0.592,0.559,5,-5.173,0,0.434,0.354,0,0.0906,0.282,126.849,3
spotify:track:4RVnBOCRhSg9acr4LjrSe5,"Day Day","Show Me the Money 5 Episode 4","BewhY;박재범",2016-07-09,209019,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:33:25Z,"한국 랩,케이팝","Stone Music Entertainment",0.824,0.883,10,-2.37,0,0.0721,0.0718,0,0.339,0.871,117.983,4
spotify:track:2UbelwIXVqlm9lBkXygpsg,"Forever","Show Me the Money 5 Episode 3","BewhY",2016-07-02,261197,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:33:34Z,"한국 랩","Stone Music Entertainment",0.572,0.887,6,-3.229,1,0.145,0.217,0,0.29,0.534,120.01,4
spotify:track:72F9GGy4X7Q1EwagZdvNcU,"Good Day","Show Me the Money 777 (Episode 1)","pH-1;키드밀리;루피;팔로알토",2018-10-06,266346,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:34:04Z,"한국 랩","Stone Music Entertainment",0.717,0.694,6,-4.105,0,0.267,0.357,0,0.241,0.472,154.986,4
spotify:track:2nUTc7lc1XIYe1gj9Y2UU0,"1/n","Show Me the Money 6 Episode 1","넉살;한해;Ryno;WOOCHAN;다이나믹 듀오",2017-08-05,302913,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:34:17Z,"한국 랩,라가,시카고 하우스,댄스홀,케이팝","Stone Music Entertainment",0.827,0.914,3,-2.583,0,0.211,0.223,0,0.123,0.854,116.896,4
spotify:track:2tSPS5dRintqVulKAKni2T,"One (feat. 지선)","Pieces, Part One","에픽하이;지선",2008-04-17,230320,51,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:34:29Z,"한국 랩,케이팝,K-발라드","CJ E&M MUSIC",0.742,0.783,1,-4.294,1,0.0368,0.0765,0.000104,0.0558,0.594,135.02,4
spotify:track:0nYfnUMS46acI9iEzToCXz,"Save","Show Me the Money 777 Episode 3","루피;팔로알토",2018-10-20,307956,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:34:38Z,"한국 랩","Genie Music Corporation",0.548,0.738,7,-3.75,1,0.301,0.671,0,0.128,0.601,170.053,4
spotify:track:0MiphDS5xfMLuxlHWSe141,"Her Fine Weather","She's Fine","헤이즈",2019-03-19,151009,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:36:12Z,"K-발라드,케이팝","Genie Music Corporation",0.659,0.644,6,-5.415,1,0.0459,0.137,0,0.0745,0.588,105.059,4
spotify:track:7tehsdfuoWVAZYwPDuxRUC,"가","Show Me the Money3, Pt. 2","BOBBY",2014-08-14,199745,34,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:40:31Z,"한국 랩,케이팝","Genie Music Corporation",0.84,0.907,1,-4.316,1,0.467,0.32,0,0.141,0.387,159.879,4
spotify:track:6vs7hcMDl4l6BQKL9KE9pd,"Just (From Young)","Young","Zion.T;Crush",2015-02-02,192630,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:40:55Z,"한국 랩,K-발라드,케이팝","Stone Music Entertainment",0.752,0.264,3,-10.956,1,0.0937,0.594,0.000132,0.107,0.184,86.001,4
spotify:track:5SQPTxNUunDOhBMOggDmX7,"그땐 그땐 그땐","Ames Room","Supreme Team;영준",2010-10-01,263079,51,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:41:43Z,"한국 랩,K-발라드","Kakao M Corp.",0.808,0.862,0,-4.473,0,0.0933,0.422,0,0.349,0.775,120.015,4
spotify:track:1l8fI3Cm0AneTdwHfCWu28,"Crying Bird (feat. Lee Soo Young)","Crying Bird","아웃사이더;이수영",2013-07-01,260560,34,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:42:23Z,"한국 랩,K-발라드","ASSA Communication",0.565,0.747,4,-6.119,1,0.161,0.777,0.0000159,0.107,0.357,92.672,4
spotify:track:10wu0KGeulFd0MAhM9xpDY,"눈물샤워 (feat .에일리)","4집 Part.2","배치기;에일리",2013-01-14,235853,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:42:34Z,"K-발라드,한국 랩,케이팝","YMC엔터테인먼트",0.753,0.702,10,-4.905,0,0.0518,0.367,0,0.0978,0.554,111.956,4
spotify:track:5eRAZCLutVhc6Ig652gTyI,"외톨이","MAESTRO","아웃사이더",2009-06-01,191360,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:42:42Z,"한국 랩","포니캐년코리아(주)",0.726,0.918,0,-4.548,0,0.0906,0.318,0.000118,0.407,0.547,124.96,4
spotify:track:5xqnnQCmadTfdamDI4wl2s,"You Can Stay","Thanks 4 the Wait","Supreme Team;Crush",2013-03-19,225694,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:43:00Z,"한국 랩,K-발라드,케이팝","Stone Music Entertainment",0.607,0.855,11,-4.211,0,0.264,0.348,0,0.129,0.692,94.79,4
spotify:track:5pYEwyxy945VZAOT0UoXeh,"왜","왜","Supreme Team;영준",2010-09-06,265874,39,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:43:18Z,"한국 랩,K-발라드","Kakao M Corp.",0.61,0.715,6,-5.94,0,0.255,0.585,0.00000955,0.221,0.635,88.183,4
spotify:track:6v1kycAlTYZSECtlvz6NTl,"No Make Up","Redingray","개코;핫펠트;Zion.T",2014-10-16,259100,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:43:33Z,"한국 랩,K-발라드","Stone Music Entertainment",0.379,0.773,0,-4.992,1,0.323,0.346,0,0.555,0.558,179.334,4
spotify:track:0q3xk0VI0w7omVXYA09sVw,"Eat","Eat","Zion.T",2015-05-19,161617,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:45:51Z,"한국 랩,K-발라드","Stone Music Entertainment",0.662,0.293,4,-11.311,1,0.122,0.49,0.00000479,0.122,0.304,91.16,4
spotify:track:5deqyiDw2g5Weu8VCTYDh8,"Her Number","Mood Swings II, Pt. 2: Obsessive Compulsive Disorder","스윙스;버벌진트;40",2014-07-17,262616,0,true,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:46:31Z,"한국 랩,사이트랜스","Genie Music Corporation, Stone Music Entertainment",0.538,0.572,1,-5.288,1,0.357,0.0663,0,0.141,0.457,67.22,4
spotify:track:1pz24zu5H9A0S1a2NKT4F0,"SoulMate (feat. IU)","SoulMate (feat. IU)","지코;아이유",2018-07-30,219390,53,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:46:40Z,"한국 랩,케이팝,K-발라드","SEVEN SEASONS",0.855,0.58,5,-6.951,1,0.141,0.234,0,0.0965,0.518,96.998,4
spotify:track:1iIhGHzzrzqQfuNkFI2qAn,"아무노래","아무노래","지코",2020-01-13,227226,63,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:46:47Z,"한국 랩,케이팝","KOZ ENTERTAINMENT",0.874,0.787,10,-2.416,0,0.129,0.118,0,0.11,0.896,108.007,4
spotify:track:20BpfKWKLaz4DHKwnjvLS9,"I Am You, You Are Me","Break up 2 Make Up","지코",2016-01-25,213251,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:46:59Z,"한국 랩,케이팝","Stone Music Entertainment",0.769,0.617,9,-6.928,0,0.0531,0.317,0,0.305,0.7,96.975,4
spotify:track:3ELLtSclCBRIJKhiTRF7Y8,"바람이나 좀 쐐 (FEAT.MIWOO)","2002.0","개리;MIWOO",2015-09-21,222127,46,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:47:07Z,"한국 랩,K-발라드","LEESSANG COMPANY",0.583,0.879,2,-3.678,1,0.27,0.305,0,0.217,0.639,149.95,3
spotify:track:1DHkVkpOeNXxq4YhHOeEac,"Me You (feat. Baek Yerin)","The Boy Who Cried Wolf","산이;백예린",2013-12-02,208973,49,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:47:15Z,"한국 랩,K-발라드,케이팝","WM Korea",0.794,0.872,3,-2.148,1,0.165,0.48,0,0.0848,0.863,90.03,4
spotify:track:2ixSmjqBk2I2kPaECL9YWf,"Seoul Night 서울 밤 (feat. Beenzino)","Seoul Night 서울 밤 (feat. Beenzino)","어반자카파;빈지노",2019-06-13,205266,0,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:50:29Z,"K-발라드,한국 랩","MAKEUS ENTERTAINMENT",0.69,0.644,8,-3.514,1,0.0576,0.367,0,0.0858,0.783,95.01,4
spotify:track:6Qm8MRcsr9VlRIGf1AJ1W5,"목요일 밤 (FEAT.빈지노)","목요일 밤","어반자카파;빈지노",2016-08-25,210772,37,false,yhe730nbbj8ytcc0tqkyr39fs,2020-11-11T13:51:07Z,"K-발라드,한국 랩","MAKEUS ENTERTAINMENT",0.719,0.644,0,-4.983,1,0.0437,0.329,0,0.218,0.815,89.994,4
