Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3F8IgCyfHKUlmBFsh2bUAR,"조한이형","조한이형","UV",2017-08-13,231346,13,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"","Genie Music Corporation, Stone Music Entertainment",0.735,0.806,9,-3.953,1,0.4,0.0301,0,0.0525,0.317,99.906,4
spotify:track:3joSwjKYq5sXlu7JKMeqXI,"기다린 만큼;더","또 오해영 (Original Television Soundtrack)","검정치마",2016-06-28,269000,22,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"한국 록","Genie Music Corporation",0.565,0.311,0,-12.23,1,0.0272,0.865,0.231,0.129,0.204,120.106,4
spotify:track:2DxIskzSK7ZhDQBi8SQT8W,"포장마차","포장마차","황인욱",2019-06-20,233813,46,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"K-발라드","HOW ENTERTAINMENT.Co.,Ltd",0.459,0.499,2,-5.063,1,0.0355,0.617,0,0.12,0.244,132.097,4
spotify:track:7CqA7AgpdyLgw662Iyh8qk,"인생","Full Time","MC 스나이퍼;웅산",2012-04-13,279120,30,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"한국 랩,K-발라드,보컬 재즈","스나이퍼사운드",0.652,0.852,6,-5.622,1,0.0823,0.117,0,0.272,0.739,97.974,4
spotify:track:3bCDoZgeNf9s6Zmf9iz51h,"처음처럼","CEREMONIA","엠씨더맥스",2020-03-25,232120,33,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"K-발라드","325E&C",0.441,0.542,11,-4.278,0,0.031,0.573,0,0.39,0.217,137.845,4
spotify:track:5XyvfAC8S62CHQL2Z3BVYP,"행복하지말아요","Mc The Max - Solitude Love…","엠씨더맥스",2004-11-18,358870,46,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"K-발라드","오감엔터테인먼트",0.353,0.496,2,-6.991,1,0.0289,0.644,0,0.104,0.22,141.772,4
spotify:track:29nT3AQzaUDwiQubQJjvuv,"Money, Money","Thug World Order","Bone Thugs-N-Harmony",2002-10-29,326120,39,true,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"갱스터 랩,올드 스쿨 힙합,G 펑크(Funk)","Ruthless Records",0.679,0.749,1,-7.351,1,0.103,0.00227,0.00101,0.0866,0.338,92.827,4
spotify:track:1Ct0tWAF65qZFNupXSOENi,"잠 못 드는 밤에","어마어마한 라이브 STAGE 3","40;문명진",2017-07-16,236935,13,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"K-발라드","Kakao Entertainment",0.578,0.369,6,-6.538,1,0.0526,0.668,0,0.103,0.183,117.373,4
spotify:track:4A08GnGizVxau5Ftjbe0hW,"봄이여 오라","How Bad Do U Want It","MC 스나이퍼;Yuri",2007-03-05,222159,44,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"한국 랩,K-발라드","Ponycanyon Korea",0.539,0.913,10,-2.276,0,0.0773,0.347,0.0196,0.114,0.76,167.954,4
spotify:track:0xYVV2IDgHiDbJ5hUGQ1LC,"For You","For You","MC 스나이퍼",2007-12-21,245930,31,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"한국 랩,K-발라드","Ponycanyon Korea",0.625,0.654,7,-4.563,1,0.0375,0.17,0.000342,0.0937,0.57,82.004,4
spotify:track:1456YlfEiL9mtoqg83PEfg,"그대가 분다","UNVEILING","엠씨더맥스",2014-01-02,238465,42,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"K-발라드","MUSIC&NEW",0.315,0.429,8,-6.856,1,0.0353,0.476,0,0.171,0.155,144.18,4
spotify:track:6lC9TlLCHOdJgeFmnJ8fRJ,"The Stars, The Moon, All For You","'Like We're Still in Love' Kim JoHan 6th Album 'Once In A Lifetime' Repackage","김조한;조현아",2016-02-18,296823,0,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"K-발라드,사운드트랙","Soulfamily Productions",0.578,0.71,1,-6.032,0,0.112,0.305,0,0.141,0.553,86.872,4
spotify:track:2Mdij6Ap3qeOSzCqg5y7KL,"날개뼈 (Hot Wings) (Feat. 효린 of Sistar)","LUCKYNUMBERS","다이나믹 듀오;효린",2013-07-01,295960,37,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"한국 랩,케이팝,K-발라드","Stone Music Entertainment",0.578,0.776,11,-4.207,0,0.102,0.111,0,0.507,0.396,88.009,4
spotify:track:31Zr4QiPxeuqJaJaSPG2hp,"So Sick - Live Version Digital Exclusive","So Sick","Ne-Yo",2006-01-01,255440,5,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"","Def Soul",0.624,0.466,6,-6.647,1,0.038,0.207,0,0.119,0.442,94.923,4
spotify:track:45DYxGJhUaAA4Gf4Od8GT7,"Rise","Rise","듀스",2025-11-27,202000,24,false,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"뉴 잭 스윙","WA:ID COMPANY",0.619,0.967,11,-2.901,0,0.0543,0.0253,0.000668,0.263,0.808,115.018,4
spotify:track:0nMwj215nyfEOER5AJWLDF,"McNasty","McNasty","박재범",2024-06-30,192378,50,true,31j4vkpau22isd6fekxwd3kgf6ji,2026-03-10T10:08:33Z,"한국 랩,케이팝","MORE VISION",0.952,0.626,9,-7.622,0,0.242,0.0678,0.0000119,0.173,0.746,103.99,4
