Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5vVL45nncczKCWS0uIQpzN,"깊은 밤을 날아서","이문세 4집","이문세",1987-03-10,182866,53,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.647,0.685,0,-9.831,1,0.0406,0.637,0.000145,0.11,0.529,123.208,3
spotify:track:4fQFJ665o0c4trTqDSiThT,"너의 의미","산울림 제10집 - 너의 의미","산울림",1984-07-20,221573,42,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.65,0.313,7,-10.878,1,0.0271,0.348,0.0444,0.135,0.461,79.233,4
spotify:track:7fETFt5bKDjgMN0ttQAf3L,"비처럼 음악처럼","김현식 III","김현식",1986-12-05,277506,43,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.44,0.312,5,-13.303,1,0.0282,0.0646,0,0.109,0.126,126.827,4
spotify:track:4qg4R296ne1vu0Mlsdtg99,"봄날은 간다","Shadow Of Your smile","김윤아",2001-11-20,273773,40,false,,1970-01-01T00:00:00Z,"K-발라드","Cornerstone",0.632,0.31,11,-12.053,0,0.0261,0.607,0.00381,0.0969,0.143,99.992,4
spotify:track:20tWEsVsKU6FfzXGt4IOuV,"고백","Espresso","DELISPICE",2003-01-24,323531,55,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","오감엔터테인먼트",0.473,0.644,6,-4.447,1,0.027,0.0588,0,0.0942,0.24,79.617,4
spotify:track:3TiVCPJrFiBzpAverOkPL1,"소녀","3집 - 난 아직 모르잖아요","이문세",1985-11-20,220053,48,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.577,0.235,5,-13.24,1,0.0325,0.718,0.000173,0.103,0.175,127.818,4
spotify:track:4w5jHmaPBwNN2Q9rOuYHUC,"내 마음에 비친 내 모습","사랑하기 때문에","유재하",1987-08-20,293044,48,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.563,0.253,9,-13.514,1,0.032,0.229,0,0.136,0.232,120.282,4
spotify:track:2R49jFMrgIKV2ASFjJvnm3,"회상","산울림 제8집 - 새야 날아","산울림",1982-05-25,199133,39,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.648,0.438,2,-9.187,1,0.0299,0.671,0.000116,0.316,0.523,139.209,4
spotify:track:0OxRmpJnl1hV1jHVH3V4me,"샴푸의 요정","빛과 소금","빛과 소금",1990-03-01,227306,42,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.752,0.545,2,-10.198,0,0.0244,0.221,0.0000492,0.0395,0.75,110.984,4
spotify:track:3ZjdXmSOZW6fUq6veGfIq2,"눈물나는 날에는","푸른하늘 2집 (눈물나는 날에는)","Blue Sky",1989-07-01,308333,41,false,,1970-01-01T00:00:00Z,"K-발라드,비주얼계","Beyond Music",0.411,0.436,3,-11.575,1,0.0303,0.126,0.0000891,0.101,0.104,122.451,4
spotify:track:3cYwojQBARfO4er7J65RJ6,"그녀의 웃음소리뿐","이문세 4집","이문세",1987-03-10,398773,43,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.493,0.482,2,-10.573,0,0.0312,0.0568,0.00000794,0.353,0.383,132.811,4
spotify:track:47pEETprCzwQYEKovj5xyy,"연극이 끝난 후","MBC 대학가요제 골든베스트","샤프",1988-04-15,254426,37,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","RIAK",0.446,0.406,5,-14.047,1,0.0337,0.715,0.00000137,0.119,0.708,91.925,4
spotify:track:0I9vXVUpijjek2ULH4UUJw,"사랑하기 때문에","사랑하기 때문에","유재하",1987-08-20,380555,48,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.272,0.221,9,-11.644,1,0.0347,0.406,0,0.177,0.148,115.608,4
spotify:track:2ghebdwe2pNXT4eL34T7pW,"그 아픔까지 사랑한거야","그 아픔까지 사랑한거야","조정현",1989-06-15,237688,47,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.447,0.214,10,-16.48,1,0.0273,0.565,0,0.0649,0.17,71.979,4
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,40,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:5LEMsJ8DAsCqYOlmJciFSY,"붉은 노을","이문세, 양희은 골든","이문세",1987-01-01,229026,44,false,,1970-01-01T00:00:00Z,"K-발라드","예전미디어",0.616,0.534,4,-10.883,1,0.0435,0.112,0,0.072,0.388,124.872,4
spotify:track:4eFTh1opLS5wANDmZK9ghC,"벚꽃 엔딩","버스커 버스커 1집","버스커 버스커",2012-03-29,260517,56,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation",0.621,0.669,9,-5.303,1,0.0312,0.739,0,0.138,0.663,119.947,4
spotify:track:1hTZUGfMzWYCSns929UWTo,"좋은 사람 (Feat. 김형중)","Fermata","Toy;김형중",2001-05-10,268960,47,false,,1970-01-01T00:00:00Z,"K-발라드","Don't Stop the Music",0.674,0.796,0,-4.288,1,0.0241,0.192,0.00000233,0.21,0.633,103.946,4
spotify:track:6AUakeUWpB7IIablI7cJZu,"숙녀에게","변진섭 에센셜 앨범","변진섭",2019-06-03,226320,42,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.164,0.616,2,-4.863,1,0.035,0.0441,0.0000395,0.427,0.217,106.812,3
spotify:track:2Oe0zgUBGRzkP4KtpIlo8c,"비밀의 화원","신비체험","Lee Sang Eun",2003-03-10,249652,39,false,,1970-01-01T00:00:00Z,"K-발라드","뮤직웰",0.823,0.541,6,-7.827,1,0.0333,0.687,0,0.155,0.798,111.066,4
spotify:track:3wh4dqihXsinDtfiautLEd,"옛 사랑","이문세 7집 [VII]","이문세",1991-09-17,285571,46,false,,1970-01-01T00:00:00Z,"K-발라드","Younghoon Music",0.397,0.201,9,-11.413,1,0.031,0.533,0.00189,0.0993,0.253,127.461,4
spotify:track:2p5DfmIUTLH79elmaSCCR5,"화려하지 않은 고백 Confession Is Not Flashy","My Story","이승환",1993-09-01,230733,42,false,,1970-01-01T00:00:00Z,"K-발라드","드림팩토리",0.741,0.38,2,-9.539,1,0.0285,0.448,0.000811,0.0806,0.264,101.971,4
spotify:track:6kjIBvMBIYxy0fWUf9BFem,"Someday","Darkness","이상은",1993-01-01,254106,42,false,,1970-01-01T00:00:00Z,"K-발라드","Breeze Music",0.629,0.257,7,-15.225,1,0.0309,0.158,0.00000921,0.219,0.401,133.757,4
spotify:track:64cuomBVoSkO27t6hG4RSl,"흐린 가을 하늘에 편지를 써","김광석 다시 부르기 I","김광석",1993-02-03,284306,38,false,,1970-01-01T00:00:00Z,"K-발라드","With 33 Entertainment",0.548,0.312,7,-14.591,1,0.0301,0.057,0.000331,0.067,0.227,127.832,4
spotify:track:2j1556TeulnMYiP3bRCmjN,"네게 줄수 있는건 오직 사랑뿐","변진섭 1집(홀로 된다는 것)","변진섭",1989-05-10,229133,35,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.57,0.218,4,-15.536,1,0.0277,0.725,0.000137,0.14,0.156,107.23,3
spotify:track:4vAsEmAmWVIp1itW7F1feQ,"가을이 오면","이문세 4집","이문세",1987-03-10,219760,37,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.616,0.47,7,-10.369,1,0.0254,0.83,0.000939,0.346,0.706,138.637,4
