Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5BqwC9kOBbqYkzdOKeXFFk,"주저하는 연인들을 위해","전설","잔나비",2019-03-13,265000,61,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","PEPONI MUSIC",0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004,4
spotify:track:4bjNOhOMvqFPflwHIaS7Fw,"한시 오분 (1:05)","TEAM BABY","검정치마",2017-05-30,240000,58,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.636,0.674,4,-6.953,1,0.0247,0.371,0.0000729,0.142,0.554,88.011,4
spotify:track:3sOAwRg5esaxDcWnUigWPv,"0+0","자몽살구클럽","HANRORO",2025-08-04,192000,68,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.457,0.523,9,-5.862,1,0.0286,0.492,0.0157,0.163,0.196,135.899,4
spotify:track:6DA7kCWYMggJjqPM84V2Ng,"TOMBOY","23","혁오",2017-04-24,241692,59,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.301,0.431,3,-5.314,1,0.0299,0.0961,0.0000105,0.114,0.221,148.2,4
spotify:track:4TBHfv2isYco3fNKjQ8oSI,"난춘","난춘","새소년",2020-05-10,229493,59,false,,1970-01-01T00:00:00Z,"한국 록,일본 인디","MAGIC STRAWBERRY SOUND",0.49,0.534,1,-3.43,1,0.0302,0.0455,0.0000189,0.433,0.439,141.173,3
spotify:track:4YaKlkNVJNbrIqN82EKFsQ,"가을밤에 든 생각","잔나비 소곡집 l","잔나비",2020-11-06,187000,54,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","PEPONI MUSIC",0.538,0.297,10,-9.002,1,0.0266,0.901,0.000818,0.101,0.365,74.027,3
spotify:track:5vVL45nncczKCWS0uIQpzN,"깊은 밤을 날아서","이문세 4집","이문세",1987-03-10,182866,53,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.647,0.685,0,-9.831,1,0.0406,0.637,0.000145,0.11,0.529,123.208,3
spotify:track:5BGxDtIEw8zxoP29Fid69a,"Ling Ling","TEEN TROUBLES","검정치마",2022-09-15,229999,56,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK",0.53,0.659,7,-4.903,1,0.0253,0.0311,0,0.101,0.542,79.999,4
spotify:track:4qdBPJta3BVPXCS0wJZ6yO,"입춘","입춘","HANRORO",2022-03-14,248407,64,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.25,0.372,9,-4.619,0,0.0379,0.435,0,0.108,0.0535,161.257,4
spotify:track:66UcQu5LBo2A7AC0A5r0lI,"위잉위잉","20","혁오",2014-09-18,194866,59,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.7,0.696,7,-5.356,1,0.0525,0.262,0,0.107,0.293,124.825,4
