Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7MMgzs6B7MlvQSQLMKyakS,"나의 외로움이 널 부를 때","나의 외로움이 널 부를 때","장필순",1997-01-01,254768,34,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","신나라뮤직",0.19,0.279,10,-10.822,1,0.0326,0.719,0.00000268,0.11,0.18,206.04,3
spotify:track:507GurK1J2BWxX5lp0HOzR,"사랑은 창밖에 빗물같아요","사랑은 창밖에 빗물같아요","양수경",1988-02-01,211983,39,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.672,0.442,9,-14.692,1,0.0288,0.694,0.00225,0.103,0.734,121.939,4
spotify:track:4w5jHmaPBwNN2Q9rOuYHUC,"내 마음에 비친 내 모습","사랑하기 때문에","유재하",1987-08-20,293044,48,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.563,0.253,9,-13.514,1,0.032,0.229,0,0.136,0.232,120.282,4
spotify:track:5izZ37SpG9lCHnaQ7tZoF3,"7번 국도","37년","정미조",2016-02-24,184853,39,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.843,0.456,7,-10.243,0,0.0516,0.374,0.0000617,0.111,0.676,130.006,4
spotify:track:1qPS1hGoZP3zec4CIKvQuA,"가까이 하고싶은 그대","I Want to Be Closer to You","NAMI",1992-01-01,215269,34,false,,1970-01-01T00:00:00Z,"시티 팝","오아시스레코드 뮤직컴퍼니",0.722,0.625,9,-5.461,1,0.0241,0.337,0.0000891,0.128,0.522,98.018,4
spotify:track:1buHqj9bKMLBXYBRvQUSV0,"여우야","The Classic 2","더 클래식",1995-10-01,272360,46,false,,1970-01-01T00:00:00Z,"K-발라드","캐슬뮤직",0.729,0.677,7,-9.03,1,0.0328,0.487,0.0227,0.0853,0.759,112.026,4
spotify:track:1lmzjWYz6Nxa18wkeqCFUs,"I Am Alone You Are Yearning","Park Youngmee 1.","Park Yeong Mi",1990-01-01,246270,21,false,,1970-01-01T00:00:00Z,"시티 팝","Jigu Records",0.69,0.586,3,-9.136,1,0.0397,0.558,0.0026,0.0744,0.233,114.849,4
spotify:track:4pfaoWL13Z99vTR9Le45eY,"Meaning of You","Yang Soo Kyung II","양수경",1990-11-01,263895,36,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","2003 Diomede",0.734,0.498,1,-12.437,1,0.0384,0.563,0.000714,0.0241,0.598,91.912,4
spotify:track:6kjIBvMBIYxy0fWUf9BFem,"Someday","Darkness","이상은",1993-01-01,254106,42,false,,1970-01-01T00:00:00Z,"K-발라드","Breeze Music",0.629,0.257,7,-15.225,1,0.0309,0.158,0.00000921,0.219,0.401,133.757,4
spotify:track:6UR4qHFEJHiiiTTRadkll3,"그대로 있어주면 돼","아일랜드 (Original Soundtrack)","장필순",2004-10-05,254733,15,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","아이스웍스미디어",0.556,0.595,4,-9.469,1,0.0253,0.164,0.0106,0.0976,0.276,78.981,4
spotify:track:4kXdx4vRJnbkLqq9vmOytw,"귀로","37년","정미조",2016-02-24,267040,33,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.32,0.16,8,-12.177,1,0.0305,0.973,0.00326,0.101,0.0994,82.134,4
spotify:track:0G2to1KZwCBe4H0VJdSeDf,"슬픈 인연","유혹하지 말아요 1985","나미",1985-01-01,275043,38,false,,1970-01-01T00:00:00Z,"K-발라드","MG Media",0.308,0.466,9,-7.786,1,0.029,0.149,0,0.161,0.194,70.969,4
spotify:track:5ZjKn2nuBYAtFXXJlIZNqk,"봄날은 간다 - Title Version","봄날은 간다 (Original Motion Picture Soundtrack)","김윤아",2001-09-01,276755,32,false,,1970-01-01T00:00:00Z,"K-발라드","주식회사 악어뮤직",0.637,0.329,11,-11.027,0,0.0254,0.641,0.00415,0.0931,0.151,99.99,4
spotify:track:486SAxdctVGpUZishIyocN,"Love Is Like the Rain over the Window","Yang Soo Kyung Vol. 1","양수경",1990-01-01,211898,33,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","2003 Diomede",0.664,0.411,9,-15.739,1,0.0282,0.717,0.00223,0.103,0.697,121.925,4
spotify:track:4UDpxe7b2RGidoAg6l4zSx,"비둘기에게","푸른 돛","시인과 촌장",2018-04-03,247119,10,false,,1970-01-01T00:00:00Z,"K-발라드","시인과촌장",0.575,0.189,7,-14.817,1,0.0269,0.757,0,0.153,0.0796,95.653,4
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,40,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:7Jp2i2kXEYRWjkjfSsEsaA,"하룻밤의 꿈","하룻밤의 꿈","Lee Sang Woo",1991-11-01,255266,29,false,,1970-01-01T00:00:00Z,"K-발라드","Pan Entertainment Co., Ltd.",0.506,0.471,11,-11.382,1,0.031,0.217,0,0.0931,0.414,133.87,4
spotify:track:2R49jFMrgIKV2ASFjJvnm3,"회상","산울림 제8집 - 새야 날아","산울림",1982-05-25,199133,39,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.648,0.438,2,-9.187,1,0.0299,0.671,0.000116,0.316,0.523,139.209,4
spotify:track:7xRaAlEKCj5cd72zK8El7o,"진한 커피의 야상곡","빛과 소금 3","빛과 소금",1992-11-01,267000,24,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.641,0.348,1,-11.022,1,0.0277,0.147,0,0.113,0.236,127.962,4
spotify:track:6rekM3W23cmVYgD02tgZaC,"바라볼 수 없는 그대","사랑은 창밖에 빗물같아요","양수경",1988-02-01,227840,29,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.574,0.405,7,-12.547,1,0.0307,0.577,0.00000492,0.404,0.368,112.806,3
spotify:track:13YWcCfkLuLG64Qg4BH5ps,"풍경","푸른 돛","시인과 촌장",2018-04-03,238472,16,false,,1970-01-01T00:00:00Z,"K-발라드","시인과촌장",0.597,0.142,9,-20.344,1,0.0326,0.804,0.0291,0.093,0.214,108.426,4
spotify:track:4xHwFjqoBpIhDFmnlkmr0u,"석별","바람같은 날을 살다가","정미조",2020-11-10,211506,30,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.338,0.107,9,-14.236,1,0.0395,0.985,0.0287,0.0908,0.13,131.706,4
spotify:track:3DSywOemTMUuUgNdxeiUzy,"초생달","어떤날 II","어떤날",1989-06-20,247106,13,false,,1970-01-01T00:00:00Z,"K-발라드","도이키뮤직(doekee music)",0.628,0.287,4,-14.401,1,0.0312,0.209,0.00895,0.214,0.0738,124.323,4
spotify:track:1AVgdZOc9DD0GF3UgrzYex,"찻잔","산울림 제6집 - 조금만 기다려요","산울림",1980-05-05,135466,29,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.672,0.16,7,-11.604,1,0.0408,0.83,0,0.103,0.207,72.193,4
spotify:track:7EF2pOepOZRgx917KFqxCZ,"고해소에서","Exhibition 2","전람회",1996-04-01,222043,14,false,,1970-01-01T00:00:00Z,"K-발라드","다날(포이보스)",0.157,0.155,0,-15.314,1,0.0339,0.912,0.969,0.115,0.0967,57.668,4
spotify:track:58hrcxatzsD67uVaw4mDQG,"조바심","빛과 소금 3","빛과 소금",1992-11-01,242000,27,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.754,0.217,6,-17.016,0,0.032,0.815,0.158,0.1,0.219,124.116,4
spotify:track:5NA0wgvnUinGTFdT3p5tnD,"사랑일기","푸른 돛","시인과 촌장",2018-04-03,270420,25,false,,1970-01-01T00:00:00Z,"K-발라드","시인과촌장",0.575,0.125,7,-17.368,1,0.0372,0.634,0,0.141,0.27,120.019,4
spotify:track:2592THJCpzB7pziiGFdgIo,"날 위한 이별","Oldie But Goodie Vol. 2","김혜림",2011-12-19,259560,24,false,,1970-01-01T00:00:00Z,"K-발라드","ESJ 엔터테인먼트",0.5,0.494,0,-5.288,1,0.027,0.773,0,0.0893,0.163,133.533,4
spotify:track:4zflvRfkL47vdhXcleh4C2,"빨간 자전거 타는 우체부","나의 외로움이 널 부를 때","장필순",1997-01-01,183088,11,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","신나라뮤직",0.751,0.479,9,-8.299,1,0.0254,0.562,0.0000124,0.337,0.548,101.931,4
spotify:track:6acaL5WhK9waQ9smXUlJBZ,"이밤을 다시 한번","마그마","조하문",1987-08-15,237933,39,false,,1970-01-01T00:00:00Z,"K-발라드","음제협",0.371,0.287,2,-11.675,1,0.031,0.333,0,0.0729,0.122,124.053,4
spotify:track:5xtATcLzRFvpEAWlKcKivO,"추억속의그대","황치훈1집","황치훈",1988-12-15,207008,35,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","오감엔터테인먼트",0.617,0.596,9,-11.978,0,0.0526,0.361,0,0.0784,0.661,88.198,4
spotify:track:3BLv6BZs5Gf6PLOduIxKfQ,"휘파람을 부세요","37년","정미조",2016-02-24,226022,28,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.539,0.319,2,-9.835,0,0.0255,0.928,0.000595,0.131,0.153,76.023,4
spotify:track:17CxRIWRYDSsFs5QzWWGwJ,"여름밤의 꿈","Summer Compilation (해변으로 가요)","김현식",2010-07-19,251578,17,false,,1970-01-01T00:00:00Z,"K-발라드","BEYOND MUSIC",0.406,0.104,11,-19.709,1,0.0339,0.886,0.0000289,0.179,0.226,73.526,4
spotify:track:6KqQBjetYGhWZgKTPKSSQP,"매일 그대와","MBC 음악여행 라라라 Live Vol.4","이상은",2009-06-11,221780,29,false,,1970-01-01T00:00:00Z,"K-발라드","아이엠비씨(iMBC)",0.56,0.176,0,-12.192,1,0.0289,0.882,0.0016,0.116,0.165,76.582,4
spotify:track:0SAgZ4I7m2LjM1znA1D6ox,"입영열차안에서","사랑일뿐야","Kim Minwoo",1990-02-10,232881,37,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.395,0.608,0,-11.693,0,0.036,0.409,0.0000969,0.0837,0.681,170.128,4
spotify:track:3S4f72OoQNvz9lna4He8kY,"너에게","Classic","김광석",2004-05-18,233978,10,false,,1970-01-01T00:00:00Z,"K-발라드","박학기",0.548,0.362,7,-10.4,1,0.027,0.51,0.000346,0.138,0.123,131.757,4
spotify:track:3Cfz3iQ0dIrBZODzNRKzEU,"어느새","장필순 Best Collection","장필순",1993-11-01,317000,15,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","doekee music",0.634,0.547,11,-14.287,0,0.035,0.0547,0.145,0.188,0.509,99.824,4
spotify:track:0H3tvSiwJ2YEzP1KmZSElR,"아직도 기억하고 있어요","37년","정미조",2016-02-24,192800,27,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.231,0.243,2,-10.066,1,0.0324,0.965,0.000421,0.104,0.099,88.089,3
spotify:track:5IswU4kq9q1qvgJlHkQwns,"가리워진 길","사랑하기 때문에","유재하",1987-08-20,197750,42,false,,1970-01-01T00:00:00Z,"K-발라드","킹핀엔터테인먼트",0.267,0.128,7,-13.574,1,0.0374,0.872,0,0.0533,0.328,84.073,3
spotify:track:3aBkJjXgWGdvSEXNpVb11A,"시간속의향기","강수지2집","강수지",1990-05-01,223973,35,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.811,0.602,11,-10.665,0,0.0329,0.605,0.00000102,0.078,0.928,122.225,4
spotify:track:0csQoQXBMOqPZ5rBGehXDU,"용서해","The Classic 2","더 클래식",1995-10-01,245200,19,false,,1970-01-01T00:00:00Z,"K-발라드","캐슬뮤직",0.617,0.326,3,-9.898,1,0.0282,0.819,0.00017,0.133,0.251,128.914,4
spotify:track:5TSVsb0rX427EaNYlUD4Jo,"going home","315360","김윤아",2010-04-26,221346,39,false,,1970-01-01T00:00:00Z,"K-발라드","LV co.",0.466,0.154,10,-10.282,1,0.036,0.962,0.000117,0.234,0.251,77.934,4
spotify:track:0ACRegRh3QSjCGgWw7xtGV,"그런 날에는","어떤날 II","어떤날",1989-06-20,240866,29,false,,1970-01-01T00:00:00Z,"K-발라드","도이키뮤직(doekee music)",0.561,0.251,7,-16.423,1,0.0294,0.624,0.00257,0.313,0.159,116.509,4
spotify:track:11O9ooYrDFeCplmsTASBRz,"산책 (From 뜻밖의 만남...세 번째)","산책 (From 뜻밖의 만남...세 번째)","Yang Hee Eun",2015-02-12,283608,15,false,,1970-01-01T00:00:00Z,"K-발라드","CJ E&M",0.712,0.335,8,-10.444,1,0.0292,0.809,0.759,0.111,0.153,97.007,4
