Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:36WOdy91Cs6wCUTlic2mdN,"흑백사진","Day Is Far Too Long","전자양",2001-08-31,233015,32,false,,1970-01-01T00:00:00Z,"시부야계,쟁글 팝,한국 록,슈게이징,슬로우코어","문라이즈",0.713,0.708,3,-8.342,1,0.0352,0.821,0.808,0.157,0.975,123.993,4
spotify:track:7xxGo3sDY8UGKcVn92JrlI,"Put Me On Drugs","THIRSTY","검정치마",2019-02-12,216000,39,false,,1970-01-01T00:00:00Z,"한국 록","비스포크",0.354,0.844,9,-4.412,1,0.0413,0.0305,0.854,0.279,0.172,96.013,4
spotify:track:2diC2THH55uAw4GGpZQjwn,"POKKA POKKA","宇宙 日本 世田谷","Fishmans",1997-07-24,244640,44,false,,1970-01-01T00:00:00Z,"시부야계,네오 사이키델릭,드림 팝,일본 인디,일본 록","Universal Music LLC",0.63,0.378,0,-11.204,1,0.0346,0.796,0.0137,0.117,0.229,97.973,4
spotify:track:7qqyb2FxiaCQCejFnMHmtC,"Saturday Afternoon","Diaries","Chestnut Bakery",2015,190538,41,false,,1970-01-01T00:00:00Z,"슈게이징,중국 인디,드림 팝","chestnut bakery",0.529,0.503,9,-10.341,1,0.0295,0.155,0.426,0.164,0.412,124.968,4
spotify:track:1qqTuxNccTQnQdkCEog6Ij,"Flipper","Glitter","Pasteboard",2006,240520,38,false,,1970-01-01T00:00:00Z,"슈게이징,일본 인디,드림 팝,슬로우코어,시부야계","abcdefg*record",0.775,0.351,2,-15.096,1,0.0397,0.16,0.965,0.0916,0.524,110.001,4
spotify:track:0lVJIHTB13L9HgvmyghcPV,"슈케이저","4/4 Sentimental Painkiller - 겨울은 봄의 심장","미스티 블루",2010-03-17,213626,38,false,,1970-01-01T00:00:00Z,"시부야계","Pastel Music",0.651,0.488,9,-8.17,1,0.0307,0.0657,0.692,0.0684,0.636,103.983,4
spotify:track:08WRDuXdhgsif460RP1XlK,"아스피린 소년","Day Is Far Too Long","전자양",2001-08-31,206866,23,false,,1970-01-01T00:00:00Z,"시부야계,쟁글 팝,한국 록,슈게이징,슬로우코어","문라이즈",0.627,0.512,3,-10.48,1,0.0324,0.646,0.387,0.0682,0.824,128.038,4
spotify:track:3Xb7YUrClEKSXCZ2WkSv4p,"Wallow","Whenere","Forsaken Autumn",2015,208641,42,false,,1970-01-01T00:00:00Z,"슈게이징,중국 인디,드림 팝,일본 인디","Forsaken Autumn",0.241,0.421,3,-6.953,1,0.0379,0.802,0.762,0.113,0.0423,166.029,4
spotify:track:4CN59uVkgZK95ha1nJgtto,"夏夜最后的浪漫","Can You Hear The Whistle Blow","缺省",2020-08-20,228461,46,false,,1970-01-01T00:00:00Z,"슈게이징,중국 인디,대만 인디,드림 팝,중국 록,슬로우코어","SJ-records",0.495,0.448,1,-10,0,0.0297,0.00603,0.571,0.154,0.0902,129.747,4
spotify:track:7upsNTR2R4F5OgEWgNwzIP,"うしろ姿","宇宙 日本 世田谷","Fishmans",1997-07-24,313693,36,false,,1970-01-01T00:00:00Z,"시부야계,네오 사이키델릭,드림 팝,일본 인디,일본 록","Universal Music LLC",0.721,0.644,2,-7.329,1,0.034,0.0341,0.0976,0.514,0.834,103.008,4
spotify:track:6EZUIigx407oVTTQWyLpJa,"Squall","Glitter","Pasteboard",2006,217000,35,false,,1970-01-01T00:00:00Z,"슈게이징,일본 인디,드림 팝,슬로우코어,시부야계","abcdefg*record",0.678,0.482,11,-13.129,0,0.028,0.273,0.705,0.103,0.692,100.033,4
spotify:track:4vd2fQjxImm6oU8pACmjwQ,"던전2","던전","전자양",2017-11-13,226430,18,false,,1970-01-01T00:00:00Z,"시부야계,쟁글 팝,한국 록,슈게이징,슬로우코어","웨스트브릿지",0.7,0.745,3,-7.556,1,0.0267,0.0353,0.77,0.071,0.925,106.016,4
spotify:track:6kL0CcL4rx6VUt6m2zP0tM,"습관 (Bye Bye)","Roller Coaster","Rollercoaster",1999-07-01,259346,40,false,,1970-01-01T00:00:00Z,"시부야계,애시드 재즈,한국 록","Cornerstone",0.795,0.518,6,-10.28,1,0.029,0.0325,0.0000102,0.0532,0.785,122.996,4
spotify:track:681lrzRlxEE28z7HXR8Vmj,"mori no fushigi","ya mai mo","ya mai mo",2019-07-17,258117,34,false,,1970-01-01T00:00:00Z,"슬로우코어,시부야계,일본 인디","White Paddy Mountain",0.366,0.315,2,-15.636,1,0.0305,0.948,0.899,0.107,0.358,83.491,4
spotify:track:6NEvcNEg2GFoxFEU5N9Jms,"Dearest","Fogesque","FOG",2020-11-16,210500,17,false,,1970-01-01T00:00:00Z,"슈게이징,드림 팝,슬로우코어","1800046 Records DK2",0.581,0.546,2,-7.86,1,0.0308,0.18,0.771,0.2,0.427,120.018,4
spotify:track:1UrAR7DlSArx6LXt8pOpHL,"波兰首都是上海","第一集","yourboyfriendsucks!",2016-05-06,216040,40,false,,1970-01-01T00:00:00Z,"중국 인디,슈게이징,중국 록,대만 인디,드림 팝","琪琪音像 Qiii Snacks Records",0.553,0.872,0,-3.494,1,0.0288,0.0127,0.0516,0.0862,0.273,115.038,4
spotify:track:7zw0m7tJRSzKXJe4XDJhra,"Cacao","Glitter","Pasteboard",2006,170480,30,false,,1970-01-01T00:00:00Z,"슈게이징,일본 인디,드림 팝,슬로우코어,시부야계","abcdefg*record",0.494,0.322,4,-12.512,1,0.0343,0.0379,0.849,0.0933,0.271,79.992,4
spotify:track:3OYxqEfq1RjIoHkp0N9J1b,"나와 산책하지 않겠어요","숲","전자양",2007-06-14,185498,15,false,,1970-01-01T00:00:00Z,"시부야계,쟁글 팝,한국 록,슈게이징,슬로우코어","문라이즈",0.56,0.815,9,-5.599,1,0.0282,0.266,0.317,0.0741,0.615,137.997,4
spotify:track:79FDhH7QRpooYN2irLM8Yk,"가장 보통의 존재","가장 보통의 존재","언니네 이발관",2008-08-08,322760,36,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.704,0.341,5,-10.463,0,0.0283,0.872,0.163,0.104,0.579,107.157,4
spotify:track:7xha3EMJ7Uy5Ch5MePFYS2,"Signal Waltz","Labor in Vain","라이너스의 담요",2005-06-22,176800,22,false,,1970-01-01T00:00:00Z,"시부야계","Beatball Music Group",0.569,0.423,2,-8.574,1,0.0316,0.798,0.681,0.178,0.354,155.877,3
