Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2tjWtD3qkbad3QqA325sHG,"Romance","Romance","정아로",2025-02-10,186594,14,false,,1970-01-01T00:00:00Z,"","ARO",0.757,0.466,0,-7.572,0,0.033,0.659,0,0.387,0.572,95.058,4
spotify:track:5TG7oEIe5Gw65RWICLPPPO,"넌 눈부셔","넌 눈부셔","커피소년",2021-07-06,217514,27,false,,1970-01-01T00:00:00Z,"K-발라드","로스팅뮤직",0.596,0.478,4,-8.468,0,0.0298,0.826,0.227,0.12,0.306,95.994,4
spotify:track:6yuFTKQNi4aUheae4f90sb,"말하고 싶은 게 있어 - Spring ver.","너의세계","랄라스윗",2014-03-27,226705,31,false,,1970-01-01T00:00:00Z,"","Happy Robot Records",0.722,0.46,1,-10.381,1,0.0339,0.715,0.000171,0.347,0.518,122.998,4
spotify:track:1HshcipCZ4rEiNfKckNShW,"Fallin'","Modern, Mild","윤현상",2021-05-05,191560,33,false,,1970-01-01T00:00:00Z,"K-발라드","MUN HWA IN",0.743,0.476,4,-4.05,0,0.0491,0.65,0.0000858,0.0951,0.554,82.962,4
spotify:track:3GG5KPuvG7qokLoKReboHI,"봄 그리고 너 - Remastering","SLATE","Martin Smith",2018-02-22,232227,55,false,,1970-01-01T00:00:00Z,"K-발라드","브이엔터테인먼트",0.623,0.759,0,-4.945,1,0.0439,0.136,0,0.123,0.576,98.047,4
spotify:track:2Tzec1QsW7c9FWw45LyM7l,"집","집","정아로",2025-11-17,207987,22,false,,1970-01-01T00:00:00Z,"","ARO",0.578,0.444,9,-8.834,1,0.0337,0.72,0.0000257,0.104,0.233,75.011,4
spotify:track:3w5NVk0A8id9wMK5ZMglOt,"와락","와락","그래쓰",2020-02-17,197026,32,false,,1970-01-01T00:00:00Z,"","ONGRAY",0.476,0.409,11,-6.419,1,0.0318,0.751,0,0.256,0.305,110.013,4
spotify:track:4NI8T1iB8oon09GNYXYK7a,"지금껏 그랬듯 앞으로도 계속","Cloud. 2 '지금껏 그랬듯 앞으로도 계속'","구름",2016-11-28,233709,41,false,,1970-01-01T00:00:00Z,"K-발라드","Magic Strawberry Sound",0.717,0.493,5,-7.318,1,0.061,0.68,0.0000109,0.105,0.562,93.008,4
spotify:track:7rP9RbtWuovYQZU2qyGynm,"이인삼각","이인삼각","문빛",2022-04-05,218106,32,false,,1970-01-01T00:00:00Z,"K-발라드","INHEART MUSIC",0.521,0.48,4,-4.892,1,0.0357,0.727,0,0.0831,0.329,189.723,4
spotify:track:5DgJnJ7WSHpWlzAPxJCQE0,"사랑이 힘들어 멈추는 곳에","피아노포르테 (PIANOFORTE)","윤현상",2014-10-31,208269,23,false,,1970-01-01T00:00:00Z,"K-발라드","LOEN TREE",0.726,0.372,7,-6.833,1,0.0404,0.721,0,0.0873,0.552,144.779,4
spotify:track:63hReKaSTCDE4cWw146qTJ,"마음","마음","정아로",2021-03-31,205093,26,false,,1970-01-01T00:00:00Z,"","ONGRAY",0.671,0.456,11,-5.493,1,0.0294,0.569,0.00000307,0.102,0.356,90.047,4
spotify:track:6LDdUX1rUgTJZgu3SN5Csj,"괜찮아 (feat. 정유종)","괜찮아","구나잇;Jung Yu Jong",2019-02-06,236533,41,false,,1970-01-01T00:00:00Z,"","구나잇",0.611,0.497,3,-9.376,1,0.0634,0.179,0.0000146,0.388,0.362,149.629,4
spotify:track:2zRKhk2zoLoA7z66Zsy9zJ,"I want to be a pillow","H_ello?","그_냥",2018-06-12,223200,42,false,,1970-01-01T00:00:00Z,"K-발라드","Panic Button / ADA",0.698,0.369,7,-5.946,0,0.0406,0.82,0,0.0894,0.596,128.027,4
spotify:track:7sCOwMK98Bc3f6hFS0jgkM,"헤어지던 밤","헤어지던 밤","어쿠루브",2018-07-07,229665,46,false,,1970-01-01T00:00:00Z,"K-발라드","Bridge Media",0.408,0.265,11,-8.273,1,0.0293,0.911,0,0.112,0.355,142.319,4
spotify:track:2K41QFgrqKgpDWIeM5sVK7,"이 계절은 우리의 색깔로","이 계절은 우리의 색깔로","소각소각",2022-06-09,180800,34,false,,1970-01-01T00:00:00Z,"K-발라드","INHEART MUSIC",0.737,0.351,8,-3.882,1,0.0416,0.871,0,0.0791,0.836,88.96,4
spotify:track:63cJ5o9LLUFLzmMT2MIf7d,"아닌데","아닌데","정아로",2024-05-21,175200,22,false,,1970-01-01T00:00:00Z,"","ONGRAY",0.663,0.547,5,-5.152,1,0.0355,0.795,0,0.0913,0.503,94.928,4
spotify:track:6DdDRbsRtal9J1dRWAowm6,"You're Here with Rain (with Chamsom)","Remember","새봄;참깨와 솜사탕;Cotton Candy;Sesame",2020-02-09,213125,30,false,,1970-01-01T00:00:00Z,"K-발라드","WM Korea",0.649,0.486,2,-7.202,1,0.0268,0.67,0,0.172,0.574,96.048,4
spotify:track:13z0tjS1JNelA2fEdxRcET,"너만 생각나","어울리게 칠해줘","바닐라 어쿠스틱",2018-04-12,217387,39,false,,1970-01-01T00:00:00Z,"K-발라드","쇼파르뮤직",0.498,0.653,5,-5.685,1,0.0623,0.75,0,0.23,0.598,179.912,4
spotify:track:5smRDSCWCMUY15WcYOyC5D,"How's your night","O_ne","그_냥",2017-06-05,263453,44,false,,1970-01-01T00:00:00Z,"K-발라드","Panic Button / ADA",0.755,0.365,0,-7.461,0,0.0294,0.825,0,0.109,0.57,92.048,4
spotify:track:6AcDh0mIO3Bee90882f7jC,"취한김에","취한김에","어쿠루브",2018-12-29,214082,37,false,,1970-01-01T00:00:00Z,"K-발라드","Bridge Media",0.602,0.401,9,-6.44,1,0.0308,0.788,0,0.207,0.446,86.93,4
spotify:track:2QjIFxkVsnDs7GQgFjn9cp,"서로","서로","정아로",2020-03-01,192706,26,false,,1970-01-01T00:00:00Z,"","ONGRAY",0.812,0.598,6,-4.576,0,0.0283,0.585,0,0.077,0.738,95.981,4
spotify:track:2swePREj3aFglLkOWQJCkn,"Take A Nap","Morning Diaries EP 1","공기남",2018-12-19,191873,40,false,,1970-01-01T00:00:00Z,"K-발라드","WM Korea",0.814,0.442,7,-7.612,1,0.0291,0.605,0.000192,0.12,0.673,87,4
