Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3sA2bqYmGTCaHkU4P2CJ5A,"이렇게 멋진 날","기억의 조각들","Son Hyeeun",2022-10-02,180000,1,false,,2026-03-23T02:59:41Z,"","Son Hyeeun",0.881,0.336,7,-7.986,1,0.0365,0.738,0,0.115,0.544,112.042,4
spotify:track:2UNKZXGD3kFTdiHpeKSRhP,"피앙세","피앙세","deulrejang",2025-11-17,220501,22,false,,2026-03-23T02:59:41Z,"","WOWSAN RECORD",0.783,0.404,7,-9.164,0,0.0315,0.917,0.844,0.301,0.813,125.979,4
spotify:track:5hFnrECr3m8GzPI21BepWZ,"아주 오래","아주 오래","장수빈",2026-01-10,218333,27,false,,2026-03-23T02:59:41Z,"","Jang Soo Bin",0.646,0.41,0,-8.333,1,0.0517,0.803,0.000031,0.13,0.16,143.966,4
spotify:track:10wby8iW3J6A6z1XY1gfVh,"사르르","사르르","Oh Si Young",2021-07-03,205306,21,false,,2026-03-23T02:59:41Z,"","오시영",0.794,0.412,6,-5.04,1,0.0307,0.834,0,0.0778,0.771,100.048,4
spotify:track:5smRDSCWCMUY15WcYOyC5D,"How's your night","O_ne","그_냥",2017-06-05,263453,44,false,,2026-03-23T02:59:41Z,"K-발라드","Panic Button / ADA",0.755,0.365,0,-7.461,0,0.0294,0.825,0,0.109,0.57,92.048,4
spotify:track:2g6FVCA4sQZOv9LXIABsgr,"L’Amour, Les Baguettes, Paris","Stairs","스텔라장",2021-10-15,167172,51,false,,2026-03-23T02:59:41Z,"","GLG, JS MUSIC",0.369,0.132,0,-13.639,1,0.0413,0.954,0.00000469,0.155,0.367,78.412,4
spotify:track:57ruI2k5kFJMNxLKHzBEyh,"What about Next Spring (feat. Kim Daniel of wave to earth)","What about Next Spring (feat. Kim Daniel of wave to earth)","Milena;Kim Daniel",2025-06-13,219785,38,false,,2026-03-23T02:59:41Z,"","WAVY",0.432,0.299,10,-13.278,1,0.0733,0.906,0.0947,0.106,0.248,75.068,4
spotify:track:2QmCEHRbRyl1OjqBC0lmoS,"Seesaw","Seesaw","onthedal",2025-07-03,173081,18,false,,2026-03-23T02:59:41Z,"한국 록","℃ dal",0.679,0.342,2,-9.544,1,0.0483,0.719,0.00394,0.103,0.633,67.988,4
spotify:track:0Jj5gPHhsrk4m6VQVuhKpU,"Chocolate, candy, bread, love and dreams!","Chocolate, candy, bread, love and dreams!","Jade",2025-10-31,139285,18,false,,2026-03-23T02:59:41Z,"","Jade",0.67,0.542,1,-5.685,1,0.029,0.501,0.00000139,0.0997,0.633,112.033,4
spotify:track:6s2vKdkMUVI9AwKypQYbyL,"Orange Splash (Feat. 진동욱)","Orange Splash","정바스;진동욱",2022-06-03,143666,44,false,,2026-03-23T02:59:41Z,"","J.BASS",0.845,0.399,7,-6.107,1,0.0827,0.874,0.00000119,0.175,0.621,102.008,4
