Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ZRS1jfampQ4mVfNidYZfk,"3!4!","All System Go","룰라",1996-06-15,249420,45,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.809,0.937,7,-3.766,1,0.0733,0.167,0.0000109,0.0572,0.769,122.417,4
spotify:track:0K25zmumCzn2kFmh9zcLWy,"CANDY","We Hate All Kinds of Violence... - The 1st Album","H.O.T.",1996-09-07,217226,52,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.741,0.977,10,-2.318,1,0.044,0.134,0,0.145,0.951,119.988,4
spotify:track:1Mr3U7Ku6Y30EShsQtGoiS,"성숙","Power Bit Techno Space A","스페이스에이",1999-08-17,226893,37,false,,1970-01-01T00:00:00Z,"","RIAK",0.818,0.834,0,-4.821,1,0.0598,0.0157,0.000139,0.289,0.767,134.009,4
spotify:track:1VEwARSUPwLTARzgPbwBmF,"내 입술... 따뜻한 커피처럼","Flat (♭) Album","샵",2001-11-05,223921,47,false,,1970-01-01T00:00:00Z,"K-발라드","월드뮤직",0.68,0.627,11,-6.701,1,0.0589,0.213,0.0000388,0.123,0.443,91.794,4
spotify:track:66Ea5DkLH0Ok6wR2zuqZcM,"파도","Traveling You","Un",2001-07-11,251846,46,false,,1970-01-01T00:00:00Z,"K-발라드","도레미미디어",0.64,0.954,3,-3.153,1,0.0367,0.0632,0,0.387,0.809,138.05,4
spotify:track:0UBYvstXyk4JQO60pZpyQ2,"Choice Of Cinderella","Kwon Soyeong","Kwon Soyeong",1999-04-01,244599,32,false,,1970-01-01T00:00:00Z,"","Jigu Records",0.77,0.974,0,-4.406,0,0.0556,0.0821,0.0000188,0.32,0.963,140.012,4
spotify:track:2X8dHI8PeFg9h8iFwdfsEz,"날개 잃은 천사","날개 잃은 천사","룰라",1997-01-24,242341,43,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.846,0.921,9,-4.557,1,0.0898,0.0528,0.0000615,0.193,0.921,129.169,4
spotify:track:2ppv5E2a22qoXwYdL6GjvS,"Full of happiness","Wolf And Sheep","H.O.T.",1997-07-05,211373,45,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.768,0.937,11,-5.637,0,0.0523,0.0111,0.00000118,0.177,0.77,133.046,4
spotify:track:2bN0Tq1vniINc5rinlITKL,"사랑해 그리고 기억해","Chapter 2","god",1999-11-25,262293,46,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.747,0.596,5,-5.601,1,0.104,0.0269,0,0.0237,0.777,84.039,4
spotify:track:6whFRgwg7je2SYzpSfansM,"Dreams Come True","SHOO. EUGENE. SEA - The 2nd Album","S.E.S.",1998-11-23,245773,47,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.706,0.835,0,-4.357,1,0.0506,0.0813,0.00165,0.336,0.771,93.943,4
spotify:track:4L7ZGqlOvxosBp2nPypxzK,"그녀가 나를 보네…","Brown Eyes","브라운 아이즈;박화요비",2001-06-01,210666,37,false,,1970-01-01T00:00:00Z,"K-발라드","CJ E&M MUSIC",0.678,0.818,10,-4.584,0,0.0284,0.0834,0,0.178,0.521,101.956,4
spotify:track:1KqGhlYiJd5ZDpuoXVWhpA,"C.O.C - Remix","Kwon Soyeong","Kwon Soyeong;Lee Kyeongseop",1999-04-01,251239,32,false,,1970-01-01T00:00:00Z,"","Jigu Records",0.735,0.896,0,-5.782,0,0.036,0.0212,0.00265,0.366,0.881,140.023,4
spotify:track:4iYW28u7mpxEokJT2zPGmp,"프로와 아마츄어","날개 잃은 천사","룰라",1997-01-24,226667,35,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.815,0.914,11,-6.055,0,0.0842,0.0165,0.000556,0.178,0.771,120.835,4
spotify:track:7MHFXQemaR7Ktu6zzcP3II,"가장 슬픈 말","Beautiful Ones","제이",2001-06-21,224810,19,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.845,0.541,5,-8.572,1,0.0402,0.416,0,0.151,0.687,127.966,4
spotify:track:2E0J4UAg9q1HaUV6NCJfmt,"거짓말","Chapter 3","god",2000-11-03,242333,44,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.812,0.433,4,-8.258,0,0.3,0.224,0,0.0817,0.56,133.909,4
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,40,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:1lilimwLEAWFlImqjke27f,"사랑을 아직도 난 I Don't Know Love","The Life… DOC Blues","DJ DOC",2000-05-17,224840,30,false,,1970-01-01T00:00:00Z,"한국 랩","Superjam Records",0.739,0.93,9,-4.604,0,0.0442,0.0518,0.0000213,0.0942,0.876,124.037,4
spotify:track:2bwetLLe8jn43ikuOfjF5v,"Tell Me, Tell Me","샵(S#arp) 2집(가까이)","S#arp",1999-10-04,212662,35,false,,1970-01-01T00:00:00Z,"","RIAK",0.893,0.961,11,-2.969,0,0.0851,0.313,0,0.109,0.963,130.011,4
spotify:track:7tSt4Jbnml5l7MMWqxfx7f,"김밥","The Jadu 3","The Jadu",2003-05-15,225866,46,false,,1970-01-01T00:00:00Z,"K-발라드","위지스제이",0.609,0.856,1,-3.98,0,0.0339,0.0123,0.00503,0.0677,0.886,186.115,4
spotify:track:5I8mg57tDvhGGGC3x14mIZ,"(′Cause) I′m Your Girl","S.E.S. - The 1st Album","S.E.S.",1997-11-01,225560,46,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.757,0.911,10,-4.005,0,0.0881,0.124,0,0.284,0.728,101.817,4
spotify:track:7aui07GfHIS7fe1vx0ejzl,"길","Chapter 4","god",2001-11-15,226040,45,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.854,0.382,1,-8.533,1,0.0538,0.0679,0,0.0444,0.846,123.665,4
spotify:track:0UqC7F1XzJUCugA7L3xTtk,"Sweety","4ever Feel So Good","샵",2001-02-21,211748,39,false,,1970-01-01T00:00:00Z,"K-발라드","월드뮤직",0.775,0.965,10,-2.711,0,0.0668,0.079,0.00007,0.0643,0.878,120.016,4
spotify:track:0Ss2xN0mwOnIpzWjG7gwf7,"섹시한 남자","Power Bit Techno Space A","스페이스에이",1999-08-17,234640,35,false,,1970-01-01T00:00:00Z,"","RIAK",0.784,0.872,1,-5.669,1,0.0799,0.1,0.000101,0.0978,0.56,131.983,4
