Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4pi0Elz7B7cLfw37J3bYm9,"으르렁 (Growl)","The 1st Album 'XOXO' (Repackage)","EXO",2013-08-05,207053,69,false,,2024-08-05T16:58:20Z,"케이팝","SM Entertainment",0.681,0.814,11,-2.83,0,0.0603,0.145,0,0.556,0.876,89.993,4
spotify:track:1L4d2lafz1odpIMe8va21X,"하루하루","Stand Up (2008 빅뱅 3rd Mini Album)","BIGBANG",2008-08-08,256359,69,false,,2024-08-05T16:58:20Z,"케이팝","YG Entertainment",0.687,0.914,6,-5.02,1,0.0437,0.166,0,0.0858,0.675,126.001,4
spotify:track:66UcQu5LBo2A7AC0A5r0lI,"위잉위잉","20","혁오",2014-09-18,194866,59,false,,2024-08-05T16:58:20Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.7,0.696,7,-5.356,1,0.0525,0.262,0,0.107,0.293,124.825,4
spotify:track:1elg9QF5vJhOJO8igCpOQi,"Tell me (Sampling From `Two Of Hearts`)","The Wonder Years","원더걸스",2007-09-12,217000,48,false,,2024-08-05T16:58:20Z,"케이팝","JYP Entertainment",0.792,0.924,6,-6.866,0,0.0327,0.104,0.000224,0.336,0.968,127.003,4
spotify:track:5c58c6sKc2JK3o75ZBSeL1,"Gangnam Style (강남스타일)","Hottest Hits Ever 3","싸이",2013-01-01,220413,42,false,,2024-08-05T16:58:20Z,"케이팝","Universal Music Philippines Inc.",0.722,0.932,11,-3.294,0,0.29,0.00453,0,0.0817,0.732,132.084,4
spotify:track:6Yj8kVuVR3UPxx9r5eFEoV,"짧은 치마 (MINISKIRT)","짧은 치마","AOA",2014-01-16,179808,78,false,,2024-08-05T16:58:20Z,"케이팝","FNC ENTERTAINMENT",0.758,0.858,5,-2.502,1,0.0464,0.43,0,0.201,0.963,119.992,4
spotify:track:26eV0R7nbqtlzh316ncU99,"FANTASTIC BABY","ALIVE","BIGBANG",2012-02-29,230573,67,false,,2024-08-05T16:58:20Z,"케이팝","YG Entertainment",0.725,0.841,2,-3.924,1,0.0545,0.002,0,0.0652,0.582,130.013,4
spotify:track:0Nld5ohgWfoPueMEtYNbgE,"와리가리","22","혁오",2015-05-28,228320,54,false,,2024-08-05T16:58:20Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.748,0.721,6,-6.345,0,0.0408,0.103,0,0.108,0.625,119.892,4
spotify:track:0wnSAKtD7n2Z5uOZcu0Obr,"그건 아마 우리의 잘못은 아닐거야","Our love is great","백예린",2019-03-18,233003,49,false,,2024-08-05T16:58:20Z,"K-발라드","JYP Entertainment",0.273,0.604,5,-6.517,1,0.0787,0.763,0.0000931,0.168,0.625,191.726,4
spotify:track:3uA8SjMyDtwtt0jLPMQbVD,"D (Half Moon)","130 Mood : TRBL","DEAN;개코",2016-03-25,229359,61,false,,2024-08-05T16:58:20Z,"한국 랩,케이팝","Universal Music Ltd.",0.512,0.765,7,-5.252,1,0.136,0.246,0,0.0573,0.519,169.709,4
spotify:track:2YkjXEab4USTV9uuAgC90E,"4 Walls","4 Walls - The 4th Album","f(x)",2015-10-27,207477,63,false,,2024-08-05T16:58:20Z,"케이팝","SM Entertainment",0.735,0.849,4,-4.308,0,0.129,0.212,0.0000294,0.0608,0.223,125.972,4
spotify:track:2IZ6fFOq5d8lT0CxLDcxKz,"FANCY","FANCY YOU","TWICE",2019-04-22,213885,48,false,,2024-08-05T16:58:20Z,"케이팝","JYP Entertainment",0.699,0.868,8,-2.142,1,0.0446,0.0134,0,0.634,0.796,132.024,4
spotify:track:6DA7kCWYMggJjqPM84V2Ng,"TOMBOY","23","혁오",2017-04-24,241692,59,false,,2024-08-05T16:58:20Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.301,0.431,3,-5.314,1,0.0299,0.0961,0.0000105,0.114,0.221,148.2,4
spotify:track:1N9TrsZZXX8GQvOvD3PV23,"소녀","응답하라 1988 (Original Television Soundtrack), Pt. 3","오혁",2015-11-21,226274,57,false,,2024-08-05T16:58:20Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.413,0.241,3,-9.682,1,0.0357,0.417,0.0119,0.116,0.152,129.746,4
