Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:68wcwjbCqTj43MD6kLvJr0,"그렇게, 나도 모르게","삶의 향기","권나무",2025-09-03,398677,22,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.608,0.326,4,-9.971,1,0.0303,0.877,0.0000152,0.105,0.262,120.875,4
spotify:track:6QMXAwFmfYrjh98Wl8rXHJ,"투정 여행","삶의 향기","권나무",2025-09-03,310384,16,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.586,0.234,3,-12.216,1,0.0315,0.936,0.0298,0.243,0.176,106.064,4
spotify:track:3xGRhZX23ya0nUpgJdNu3o,"너의 마음속에","삶의 향기","권나무",2025-09-03,179230,15,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.62,0.156,1,-15.738,1,0.0366,0.888,0.000261,0.0848,0.256,77.938,4
spotify:track:7kpOs8HTsq6gff4XKt6XZb,"잃어버린 게 너무 많아서","삶의 향기","권나무",2025-09-03,290624,14,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.593,0.199,1,-11.168,1,0.0321,0.908,0.00296,0.106,0.375,117.84,4
spotify:track:0qN1R5EwBb9UmgjqeowRqZ,"두 마음","삶의 향기","권나무",2025-09-03,216880,14,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.515,0.241,2,-13.303,1,0.0399,0.928,0.0333,0.117,0.313,118.662,4
spotify:track:6gbXOwDZW3Ig1Hk5FD7b0y,"어디에서도","삶의 향기","권나무",2025-09-03,274020,16,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.578,0.178,7,-11.814,1,0.0344,0.949,0.137,0.178,0.212,98.412,4
spotify:track:7AxN5jHXGXaKW7ps4arHM9,"가까이에","삶의 향기","권나무",2025-09-03,315173,16,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.488,0.212,11,-9.541,1,0.0345,0.889,0.0000027,0.118,0.298,116.609,4
spotify:track:6fkj346tsqVSJci0JH5r3W,"잠든 너를 보고 있으면","삶의 향기","권나무",2025-09-03,281770,15,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.606,0.153,11,-15.169,1,0.0314,0.932,0.0595,0.136,0.131,112.789,4
spotify:track:1yaBjY5VU59CwGeVTN7JaL,"새해","삶의 향기","권나무",2025-09-03,481518,11,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.389,0.283,1,-12.096,1,0.03,0.907,0.0708,0.139,0.27,132.597,4
spotify:track:5l24Oj7wqQvl3R36zq5umt,"청춘","삶의 향기","권나무",2025-09-03,481636,11,false,313szxy7vswousphfmoumend57fe,2026-02-05T05:30:42Z,"한국 록","권나무 KwonTree",0.569,0.283,7,-8.548,1,0.0334,0.83,0.0000116,0.109,0.122,110.741,4
