Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ehRKeDCahWLE9UEWCso9R,"얄미운사람","최고인기가수인기가요1집","김지애",1992-07-01,155024,20,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:14:44Z,"","오감엔터테인먼트",0.78,0.574,4,-11.361,1,0.0535,0.227,0.0121,0.0876,0.714,122.729,4
spotify:track:2UW3l7ufA7rmg3AjLDT91r,"한바탕 웃음으로","한바탕 웃음으로","이선희",1989-01-01,237531,23,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:15:58Z,"K-발라드","RIAK",0.631,0.463,7,-13.382,1,0.0313,0.535,0.00000223,0.16,0.79,138.083,4
spotify:track:6BZm1KXDfmsgbIQvF9wHGB,"너에게로 또 다시","2집","변진섭",1989-10-25,245826,36,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:20:20Z,"K-발라드","음제협",0.299,0.401,0,-13.252,0,0.0395,0.377,0,0.0999,0.195,144.822,4
spotify:track:6gcSfJPwEomXnmRdZTY2IB,"희망사항","2집","변진섭",1989-10-25,194000,28,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:20:56Z,"K-발라드","음제협",0.668,0.16,5,-15.552,1,0.0353,0.809,0,0.122,0.498,122.735,4
spotify:track:1bbC7GkKjINmHhpigQSSZR,"잊지 말아요","나보다 더 아픈 가슴을 위해","최성수",1989-09-09,235572,21,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:25:16Z,"K-발라드","Wellmade Yedang",0.71,0.711,10,-7.847,0,0.0354,0.276,0,0.0457,0.688,113.733,4
spotify:track:2ghebdwe2pNXT4eL34T7pW,"그 아픔까지 사랑한거야","그 아픔까지 사랑한거야","조정현",1989-06-15,237688,47,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:26:17Z,"K-발라드","신세계음향",0.447,0.214,10,-16.48,1,0.0273,0.565,0,0.0649,0.17,71.979,4
spotify:track:7GrgH8eGc1LIRXIjT1VFfp,"사랑일뿐야","사랑일뿐야","Kim Minwoo",1990-02-10,247170,42,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:28:07Z,"K-발라드","신세계음향",0.389,0.265,7,-12.65,1,0.0264,0.408,0,0.33,0.111,137.693,4
spotify:track:6dYBbyqyZiNssyoEs2xtiy,"인디안 인형처럼","아무말 않으리 / 미움인지 그리움인지","나미",1989-02-01,236355,28,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:37:27Z,"K-발라드","RIAK",0.792,0.577,5,-12.221,0,0.0445,0.554,0.344,0.109,0.848,100.017,4
spotify:track:0SAgZ4I7m2LjM1znA1D6ox,"입영열차안에서","사랑일뿐야","Kim Minwoo",1990-02-10,232881,37,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:38:36Z,"K-발라드","신세계음향",0.395,0.608,0,-11.693,0,0.036,0.409,0.0000969,0.0837,0.681,170.128,4
spotify:track:1hPVKAcUqWwmgSg2KkU3CT,"보고싶은 얼굴","당신과 나","Min Hae Kyung",1999-09-01,232666,7,false,313cfpt2yyt7cggrcusu55xfjwky,2023-10-30T22:39:09Z,"시티 팝,K-발라드","RIAK",0.593,0.822,9,-6.227,0,0.0431,0.55,0.0119,0.0878,0.835,108.773,4
