Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6RNDeRnWsRMjPdNVgupZCs,"I Just Called To Say I Love You","At The Close Of A Century","Stevie Wonder",1999-11-23,262240,78,false,,2024-10-10T07:07:00Z,"모타운 (Motown),클래식 소울,소울","UNI/MOTOWN",0.748,0.551,1,-9.054,1,0.0239,0.243,0.00000157,0.0943,0.65,113.535,4
spotify:track:1B10XgaxSXRLAFq967oMpF,"Hero","Loma Vista","Family of the Year",2012-07-10,190280,64,false,,2024-10-10T07:07:00Z,"","Nettwerk Music Group",0.34,0.523,5,-5.81,1,0.0265,0.245,0.0000107,0.108,0.226,174.705,4
spotify:track:1HYzRuWjmS9LXCkdVHi25K,"Stay With Me","도깨비 (Original Television Soundtrack), Pt. 1","찬열;펀치",2016-12-03,192441,70,false,,2024-10-10T07:07:00Z,"케이팝,사운드트랙,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.558,0.526,0,-4.686,0,0.033,0.431,0,0.126,0.202,124.709,4
spotify:track:6mzF8HvHdVrzJNd8M1uFCS,"Beautiful","도깨비 (Original Television Soundtrack), Pt. 4","Crush",2016-12-17,227583,68,false,,2024-10-10T07:07:00Z,"한국 랩,케이팝,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.416,0.41,10,-6.146,1,0.0292,0.843,0,0.107,0.219,110.252,4
spotify:track:27zrFrtUtWl2urlvjOn5xc,"Say Yes","달의 연인 - 보보경심 려 (Original Television Soundtrack), Pt. 2","로꼬;펀치",2016-08-29,218897,70,false,,2024-10-10T07:07:00Z,"한국 랩,케이팝,사운드트랙,K-발라드","Genie Music Corporation",0.696,0.778,1,-4.653,0,0.0585,0.352,0,0.329,0.41,94.996,4
spotify:track:0vB4Vd6PtkJSEnWsmqATnZ,"Nothing's Gonna Change My Love for You","20/20","George Benson",1985-01-15,242678,76,false,,2024-10-10T07:07:00Z,"스무스 재즈,요트 록,재즈 펑크(Funk),소울 재즈","WM Japan",0.553,0.614,1,-5.098,1,0.0306,0.764,0,0.0811,0.345,136.628,4
spotify:track:5TeDIQrpwWtLWaFfzLH0hh,"시작","이태원 클라쓰 OST Part 2","가호",2020-02-01,202440,64,false,,2024-10-10T07:07:00Z,"사운드트랙","(주)블렌딩",0.595,0.816,4,-3.552,1,0.0743,0.179,0,0.129,0.573,108.115,4
spotify:track:3YpiZu52TdVbNKExZpZAWW,"기억의 습작","Exhibition","Exhibition",1994-05-01,313106,48,false,,2024-10-10T07:07:00Z,"K-발라드","다날(포이보스)",0.444,0.37,3,-13.858,1,0.0313,0.426,0,0.294,0.121,135.862,4
spotify:track:5meXFFc3zvuS09mBCee6kL,"랄랄라, It's Love!","커피프린스 1호점 (Original Television Soundtrack)","더 멜로디",2007-07-24,196813,30,false,,2024-10-10T07:07:00Z,"","노트뮤직",0.776,0.61,0,-8.379,1,0.0307,0.22,0.00000866,0.1,0.665,110.005,4
spotify:track:6dB7ouNHcivhWCmpIsB097,"We are still","D.P. 2 (Original Soundtrack from the Netflix Series)","프라이머리;Meego",2023-07-28,244413,34,false,,2024-10-10T07:07:00Z,"한국 랩","Genie Music Corporation, Stone Music Entertainment",0.545,0.535,10,-7.413,1,0.0279,0.0253,0.059,0.126,0.389,79.995,4
spotify:track:2tmX4T7ODY34NwvQ3DD3MC,"존재만으로","스물다섯 스물하나 OST Part 4","원슈타인",2022-02-26,204229,63,false,,2024-10-10T07:07:00Z,"한국 랩","Studio MaumC, Hwa&Dam pictures",0.418,0.603,7,-9.379,1,0.204,0.536,0.0000252,0.11,0.657,100.171,4
spotify:track:1N9TrsZZXX8GQvOvD3PV23,"소녀","응답하라 1988 (Original Television Soundtrack), Pt. 3","오혁",2015-11-21,226274,57,false,,2024-10-10T07:07:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.413,0.241,3,-9.682,1,0.0357,0.417,0.0119,0.116,0.152,129.746,4
spotify:track:5YuO9y5jaAseAPUlbgJYWO,"나무","초콜릿, Pt.2 (Original Television Soundtrack)","CAR, THE GARDEN",2019-12-07,227385,39,false,,2024-10-10T07:07:00Z,"K-발라드","JTBC 스튜디오",0.493,0.484,11,-6.037,1,0.0334,0.202,0,0.155,0.209,145.517,4
spotify:track:0EOWckhigz9Fd2qS5Foiqh,"어젯밤 이야기","꽃갈피 둘","아이유",2017-09-22,233050,38,false,,2024-10-10T07:07:00Z,"케이팝,K-발라드","Fave Entertainment",0.599,0.786,6,-4.795,0,0.0573,0.0904,0.000474,0.0247,0.631,170.855,4
spotify:track:7GkHIsnziYgk6j1lx2TK6H,"아주, 천천히","스물다섯 스물하나 OST Part 3","비비",2022-02-20,214851,58,false,,2024-10-10T07:07:00Z,"케이팝,한국 랩","Studio MaumC, Hwa&Dam pictures",0.528,0.423,8,-7.381,1,0.0264,0.678,0.00148,0.167,0.249,135.917,4
spotify:track:1oW9H74WFBF0AsjP2e61YZ,"너에게 난, 나에게 넌","자전거 탄 풍경","자전거 탄 풍경",2001-10-05,222853,50,false,,2024-10-10T07:07:00Z,"K-발라드","자전거 탄 풍경",0.516,0.802,7,-2.869,1,0.0362,0.489,0.0198,0.546,0.583,147.909,4
spotify:track:32ChpkFsaTHYoXKvFWJ6ZG,"Something","내 아이디는 강남미인 OST Part.4","죠지;강혜인",2018-08-17,229066,51,false,,2024-10-10T07:07:00Z,"K-발라드","RIAK",0.617,0.638,2,-6.901,1,0.0434,0.374,0.00000289,0.301,0.69,75.956,4
spotify:track:6ChPSpcpyuFT8C5HMTlezz,"Darling","멜랑꼴리아, Pt. 2 (Original Television Soundtrack)","선우정아",2021-12-02,250999,38,false,,2024-10-10T07:07:00Z,"K-발라드","Genie Music Corporation",0.354,0.274,4,-9.964,1,0.0299,0.958,0.0000243,0.18,0.086,91.361,4
spotify:track:5wGcauPYr3YP3zFu6uXM5X,"I Believe","8th","신승훈",2002-01-14,286720,51,false,,2024-10-10T07:07:00Z,"K-발라드","티지엠",0.538,0.215,7,-10.794,1,0.0297,0.869,0,0.125,0.117,130.191,4
spotify:track:4vnrJaiH6atknZ1xdvjQF8,"I Always,For You","Lee Sun Hee Best","이선희",1989-09-01,213821,36,false,,2024-10-10T07:07:00Z,"K-발라드","2003 Diomede",0.593,0.304,7,-13.555,1,0.0342,0.567,0.0000815,0.0921,0.22,119.834,3
spotify:track:16FoyabyqWiC4G0crZDt5Y,"Hush","도깨비 (Original Television Soundtrack), Pt. 3","Lasse Lindh",2016-12-11,260107,52,false,,2024-10-10T07:07:00Z,"스웨덴 팝,사운드트랙","Genie Music Corporation, Stone Music Entertainment",0.646,0.311,7,-9.169,1,0.0328,0.917,0.00000788,0.236,0.305,130.018,4
spotify:track:6guwQgXKB38BF1C4sB1b6j,"우리 사이 은하수를 만들어","검색어를 입력하세요 WWW (Original Television Soundtrack), Pt. 1","오존",2019-06-07,204000,45,false,,2024-10-10T07:07:00Z,"K-발라드","Genie Music Corporation",0.617,0.459,5,-6.064,1,0.0323,0.712,0.0000043,0.137,0.202,72.021,4
spotify:track:0P3w8D7NAJb5xYvSQBpHq9,"걱정말아요 그대","응답하라 1988 (Original Television Soundtrack), Pt. 2","이적",2015-11-07,231696,55,false,,2024-10-10T07:07:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.508,0.316,9,-6.645,1,0.0323,0.836,0,0.151,0.183,138.027,4
spotify:track:3LJZMmngKDvo1X04dBYG0J,"Enough (Prod. Primary)","작은 아씨들, Pt. 1 (Original Television Soundtrack)","Zior Park",2022-09-18,225680,27,false,,2024-10-10T07:07:00Z,"한국 랩","Genie Music Corporation",0.716,0.547,9,-6.476,0,0.0417,0.493,0.000253,0.102,0.465,147.939,4
spotify:track:7mCdQsRW5gLLxVGDPPGt5j,"그때 그 아인","이태원 클라쓰 OST Part 6","김필",2020-02-15,287813,56,false,,2024-10-10T07:07:00Z,"K-발라드,사운드트랙","(주)블렌딩",0.332,0.327,5,-7.517,1,0.0298,0.763,0,0.108,0.091,130.234,4
spotify:track:2tWlrQ5VAwVcVmTdxeqa5J,"BLOOD ON MY HANDS (Feat. Paul Blanco & DeVita)","발레리나 (Music from The Netflix Film)","GRAY;Paul Blanco;DeVita",2023-10-06,211000,32,false,,2024-10-10T07:07:00Z,"한국 랩","Genie Music Corporation, Stone Music Entertainment",0.596,0.489,6,-6.661,0,0.0954,0.392,0.00000242,0.323,0.232,79.914,4
spotify:track:5w1sW9Gr8fBBy82f21uF0s,"일종의 고백 - Male Version","나의 해방일지 OST Part 9","Kwak jineon",2022-05-08,236097,39,false,,2024-10-10T07:07:00Z,"K-발라드","Studio MaumC, JTBC Studio",0.537,0.313,6,-9.958,1,0.0322,0.734,0.0306,0.121,0.195,125.828,4
spotify:track:6fVIZMLDp8ajfb7A9Dt3RD,"Stay","지금, 헤어지는 중입니다 (Original Television Soundtrack), Pt. 6","카더가든",2021-11-28,240680,40,false,,2024-10-10T07:07:00Z,"K-발라드","뮤직그라운드,구름위에음악사",0.497,0.356,7,-8.992,1,0.0277,0.59,0.000024,0.109,0.329,140.271,4
