Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:20QI1DhCFz7pN8rATkNguv,"너에게 닿기를","너에게 닿기를","10CM",2025-03-06,158680,57,false,,2025-12-03T12:15:50Z,"K-발라드,사운드트랙","CAM",0.571,0.824,2,-3.371,1,0.0381,0.0139,0,0.0818,0.416,125.979,4
spotify:track:1L00vG2kGAmaAw47GQUNNI,"I'll Never Love Again","I'll Never Love Again","WOODZ",2025-09-24,225000,59,false,,2025-12-03T12:15:50Z,"한국 록,케이팝","EDAM ENTERTAINMENT",0.404,0.663,1,-3.572,1,0.0503,0.298,0.000158,0.0625,0.439,71.875,4
spotify:track:2l3tVx85kU4aKZC2eARXKJ,"INSIDE OUT","The DECADE","DAY6",2025-09-05,180881,45,false,,2025-12-03T12:15:50Z,"한국 록,케이팝","JYP Entertainment",0.73,0.485,11,-7.288,0,0.0572,0.0752,0,0.117,0.676,127.002,4
spotify:track:6SETwOgYmyKKjzz8uNT7SC,"PunKanon","PunKanon","이승윤",2025-08-13,283000,42,false,,2025-12-03T12:15:50Z,"한국 록,K-발라드","MAREUMO",0.336,0.985,0,-3.082,1,0.167,0.000355,0,0.259,0.0955,96.29,4
spotify:track:29sI2nRMCyKqmmpWZ6WJsi,"南宮FEFERE (feat. Japanese Breakfast)","南宮FEFERE","실리카겔;Japanese Breakfast",2025-07-10,228544,37,false,,2025-12-03T12:15:50Z,"한국 록","CAM",0.392,0.654,5,-6.754,0,0.0319,0.00652,0.0834,0.111,0.678,105.655,4
spotify:track:5eek1iO2hgsffOssvVtICp,"여백 한켠에","여백 한켠에","이승윤",2024-12-31,154040,28,false,,2025-12-03T12:15:50Z,"한국 록,K-발라드","MAREUMO",0.31,0.731,10,-5.987,1,0.0577,0.294,0.0000107,0.133,0.187,135.919,4
spotify:track:2pfU9lw8L3BdOd1yV4V5xt,"snow8","snow8","Redoor",2025-01-06,220536,42,false,,2025-12-03T12:15:50Z,"K-발라드,한국 록","Genie Music Corporation, Stone Music Entertainment",0.349,0.788,11,-3.714,0,0.0459,0.0184,0.00000127,0.0795,0.467,150.326,4
spotify:track:1Y5D7m2QtyBdvwvY3gAVNQ,"반딧불 (Little Light)","청춘의 포말 (YOUTH) - The 1st Album","도영",2024-04-22,224866,51,false,,2025-12-03T12:15:50Z,"케이팝,K-발라드","SM Entertainment",0.533,0.742,10,-3.848,1,0.0482,0.227,0,0.164,0.42,92.206,4
spotify:track:2sDcIrosoXqiGv1D5OQUvF,"Dash","Caligo Pt.1","PLAVE",2025-02-03,174533,59,false,,2025-12-03T12:15:50Z,"케이팝","VLAST",0.65,0.65,1,-5.663,0,0.0535,0.0219,0,0.113,0.369,103.071,4
spotify:track:1bBuZZJacnkfvPQoQznjZk,"Loser (with LEE DO of ONEUS)","Loser, Game Over, You're the Champion","용용;LEE DO of ONEUS",2025-01-27,207666,28,false,,2025-12-03T12:15:50Z,"한국 랩,한국 록","WM Korea",0.422,0.629,6,-4.395,1,0.0348,0.292,0,0.11,0.244,159.949,4
