Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3m08yeqLjXsqblRU3KXPAp,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)","쇼미더머니 12 Episode 1","김하온;Nosun;Raf Sandou;Marv;Jung Junhyuk;지코",2026-03-06,230000,66,false,,2026-03-20T04:09:06Z,"한국 랩,라틴 아프로비츠,케이팝","Genie Music Corporation",0.771,0.83,9,-2.5,1,0.216,0.0379,0,0.0466,0.83,80.006,4
spotify:track:2bAQsNqdo62T8akkIvWzGl,"RUDE!","RUDE!","Hearts2Hearts",2026-02-20,200000,85,false,,2026-03-20T04:09:06Z,"케이팝","SM Entertainment",0.78,0.784,6,-4.2,0,0.0893,0.169,0.00000839,0.339,0.467,128.076,4
spotify:track:3sOAwRg5esaxDcWnUigWPv,"0+0","자몽살구클럽","HANRORO",2025-08-04,192000,68,false,,2026-03-20T04:09:06Z,"K-발라드,한국 록","authentic",0.457,0.523,9,-5.862,1,0.0286,0.492,0.0157,0.163,0.196,135.899,4
spotify:track:3WvM2dIR9iIxMGNMP7WsNw,"사랑하게 될 거야","이상비행","HANRORO",2023-08-29,165000,68,false,,2026-03-20T04:09:06Z,"K-발라드,한국 록","authentic",0.625,0.516,7,-6.018,1,0.0265,0.426,0.0000015,0.187,0.326,92.94,4
spotify:track:68lbSrXDORS51pmyjZv712,"SWIM","ARIRANG","방탄소년단",2026-03-20,159007,84,false,,2026-03-20T04:09:06Z,"케이팝","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
spotify:track:1rEa59P5yEal5cp1h7kl2e,"404 (New Era)","Delulu Pack","KiiiKiii",2026-01-26,179586,65,false,,2026-03-20T04:09:06Z,"케이팝","STARSHIP Entertainment",0.501,0.521,4,-48.743,1,0.0761,0.658,0.466,0.526,0.00001,140.024,1
spotify:track:0XanaXeMJJ4VdjWzwok7ZI,"GO","DEADLINE","BLACKPINK",2026-02-27,195402,61,false,,2026-03-20T04:09:06Z,"케이팝","YG Entertainment",0.611,0.589,2,-9.289,0,0.0656,0.0232,0.0000757,0.252,0.203,103.124,4
spotify:track:4MII9R3syMugyhdDvB8G0u,"BANG BANG","BANG BANG","IVE",2026-02-09,177000,60,false,,2026-03-20T04:09:06Z,"케이팝","STARSHIP Entertainment",0.629,0.903,0,-3.112,1,0.095,0.0103,0.000304,0.334,0.411,152.155,4
spotify:track:5bB7348yF6DXMmK1WQlBui,"Money Checks (Prod. by Hukky Shibaseki)","쇼미더머니 12 Episode 1","NOWIMYOUNG;Fleeky Bang;Royal 44;Double Down;영슈러",2026-03-06,269081,62,false,,2026-03-20T04:09:06Z,"한국 랩","Genie Music Corporation",0.785,0.878,1,-3.542,1,0.229,0.0912,0,0.145,0.794,146.959,4
spotify:track:7hlEhmg5h9XuFtaGfgvqjF,"Love Love Love","Remapping the Human Soul","에픽하이",2007-01-24,231093,67,false,,2026-03-20T04:09:06Z,"한국 랩,케이팝,K-발라드","CJ E&M MUSIC",0.788,0.881,1,-3.678,0,0.0646,0.059,0,0.17,0.785,127.976,4
spotify:track:6jYiHr12NVKLzn0X7K8aSK,"FOCUS","FOCUS - The 1st Mini Album","Hearts2Hearts",2025-10-20,177052,79,false,,2026-03-20T04:09:06Z,"케이팝","SM Entertainment",0.62,0.88,4,-4.459,0,0.212,0.00491,0.00000101,0.0857,0.725,130.032,4
spotify:track:0MtiWniV24IBXmBPeW1v1m,"BLACKHOLE","REVIVE+","IVE",2026-02-23,194171,59,false,,2026-03-20T04:09:06Z,"케이팝","STARSHIP Entertainment",0.453,0.898,5,-4.561,1,0.208,0.0868,0,0.118,0.28,125.851,4
spotify:track:4qdBPJta3BVPXCS0wJZ6yO,"입춘","입춘","HANRORO",2022-03-14,248407,64,false,,2026-03-20T04:09:06Z,"K-발라드,한국 록","authentic",0.25,0.372,9,-4.619,0,0.0379,0.435,0,0.108,0.0535,161.257,4
