Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3r8RuvgbX9s7ammBn07D3W,"Ditto","Ditto","NewJeans",2022-12-19,185506,80,false,11156981936,2023-03-29T10:59:14Z,"케이팝","ADOR",0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4
spotify:track:4dKa5ZzlGqUy3Wo0yaXKNI,"Cupid","The Beginning: Cupid","FIFTY FIFTY",2023-02-24,174253,0,false,11156981936,2023-03-29T10:59:14Z,"케이팝","ATTRAKT",0.77,0.661,2,-8.199,1,0.0336,0.652,0,0.383,0.943,120.053,4
spotify:track:5oH4DQAuu1J1800RzUsBWa,"That That (prod. & feat. SUGA of BTS)","싸다9","싸이;SUGA",2022-04-29,174646,0,false,11156981936,2022-08-30T03:22:09Z,"케이팝","P NATION",0.905,0.962,4,-3.197,1,0.0856,0.0299,0,0.0272,0.906,129.969,4
spotify:track:2gYj9lubBorOPIVWsTXugG,"After LIKE","After LIKE","IVE",2022-08-22,176973,73,false,11156981936,2022-08-30T03:22:09Z,"케이팝","Starship Entertainment",0.68,0.922,0,-1.215,1,0.121,0.103,0,0.0877,0.799,125.014,4
spotify:track:65FftemJ1DbbZ45DUfHJXE,"OMG","NewJeans 'OMG'","NewJeans",2023-01-02,212253,79,false,11156981936,2023-03-29T10:59:14Z,"케이팝","ADOR",0.804,0.771,9,-4.067,0,0.0433,0.357,0.00000307,0.108,0.739,126.956,4
spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz,"POP!","IM NAYEON","나연",2022-06-24,168106,57,false,11156981936,2022-08-30T03:22:09Z,"케이팝","WM Japan",0.793,0.859,2,-2.998,1,0.0544,0.0356,0,0.0343,0.392,97.001,4
spotify:track:0skYUMpS0AcbpjcGsAbRGj,"Pink Venom","Pink Venom","BLACKPINK",2022-08-19,186964,66,false,11156981936,2022-08-30T03:22:09Z,"케이팝","YG Entertainment/Interscope Records",0.798,0.697,0,-7.139,1,0.0891,0.0202,0,0.259,0.745,90.031,4
spotify:track:69CrOS7vEHIrhC2ILyEi0s,"FLOWER","ME","지수",2023-03-31,173134,69,false,11156981936,2023-06-13T23:12:18Z,"케이팝","YG Entertainment/Interscope Records",0.843,0.389,9,-7.669,0,0.036,0.0316,0.0000062,0.0982,0.639,123.956,4
spotify:track:3Ua0m0YmEjrMi9XErKcNiR,"Like Crazy","FACE","지민",2023-03-24,212241,76,false,11156981936,2023-06-13T23:12:18Z,"케이팝","BIGHIT MUSIC",0.629,0.733,7,-5.445,1,0.0419,0.0025,0,0.357,0.362,120.001,4
spotify:track:4uOBL4DDWWVx4RhYKlPbPC,"Queencard","I feel","i-dle",2023-05-15,161240,6,false,11156981936,2023-06-13T23:12:18Z,"케이팝","Cube Entertainment",0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,4
