Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4g5eopb54XIaV2ciooY3St,"SWIM","ARIRANG","방탄소년단",2026-03-20,159007,75,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.531,0.706,6,-5.487,0,0.0638,0.153,0,0.117,0.157,93.811,4
spotify:track:02PyZNzTdzA1Nbxycnv93V,"Body to Body","ARIRANG","방탄소년단",2026-03-20,189725,66,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.674,0.788,6,-3.367,0,0.0442,0.113,0.00000216,0.168,0.495,120.016,4
spotify:track:20dAJsyno9ZoBLJtqgQnUI,"Hooligan","ARIRANG","방탄소년단",2026-03-20,182046,82,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.666,0.494,1,-5.265,0,0.101,0.144,0,0.13,0.442,135.147,4
spotify:track:5tg21NdePCn5m8F9BXOEeJ,"Aliens","ARIRANG","방탄소년단",2026-03-20,167751,81,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.707,0.739,11,-3.075,1,0.0575,0.0984,0,0.843,0.503,98.015,4
spotify:track:0KmrKOdScRDVYwWS8hkkdv,"FYA","ARIRANG","방탄소년단",2026-03-20,180543,81,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.705,0.817,11,-4.908,0,0.212,0.00127,0,0.11,0.457,128.955,4
spotify:track:2bAQsNqdo62T8akkIvWzGl,"RUDE!","RUDE!","Hearts2Hearts",2026-02-20,200000,85,false,,2026-03-21T13:42:54Z,"케이팝","SM Entertainment",0.78,0.784,6,-4.2,0,0.0893,0.169,0.00000839,0.339,0.467,128.076,4
spotify:track:0iuC1cgzqw5yiHCgZE1QMp,"Merry Go Round","ARIRANG","방탄소년단",2026-03-20,229855,63,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.601,0.634,8,-6.461,1,0.0431,0.34,0.0000268,0.106,0.258,84.015,4
spotify:track:0H653Nkt1VcM5A5MC4N6Fw,"2.0","ARIRANG","방탄소년단",2026-03-20,169929,63,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.929,0.542,0,-4.395,1,0.0522,0.018,0.00000692,0.175,0.27,130.026,4
spotify:track:1gvhtkVO3kvPnh8XcSkNGX,"Like Animals","ARIRANG","방탄소년단",2026-03-20,189746,62,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.454,0.851,3,-3.429,1,0.0459,0.0596,0,0.11,0.328,78.944,4
spotify:track:3sOAwRg5esaxDcWnUigWPv,"0+0","자몽살구클럽","HANRORO",2025-08-04,192000,68,false,,2026-03-21T13:42:54Z,"K-발라드,한국 록","authentic",0.457,0.523,9,-5.862,1,0.0286,0.492,0.0157,0.163,0.196,135.899,4
spotify:track:3m08yeqLjXsqblRU3KXPAp,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)","쇼미더머니 12 Episode 1","김하온;Nosun;Raf Sandou;Marv;Jung Junhyuk;지코",2026-03-06,230000,66,false,,2026-03-21T13:42:54Z,"한국 랩,라틴 아프로비츠,케이팝","Genie Music Corporation",0.771,0.83,9,-2.5,1,0.216,0.0379,0,0.0466,0.83,80.006,4
spotify:track:0b61A7v9agI08BG21jJPQ9,"they don’t know ’bout us","ARIRANG","방탄소년단",2026-03-20,164241,80,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.744,0.653,9,-4.525,0,0.0727,0.28,0,0.0986,0.635,137.978,4
spotify:track:31fmJmXLPdIax9kLUIvFKh,"No. 29","ARIRANG","방탄소년단",2026-03-20,98453,62,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",,,,,,,,,,,,
spotify:track:6s3w7SUVtmm68Bw5KrKMh0,"One More Night","ARIRANG","방탄소년단",2026-03-20,167589,79,false,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.655,0.802,6,-5.649,1,0.0742,0.202,0,0.0961,0.641,116.964,4
spotify:track:4B4Q7zfd0aHcuhQBfCRnH5,"NORMAL","ARIRANG","방탄소년단",2026-03-20,181649,80,true,,2026-03-21T13:42:54Z,"케이팝","BIGHIT MUSIC",0.464,0.774,1,-4.225,0,0.081,0.206,0,0.193,0.651,73.071,4
