Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6BuBas6u8SShF6OVeFdWlg,"낭만주의","Narcissus","이츠",2023-04-09,212420,35,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:00Z,"한국 록","It′s",0.37,0.578,7,-4.763,1,0.043,0.388,0,0.139,0.254,171.448,4
spotify:track:4LBuPWM3HdzvM8blfjC4Se,"달","Narcissus","이츠",2023-04-09,258806,15,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:03Z,"한국 록","It′s",0.53,0.637,1,-3.903,0,0.0309,0.268,0.00000174,0.0748,0.558,83.968,4
spotify:track:5mzZhMxXN283EJq6b4aZbO,"청록","Narcissus","이츠",2023-04-09,205922,44,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:06Z,"한국 록","It′s",0.684,0.702,7,-3.272,1,0.0307,0.00729,0,0.0802,0.456,102.965,4
spotify:track:1etINdjJeZT4fH9aWpEy8C,"몽유","Narcissus","이츠",2023-04-09,227535,21,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:08Z,"한국 록","It′s",0.559,0.506,9,-5.01,1,0.0931,0.629,0,0.148,0.166,137.764,4
spotify:track:18vmx7dz7aUoJJ7FWTll2r,"사랑은 X랄","Narcissus","이츠",2023-04-09,217281,29,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:09Z,"한국 록","It′s",0.634,0.832,4,-4.1,0,0.042,0.0108,0.0000378,0.0799,0.633,102.964,4
spotify:track:6fjyjiOes6Nz1TOH66wTGC,"시트콤","Narcissus","이츠",2023-04-09,209983,22,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:10Z,"한국 록","It′s",0.854,0.537,2,-4.213,0,0.0305,0.361,0,0.134,0.399,95.06,4
spotify:track:4cHSeaAZIo4kWdala0N5P7,"수선화","Narcissus","이츠",2023-04-09,239619,25,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:11Z,"한국 록","It′s",0.517,0.547,4,-3.708,1,0.0262,0.242,0,0.113,0.272,74.003,4
spotify:track:0EOuNkNLvaIuAr12tS9B36,"서울","서울병","THORNAPPLE",2016-05-19,407880,38,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:32Z,"한국 록","Happy Robot Records",0.339,0.542,7,-7.544,1,0.0276,0.0431,0.158,0.16,0.193,137.669,4
spotify:track:4644JaCBBX7EpiZY1XXJaW,"시퍼런 봄","이상기후","THORNAPPLE",2014-06-12,293210,44,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:25:59Z,"한국 록","Happy Robot Records",0.335,0.844,0,-3.97,1,0.0545,0.000418,0.0000125,0.331,0.263,185.876,4
spotify:track:5jjhXS0mIHHxyclG71WN8y,"2월","계몽","THORNAPPLE",2019-07-04,366493,38,false,st6tgjcfqfvmrv39r646titj0,2023-05-20T15:27:35Z,"한국 록","Happy Robot Records",0.629,0.749,5,-4.291,0,0.0264,0.323,0.00119,0.329,0.637,115.998,4
