Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0lHiOLrGKEZL77OaCLBJCd,"2019","빛과 바람의 유영","계피",2019-04-07,244468,14,false,,1970-01-01T00:00:00Z,"","계피",0.509,0.403,9,-10.147,1,0.0259,0.746,0.0015,0.32,0.378,80.629,4
spotify:track:14308UZCGOQ15C6vz1W0Ff,"As If Love Meant Nothing (feat. Lee Young Hoon)","Eternal Moment","위수;이영훈",2019-10-12,233129,32,false,,1970-01-01T00:00:00Z,"K-발라드","TEAM WISUE",0.619,0.12,11,-14.326,1,0.0506,0.957,0.00000528,0.129,0.358,118.051,4
spotify:track:0mzKZuumYicstydeEiCP9J,"Sadness","Solitude and Solidarity","9 and the Numbers",2016-12-16,255000,35,false,,1970-01-01T00:00:00Z,"한국 록","Tune Table Movement/ORM Entertainment",0.548,0.445,2,-7.535,1,0.0264,0.658,0.039,0.16,0.267,76,4
spotify:track:4MNob5sCYLR8E624wrxyOW,"샛노랑과 새빨강 사이","가을방학","Autumn Vacation",2010-10-07,234346,28,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","가을방학",0.679,0.659,0,-6.676,1,0.0249,0.328,0.00783,0.095,0.379,108.057,4
spotify:track:02EGe74DUyiuQp76biMQ8i,"진실에게","진실에게","안다영",2026-03-17,249354,28,false,,1970-01-01T00:00:00Z,"한국 록","MAGIC STRAWBERRY SOUND",0.641,0.55,2,-10.154,1,0.0366,0.804,0.257,0.0806,0.337,143.904,4
spotify:track:4lV595KJUfCTtfLSB7gxDz,"아무것도 아닌 나","세실리안","박진휘	",2026-02-27,231389,17,false,,1970-01-01T00:00:00Z,"","jin hwi Park",0.515,0.118,2,-17.449,1,0.0439,0.946,0.000264,0.338,0.0964,57.454,4
spotify:track:6G3orKXlVYOSE0sdudOHEB,"개똥벌레","빛과 바람의 유영","계피",2019-04-07,186500,4,false,,1970-01-01T00:00:00Z,"","계피",0.662,0.274,9,-10.029,1,0.0312,0.884,0,0.116,0.493,109.062,4
spotify:track:6dCnf63BG8SxmeyxoQlnAJ,"마음으로 말해요","FANTASY","비스윗",2015-12-24,179000,12,false,,1970-01-01T00:00:00Z,"","SW Company",0.834,0.234,6,-13.392,0,0.0616,0.74,0.00012,0.101,0.38,119.953,4
spotify:track:6kFk6TYKpjSR2nVxFDrbSS,"Hearts High","Treasure Island","9 and the Numbers",2015-02-03,238173,22,false,,1970-01-01T00:00:00Z,"한국 록","Tune Table Movement",0.531,0.627,2,-7.223,1,0.0259,0.38,0.0126,0.14,0.49,91.994,4
spotify:track:4LhSc17bT74mSjGcuSKJ0n,"3월의 마른 모래","선명","Autumn Vacation",2013-04-08,215360,15,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","가을방학",0.632,0.546,2,-6.981,1,0.0296,0.744,0.000198,0.277,0.193,113.988,4
spotify:track:2yUpUzhWdLNQebHYshnib4,"바다야","바다야","Jeongyun",2026-02-28,221708,17,false,,1970-01-01T00:00:00Z,"","정윤",0.637,0.179,1,-9.833,1,0.0271,0.706,0,0.147,0.164,87.945,4
