Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7xha3EMJ7Uy5Ch5MePFYS2,"Signal Waltz","Labor in Vain","라이너스의 담요",2005-06-22,176800,22,false,,1970-01-01T00:00:00Z,"시부야계","Beatball Music Group",0.569,0.423,2,-8.574,1,0.0316,0.798,0.681,0.178,0.354,155.877,3
spotify:track:3522qTXDhlpFXC7WgFsZTf,"Stone","Stereotype A","Cibo Matto",1999,197933,48,false,,1970-01-01T00:00:00Z,"시부야계,트립 합,아트 팝","Rhino/Warner Records",0.724,0.54,7,-10.985,1,0.0256,0.662,0.512,0.095,0.825,111.519,4
spotify:track:3vN0anHHoDEuvhlnWuDOAf,"a rain descretion","DRY FRUIT","sugar plant",2000-02-02,323493,45,false,,1970-01-01T00:00:00Z,"시부야계,드림 팝,슈게이징,일본 인디,슬로우코어","HOT-CHA",0.63,0.452,7,-11.87,1,0.0273,0.736,0.396,0.108,0.319,95.965,4
spotify:track:6WAHChgBy1COLbwCWYCtHs,"waltz for hulot","minuscule","mamerico",2011-09-13,227652,44,false,,1970-01-01T00:00:00Z,"일본 인디,시부야계","mamerico",0.7,0.179,6,-15.584,1,0.041,0.928,0.000184,0.102,0.326,130.938,3
spotify:track:1MKV7uNCfhjbMRtCotycn8,"Dewy Roses","Her Abiding Memory (2026 Revised Edition)","Pitcher56",2026-01-01,288506,49,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Pitcher56",0.503,0.592,4,-9.503,1,0.0388,0.119,0.264,0.875,0.419,138.943,4
spotify:track:7p23qMHn32rwnIcGIFJxgK,"Heart in Motion","Heart in Motion","The Green Tea",2008,227853,36,false,,1970-01-01T00:00:00Z,"시부야계,보사노바","Feel Music",0.764,0.482,9,-9.244,1,0.0318,0.371,0.0000616,0.258,0.596,116.033,4
spotify:track:3ghC5Z3ROxJAM9a4v4tvB4,"I Wonder Why My Favorite Boy Leaves Me In The Rain","I Wonder Why My Favorite Boy Leaves Me An EP","The Marshmallow Kisses",2004,144889,39,false,,1970-01-01T00:00:00Z,"시부야계,중국 인디,쟁글 팝","The Marshmallow Kisses",0.528,0.537,0,-9.268,1,0.0282,0.305,0.737,0.312,0.772,156.087,4
spotify:track:4rI0GdfmsoP9RQI6NBRocy,"さよならはハート仕掛け","秋の惑星、ハートはナイトブルー。","Kaede;Lamp;UWANOSORA",2020-09-08,236314,43,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디,시티 팝","T-Palette Records",0.755,0.446,0,-9.824,1,0.0322,0.608,0.000552,0.138,0.452,94.077,4
spotify:track:0gGWRV1FmOMz92rPJXOl8Z,"Labor in Vain","Labor in Vain","라이너스의 담요",2005-06-22,199000,21,false,,1970-01-01T00:00:00Z,"시부야계","Beatball Music Group",0.621,0.453,2,-9.169,1,0.0267,0.654,0.0173,0.0783,0.371,119.87,4
spotify:track:2DPg74vcxFDe9dOzioTYMA,"How much I Love you,baby","Sons of 1973","Satellite Lovers",1996-07-01,291000,49,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디,시티 팝","Sony Music Labels Inc.",0.51,0.472,9,-13.177,1,0.0337,0.435,0.857,0.139,0.852,184.198,4
spotify:track:4H7u20alxuJTXEhPdYECbE,"꿀차","꿀차","우효",2018-01-02,235034,41,false,,1970-01-01T00:00:00Z,"","MUN HWA IN",0.782,0.471,7,-10.071,0,0.0319,0.877,0.000077,0.0658,0.641,119.913,4
spotify:track:06zMVfnqSiXl7DoWCLCvzs,"꿈에서 걸려온 전화","꿈에서 걸려온 전화","김뜻돌",2020-09-27,255297,38,false,,1970-01-01T00:00:00Z,"일본 인디,한국 록,시부야계","Meaningful Stone",0.501,0.531,4,-6.758,1,0.0273,0.475,0.000107,0.122,0.407,169.973,3
spotify:track:7uxzErMVHl8n52VigbQjvQ,"Saudade no Céu de Outono","pomodorosa","pomodorosa",2020-04-19,186000,40,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디,보사노바","POPSTAR LABEL",0.676,0.18,9,-14.576,1,0.0446,0.89,0.00277,0.0894,0.422,117.383,4
spotify:track:1F5iX7QOlxIyXeMpnVE79x,"담요송","Semester (라이너스 담요의 첫번째 EP 앨범)","라이너스의 담요",2003-07-01,219376,13,false,,1970-01-01T00:00:00Z,"시부야계","비트볼뮤직",0.656,0.539,7,-9.113,1,0.0431,0.648,0.65,0.116,0.552,153.943,4
spotify:track:2m5tBREKTYsBlBzjsPrwS5,"The Legend of Pine Forest","Hidden Picture","놀이도감",2020-10-20,127837,33,false,,1970-01-01T00:00:00Z,"한국 록","ormdstudio",0.503,0.493,11,-9.171,0,0.0337,0.473,0.832,0.104,0.656,193.847,4
spotify:track:2Yn2a8sgxEJqYTupKGySeM,"Best Friend","Sons of 1973","Satellite Lovers",1996-07-01,299533,42,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디,시티 팝","Sony Music Labels Inc.",0.708,0.488,6,-12.833,0,0.0285,0.256,0.00735,0.0873,0.96,104.006,4
spotify:track:6B3t80HwvU1q4M6TaWJq4c,"good night in dim light","Pitcher56 1st Album","Pitcher56",2022-12-10,255487,45,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Pitcher56",0.639,0.671,2,-6.154,1,0.0286,0.00846,0.251,0.273,0.586,140.029,4
spotify:track:6ZAdaChu9ukRHdWARdTWIS,"Waters of March","소금비 (Prod. By Alfie Hole)","소금;차울",2022-03-03,217774,27,false,,1970-01-01T00:00:00Z,"한국 랩","DOOROODOOROO ARTIST COMPANY, AOMG",0.899,0.208,4,-13.066,1,0.0968,0.919,0.0129,0.111,0.458,115.961,4
spotify:track:5V0u9XgKIt2kFS4YXCauOJ,"Walk","Labor in Vain","라이너스의 담요",2005-06-22,82000,14,false,,1970-01-01T00:00:00Z,"시부야계","Beatball Music Group",0.744,0.648,10,-7.894,1,0.176,0.613,0,0.219,0.48,106.27,4
spotify:track:2OOIXy77BAdPtDwc3AapJP,"Love Is Magic","Heart in Motion","The Green Tea;Anders Edenroth",2008,277906,21,false,,1970-01-01T00:00:00Z,"시부야계,보사노바","Feel Music",0.692,0.52,9,-7.045,1,0.0281,0.322,0.00000547,0.0905,0.541,135.932,4
spotify:track:1N9trb5S6lPmerO5HRKv5E,"shan-lila shan-lula","homemade","mamerico",2022-05-14,211210,34,false,,1970-01-01T00:00:00Z,"일본 인디,시부야계","mamerico",0.798,0.212,9,-15.005,1,0.0403,0.877,0.000288,0.136,0.391,115.984,3
spotify:track:0lVJIHTB13L9HgvmyghcPV,"슈케이저","4/4 Sentimental Painkiller - 겨울은 봄의 심장","미스티 블루",2010-03-17,213626,38,false,,1970-01-01T00:00:00Z,"시부야계","Pastel Music",0.651,0.488,9,-8.17,1,0.0307,0.0657,0.692,0.0684,0.636,103.983,4
spotify:track:5UKiSkJWHBliIEnypXC8KG,"Spring Lovers","Spring Lovers","Minuano",2010-04-21,169266,49,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","College Music Records",0.57,0.317,0,-10.201,1,0.0287,0.896,0.00135,0.115,0.357,119.979,4
spotify:track:41nqSiFrgF8tPcJYuviMmC,"Parade","Parade","라이너스의 담요",2013-08-29,181061,15,false,,1970-01-01T00:00:00Z,"시부야계","레이블 벅스",0.791,0.378,7,-8.718,1,0.0341,0.749,0.00000117,0.133,0.856,113.002,4
spotify:track:4iwL2ZGki58Mp04aV9J1Tk,"砂のプリン","砂のプリン","yes, mama ok?",1992-01-19,240866,41,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Living,Dining&kitchen Records",0.621,0.537,9,-9.924,1,0.0235,0.396,0.687,0.346,0.826,100.077,4
spotify:track:27064NGzls7hJqVbd2KxQf,"日々の泡","ひとびと","rourourourous",2024-09-25,253071,36,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Sunshine Tunes",0.575,0.336,1,-13.377,0,0.0397,0.615,0.624,0.127,0.496,160.014,4
spotify:track:57QPgMBLy5LeXryylkyh9X,"애정결핍","어서오세요 여름밤","헤르쯔 아날로그",2014-06-26,290296,37,false,,1970-01-01T00:00:00Z,"","파스텔뮤직",0.729,0.398,7,-8.327,1,0.0285,0.341,0.0012,0.241,0.372,115.939,4
spotify:track:18UZECrGyokO4pevw7dh4r,"zZ(피곤해) (With 예빛)","zZ","유성윤;예빛",2020-03-23,227213,36,false,,1970-01-01T00:00:00Z,"K-발라드","유성윤",0.79,0.367,1,-9.856,1,0.0357,0.753,0.00000557,0.0885,0.496,120.087,4
spotify:track:3EDws2TBg6RpC5W41AL1dn,"夏の続き","Sons of 1973","Satellite Lovers",1996-07-01,234333,41,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디,시티 팝","Sony Music Labels Inc.",0.606,0.701,11,-14.178,1,0.0336,0.678,0.857,0.107,0.951,120,4
spotify:track:1pZkxeWqUOa8xocH60KtQT,"Owari","あの人が歌うのをきいたことがない","Takaki Horigome",2020-02-28,89053,19,false,,1970-01-01T00:00:00Z,"시티 팝,일본 인디,시부야계","ホリプロ",0.739,0.265,2,-14.66,1,0.0344,0.731,0.945,0.0982,0.483,98.828,4
spotify:track:75FVGJNogmlBMOOwJ6LZh4,"lilic","le mode d'emploi","Dahlia",2011-04-27,211693,39,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Happiness Records",0.696,0.623,0,-9.344,1,0.0342,0.332,0.0418,0.0837,0.943,151.935,4
spotify:track:5TmwssiMpaG0Fuy5MIFDnv,"나빗가루","꿈에서 걸려온 전화","김뜻돌",2020-09-27,164818,31,false,,1970-01-01T00:00:00Z,"일본 인디,한국 록,시부야계","Meaningful Stone",0.387,0.139,11,-11.658,1,0.0373,0.938,0.0000571,0.111,0.118,108.27,4
spotify:track:6p7sAkH05eCbxz2YqfdyLV,"頬杖","Sway","mei ehara",2017-11-08,236546,40,false,,1970-01-01T00:00:00Z,"일본 인디,시부야계,시티 팝","カクバリズム",0.766,0.577,9,-10.703,1,0.0422,0.359,0.267,0.125,0.963,126.675,4
spotify:track:1NWX34vqw290cYp5hlvCr2,"Dance With Me","초면에 사랑합니다 OST Part 8","라이너스의 담요",2019-05-28,197306,13,false,,1970-01-01T00:00:00Z,"시부야계","㈜뮤직버디",0.851,0.391,0,-10.247,1,0.0473,0.882,0.000204,0.128,0.404,109.976,3
spotify:track:4hDRRp2F9QdRYFu9ITOYMq,"Sunnyday,Holiday","Sons of 1973","Satellite Lovers",1996-07-01,285666,38,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디,시티 팝","Sony Music Labels Inc.",0.751,0.432,5,-11.736,1,0.034,0.647,0.424,0.0835,0.765,92.016,4
spotify:track:6xy19RYUPqpC5KVShrDy7Z,"고양이와 나 - Acoustic Version","고양이와 나 (Acoustic Version)","캐스커",2017-04-15,230680,31,false,,1970-01-01T00:00:00Z,"시부야계","Casker",0.598,0.345,5,-8.49,1,0.0354,0.769,0,0.108,0.163,139.925,4
spotify:track:4bM9QvzGkPChFb47qej2Wa,"esper","homemade","mamerico",2022-05-14,205205,38,false,,1970-01-01T00:00:00Z,"일본 인디,시부야계","mamerico",0.825,0.474,7,-15.108,1,0.0351,0.641,0.000897,0.0951,0.932,110.073,4
spotify:track:0eRn7bP9jeRaxO0JBOjSxw,"샤워를 해야해","꿈에서 걸려온 전화","김뜻돌",2020-09-27,273265,42,false,,1970-01-01T00:00:00Z,"일본 인디,한국 록,시부야계","Meaningful Stone",0.542,0.537,8,-6.43,1,0.0336,0.537,0.00000189,0.0841,0.761,130.033,4
spotify:track:05n668UdW691UArWDcIvPJ,"Don't Call It Puppy Love","강아지 이야기","라이너스의 담요",2007-09-13,201826,11,false,,1970-01-01T00:00:00Z,"시부야계","Happy Robot Records",0.727,0.413,6,-9.022,1,0.0357,0.724,0.0000333,0.124,0.666,120.103,4
spotify:track:4tNmcoZysizQT9Io7CIDQy,"Everyone Else Is Ahead Far Ahead","I Wonder Why My Favorite Boy Leaves Me An EP","The Marshmallow Kisses",2004,161659,31,false,,1970-01-01T00:00:00Z,"시부야계,중국 인디,쟁글 팝","The Marshmallow Kisses",0.6,0.4,2,-9.847,1,0.0363,0.644,0.00516,0.0987,0.697,77.51,4
spotify:track:2Y7cOqDqsA2MpQ4HX4B8MD,"Green Tea","Heart in Motion","The Green Tea",2008,247666,34,false,,1970-01-01T00:00:00Z,"시부야계,보사노바","Feel Music",0.704,0.665,2,-8.453,1,0.0274,0.105,0.00189,0.215,0.724,106.006,4
spotify:track:1CeR9goqL6wvAhqRmEuZTe,"showtime","showtime","참깨와 솜사탕",2018-08-23,192000,30,false,,1970-01-01T00:00:00Z,"","authentic",0.825,0.453,1,-8.762,1,0.0462,0.473,0.00000901,0.0875,0.828,95.955,4
spotify:track:3oILsxRAR4XG45UYxPV6MX,"サヨナラマタイツカ","Her Abiding Memory (2026 Revised Edition)","Pitcher56",2026-01-01,250973,42,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Pitcher56",0.582,0.665,7,-6.231,1,0.0307,0.0753,0.116,0.279,0.555,139.986,4
spotify:track:3Nxk2O0tm6P43sZIjbYKf8,"우리네 봄","뒹굴뒹굴","선우정아",2020-05-28,196616,30,false,,1970-01-01T00:00:00Z,"K-발라드","MAGIC STRAWBERRY SOUND",0.708,0.201,6,-11.753,1,0.036,0.979,0.0000199,0.124,0.372,149.884,3
spotify:track:08MIsAHyrD4wzR57B2hqVG,"Holiday（mix’72）～ホリデイはこれから～","Big Wave ’72","ROUND TABLE",1999,236306,37,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Universal Music LLC",0.663,0.845,2,-5.99,1,0.0354,0.582,0.194,0.458,0.96,95.019,4
spotify:track:650g7NcIAL1fw4rUj6FKfv,"My Dear Giant","I Wonder Why My Favorite Boy Leaves Me An EP","The Marshmallow Kisses",2004,183576,29,false,,1970-01-01T00:00:00Z,"시부야계,중국 인디,쟁글 팝","The Marshmallow Kisses",0.748,0.355,11,-11.602,1,0.0387,0.392,0.00149,0.0905,0.778,144.989,4
spotify:track:1v1tK7mRFwXt2R4k2gIh7p,"LIAR・SADIST・COWARD","Mr.Noone Special（通常盤）","Cymbals;内田晴元;小泉一郎",2000-09-21,198166,47,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","INVITATION",0.427,0.959,2,-4.08,1,0.0427,0.000665,0.885,0.394,0.831,182.951,4
spotify:track:5V3hR1xUzGhBWlyRrSEaiH,"Smelly girl","2.0","10CM",2012-10-10,192826,28,false,,1970-01-01T00:00:00Z,"K-발라드,사운드트랙","CAM",0.742,0.578,2,-8.462,1,0.0342,0.369,0.000129,0.148,0.618,153.99,4
spotify:track:50PqkVcHBP1zi3USIRtooK,"Chubby","Pitcher56 1st Album","Pitcher56",2022-12-10,238421,40,false,,1970-01-01T00:00:00Z,"시부야계,일본 인디","Pitcher56",0.498,0.616,11,-4.651,1,0.033,0.0306,0,0.126,0.527,125.055,4
