Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1osW08ygBwopWmjWzqWbfJ,"Antifreeze","선물","백예린",2021-09-10,245840,59,false,,1970-01-01T00:00:00Z,"K-발라드","Blue Vinyl",0.731,0.602,1,-7.765,1,0.0399,0.774,0.00000142,0.142,0.573,124.069,4
spotify:track:3XPD2voMhtskeDqtClsbaU,"Hollywood","Hollywood","검정치마",2015-04-09,331000,50,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.552,0.782,1,-8.082,0,0.0302,0.149,0.9,0.1,0.509,147.956,4
spotify:track:3sOAwRg5esaxDcWnUigWPv,"0+0","자몽살구클럽","HANRORO",2025-08-04,192000,68,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.457,0.523,9,-5.862,1,0.0286,0.492,0.0157,0.163,0.196,135.899,4
spotify:track:0Nld5ohgWfoPueMEtYNbgE,"와리가리","22","혁오",2015-05-28,228320,54,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.748,0.721,6,-6.345,0,0.0408,0.103,0,0.108,0.625,119.892,4
spotify:track:4TBHfv2isYco3fNKjQ8oSI,"난춘","난춘","새소년",2020-05-10,229493,59,false,,1970-01-01T00:00:00Z,"한국 록,일본 인디","MAGIC STRAWBERRY SOUND",0.49,0.534,1,-3.43,1,0.0302,0.0455,0.0000189,0.433,0.439,141.173,3
spotify:track:0wnSAKtD7n2Z5uOZcu0Obr,"그건 아마 우리의 잘못은 아닐거야","Our love is great","백예린",2019-03-18,233003,49,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.273,0.604,5,-6.517,1,0.0787,0.763,0.0000931,0.168,0.625,191.726,4
spotify:track:7JQH2lBMZ10ztDnpoeq6Ki,"yours","yours","데이먼스 이어 Damons year",2019-04-10,165229,64,false,,1970-01-01T00:00:00Z,"K-발라드","WM Korea",0.483,0.469,11,-6.367,1,0.032,0.658,0,0.188,0.316,109.263,4
spotify:track:4bjNOhOMvqFPflwHIaS7Fw,"한시 오분 (1:05)","TEAM BABY","검정치마",2017-05-30,240000,58,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.636,0.674,4,-6.953,1,0.0247,0.371,0.0000729,0.142,0.554,88.011,4
spotify:track:4qdBPJta3BVPXCS0wJZ6yO,"입춘","입춘","HANRORO",2022-03-14,248407,64,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.25,0.372,9,-4.619,0,0.0379,0.435,0,0.108,0.0535,161.257,4
spotify:track:66UcQu5LBo2A7AC0A5r0lI,"위잉위잉","20","혁오",2014-09-18,194866,59,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.7,0.696,7,-5.356,1,0.0525,0.262,0,0.107,0.293,124.825,4
spotify:track:2cTK5kS6aPYBNdhUQCzFN7,"Square (2017)","Every letter I sent you.","백예린",2019-12-10,261762,56,false,,1970-01-01T00:00:00Z,"K-발라드","Blue Vinyl",0.504,0.79,8,-5.254,1,0.0399,0.0633,0,0.26,0.528,99.916,4
spotify:track:5BqwC9kOBbqYkzdOKeXFFk,"주저하는 연인들을 위해","전설","잔나비",2019-03-13,265000,61,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","PEPONI MUSIC",0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004,4
spotify:track:3tbHqU6PKS2bIGWx9cn082,"영원은 그렇듯","영원은 그렇듯","Redoor",2021-01-09,237160,62,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","Genie Music Corporation, Stone Music Entertainment",0.498,0.429,4,-7.53,1,0.0249,0.696,0.247,0.107,0.327,76.986,4
spotify:track:5BGxDtIEw8zxoP29Fid69a,"Ling Ling","TEEN TROUBLES","검정치마",2022-09-15,229999,56,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK",0.53,0.659,7,-4.903,1,0.0253,0.0311,0,0.101,0.542,79.999,4
spotify:track:3WvM2dIR9iIxMGNMP7WsNw,"사랑하게 될 거야","이상비행","HANRORO",2023-08-29,165000,68,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.625,0.516,7,-6.018,1,0.0265,0.426,0.0000015,0.187,0.326,92.94,4
spotify:track:6XdXTQV3qwim4Bji87TT8t,"Bye bye my blue","Bye bye my blue","백예린",2016-06-20,203409,53,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.511,0.54,3,-6.726,1,0.114,0.613,0.00000316,0.121,0.297,87.704,4
spotify:track:6DA7kCWYMggJjqPM84V2Ng,"TOMBOY","23","혁오",2017-04-24,241692,59,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.301,0.431,3,-5.314,1,0.0299,0.0961,0.0000105,0.114,0.221,148.2,4
spotify:track:4OJ3lHcyZdUaYNyhFQdbax,"Summer","The Volunteers","The Volunteers",2021-05-27,251033,46,false,,1970-01-01T00:00:00Z,"한국 록","Blue Vinyl",0.424,0.633,6,-9.235,1,0.0283,0.0807,0.00485,0.201,0.177,96.887,4
spotify:track:6kL0CcL4rx6VUt6m2zP0tM,"습관 (Bye Bye)","Roller Coaster","Rollercoaster",1999-07-01,259346,40,false,,1970-01-01T00:00:00Z,"시부야계,애시드 재즈,한국 록","Cornerstone",0.795,0.518,6,-10.28,1,0.029,0.0325,0.0000102,0.0532,0.785,122.996,4
spotify:track:0V3eVNmgkOzJ5wQztnCpAV,"혜야","TEAM BABY","검정치마",2017-05-30,325000,49,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.17,0.378,5,-9.092,1,0.0321,0.661,0.827,0.334,0.0597,58.874,4
spotify:track:2rXabO62OjjZIZAOn6uzuv,"0310","Every letter I sent you.","백예린",2019-12-10,238401,51,false,,1970-01-01T00:00:00Z,"K-발라드","Blue Vinyl",0.548,0.459,7,-6.467,1,0.0304,0.703,0.0000145,0.0989,0.525,135.975,4
spotify:track:2AfW3wIFo6uR2YIPoVewrd,"비틀비틀 짝짜꿍","비틀비틀 짝짜꿍","HANRORO",2022-09-04,211000,53,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.653,0.731,4,-2.524,1,0.026,0.174,0,0.147,0.529,99.991,4
spotify:track:6z1kLsntE7FuzKZHZWrXYN,"instagram","instagram","DEAN",2017-12-26,255728,65,false,,1970-01-01T00:00:00Z,"한국 랩,케이팝","Universal Music Ltd.",0.463,0.566,8,-6.195,1,0.145,0.196,0,0.284,0.219,93.921,4
spotify:track:2TfsNTyC4uuamXBZJnU0ga,"Nerdy Love","Nerdy Love","pH-1;백예린",2020-01-09,196373,57,false,,1970-01-01T00:00:00Z,"한국 랩,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.755,0.591,9,-6.655,1,0.0454,0.535,0,0.0862,0.873,103.996,4
spotify:track:4WdOTZKQ9HzUqo5VEGiLGf,"Love like that","Absence 'Side A'","LambC",2017-03-07,215795,51,false,,1970-01-01T00:00:00Z,"","LambC",0.762,0.409,2,-6.507,1,0.0744,0.365,0.00909,0.139,0.88,154.062,4
spotify:track:0i2XXofKXlXbZ2sjnh06Jj,"우주를 건너","FRANK","백예린",2015-11-30,247173,50,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.395,0.564,5,-5.477,0,0.148,0.664,0,0.0998,0.45,185.628,4
spotify:track:03YtYSkpHqqY3EBmHJkTjP,"기다린 만큼, 더","또 오해영, Pt. 7 (Original Television Soundtrack)","검정치마",2016-06-14,269000,57,false,,1970-01-01T00:00:00Z,"한국 록","Genie Music Corporation",0.547,0.311,0,-12.23,1,0.0276,0.865,0.231,0.129,0.199,120.106,4
spotify:track:7sxUb59tfiuzagetBF47AN,"자처","자처","HANRORO",2023-04-21,272000,57,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.385,0.675,5,-4.937,1,0.0326,0.276,0.00000427,0.132,0.112,161.6,4
spotify:track:3uA8SjMyDtwtt0jLPMQbVD,"D (Half Moon)","130 Mood : TRBL","DEAN;개코",2016-03-25,229359,61,false,,1970-01-01T00:00:00Z,"한국 랩,케이팝","Universal Music Ltd.",0.512,0.765,7,-5.252,1,0.136,0.246,0,0.0573,0.519,169.709,4
spotify:track:0gUK4mtPY7t7bMUiL77vXR,"Sleep","The Last Night","나이트오프",2018-12-06,255760,47,false,,1970-01-01T00:00:00Z,"","Lucky Punch / ADA",0.488,0.442,10,-7.278,1,0.0318,0.246,0.622,0.108,0.369,121.948,4
spotify:track:0FfGs47PNQ81c01ceX8kdL,"지켜줄게","Our love is great","백예린",2019-03-18,224726,41,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.824,0.55,4,-9.719,1,0.0554,0.7,0.0000446,0.136,0.729,117.962,4
spotify:track:7Gbv9uRImfd22Dg3FG8Kla,"Down","[O]","오존",2016-10-06,221229,47,false,,1970-01-01T00:00:00Z,"K-발라드","O3ohn",0.748,0.33,4,-12.513,0,0.0387,0.726,0.0637,0.101,0.11,139.949,4
spotify:track:1QoZ5G6pg7pZgEA7uFpgVh,"Love Is All","TEAM BABY","검정치마",2017-05-30,164000,48,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.277,0.577,5,-6.699,1,0.0319,0.623,0.0000217,0.0968,0.682,176.998,4
spotify:track:4kWRjkhMIGMnyWpYc8L7no,"정류장","정류장","HANRORO",2023-01-04,252000,57,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.552,0.29,7,-9.284,1,0.0324,0.874,0.000176,0.0904,0.162,123.961,4
spotify:track:1N9TrsZZXX8GQvOvD3PV23,"소녀","응답하라 1988 (Original Television Soundtrack), Pt. 3","오혁",2015-11-21,226274,57,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.413,0.241,3,-9.682,1,0.0357,0.417,0.0119,0.116,0.152,129.746,4
spotify:track:0NnQTCaZnKrOK1lojv5qYI,"Rest","Every letter I sent you.","백예린",2019-12-10,208850,47,false,,1970-01-01T00:00:00Z,"K-발라드","Blue Vinyl",0.677,0.376,0,-9.033,1,0.035,0.941,0.00000941,0.177,0.318,83.001,4
spotify:track:0ATIeBo4fQnecpNzm3CUFm,"UNLOVE (prod. HONNE)","Zip","Zion.T",2023-12-06,180044,53,false,,1970-01-01T00:00:00Z,"한국 랩,K-발라드","THEBLACKLABEL",0.92,0.427,8,-8.419,1,0.057,0.169,0.285,0.107,0.917,106.976,4
spotify:track:5xX7oEKHN0H9VOjezo2ZaA,"Vineyard","소녀감성","우효",2014-05-15,204594,42,false,,1970-01-01T00:00:00Z,"","엑설런트뮤직그룹 (XMG)",0.525,0.45,0,-9.56,1,0.0295,0.657,0.0244,0.139,0.175,80.074,4
spotify:track:3SLlqKXr91haZQhhNYNuVk,"나랑 아니면","TEAM BABY","검정치마",2017-05-30,271000,55,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.412,0.473,7,-6.983,1,0.0262,0.763,0.368,0.206,0.237,77.918,4
spotify:track:3Xz3KJ4ZsFmiwRcrzuXV3m,"Mouse","Mouse","이고도",2021-01-18,238493,46,false,,1970-01-01T00:00:00Z,"한국 록","Lee go do",0.654,0.452,9,-5.423,1,0.0262,0.641,0.000024,0.118,0.385,78.002,4
spotify:track:3ryHmf5w5VlnE4QAe9lEIs,"그의 바다","Bye bye my blue","백예린",2016-06-20,217047,38,false,,1970-01-01T00:00:00Z,"K-발라드","JYP Entertainment",0.464,0.578,5,-4.17,1,0.0829,0.274,0,0.326,0.502,172.064,4
spotify:track:0LP5d4Cx4pmSAP6VypZdDz,"하루살이","하루살이","DEAN;설리;Rad Museum",2018-11-08,207112,44,false,,1970-01-01T00:00:00Z,"한국 랩,케이팝","Universal Music Ltd.",0.726,0.492,10,-8.046,0,0.0794,0.566,0.00000814,0.257,0.526,85.939,4
spotify:track:0LSmb1eo894EJ7eIWPaAgQ,"기억을 걷는 시간","Separation Anxiety","넬",2008-03-21,312880,55,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Genie Music Corporation",0.759,0.399,10,-6.024,1,0.0533,0.561,0,0.0818,0.671,88.998,4
spotify:track:6tVKPxx1xz5Ve4yPS4sD5H,"눈","Aren't You?","SURL",2018-12-06,274013,41,false,,1970-01-01T00:00:00Z,"한국 록,일본 인디","SURL",0.317,0.709,1,-2.796,1,0.0311,0.65,0.0106,0.218,0.116,171.71,4
spotify:track:2IGHKCRWhibDfgo0IfzfEB,"내 고향 서울엔","TEAM BABY","검정치마",2017-05-30,202000,43,false,,1970-01-01T00:00:00Z,"한국 록","DOGGYRICH FOREVER, BESPOK.",0.422,0.475,7,-8.867,1,0.0384,0.755,0.0021,0.394,0.505,203.765,4
spotify:track:4yGvBlIf13xs3uhdrFldCh,"한계","선물","백예린",2021-09-10,227493,51,false,,1970-01-01T00:00:00Z,"K-발라드","Blue Vinyl",0.505,0.346,9,-7.211,1,0.033,0.899,0.00000799,0.291,0.321,139.606,4
spotify:track:5l5bbVVIHe0LQKuQZLCQAz,"서로의 조각 - With 기리보이","Erica","프롬;기리보이",2016-09-26,212253,25,false,,1970-01-01T00:00:00Z,"한국 랩","Universal Music Ltd.",0.65,0.549,0,-7.88,1,0.026,0.681,0,0.187,0.436,106.023,4
spotify:track:3RbRTEloMZ6VNTJYhHNCZU,"날씨의 요정","희망서","Shin In Ryu",2022-11-12,227000,48,false,,1970-01-01T00:00:00Z,"한국 록","SHIN IN RYU",0.581,0.517,5,-6.364,0,0.036,0.562,0.00000146,0.103,0.345,139.958,4
spotify:track:2aicRlZiaAEteaPsti8Hls,"시간을 달리네","자몽살구클럽","HANRORO",2025-08-04,236000,56,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","authentic",0.492,0.695,2,-1.704,1,0.034,0.24,0.00000205,0.177,0.344,152.056,4
spotify:track:4eFTh1opLS5wANDmZK9ghC,"벚꽃 엔딩","버스커 버스커 1집","버스커 버스커",2012-03-29,260517,56,false,,1970-01-01T00:00:00Z,"K-발라드","Genie Music Corporation",0.621,0.669,9,-5.303,1,0.0312,0.739,0,0.138,0.663,119.947,4
