Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0o29ZYfMkduYssRlefeb8s,"아름다운 것","가장 보통의 존재","언니네 이발관",2008-08-08,291253,38,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.672,0.418,9,-8.892,1,0.0295,0.599,0.000545,0.0849,0.69,106.043,4
spotify:track:3lMOow79zCsKmBlxBiWc1X,"0308","yeah, I don't want it","Bosudongcooler",2019-06-28,210037,34,false,,1970-01-01T00:00:00Z,"한국 록","보일러 레코드",0.491,0.658,11,-5.971,0,0.0821,0.0103,0.726,0.049,0.77,179.907,4
spotify:track:08WRDuXdhgsif460RP1XlK,"아스피린 소년","Day Is Far Too Long","전자양",2001-08-31,206866,23,false,,1970-01-01T00:00:00Z,"시부야계,쟁글 팝,한국 록,슈게이징,슬로우코어","문라이즈",0.627,0.512,3,-10.48,1,0.0324,0.646,0.387,0.0682,0.824,128.038,4
spotify:track:1TSG0nEWTIQbSU1ya4uuNb,"Minsu Is Confused","Minsu Is Confused","놀이도감",2020-09-10,238835,32,false,,1970-01-01T00:00:00Z,"한국 록","CAM",0.774,0.396,4,-9.809,1,0.0403,0.48,0.388,0.127,0.796,134.998,3
spotify:track:579uHOz2E7JtV3YNNOwJqu,"삐뽀삐뽀","꿈에서 걸려온 전화","김뜻돌",2020-09-27,203911,46,false,,1970-01-01T00:00:00Z,"일본 인디,한국 록,시부야계","Meaningful Stone",0.503,0.763,4,-6.005,0,0.0795,0.31,0.0000179,0.129,0.322,96.075,4
spotify:track:1uzNVTwid9PfEirti55pcG,"너의 몸을 흔들어 너의 마음을 움직여","홀로 있는 사람들","언니네 이발관",2017-06-01,225104,19,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.715,0.787,1,-5.849,0,0.0336,0.322,0.00144,0.0898,0.507,132.027,4
spotify:track:0zbj8TcPO6xIJGTMx0ZMBV,"꿈에 카메라를 가져올걸","슈슈","꿈에 카메라를 가져올걸",2013-06-26,290795,21,false,,1970-01-01T00:00:00Z,"슈게이징,한국 록,드림 팝,매스 록","파고뮤직",0.684,0.647,7,-6.769,1,0.0287,0.0069,0.887,0.155,0.377,128.04,4
spotify:track:4TBHfv2isYco3fNKjQ8oSI,"난춘","난춘","새소년",2020-05-10,229493,58,false,,1970-01-01T00:00:00Z,"한국 록,일본 인디","MAGIC STRAWBERRY SOUND",0.49,0.534,1,-3.43,1,0.0302,0.0455,0.0000189,0.433,0.439,141.173,3
spotify:track:66UcQu5LBo2A7AC0A5r0lI,"위잉위잉","20","혁오",2014-09-18,194866,59,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.7,0.696,7,-5.356,1,0.0525,0.262,0,0.107,0.293,124.825,4
spotify:track:02EGe74DUyiuQp76biMQ8i,"진실에게","진실에게","안다영",2026-03-17,249354,17,false,,1970-01-01T00:00:00Z,"한국 록","MAGIC STRAWBERRY SOUND",0.641,0.55,2,-10.154,1,0.0366,0.804,0.257,0.0806,0.337,143.904,4
spotify:track:2Nu7RQVXJLdZdClXw7MDVm,"작은 마음","가장 보통의 존재","언니네 이발관",2008-08-08,238213,29,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.799,0.342,8,-12.243,1,0.0368,0.741,0.000591,0.102,0.698,92.936,4
spotify:track:47pkYXqtFl18EzJ3p8DyHh,"얼마나 가겠어","공중부양","장기하",2022-02-22,233500,20,false,,1970-01-01T00:00:00Z,"","DOOROODOOROO ARTIST COMPANY",0.881,0.224,9,-10.799,1,0.169,0.51,0.0272,0.0764,0.434,87.003,4
spotify:track:2YmvQ2r6LgNw0A1RGR3MoV,"Summer Fantasy","Hidden Picture","놀이도감",2020-10-20,244569,33,false,,1970-01-01T00:00:00Z,"한국 록","ormdstudio",0.709,0.457,2,-10.1,0,0.0326,0.552,0.0511,0.385,0.655,125.986,3
spotify:track:20tWEsVsKU6FfzXGt4IOuV,"고백","Espresso","DELISPICE",2003-01-24,323531,55,false,,1970-01-01T00:00:00Z,"K-발라드,한국 록","오감엔터테인먼트",0.473,0.644,6,-4.447,1,0.027,0.0588,0,0.0942,0.24,79.617,4
spotify:track:7w1rIobPql6ZIKGlVJ9QLv,"너의 속삭임 Residue of a Whisper","너의 속삭임 Residue of a Whisper","3호선 버터플라이",2025-07-28,193291,20,false,,1970-01-01T00:00:00Z,"한국 록","Southpole Sound Lab",0.405,0.795,9,-5.381,0,0.0347,0.0116,0.0816,0.0518,0.457,157.938,4
spotify:track:4kEWsigwy2eKap9tzLHeGo,"2002년의 시간들","꿈의 팝송","언니네 이발관",2002-10-17,239026,29,false,,1970-01-01T00:00:00Z,"한국 록","blue boy",0.67,0.574,0,-9.024,0,0.0386,0.49,0.00528,0.0651,0.88,110.032,4
spotify:track:5RaG4NjEqRaNOGochurav0,"Come With My Dream (꿈에 들어와)","Come With My Dream(꿈에 들어와)","서울전자음악단",2005-01-27,239253,25,false,,1970-01-01T00:00:00Z,"한국 록","mezoo music",0.341,0.376,0,-9.588,1,0.0302,0.0096,0.00613,0.175,0.235,140.744,4
spotify:track:6DCcU88I05BrrPHFW13clB,"휘날레","뽕","250",2022-03-18,275693,20,false,,1970-01-01T00:00:00Z,"","BANA",0.576,0.688,3,-5.961,1,0.0292,0.0196,0.00236,0.0963,0.51,169.917,4
spotify:track:1IRgKvGt6H58RSwoq4lu2g,"The Liar's Tragedy","Hidden Picture","놀이도감",2020-10-20,221079,33,false,,1970-01-01T00:00:00Z,"한국 록","ormdstudio",0.814,0.405,5,-8.924,1,0.0347,0.0602,0.0372,0.177,0.814,109.99,4
