Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2jm0xN9vvwZ8iU8L9ScnJf,"Motorway","Some Other Places","California Snow Story",2016-05-27,191225,25,false,,1970-01-01T00:00:00Z,"쟁글 팝","California Snow Story",0.662,0.541,0,-10.677,1,0.0296,0.71,0.721,0.116,0.501,124.499,4
spotify:track:3OaaXR7iYNuCFhEhsQZ2mi,"Keep It Clean","Underachievers Please Try Harder","Camera Obscura",2003-08-21,196240,42,false,,1970-01-01T00:00:00Z,"인디 팝,쟁글 팝","Elefant Records",0.48,0.559,5,-9.64,1,0.0284,0.134,0.0000152,0.0985,0.739,143.122,4
spotify:track:7nXQPzvU5GeYBajNS7lrO7,"Goodbye","Goodbye","The Postmarks",2006-10-17,210413,26,false,,1970-01-01T00:00:00Z,"쟁글 팝","The Postmarks",0.574,0.511,8,-10.086,0,0.0297,0.301,0.347,0.104,0.572,130.928,4
spotify:track:4RlswGqrOiMb5Rj8hNuaCx,"Ginger Snaps","L'Avventura","Dean & Britta",2008-09-02,241240,21,false,,1970-01-01T00:00:00Z,"","Double Feature Records",0.634,0.845,0,-5.399,1,0.0268,0.0491,0.000697,0.309,0.635,108.859,4
spotify:track:6KNoO9fFJOYw5xuii8Pryn,"The Cassingle Revival","Where Were We?","The Lucksmiths",2002-03-01,197906,12,false,,1970-01-01T00:00:00Z,"쟁글 팝,인디 팝,안티 포크","Lost and Lonesome",0.559,0.44,7,-11.378,1,0.0328,0.155,0.0404,0.244,0.703,137.082,4
spotify:track:47fdH450eD2bPgnhV6ldBi,"Life Effect","Heart","Stars",2003-03-24,194680,20,false,,1970-01-01T00:00:00Z,"","Last Gang",0.718,0.625,10,-8.215,1,0.0351,0.00709,0.00106,0.131,0.827,101.976,4
spotify:track:5EzVb1HA79V5HNZmjiX9HL,"Edward, Had You Ever Thought That the End of the World Would Come on 20.9.01?","在動物園散步才是正經事","my little airport",2004-08-01,141623,24,false,,1970-01-01T00:00:00Z,"중국 인디,칸토팝(Cantopop),대만 인디,중국 록","harbour records",0.66,0.408,10,-10.386,1,0.0377,0.657,0.0244,0.486,0.527,124.95,4
spotify:track:7grpZBH640lrHpqY2eVGdm,"Eighties Fan","Biggest Bluest Hi-Fi","Camera Obscura",2001-11-12,262000,35,false,,1970-01-01T00:00:00Z,"인디 팝,쟁글 팝","Merge Records",0.365,0.554,7,-9.994,1,0.0624,0.21,0.00000205,0.0959,0.545,132.611,4
spotify:track:2BbIPXFEFX93r6fxbmdLoj,"Pin-Up","From The One You Left Behind","Starlet",1996-01-01,188986,10,false,,1970-01-01T00:00:00Z,"쟁글 팝,안티 포크,스웨덴 팝","Parasol",0.389,0.713,2,-8.335,1,0.0322,0.0291,0.0000034,0.047,0.906,160.151,4
spotify:track:6yH32cEs7cxX7ofsL5FeVp,"If You Fall","Hold on Love","Azure Ray",2003-10-07,183826,23,false,,1970-01-01T00:00:00Z,"드림 팝","Flower Moon Records",0.463,0.408,11,-12.238,1,0.0282,0.0924,0.00751,0.116,0.32,145.13,4
