Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3imhxaJTTCAEtabQcGG4dN,"Me Japanese Boy, I Love You","Me & My Burt","연진",2006-06-01,148560,11,false,,1970-01-01T00:00:00Z,"","Beatball Music Group",0.555,0.217,4,-16.318,0,0.0326,0.913,0.00403,0.172,0.256,90.558,4
spotify:track:3OaaXR7iYNuCFhEhsQZ2mi,"Keep It Clean","Underachievers Please Try Harder","Camera Obscura",2003-08-21,196240,42,false,,1970-01-01T00:00:00Z,"인디 팝,쟁글 팝","Elefant Records",0.48,0.559,5,-9.64,1,0.0284,0.134,0.0000152,0.0985,0.739,143.122,4
spotify:track:4yx0aYJgnWIy18akJtxmON,"Before We Begin","Haha Sound","Broadcast",2003-08-11,202200,48,false,,1970-01-01T00:00:00Z,"드림 팝,네오 사이키델릭,슈게이징","Warp Records",0.513,0.709,5,-6.702,1,0.0373,0.0326,0.0000208,0.0975,0.579,110.87,4
spotify:track:4XGuxMm9ij6toY8ROivBLj,"Also Ran","Unisex","Blueboy",1994-05-01,241200,11,false,,1970-01-01T00:00:00Z,"쟁글 팝,인디 팝,드림 팝","SARAH RECORDS",0.61,0.2,2,-19.56,1,0.0582,0.931,0.893,0.111,0.144,120.433,4
spotify:track:3ghC5Z3ROxJAM9a4v4tvB4,"I Wonder Why My Favorite Boy Leaves Me In The Rain","I Wonder Why My Favorite Boy Leaves Me An EP","The Marshmallow Kisses",2004,144889,39,false,,1970-01-01T00:00:00Z,"시부야계,중국 인디,쟁글 팝","The Marshmallow Kisses",0.528,0.537,0,-9.268,1,0.0282,0.305,0.737,0.312,0.772,156.087,4
spotify:track:5704xKPURz2ebNj2GIz2dw,"This Heart Is a Stone","Do What You Wanna Do","Acid House Kings",2005-03-02,184933,17,false,,1970-01-01T00:00:00Z,"애시드 하우스,쟁글 팝,스웨덴 팝,인디 팝","Labrador",0.605,0.599,0,-7.665,1,0.0297,0.021,0,0.0962,0.69,145.973,4
spotify:track:2YftzrL410Der9ajSflD0N,"I'll Never Fall in Love Again","Me & My Burt","연진",2006-06-01,181693,2,false,,1970-01-01T00:00:00Z,"","Beatball Music Group",0.666,0.425,1,-12.9,1,0.0423,0.759,0.00708,0.173,0.462,135.923,4
spotify:track:2M2iD10AxLb6a3lAKpqmXX,"Tears For Affairs","Let's Get Out Of This Country","Camera Obscura",2006-05-29,244093,38,false,,1970-01-01T00:00:00Z,"인디 팝,쟁글 팝","Elefant Records distributed by Altafonte",0.547,0.804,7,-5.367,1,0.0301,0.013,0.000116,0.171,0.67,113.844,4
spotify:track:5EzVb1HA79V5HNZmjiX9HL,"Edward, Had You Ever Thought That the End of the World Would Come on 20.9.01?","在動物園散步才是正經事","my little airport",2004-08-01,141623,24,false,,1970-01-01T00:00:00Z,"중국 인디,칸토팝(Cantopop),대만 인디,중국 록","harbour records",0.66,0.408,10,-10.386,1,0.0377,0.657,0.0244,0.486,0.527,124.95,4
spotify:track:7nXQPzvU5GeYBajNS7lrO7,"Goodbye","Goodbye","The Postmarks",2006-10-17,210413,26,false,,1970-01-01T00:00:00Z,"쟁글 팝","The Postmarks",0.574,0.511,8,-10.086,0,0.0297,0.301,0.347,0.104,0.572,130.928,4
spotify:track:5OVmBGrdkhK4ZU8s26B7MR,"You You You You You","Hyacinths and Thistles","The 6ths;Katharine Whalen",2000-09-05,190613,39,false,,1970-01-01T00:00:00Z,"쟁글 팝","Merge Records",0.527,0.178,7,-12.27,1,0.0325,0.989,0.00233,0.127,0.263,110.144,4
spotify:track:3FcrVh1MGpxcq9jbnFPyzt,"April","Blue Dawn","푸른새벽",2003-02-14,116586,16,false,,1970-01-01T00:00:00Z,"슬로우코어","Woman And Mans",0.566,0.272,9,-15.031,1,0.0312,0.968,0.866,0.138,0.373,74.993,4
spotify:track:6FxZp18LSHn8OZkGTcsdGF,"Paper Mache","Me & My Burt","연진",2006-06-01,184506,2,false,,1970-01-01T00:00:00Z,"","Beatball Music Group",0.778,0.354,9,-14.187,1,0.0594,0.831,0.00169,0.108,0.707,127.921,4
spotify:track:1aQWWFgqmpxZe3NdAIs0HJ,"Teenager","Underachievers Please Try Harder","Camera Obscura",2003-08-21,220626,32,false,,1970-01-01T00:00:00Z,"인디 팝,쟁글 팝","Elefant Records",0.721,0.605,6,-9.627,1,0.0312,0.083,0.0147,0.139,0.423,128.733,4
spotify:track:4RFwMYtqQmC8IoX22KvDaf,"To The Abbey","Talahomi Way","The High Llamas",2011-04-19,197186,18,false,,1970-01-01T00:00:00Z,"바로크 팝","Drag City",0.669,0.469,7,-10.215,1,0.0276,0.422,0.137,0.156,0.453,95.967,4
spotify:track:1qRkc9INjG9krTY1qug2bN,"Sunray","Clocks And Clouds","Rosie Brown",2004-11-16,217693,17,false,,1970-01-01T00:00:00Z,"누 재즈","Stück Records",0.708,0.33,4,-16.029,1,0.0412,0.899,0.129,0.0991,0.539,90.117,4
spotify:track:0u5RieYKhBsYeLBhJObX4z,"Altogether Alone","Hirth From Earth","Hirth Martinez",1975,238773,38,false,,1970-01-01T00:00:00Z,"AOR","Rhino/Warner Records",0.673,0.481,4,-15.616,0,0.0702,0.511,0.0563,0.0837,0.874,78.686,4
spotify:track:50UMDokrycGZQxCgjmR4Lb,"Leave All Your Old Loves","Oh Brother Where Art Thou?","The Legendary Jim Ruiz Group",1995,192400,23,false,,1970-01-01T00:00:00Z,"쟁글 팝","Minty Fresh",0.624,0.229,0,-13.932,1,0.0319,0.923,0.00134,0.102,0.67,108.612,4
spotify:track:5d9qrEpUPBTNwl6vjejrNi,"Tower of Strength","Me & My Burt","연진",2006-06-01,127400,1,false,,1970-01-01T00:00:00Z,"","Beatball Music Group",0.6,0.493,7,-7.536,1,0.0422,0.57,0,0.0925,0.748,130.05,4
spotify:track:3Dk9aVKyHJpANrpdQqfaFE,"I Don't Do Crowds","Biggest Bluest Hi-Fi","Camera Obscura",2001-11-12,237560,31,false,,1970-01-01T00:00:00Z,"인디 팝,쟁글 팝","Merge Records",0.511,0.737,1,-10.147,0,0.0296,0.269,0.0000177,0.0654,0.841,149.725,4
spotify:track:1CwmLgTCo9OwkPPhbqX630,"The Old Spring Town","Can Cladders","The High Llamas",2007-02-20,209733,18,false,,1970-01-01T00:00:00Z,"바로크 팝","Drag City",0.825,0.466,3,-9.676,1,0.0341,0.138,0.00016,0.299,0.94,116.37,4
spotify:track:0CGEYdZqBmfmEWUNlgGHqo,"Interlude 1 - Piao Zhe (Floating In The Air)","Ciao! Baby","The Marshmallow Kisses",2011-01-01,93133,35,false,,1970-01-01T00:00:00Z,"시부야계,중국 인디,쟁글 팝","The Marshmallow Kisses",0.638,0.606,3,-10.104,1,0.0664,0.414,0.0185,0.088,0.886,180.089,5
spotify:track:4HhlsVfx32g4fu1GeH1t0l,"When Mac Was Swimming","Befriended","The Innocence Mission",2003-08-26,228026,31,false,,1970-01-01T00:00:00Z,"앰비언트 포크","Badman Recording Co",0.74,0.268,5,-12.282,1,0.0288,0.642,0.00206,0.102,0.518,112.318,4
spotify:track:612zT5g2iArQvcjOw9tTme,"Blossom's Dream","Close To The Sun (feat. Rumer)","Stereo Venus;Rumer",2012-03-05,141040,13,false,,1970-01-01T00:00:00Z,"","Sudden Hunger Records",0.616,0.566,0,-13.743,1,0.0428,0.815,0.404,0.11,0.612,174.062,4
spotify:track:3GOIeFV8nssAAtrjpAHOPL,"Lost Horizon","Me & My Burt","연진",2006-06-01,243906,2,false,,1970-01-01T00:00:00Z,"","Beatball Music Group",0.384,0.203,11,-16.04,0,0.0307,0.9,0.00258,0.104,0.14,112.354,4
spotify:track:2cdpaqkqBv0dwqbQUTIEOj,"I Love How You Love Me","If Looks Could Kill","Camera Obscura",2007-01-29,130981,38,false,,1970-01-01T00:00:00Z,"인디 팝,쟁글 팝","Elefant Records",0.424,0.537,11,-6.082,1,0.0273,0.693,0.000168,0.252,0.234,93.891,3
spotify:track:4lMXBCEso7PbVNNkiaU0Rb,"Fly Baby, Fly","Talahomi Way","The High Llamas",2011-04-19,180320,26,false,,1970-01-01T00:00:00Z,"바로크 팝","Drag City",0.615,0.469,4,-9.268,0,0.0256,0.672,0.000021,0.158,0.176,109.994,4
spotify:track:5r0VNMCqI8eTa6lhyj5nxp,"Jellyfish Blues - 2022 Remastered","New Rock (2022 Remastered)","Buffalo Daughter",2023-03-10,197066,32,false,,1970-01-01T00:00:00Z,"시부야계","Anniversary Group",0.475,0.118,7,-22.848,1,0.0566,0.956,0.511,0.121,0.0867,149.462,4
spotify:track:15KJIx15so3wr50owHJOOf,"Wait for Me","Back Numbers","Dean & Britta",2007-02-27,220266,13,false,,1970-01-01T00:00:00Z,"","Double Feature",0.544,0.27,0,-14.846,0,0.0376,0.592,0.175,0.382,0.151,119.839,3
spotify:track:1IqTMBUHSXIezIr69k5Lwn,"I'm Gonna Make You Love Me","Happy Heart","Nick DeCaro And Orchestra",1969-05-15,165573,14,false,,1970-01-01T00:00:00Z,"","A&M",0.561,0.54,2,-9.55,0,0.0249,0.26,0,0.0842,0.666,106.18,4
spotify:track:4hUOyo52iauvXJRm3ZA403,"Raindrops Keep Falling on My Head","Me & My Burt","연진",2006-06-01,193373,0,false,,1970-01-01T00:00:00Z,"","Beatball Music Group",0.691,0.492,7,-12.442,1,0.0618,0.184,0.00000192,0.109,0.468,132.598,4
spotify:track:3xcowyZcJ3GdOpqKhvSIpE,"Pop","Happyness","The Aluminum Group",2013-04-02,207160,17,false,,1970-01-01T00:00:00Z,"바로크 팝","Minty Fresh",0.84,0.503,1,-9.538,1,0.0304,0.0157,0.179,0.0947,0.811,120.035,4
spotify:track:0H6FyOxBalT0C1Rg38G4sC,"Coffee And Honey","Close To The Sun (feat. Rumer)","Stereo Venus;Rumer",2012-03-05,175226,12,false,,1970-01-01T00:00:00Z,"","Sudden Hunger Records",0.455,0.259,6,-11.633,1,0.0298,0.827,0.0071,0.134,0.307,174.312,3
spotify:track:0SEDwnn86ZpN5bb3xivo0j,"Suspended From Class","Underachievers Please Try Harder","Camera Obscura",2003-08-21,226226,36,false,,1970-01-01T00:00:00Z,"인디 팝,쟁글 팝","Elefant Records",0.582,0.562,9,-8.985,1,0.0258,0.0226,0.0128,0.0682,0.707,131.63,4
spotify:track:50tpkojkrBmycPbe0ueFKF,"If You Rescue Me (Chanson des chats)","La science des rêves (Bande originale du film)","Jean-Michel Bernard;Gael Garcia Bernal;Sacha Bourdo;Alain Chabat;Aurélia Petit",2014-09-22,170800,19,false,,1970-01-01T00:00:00Z,"","Gaumont",0.535,0.344,7,-14.441,1,0.0833,0.702,0.000146,0.335,0.535,204.338,4
spotify:track:3qGsgE9H8R0YHA4g0V5IST,"Talahomi Way","Talahomi Way","The High Llamas",2011-04-19,211960,13,false,,1970-01-01T00:00:00Z,"바로크 팝","Drag City",0.762,0.431,2,-10.077,1,0.0352,0.687,0.259,0.133,0.5,101.943,4
spotify:track:1lL6TAh7mKYK4edJvKyqrS,"It Doesn't Matter Anymore","Me & My Burt","연진",2006-06-01,138346,1,false,,1970-01-01T00:00:00Z,"","Beatball Music Group",0.55,0.658,6,-10.153,1,0.078,0.286,0.0000015,0.232,0.131,132.19,4
spotify:track:6Rge0yraTK5RF37EXXW35Y,"This and That","Advantage Acid House Kings","Acid House Kings",2002-05-27,159026,14,false,,1970-01-01T00:00:00Z,"애시드 하우스,쟁글 팝,스웨덴 팝,인디 팝","Labrador",0.759,0.76,5,-9.621,1,0.0323,0.442,0.893,0.165,0.921,130.025,4
spotify:track:5acBfhb7EJSwhLFNNTyQfR,"White, Blue And Red - Remastered","Old Low Light (Remastered)","Kathryn Williams",2002-09-30,144320,14,false,,1970-01-01T00:00:00Z,"","One Little Independent Records",0.781,0.263,0,-10.549,1,0.0408,0.792,0,0.125,0.548,109.856,4
spotify:track:41nqSiFrgF8tPcJYuviMmC,"Parade","Parade","라이너스의 담요",2013-08-29,181061,16,false,,1970-01-01T00:00:00Z,"시부야계","레이블 벅스",0.791,0.378,7,-8.718,1,0.0341,0.749,0.00000117,0.133,0.856,113.002,4
spotify:track:1a2hROQrfbxlkopCZs3Jsg,"I Do My Best To Impress","Legends","Linda Lewis",2005-02-05,213053,12,false,,1970-01-01T00:00:00Z,"","RCA Camden",0.654,0.648,7,-11.542,1,0.0389,0.549,0.11,0.112,0.559,137.521,4
spotify:track:0SlgVecciZuQZts4PQiar9,"Ciao! Baby","Ciao! Baby","The Marshmallow Kisses",2011-01-01,220693,19,false,,1970-01-01T00:00:00Z,"시부야계,중국 인디,쟁글 팝","The Marshmallow Kisses",0.507,0.758,0,-6.17,1,0.0312,0.319,0,0.186,0.43,85.029,4
spotify:track:5ErCpXPOaYnwBJm4nzVWFx,"Life Thru The Same Lens","A Girl Called Eddy","A Girl Called Eddy",2004-08-10,258640,12,false,,1970-01-01T00:00:00Z,"","Anti/Epitaph",0.757,0.507,7,-12.629,0,0.0297,0.862,0.000754,0.0653,0.922,89.987,4
spotify:track:7bMAeaGU7SHQZYcOmFHwab,"Boys Don't Matter","Unisex","Blueboy",1994-05-01,272000,21,false,,1970-01-01T00:00:00Z,"쟁글 팝,인디 팝,드림 팝","SARAH RECORDS",0.561,0.414,7,-12.47,0,0.0252,0.299,0.00143,0.13,0.662,107.771,4
