Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4dA19AW8ehIYVOScdWu4IT,"사랑의이름으로! (feat. 카리나 of aespa)","사운드 오브 뮤직 pt.1","잔나비;KARINA",2025-04-28,205000,49,false,,2025-12-03T12:15:50Z,"K-발라드,한국 록,케이팝","Peponi Music",0.456,0.635,3,-7.448,1,0.0329,0.792,0.00175,0.129,0.333,135.95,4
spotify:track:3sOAwRg5esaxDcWnUigWPv,"0+0","자몽살구클럽","HANRORO",2025-08-04,192000,68,false,,2025-12-03T12:15:50Z,"K-발라드,한국 록","authentic",0.457,0.523,9,-5.862,1,0.0286,0.492,0.0157,0.163,0.196,135.899,4
spotify:track:4OWKzw44sCXWih8qy4Av8K,"1-4-3","I MET PEEJAY","백예린",2025-05-07,208293,40,false,,2025-12-03T12:15:50Z,"K-발라드","PEOPLE LIKE PEOPLE",0.882,0.566,0,-4.914,1,0.171,0.526,0.0000104,0.0533,0.677,82.023,4
spotify:track:5GgmhSjpJ8a6g2qhoz8CmL,"첫사랑은 안녕히-","사운드 오브 뮤직 pt.2 : LIFE","잔나비",2025-10-21,246000,43,false,,2025-12-03T12:15:50Z,"K-발라드,한국 록","Peponi Music",0.374,0.426,1,-8.471,1,0.0335,0.805,0.000918,0.237,0.305,147.137,4
spotify:track:13kL8jBBpIq40ypSWnaQTl,"0405 (Four Five)","0405 (Four Five)","dori",2025-02-16,163320,32,false,,2025-12-03T12:15:50Z,"K-발라드","ONGRAY",0.837,0.67,8,-3.138,1,0.0309,0.0523,0,0.0873,0.967,114.002,4
spotify:track:6Y8iqKIk4LckcPQV5lohVU,"WALKMAN","STELLA II","스텔라장",2025-04-03,252524,24,false,,2025-12-03T12:15:50Z,"","Schnauzer Boulangerie / ADA",0.722,0.561,2,-8.279,1,0.117,0.464,0.00000162,0.254,0.616,93.97,4
spotify:track:2DM7WqaeAdXGjuXIFejZNK,"안아줘","안아줘","소각소각",2025-01-22,180986,33,false,,2025-12-03T12:15:50Z,"K-발라드","INHEART MUSIC",0.543,0.419,8,-3.309,1,0.0414,0.795,0,0.165,0.39,128.953,4
spotify:track:3aTUQhNkuzXYdWXxa83NUc,"상상 (想像)","상상 (想像)","김결",2025-01-21,181053,35,false,,2025-12-03T12:15:50Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.489,0.279,1,-8.541,1,0.0392,0.797,0,0.287,0.197,107.544,3
spotify:track:0M5yxK9rMHXxVPm80ls4XJ,"Vacation","Vacation","세이수미;Kim Hanjoo",2025-04-10,257053,17,false,,2025-12-03T12:15:50Z,"드림 팝,쟁글 팝","Damnably & Beach Town Music",0.422,0.725,3,-4.641,1,0.0267,0.00262,0.041,0.163,0.85,166.182,4
spotify:track:0CpJtbDzgqFjfcckyJvyc5,"이상해","이상해","허회경",2025-04-09,150094,23,false,,2025-12-03T12:15:50Z,"K-발라드","(주)문화인",0.671,0.41,3,-6.03,1,0.0282,0.511,0.0000918,0.497,0.564,112.991,4
spotify:track:0nbFfGsI841xVr2woT8YTB,"Megamind","Amateur Hunting Squad","jisokuryClub",2025-10-11,292958,27,false,,2025-12-03T12:15:50Z,"한국 록","jisokuryClub",0.329,0.727,11,-4.429,1,0.0393,0.00355,0.000475,0.133,0.656,184.112,4
spotify:track:2sXnBoZGYGnwLWC3ukomGm,"훌훌","HOOL HOOL","JOHA",2025-01-22,210666,22,false,,2025-12-03T12:15:50Z,"","PARK SOOJIN",0.554,0.412,8,-8.541,0,0.0295,0.00117,0.000151,0.115,0.484,89.973,4
spotify:track:2DdGj1EfEHM6nPn85yNXsx,"아리에게","__에게","밍기뉴",2025-06-26,139453,27,false,,2025-12-03T12:15:50Z,"K-발라드","엉엉토끼",0.262,0.4,9,-8.091,1,0.0415,0.397,0.000131,0.107,0.334,84.411,4
spotify:track:4As6SLkweWhpNGIA66b891,"Thought of You","Thought of You","뎁트;NONT TANONT",2025-02-12,213885,32,false,,2025-12-03T12:15:50Z,"태국 팝,T 팝","WM Korea",0.558,0.644,11,-5.905,1,0.0502,0.467,0,0.153,0.366,77.082,4
spotify:track:1oMUumys2cIeMUeShaXhUy,"needalove","needalove","OuiOui",2025-05-19,198224,31,false,,2025-12-03T12:15:50Z,"","Genie Music Corporation, Stone Music Entertainment",0.692,0.548,8,-3.404,0,0.205,0.535,0.00000671,0.0611,0.703,89.935,4
spotify:track:2epRLhB38MGHYSe9lsJWEY,"Seventeen","creespy","creespy",2025-03-24,192250,22,false,,2025-12-03T12:15:50Z,"한국 록","tapes",0.73,0.256,1,-9.637,1,0.0454,0.407,0,0.125,0.474,80.049,4
spotify:track:1E9MbAgrHO9WUGBg39jZBM,"너만은 그러지 말았어야지","X","알레프",2025-06-09,255053,24,false,,2025-12-03T12:15:50Z,"K-발라드","ALEPH",0.62,0.386,0,-7.724,1,0.0274,0.699,0,0.259,0.35,105.076,4
spotify:track:50dcsUaL1DEzuh8QlNuEpF,"Kryptonite (feat. Henni)","Kryptonite","Chloe Char;Benny Char;Henni",2025-03-14,181810,16,false,,2025-12-03T12:15:50Z,"","REDBOX",0.911,0.725,11,-4.41,0,0.0639,0.426,0,0.0736,0.764,128.056,4
spotify:track:3AGtmUsltzQt3K66tns6uM,"원해 (WANT IT!)","찬란 (chan rahn)","선우정아",2025-07-14,226026,18,false,,2025-12-03T12:15:50Z,"K-발라드","CAM",0.634,0.867,6,-2.266,1,0.0596,0.454,0.000591,0.32,0.704,112.884,4
spotify:track:7eeZR0OkclxBfhAlFd9N4g,"Jane.","Jane.","heyden",2025-02-05,174242,17,false,,2025-12-03T12:15:50Z,"","Universal Music Ltd.",0.448,0.383,4,-8.785,1,0.0295,0.669,0,0.14,0.196,114.034,3
spotify:track:0JfqP9vy73Gy55XzaWCx5K,"은빛살구","은빛살구 (Original Soundtrack)","김사월",2025-01-09,156000,12,false,,2025-12-03T12:15:50Z,"K-발라드","Kim Sawol",0.281,0.501,4,-7.817,0,0.0347,0.000098,0.918,0.0772,0.527,89.845,4
spotify:track:1bBuZZJacnkfvPQoQznjZk,"Loser (with LEE DO of ONEUS)","Loser, Game Over, You're the Champion","용용;LEE DO of ONEUS",2025-01-27,207666,28,false,,2025-12-03T12:15:50Z,"한국 랩,한국 록","WM Korea",0.422,0.629,6,-4.395,1,0.0348,0.292,0,0.11,0.244,159.949,4
spotify:track:0boGx65PACZNyIq7mv7trr,"CORPUS 0","CORPUS 0","데이먼스 이어 Damons year",2025-05-25,290833,33,false,,2025-12-03T12:15:50Z,"K-발라드","WM Korea",0.591,0.261,2,-8.486,1,0.0349,0.885,0.0000128,0.089,0.271,119.776,3
spotify:track:6jtahhWFnTocDmYgyJzS1k,"Good Times","X-Dreams 01","Glen Check",2025-04-25,204861,25,false,,2025-12-03T12:15:50Z,"누 디스코,프랑스 하우스,한국 록","EMA Recordings",0.569,0.751,10,-6.167,1,0.0466,0.0458,0.0000179,0.127,0.0858,89.908,4
spotify:track:6nNTYLF4VszdIETzoAenvw,"Me, Forever (feat. 카더가든)","비균형","사뮈;카더가든",2025-11-19,212250,27,false,,2025-12-03T12:15:50Z,"한국 록,K-발라드","MAGIC STRAWBERRY SOUND",0.571,0.503,9,-5.172,1,0.0271,0.268,0.0000891,0.254,0.183,119.887,4
spotify:track:52KCHvo4qZRGqiu3W7hk17,"속마음","속마음","g0nny",2025-11-26,188000,43,false,,2025-12-03T12:15:50Z,"","Genie Music Corporation, Stone Music Entertainment",0.712,0.624,9,-3.921,1,0.0387,0.384,0.00000392,0.144,0.466,110.046,4
spotify:track:2KUEKN10jfO8IQ3uUKdynn,"달춤","달춤","TOUCHED",2025-11-16,226000,40,false,,2025-12-03T12:15:50Z,"한국 록","MPMG MUSIC",0.619,0.788,8,-3.977,1,0.0306,0.0771,0.00000222,0.272,0.669,137.926,4
spotify:track:00babQKpTcxbh8kKsATc0R,"그 사람에게","그 사람에게","허회경",2025-11-13,228000,34,false,,2025-12-03T12:15:50Z,"K-발라드","MUN HWA IN",0.371,0.303,5,-8.698,1,0.0325,0.835,0,0.319,0.193,139.32,4
spotify:track:43HFmGfFKx9hCXBEighJXG,"너를 부르고 있어","너를 부르고 있어","우효",2025-03-28,363873,24,false,,2025-12-03T12:15:50Z,"","Enough Enough",0.275,0.577,5,-6.402,1,0.0307,0.015,0.0593,0.115,0.452,79.854,4
spotify:track:18JFKESC4ZJTiydyE0LIot,"Starving","Hm( )mm","onthedal",2025-11-07,194004,22,false,,2025-12-03T12:15:50Z,"한국 록","ondo",0.6,0.54,0,-9.644,1,0.164,0.688,0.261,0.102,0.35,70.016,4
spotify:track:7hAbuARJpMuAnLeg9ORbwy,"1 Chance","The Myth Of Sisyphus","윤지영",2025-11-05,244500,38,false,,2025-12-03T12:15:50Z,"K-발라드","Chihuahua.WAV / ADA",0.646,0.308,6,-12.732,0,0.0419,0.876,0.00427,0.161,0.298,77.951,4
spotify:track:1NpAxxKo9dwf9bwrDrobDb,"수용성","수용성","크르르",2025-02-23,235693,25,false,,2025-12-03T12:15:50Z,"K-발라드","Silver Lining",0.599,0.364,7,-8.245,1,0.0267,0.841,0.0000738,0.111,0.265,148.103,4
spotify:track:31u7mbAxSEkG0Ap3EA3QCG,"Truthbuster","Truthbuster","놀이도감",2025-11-05,428116,30,false,,2025-12-03T12:15:50Z,"한국 록","ormdstudio",0.694,0.472,8,-8.816,1,0.0262,0.222,0.313,0.319,0.622,99.987,4
spotify:track:3TBGPc9fUBo3AjBzgiXNGY,"무지개","무지개","아월",2025-06-30,138000,17,false,,2025-12-03T12:15:50Z,"한국 록,일본 인디","MPMG MUSIC",0.527,0.603,11,-4.463,1,0.0279,0.246,0.0304,0.0605,0.556,82.055,4
spotify:track:7m9TTtjVC8QOByp3SKFf6s,"Peachy","Peachy","MRCH",2025-08-19,209223,37,false,,2025-12-03T12:15:50Z,"한국 록","theonlyscent",0.284,0.727,4,-5.965,1,0.0435,0.0286,0.00381,0.316,0.135,165.603,3
spotify:track:1ksJA4Yme39NKgn82SvLsp,"15살","A side","유라",2025-03-21,204250,20,false,,2025-12-03T12:15:50Z,"","Genie Music Corporation, Stone Music Entertainment",0.632,0.473,4,-5.407,1,0.0291,0.0151,0.0000912,0.289,0.684,101.974,4
spotify:track:7Ey9y01U53bXiFehGn8Bik,"Go Forth and Learn to Live","Go Forth and Learn to Live","이날치",2025-10-29,244718,12,false,,2025-12-03T12:15:50Z,"","HIKE",0.937,0.752,2,-6.003,1,0.0378,0.135,0,0.0351,0.839,110.01,4
spotify:track:314EYx2dRG3rTJWdATgmPW,"Hamba Kahle","Re:5","Song Sohee",2025-10-21,210000,27,false,,2025-12-03T12:15:50Z,"K-발라드","MAGIC STRAWBERRY SOUND",0.509,0.745,8,-4.696,1,0.0452,0.0439,0.00779,0.109,0.038,127.957,4
spotify:track:7jfdsPSaIFH9B9NDrMfwhP,"Chocolate Baby","Chocolate Baby","JOHA",2025-10-27,194754,28,false,,2025-12-03T12:15:50Z,"","JOHA",0.79,0.663,2,-9.617,1,0.0561,0.0347,0.0000366,0.116,0.918,121.968,4
spotify:track:2phDPmaRtLzpPrMEPzcFnN,"Dancing Bird","Dancing Bird","The Poles",2025-11-10,197000,45,false,,2025-12-03T12:15:50Z,"한국 록","WAVY",0.632,0.421,8,-7.375,1,0.0314,0.151,0.125,0.308,0.509,100.011,4
spotify:track:3WuzkyoFApI0co4QbaltyO,"Blocks","Somnia 0:00 - Chapter 1","애쉬뮤트",2025-10-29,241463,23,false,,2025-12-03T12:15:50Z,"","GOST",0.588,0.411,1,-10.129,1,0.0296,0.727,0.0852,0.234,0.311,82.006,4
spotify:track:0UURDHnOn086dSgpsniO2a,"Love Me More","우리영화 OST Part.7","다섯",2025-07-12,204000,27,false,,2025-12-03T12:15:50Z,"한국 록","Studio S Co.,Ltd",0.434,0.208,10,-12.71,1,0.0834,0.911,0.00000428,0.131,0.12,80.036,3
spotify:track:6iFhant40mG0SZF1WBofEC,"salty","salty heart","ddbb",2025-01-26,240923,20,false,,2025-12-03T12:15:50Z,"한국 록","ddbb",0.463,0.599,7,-7.231,1,0.0281,0.00254,0.000601,0.157,0.286,130.076,4
spotify:track:7JldGtTDUcVPFmVU7DWUuo,"겨울의 길목 (feat. 현동빈)","겨울의 길목 (feat. 현동빈)","Soombee;Dongbin Hyun",2025-11-01,169000,19,false,,2025-12-03T12:15:50Z,"","SOOMBEE",0.61,0.345,11,-6.775,1,0.0391,0.825,0,0.102,0.388,132.667,4
spotify:track:5tTC637btBwKIzo7pbYWXY,"우리사랑은반복되는계절","우리사랑은반복되는계절","HYUN SEO",2025-10-31,164000,34,false,,2025-12-03T12:15:50Z,"K-발라드","ONGRAY",0.78,0.833,10,-3.975,1,0.132,0.183,0,0.0763,0.884,143.908,4
spotify:track:0zYh96PnOBI8zFCHedpSzc,"Not But Disco","Not But Disco","KARDI",2025-05-11,224924,35,false,,2025-12-03T12:15:50Z,"한국 록","Planet K",0.738,0.762,6,-5.4,0,0.0653,0.0187,0.000179,0.293,0.413,116.029,4
spotify:track:5i2NJDXiUvCdH8yDX9FQ6b,"allang mallang","allang mallang","ZIN CHOI",2025-06-03,120527,30,false,,2025-12-03T12:15:50Z,"","22",0.732,0.332,8,-8.383,0,0.0716,0.853,0,0.252,0.917,109.937,4
spotify:track:3LbSk8h4ZFJGlgWlUX50wa,"긴 밤","Hm( )mm","onthedal",2025-11-07,234703,23,false,,2025-12-03T12:15:50Z,"한국 록","ondo",0.485,0.452,8,-8.905,1,0.0336,0.742,0.00112,0.109,0.373,136.015,4
spotify:track:1E7Od6wnOPFv80O1AuTCPE,"시소","시소","Ingyeong Choi",2025-10-14,155000,29,false,,2025-12-03T12:15:50Z,"K-발라드","Genie Music Corporation, Stone Music Entertainment",0.725,0.591,6,-5.223,1,0.0988,0.691,0,0.0714,0.723,77.013,4
spotify:track:4l1kxi8BziQRbDmov4CXeh,"남아있어 (Feat. BIG Naughty)","남아있어 (Feat. BIG Naughty)","creespy;BIG Naughty (서동현)",2025-07-09,163369,20,false,,2025-12-03T12:15:50Z,"한국 록,한국 랩,K-발라드","tapes",0.52,0.565,0,-8.102,1,0.0287,0.0102,0,0.286,0.373,91.899,4
