Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2bAMoEukdKb0Rk4u6IcUM3,"이밤이지나면","임재범1집","임재범",1991-01-01,250279,50,false,31v4iknjrifbgbcuvgnkzyycvhlq,2023-09-22T05:11:24Z,"K-발라드","오감엔터테인먼트",0.685,0.621,5,-8.877,1,0.0234,0.322,0.000075,0.0698,0.786,96.297,4
spotify:track:5YKTjm1NVqGAFsuuzKHNG8,"동네","김현철 1집","김현철",1989-08-26,272848,0,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T12:00:36Z,"시티 팝,K-발라드","Beyond Music",0.669,0.469,5,-13.47,1,0.0591,0.0626,0.000741,0.43,0.7,98.802,4
spotify:track:6XyxK8337FQpADHBqBoFnb,"한걸음 더","윤상 베스트","윤상",1996,187794,0,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:57:07Z,"K-발라드,시티 팝","Beyond Music",0.741,0.777,10,-5.083,1,0.0366,0.154,0.0000271,0.255,0.809,98.975,4
spotify:track:6V9C5rcCQkf3eJSmcAkCf4,"샴푸의 요정","빛과 소금 1","빛과 소금",1990-03-01,227369,0,false,31v4iknjrifbgbcuvgnkzyycvhlq,2024-09-03T03:14:29Z,"시티 팝,K-발라드","Beyond Music",0.741,0.592,2,-9.807,0,0.0235,0.203,0.0000144,0.0446,0.784,110.994,4
spotify:track:5vVL45nncczKCWS0uIQpzN,"깊은 밤을 날아서","이문세 4집","이문세",1987-03-10,182866,52,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-04T11:53:55Z,"K-발라드","(주)킹레코드",0.647,0.685,0,-9.831,1,0.0406,0.637,0.000145,0.11,0.529,123.208,3
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,39,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-04T11:54:01Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:3aBkJjXgWGdvSEXNpVb11A,"시간속의향기","강수지2집","강수지",1990-05-01,223973,35,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:55:10Z,"시티 팝,K-발라드","오감엔터테인먼트",0.811,0.602,11,-10.665,0,0.0329,0.605,0.00000102,0.078,0.928,122.225,4
spotify:track:2RjN0mgjbH0F93YiVONFlM,"흩어진 나날들","강수지 BEST ALBUM","강수지",1993-12-30,262309,31,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:55:15Z,"시티 팝,K-발라드","오감엔터테인먼트",0.604,0.339,7,-12.463,0,0.0252,0.662,0.00000623,0.292,0.497,68.652,4
spotify:track:0haGSQ43x5QhbloDnTxVZA,"여름 안에서","Rhythm Light Beat Black","듀스",1994-09-09,271490,0,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T12:04:10Z,"뉴 잭 스윙","Beyond Music",0.752,0.753,8,-11.199,1,0.0368,0.0947,0.000431,0.34,0.928,105.007,4
spotify:track:4bKIbogAwfLIhaFaoVy6p0,"달리기","Cliche","윤상",2000-06-01,218000,33,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:57:41Z,"K-발라드,시티 팝","odein, Dzit",0.73,0.68,6,-6.764,1,0.0341,0.00107,0.00149,0.0637,0.872,95.202,4
spotify:track:0fGbon58TJAGc3wNRkAUKV,"삐에로는 우릴 보고 웃지","5집 삐에로는 우릴 보고 웃지","김완선",1990-12-01,206710,36,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:55:12Z,"시티 팝","케이더블유썬플라워엔터테인먼트",0.634,0.595,6,-12.152,0,0.0375,0.574,0,0.339,0.894,206.003,4
spotify:track:5PSj7PGrGLASjPkdOL318I,"나 항상 그대를","나 항상 그대를","이선희",1989-02-01,216685,0,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:56:35Z,"K-발라드","Wellmade Yedang",0.452,0.432,2,-9.694,1,0.0318,0.507,0.0000366,0.103,0.268,119.408,3
spotify:track:3qSzTYWlxuI9vN6mtnZBSm,"일과 이분의 일","TWO TWO","TwoTwo",1994-04-29,237373,0,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:56:39Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.761,0.603,6,-12.468,1,0.0266,0.364,0,0.0616,0.964,100.915,4
spotify:track:3fCkxCmaOwJ8UuZD1N4Okx,"...말하자면","김성재","김성재",1995-11-23,215849,0,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T12:03:25Z,"케이팝","Beyond Music",0.76,0.764,5,-9.464,0,0.037,0.0861,0,0.355,0.84,119.627,4
spotify:track:6T7ou259GBVcC3bOCjiFwP,"새들처럼","변진섭 GREAT HITS","변진섭",2021-08-02,256078,35,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:58:37Z,"K-발라드","RIAK",0.497,0.533,7,-10.306,1,0.0273,0.618,0,0.469,0.49,144.021,4
spotify:track:0XcuTluUE0ZXnwniD25Lz3,"그럴때마다","토이2집-YOUHEEYEOL","Toy",1996-03-01,229891,0,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-09T11:58:42Z,"K-발라드","신나라뮤직",0.781,0.677,7,-4.801,1,0.0283,0.181,0.00023,0.0722,0.552,119.998,4
spotify:track:6PzIUL43UjAX2APzjg2M15,"그대에게","Myself","신해철",1991-03-20,264231,48,false,31v4iknjrifbgbcuvgnkzyycvhlq,2022-09-22T01:46:18Z,"K-발라드,한국 록","다날엔터테인먼트",0.254,0.811,6,-8.64,1,0.106,0.0967,0.00103,0.141,0.272,159.821,4
