Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:75CBQswhQCa6CzJXpRjSSk,"Cliche","Standard","코스모스 Cosmos",2000-05-02,260026,0,false,,1970-01-01T00:00:00Z,"신스팝","Stoneage Records",0.461,0.84,11,-6.7,0,0.0349,0.124,0.0947,0.23,0.723,131.963,4
spotify:track:566LUktEniM5iwkPKdHyhh,"สร้างภาพ (PERSONA)","QUARTER-LIFE CRISIS","YODSARUN",2026-03-12,242168,15,false,,1970-01-01T00:00:00Z,"태국 인디 팝,태국 팝","Smallroom Bangkok Pop Music Label",0.381,0.691,9,-5,1,0.031,0.00627,0.837,0.131,0.406,82.986,4
spotify:track:2Xhi0Grpx3tAM9WRVgJl6q,"Lion's Tear (feat. Kim Daniel)","Orange Courage","Potatoi;Kim Daniel",2026-03-13,233531,30,false,,1970-01-01T00:00:00Z,"","Wavy International",0.448,0.587,11,-7.108,1,0.029,0.289,0.954,0.0996,0.275,84.962,4
spotify:track:4jJjJ3vqdGE8jZPEb4HRJu,"Jogging","Eyesore","VVAS;Wave And So",2024-02-28,196125,13,false,,1970-01-01T00:00:00Z,"태국 인디 팝,태국 록,태국 팝,드림 팝","Parinam Music",0.462,0.959,9,-5.679,1,0.0358,0.00202,0.833,0.534,0.586,165.053,4
spotify:track:0IFok6fLPTClLOFrl2ke9v,"幽谷","QUIET FRIENDS","えんぷてい",2022-11-23,220753,13,false,,1970-01-01T00:00:00Z,"일본 인디,시부야계","SPACE SHOWER MUSIC",0.51,0.479,0,-9.421,0,0.0255,0.286,0.895,0.129,0.389,137.965,4
spotify:track:3YAzRMau8DYBYdjfthVS9A,"週昇詞","請讓我回家","AMK",1995-02-16,252562,15,false,,1970-01-01T00:00:00Z,"칸토팝(Cantopop),중국 록,중국 인디","AMK",0.746,0.416,5,-12.237,1,0.0281,0.517,0.000354,0.107,0.47,109.966,4
spotify:track:0lJvPmcVHWj3d3pOuhGdoB,"오늘은 또 뭘 하나 What Should I Do Again Today","Standard","코스모스 Cosmos",2000-05-02,196360,0,false,,1970-01-01T00:00:00Z,"신스팝","Stoneage Records",0.574,0.0595,9,-18.989,0,0.0377,0.985,0.0000278,0.102,0.44,143.983,3
spotify:track:19GpOwMvBs885G4BmjaJml,"คนเห็นแก่ตัว (DOPE)","QUARTER-LIFE CRISIS","YODSARUN",2026-03-12,219718,14,false,,1970-01-01T00:00:00Z,"태국 인디 팝,태국 팝","Smallroom Bangkok Pop Music Label",0.367,0.695,11,-3.963,1,0.0311,0.000462,0.837,0.279,0.527,142.016,4
spotify:track:6YEXIvR9f3S1Ca9E6Dn5uM,"ปล่อยใจ","ปล่อยใจ","Wallry",2024-07-04,240560,13,false,,1970-01-01T00:00:00Z,"태국 팝","Wallry",0.209,0.576,2,-6.995,1,0.0376,0.255,0.325,0.114,0.316,160.525,3
spotify:track:23sy2REmFt0wZMf0wNFnSM,"삐이삐이","욘욘슨","Lang Lee",2012-08-06,184080,11,false,,1970-01-01T00:00:00Z,"","Somoim Records",0.308,0.535,0,-6.144,1,0.0315,0.937,0.00679,0.368,0.337,159.826,4
