Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0QputQWTAg9shMxve11ON8,"이별","베스트 콜렉션","패티김",1991-05-01,227800,25,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.372,0.474,11,-9.892,1,0.0318,0.296,0.0000334,0.162,0.148,81.835,4
spotify:track:5nSBcnvB8fbgu0xJLPYdkl,"내마음의 보석상자","사랑은 언제나 그자리에","해바라기",1986-04-15,245880,33,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.406,0.449,11,-8.361,0,0.0276,0.879,0.257,0.101,0.399,85.615,4
spotify:track:5gqhaP5cEvTP4xpDpSjAI5,"Pungnean Ga","Lee Mi-ja's folk song album (Hong Hyun-Gul's arrangement Book)","이미자",1970-06-19,167482,20,false,,1970-01-01T00:00:00Z,"엔카","Jigu Records",0.46,0.222,7,-13.441,1,0.0292,0.811,0.0000508,0.163,0.496,83.278,5
spotify:track:1kPHaUWQIFebAHGMiOXkkN,"Night of candel lights","Night of candel lights","Yang Hayoung;양하영",1988-06-29,248163,16,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.647,0.4,6,-11.564,0,0.0304,0.801,0.197,0.0817,0.173,119.53,4
spotify:track:0FIgjsljigrtOrQL6MRriN,"누구라도 그러하듯이","누구라도 그러하듯이","배인숙",1979-05-10,211546,27,false,,1970-01-01T00:00:00Z,"","RIAK",0.397,0.391,8,-10.463,0,0.0275,0.433,0,0.113,0.279,105.912,4
spotify:track:5NPLUq3lA0WiaTCaF8ltXW,"가을을 남기고간 사랑","가을을 남기고간 사랑/한줄기 사랑","패티김",1990-05-01,182800,28,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.412,0.293,8,-12.631,1,0.03,0.48,0.000849,0.0827,0.311,142.088,4
spotify:track:3kUYMbrhuJbuwWAlnjnNid,"Will Love In This Autumn","Best Of Best","Shim Soo Bong",2005-11-01,187226,16,false,,1970-01-01T00:00:00Z,"K-발라드","Shim Soo Bong",0.415,0.428,4,-10.723,0,0.0323,0.747,0.0812,0.234,0.1,83.511,4
spotify:track:0s1F5YZzSHN0ItT6MSUIuX,"봄이 오는길","BEST 20","Park In Hui",1977-03-01,148325,14,false,,1970-01-01T00:00:00Z,"전통 포크","오아시스레코드 뮤직컴퍼니",0.646,0.312,9,-15.23,0,0.0386,0.868,0.731,0.228,0.714,115.643,4
spotify:track:7LjG6CGvK9l5Knnj1Ew4BV,"어서 말을해","그날 이후","해바라기",1985-01-15,189306,24,false,,1970-01-01T00:00:00Z,"K-발라드","오제이플러스미디어",0.422,0.412,11,-9.13,0,0.0283,0.769,0.845,0.091,0.491,147.619,4
spotify:track:6dGaNwluxq2QLUDTrfUUlE,"내 삶을 눈물로 채워도","나훈아 빅히트 40곡 (나훈아 전곡 모음집)","나훈아",2018-02-05,250466,31,false,,1970-01-01T00:00:00Z,"엔카,K-발라드","Yesori",0.394,0.472,8,-7.11,1,0.0324,0.307,0.0000238,0.175,0.232,148.027,4
spotify:track:2BmsULuJbIsCCmRTBaFJFX,"이별","패티김앵콜힛트송1","패티김",1986-01-30,202266,22,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.327,0.0921,10,-22.664,1,0.0338,0.962,0.296,0.0955,0.226,82.499,4
spotify:track:3u1C6nWVRoP5F0w8gGrDL3,"사랑의 미로","최진희 골든 Vol.15","Choi JinHee",1987-06-01,222380,25,false,,1970-01-01T00:00:00Z,"K-발라드","예전미디어",0.367,0.194,7,-19.057,1,0.04,0.617,0.00000583,0.162,0.367,144.316,4
spotify:track:2RBBiAyjzyFFq3nhFLHNwT,"사랑하는 이에게","정태춘ㆍ박은옥 Best","정태춘,박은옥",2014-06-18,256092,19,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.416,0.254,7,-13.008,1,0.0288,0.939,0.727,0.279,0.113,70.839,3
spotify:track:6t20YMDkjlSsLPCycfwiD3,"당신도 울고 있네요","김종찬2집","김종찬",1987-10-30,249286,22,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.21,0.336,9,-12.739,1,0.0346,0.259,0.0000424,0.066,0.134,72.609,4
spotify:track:4luHr79UtHisg9iTbAY9C6,"남자라는 이유로","남자라는 이유로 / 꽃이 된 여자","조항조",1997-03-01,221387,28,false,,1970-01-01T00:00:00Z,"K-발라드","Beyond Music",0.51,0.563,1,-7.333,1,0.0294,0.477,0,0.0931,0.488,133.721,4
spotify:track:1Ff3PP3hteXgX4apI3odTt,"못잊어","패티김 전곡 Vol. 1","패티김",1994-03-01,197026,3,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.463,0.443,7,-11.264,1,0.0286,0.788,0.00314,0.124,0.236,104.159,3
