Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4w5jHmaPBwNN2Q9rOuYHUC,"내 마음에 비친 내 모습","사랑하기 때문에","유재하",1987-08-20,293044,48,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:15:32Z,"K-발라드","킹핀엔터테인먼트",0.563,0.253,9,-13.514,1,0.032,0.229,0,0.136,0.232,120.282,4
spotify:track:2bE4wberMurwLeVwiS4UOi,"그것만이 내 세상","들국화 Ⅰ","들국화",1985-09-01,330800,34,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:15:51Z,"K-발라드,한국 록","Beyond Music",0.48,0.372,5,-12.236,1,0.0279,0.02,0.000159,0.134,0.224,96.293,4
spotify:track:4vwSxXLXvsDeMdAT46QZhH,"내 마음에 주단을 깔고","산울림 제2집 - 내 마음에 주단을 깔고","산울림",1978-05-10,367040,27,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:16:02Z,"한국 록,K-발라드","Ecole de Gorae",0.424,0.485,1,-8.716,1,0.0279,0.00144,0.00564,0.0897,0.735,84.167,4
spotify:track:0rDYhtl80Ugl6m7nxSyF7R,"행복의나라로","멀고먼길","한대수",1974-01-01,197746,20,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:16:13Z,"한국 록","신세계음향",0.309,0.433,4,-7.711,1,0.0294,0.751,0.00000124,0.147,0.657,176.497,4
spotify:track:2L1d8klSiq0dhndAszGWuO,"챠우챠우-아무리 애를 쓰고 막아 보려 해도 너의 목소리가 들려","델리스파이스(Deli Spice) 1집(Deli Spice)","DELISPICE",1997-08-01,269514,49,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:16:24Z,"K-발라드,한국 록","MUSICDESIGN",0.464,0.765,6,-8.407,1,0.048,0.0111,0.0000141,0.205,0.235,114.841,4
spotify:track:2qSIUl6rWUMGCQnIfYNKJg,"Beautiful Woman","Shin Junhyun & Yupjuns 1.","Shin Joong Hyun And Yupjuns",1974-11-01,184041,5,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T12:52:38Z,"한국 록","Jigu Records",0.544,0.728,7,-12.08,1,0.0541,0.0274,0.0886,0.0805,0.582,105.662,4
spotify:track:7MMgzs6B7MlvQSQLMKyakS,"나의 외로움이 널 부를 때","나의 외로움이 널 부를 때","장필순",1997-01-01,254768,34,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:16:56Z,"시티 팝,K-발라드","신나라뮤직",0.19,0.279,10,-10.822,1,0.0326,0.719,0.00000268,0.11,0.18,206.04,3
spotify:track:2vADJRgL5uU0WUYTAOYfOo,"A Bird","Gongmudohaga","이상은",1995-07-26,355026,15,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:17:12Z,"K-발라드","Breeze Music",0.622,0.181,1,-15.13,0,0.041,0.881,0.000521,0.15,0.269,102.956,4
spotify:track:7iYZUaMCjSzmZHjq9H6l60,"[김민기 1971] 친구","Past Life of 김민기 (6CD Box Set)","김민기",2004-10-21,190458,16,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:17:36Z,"","학전",0.339,0.128,0,-19.712,1,0.0352,0.991,0.0251,0.123,0.212,108.85,4
spotify:track:5vVL45nncczKCWS0uIQpzN,"깊은 밤을 날아서","이문세 4집","이문세",1987-03-10,182866,53,false,313uauzenmzni643v7n2b7f64mcq,2025-05-02T11:17:47Z,"K-발라드","(주)킹레코드",0.647,0.685,0,-9.831,1,0.0406,0.637,0.000145,0.11,0.529,123.208,3
