Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:31u7mbAxSEkG0Ap3EA3QCG,"Truthbuster","Truthbuster","놀이도감",2025-11-05,428116,30,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:29:40Z,"한국 록","ormdstudio",0.694,0.472,8,-8.816,1,0.0262,0.222,0.313,0.319,0.622,99.987,4
spotify:track:6Ym5GRk2N3L7RF7JzSs9jN,"정면돌파","빛나는 스트라이크","Shin In Ryu",2025-04-08,254000,36,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:29:47Z,"한국 록","RAFTERS",0.654,0.818,6,-3.884,1,0.0285,0.0685,0.000388,0.402,0.301,113.885,4
spotify:track:0Izid77jbgnYGpzV42h5fj,"넓은 집","심장의 펌핑은 고문질","huijun woo",2025-04-17,230500,28,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:30:17Z,"인디 R&B,한국 록","huijun woo",0.417,0.398,4,-6.174,1,0.0391,0.914,0,0.157,0.175,91.66,4
spotify:track:6RP8NjOpVkB0JWltpuHscW,"철의 삶","철의 삶","정우",2025-08-21,255562,40,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:30:28Z,"K-발라드,한국 록","정우",0.546,0.692,5,-7.42,1,0.047,0.0189,0.00014,0.154,0.646,104.927,4
spotify:track:2aicRlZiaAEteaPsti8Hls,"시간을 달리네","자몽살구클럽","HANRORO",2025-08-04,236000,56,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:30:42Z,"K-발라드,한국 록","authentic",0.492,0.695,2,-1.704,1,0.034,0.24,0.00000205,0.177,0.344,152.056,4
spotify:track:1bCHgxDWzxxxhEIr47Vn2X,"B","LUCHADOR","RAKUNELAMA",2025-08-13,162285,33,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:31:27Z,"","EMA Recordings",0.822,0.818,8,-4.243,0,0.0636,0.0425,0.000346,0.335,0.873,119.968,4
spotify:track:0utllKNgRRmDR3sHQ3IFri,"POVIDONE (feat. 단편선)","POVIDONE ORANGE","A.TRAIN;단편선",2025-09-27,248150,11,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:31:42Z,"한국 록","Genie Music Corporation, Stone Music Entertainment",0.535,0.618,4,-4.848,1,0.109,0.518,0,0.191,0.218,87.797,4
spotify:track:7KdDxUxbEISXQ7h6qixF6Q,"그녀의 손가락 금붕어","개미의 왕","Yoon Da Hye",2025-09-26,190718,27,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:31:53Z,"한국 랩","Mine Field",0.358,0.501,7,-5.339,1,0.0561,0.265,0,0.195,0.285,80.276,4
spotify:track:5scNLPks8Dntf8dCuZ8Zur,"Busy Boy","stereo","주혜린",2025-08-14,195000,31,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:32:26Z,"","JOOHYELYN",0.763,0.709,6,-4.327,1,0.0818,0.107,0.000187,0.0456,0.833,134.989,4
spotify:track:28qws4MxILDcXcG835INKW,"허쎄","소수민족","CHUDAHYE CHAGIS",2025-06-13,212713,26,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:32:34Z,"네오포크","SOSUMINJOK COMPANY",0.747,0.85,7,-7.332,1,0.0318,0.0562,0.0462,0.166,0.605,109.905,4
spotify:track:68wcwjbCqTj43MD6kLvJr0,"그렇게, 나도 모르게","삶의 향기","권나무",2025-09-03,398677,22,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:32:55Z,"한국 록","권나무 KwonTree",0.608,0.326,4,-9.971,1,0.0303,0.877,0.0000152,0.105,0.262,120.875,4
spotify:track:45GLeEhvFe4tGirZ2SDG75,"하루","하루","Kim Chang-Wan",2025-11-27,221013,10,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:33:27Z,"","Ecole de Gorae",0.527,0.167,2,-13.834,1,0.0345,0.789,0.443,0.119,0.322,126.046,3
spotify:track:5TrfTDNQI3oLN4dTc2DCf5,"남은 숲","남은 숲","Kim Hwal Sung",2025-03-28,185053,8,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:33:44Z,"한국 록","꼬마들CoMaDL",0.549,0.165,7,-12.754,1,0.0349,0.863,0.243,0.163,0.2,109.771,4
spotify:track:4UXunfpHkEQLy74so1FSAB,"개의 심장","산만한시선 2","Sanmanhan",2025-09-27,213053,18,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:33:54Z,"한국 록","Sanmanhan",0.66,0.301,11,-11.708,0,0.039,0.529,0.0000325,0.0875,0.572,118.18,4
spotify:track:3N5wmsjU1PHTOyKFWpgBik,"Between Hard Rain","Between Hard Rain","정태춘",2025-05-02,216000,7,false,31qbjddpf76dupkembfcvywkuxb4,2026-02-06T01:34:10Z,"전통 포크,K-발라드","Universal Music Ltd.",0.384,0.418,9,-10.001,0,0.0458,0.883,0.01,0.322,0.189,135.29,4
