Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4EwNWRBWdZ6bgvxRHlZ8OO,"삐딱하게 (Crooked)","쿠데타 (COUP D'ETAT)","G-DRAGON",2013-09-05,224792,68,false,,1970-01-01T00:00:00Z,"케이팝,한국 랩","YG Entertainment",0.665,0.919,2,-3.211,1,0.0922,0.00191,0,0.0588,0.782,129.962,4
spotify:track:6uPnrBgweGOcwjFL4ItAvV,"Whiplash","Whiplash - The 5th Mini Album","aespa",2024-10-21,183226,73,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.856,0.901,8,-2.954,0,0.0455,0.0943,0.0206,0.0802,0.743,126.007,4
spotify:track:4ZxOuNHhpyOj4gv52MtQpT,"마지막처럼","마지막처럼","BLACKPINK",2017-06-22,213264,77,false,,1970-01-01T00:00:00Z,"케이팝","YG Entertainment",0.786,0.852,8,-2.687,1,0.0813,0.0687,0,0.0759,0.455,125.036,4
spotify:track:0EhdXt3y460mTRsi97Pyk5,"한 페이지가 될 수 있게 Time of Our Life","The Book of Us : Gravity","DAY6",2019-07-15,205575,56,false,,1970-01-01T00:00:00Z,"한국 록,케이팝","JYP Entertainment",0.51,0.975,8,-2.758,1,0.053,0.00428,0,0.222,0.747,174.973,4
spotify:track:0a4MMyCrzT0En247IhqZbD,"Hype Boy","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,179026,78,false,,1970-01-01T00:00:00Z,"케이팝","ADOR",0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,4
spotify:track:16BS342F89MDqouSxgLaUK,"무제(無題) (Untitled, 2014)","권지용","G-DRAGON",2017-06-08,222867,65,false,,1970-01-01T00:00:00Z,"케이팝,한국 랩","YG Entertainment",0.583,0.461,4,-5.153,1,0.0321,0.785,0.000017,0.13,0.263,79.826,4
spotify:track:2YkjXEab4USTV9uuAgC90E,"4 Walls","4 Walls - The 4th Album","f(x)",2015-10-27,207477,63,false,,1970-01-01T00:00:00Z,"케이팝","SM Entertainment",0.735,0.849,4,-4.308,0,0.129,0.212,0.0000294,0.0608,0.223,125.972,4
spotify:track:3uA8SjMyDtwtt0jLPMQbVD,"D (Half Moon)","130 Mood : TRBL","DEAN;개코",2016-03-25,229359,61,false,,1970-01-01T00:00:00Z,"한국 랩,케이팝","Universal Music Ltd.",0.512,0.765,7,-5.252,1,0.136,0.246,0,0.0573,0.519,169.709,4
spotify:track:7qmvLmX9tyaTiBAVNI6YEn,"불장난","SQUARE TWO","BLACKPINK",2016-11-01,197288,74,false,,1970-01-01T00:00:00Z,"케이팝","YG Entertainment",0.706,0.756,4,-4.405,0,0.0845,0.0392,0,0.18,0.676,97.098,4
spotify:track:1L4d2lafz1odpIMe8va21X,"하루하루","Stand Up (2008 빅뱅 3rd Mini Album)","BIGBANG",2008-08-08,256359,69,false,,1970-01-01T00:00:00Z,"케이팝","YG Entertainment",0.687,0.914,6,-5.02,1,0.0437,0.166,0,0.0858,0.675,126.001,4
