Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4rmW33jfL8Rqq2oZ0esAtM,"칵테일 사랑","칵테일 사랑","Maronnier",1994-03-01,234160,42,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.635,0.77,7,-8.305,1,0.029,0.0441,0,0.089,0.845,90.02,4
spotify:track:4AfuS3hTBd6ptS72KJummz,"One and a Half","Two Two One and a Half","TwoTwo;투투(Two Two)",1994-05-01,235826,42,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.76,0.73,6,-8.394,1,0.0251,0.249,0,0.0644,0.963,100.932,4
spotify:track:06o2o3TpyR8eGU2ANK21Lp,"멸종위기사랑","EROS","LEE CHANHYUK",2025-07-14,220202,63,false,,1970-01-01T00:00:00Z,"K-발라드","YG Entertainment",0.902,0.79,8,-4.21,1,0.0512,0.245,0.0000701,0.0297,0.965,115.045,4
spotify:track:5vVL45nncczKCWS0uIQpzN,"깊은 밤을 날아서","이문세 4집","이문세",1987-03-10,182866,53,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.647,0.685,0,-9.831,1,0.0406,0.637,0.000145,0.11,0.529,123.208,3
spotify:track:47pEETprCzwQYEKovj5xyy,"연극이 끝난 후","MBC 대학가요제 골든베스트","샤프",1988-04-15,254426,37,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","RIAK",0.446,0.406,5,-14.047,1,0.0337,0.715,0.00000137,0.119,0.708,91.925,4
spotify:track:0OxRmpJnl1hV1jHVH3V4me,"샴푸의 요정","빛과 소금","빛과 소금",1990-03-01,227306,42,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","Beyond Music",0.752,0.545,2,-10.198,0,0.0244,0.221,0.0000492,0.0395,0.75,110.984,4
spotify:track:3Rtl3hU47q3TorqSI2ZwnH,"보랏빛향기","강수지 1집","강수지",1990-04-01,208431,38,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","신세계음향",0.79,0.558,6,-10.762,1,0.0443,0.213,0.0536,0.109,0.852,125.224,4
spotify:track:6kL0CcL4rx6VUt6m2zP0tM,"습관 (Bye Bye)","Roller Coaster","Rollercoaster",1999-07-01,259346,40,false,,1970-01-01T00:00:00Z,"시부야계,애시드 재즈,한국 록","Cornerstone",0.795,0.518,6,-10.28,1,0.029,0.0325,0.0000102,0.0532,0.785,122.996,4
spotify:track:4fQFJ665o0c4trTqDSiThT,"너의 의미","산울림 제10집 - 너의 의미","산울림",1984-07-20,221573,42,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.65,0.313,7,-10.878,1,0.0271,0.348,0.0444,0.135,0.461,79.233,4
spotify:track:3TiVCPJrFiBzpAverOkPL1,"소녀","3집 - 난 아직 모르잖아요","이문세",1985-11-20,220053,48,false,,1970-01-01T00:00:00Z,"K-발라드","(주)킹레코드",0.577,0.235,5,-13.24,1,0.0325,0.718,0.000173,0.103,0.175,127.818,4
spotify:track:4qg4R296ne1vu0Mlsdtg99,"봄날은 간다","Shadow Of Your smile","김윤아",2001-11-20,273773,40,false,,1970-01-01T00:00:00Z,"K-발라드","Cornerstone",0.632,0.31,11,-12.053,0,0.0261,0.607,0.00381,0.0969,0.143,99.992,4
spotify:track:1buHqj9bKMLBXYBRvQUSV0,"여우야","The Classic 2","더 클래식",1995-10-01,272360,46,false,,1970-01-01T00:00:00Z,"K-발라드","캐슬뮤직",0.729,0.677,7,-9.03,1,0.0328,0.487,0.0227,0.0853,0.759,112.026,4
spotify:track:507GurK1J2BWxX5lp0HOzR,"사랑은 창밖에 빗물같아요","사랑은 창밖에 빗물같아요","양수경",1988-02-01,211983,39,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","RIAK",0.672,0.442,9,-14.692,1,0.0288,0.694,0.00225,0.103,0.734,121.939,4
spotify:track:6kjIBvMBIYxy0fWUf9BFem,"Someday","Darkness","이상은",1993-01-01,254106,42,false,,1970-01-01T00:00:00Z,"K-발라드","Breeze Music",0.629,0.257,7,-15.225,1,0.0309,0.158,0.00000921,0.219,0.401,133.757,4
spotify:track:2bAMoEukdKb0Rk4u6IcUM3,"이밤이지나면","임재범1집","임재범",1991-01-01,250279,51,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.685,0.621,5,-8.877,1,0.0234,0.322,0.000075,0.0698,0.786,96.297,4
spotify:track:2R49jFMrgIKV2ASFjJvnm3,"회상","산울림 제8집 - 새야 날아","산울림",1982-05-25,199133,39,false,,1970-01-01T00:00:00Z,"한국 록,K-발라드","Ecole de Gorae",0.648,0.438,2,-9.187,1,0.0299,0.671,0.000116,0.316,0.523,139.209,4
spotify:track:0yGkMcsEVqhvL9P8dizVap,"보라빛 향기","강수지 BEST ALBUM","강수지",1993-12-30,208236,40,false,,1970-01-01T00:00:00Z,"시티 팝,K-발라드","오감엔터테인먼트",0.783,0.557,6,-10.724,1,0.0466,0.316,0.0461,0.352,0.846,127.401,4
spotify:track:2Oe0zgUBGRzkP4KtpIlo8c,"비밀의 화원","신비체험","Lee Sang Eun",2003-03-10,249652,39,false,,1970-01-01T00:00:00Z,"K-발라드","뮤직웰",0.823,0.541,6,-7.827,1,0.0333,0.687,0,0.155,0.798,111.066,4
spotify:track:7tSt4Jbnml5l7MMWqxfx7f,"김밥","The Jadu 3","The Jadu",2003-05-15,225866,46,false,,1970-01-01T00:00:00Z,"K-발라드","위지스제이",0.609,0.856,1,-3.98,0,0.0339,0.0123,0.00503,0.0677,0.886,186.115,4
spotify:track:5ai4jQKivOWxyXMJRgHckI,"좋아좋아","좋아좋아","일기예보",1996-07-07,210093,43,false,,1970-01-01T00:00:00Z,"K-발라드","음제협",0.786,0.681,4,-4.737,1,0.0246,0.125,0,0.207,0.968,94.415,4
spotify:track:2aAyFw5luE9dF10JJa8hNY,"잠못드는 밤 비는 내리고","Kim Gun Mo","김건모",1992-10-29,268186,44,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.693,0.788,2,-6.59,1,0.0558,0.0638,0,0.0273,0.755,93.98,4
spotify:track:2ghebdwe2pNXT4eL34T7pW,"그 아픔까지 사랑한거야","그 아픔까지 사랑한거야","조정현",1989-06-15,237688,47,false,,1970-01-01T00:00:00Z,"K-발라드","신세계음향",0.447,0.214,10,-16.48,1,0.0273,0.565,0,0.0649,0.17,71.979,4
spotify:track:1hTZUGfMzWYCSns929UWTo,"좋은 사람 (Feat. 김형중)","Fermata","Toy;김형중",2001-05-10,268960,47,false,,1970-01-01T00:00:00Z,"K-발라드","Don't Stop the Music",0.674,0.796,0,-4.288,1,0.0241,0.192,0.00000233,0.21,0.633,103.946,4
spotify:track:3VuQoOFwJdcQ5IOamXlWZa,"커플","Special","젝스키스",1998-10-03,250066,46,false,,1970-01-01T00:00:00Z,"케이팝,K-발라드","DSP media",0.793,0.88,7,-2.712,1,0.0319,0.0554,0.0000367,0.497,0.891,110.025,4
spotify:track:373fb3tsAbcShtD2RZ8edv,"벌써 일년","Brown Eyes","브라운 아이즈",2001-06-01,207826,60,false,,1970-01-01T00:00:00Z,"K-발라드","CJ E&M MUSIC",0.72,0.73,8,-4.205,1,0.0237,0.19,0.00000344,0.192,0.55,104.017,4
spotify:track:189LjPCuBvhXBna8YU4lKT,"Short Hair","Cho Yongpil 1","조용필",1980-03-01,231317,36,false,,1970-01-01T00:00:00Z,"K-발라드","Jigu Records",0.717,0.608,7,-12.422,1,0.104,0.306,0.0000108,0.144,0.785,103.925,4
spotify:track:6cpnyAXumLO5QS08AC8ziI,"달빛 창가에서","달빛 창가에서","도시 아이들",1986-09-01,193619,33,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","RIAK",0.808,0.545,1,-12.41,0,0.0752,0.195,0.000155,0.109,0.63,107.016,4
spotify:track:4A8fWr7kzy3h2c1XW9QeF9,"산다는건 다 그런게 아니겠니","처음타본 타임머신","여행스케치",1997-07-01,275539,39,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.85,0.724,10,-6.017,1,0.0354,0.421,0,0.0698,0.902,105.958,4
spotify:track:6Q3qUZHT9NUG60PchOZ4bI,"넌 언제나","넌 언제나","모노",1993-10-01,239853,35,false,,1970-01-01T00:00:00Z,"K-발라드,시티 팝","morning",0.563,0.81,8,-6.234,1,0.0389,0.207,0.0000324,0.306,0.487,116.268,4
spotify:track:1G8tTHSCuXPoBRZdHLQGQN,"Me to You, You to Me","A bicycle Ride","자전거 탄 풍경",2001-10-05,222853,37,false,,1970-01-01T00:00:00Z,"K-발라드","자전거 탄 풍경",0.51,0.797,7,-2.866,1,0.0379,0.492,0.0194,0.543,0.598,147.863,4
spotify:track:6DgclwC2Us4WUXaOwtesYI,"인형의 꿈","좋아좋아","일기예보",1996-07-07,257799,51,false,,1970-01-01T00:00:00Z,"K-발라드","음제협",0.552,0.462,3,-6.136,1,0.0264,0.308,0,0.152,0.121,139.782,4
spotify:track:0LaA1sGPUm6jUNAjWZ7rV0,"Bus 안에서","Illusion","ZAZA",1996-10-28,193066,48,false,,1970-01-01T00:00:00Z,"K-발라드","RIAK",0.716,0.95,3,-5.535,0,0.0764,0.0868,0.00000334,0.0889,0.931,134.008,4
spotify:track:47mdByHmgWGDKOyKrVKp73,"이브의 경고","Jungle New Style","박미경",1995-07-22,252493,39,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.663,0.978,0,-2.623,1,0.0352,0.0601,0.00456,0.0784,0.62,136.374,4
spotify:track:5ZRS1jfampQ4mVfNidYZfk,"3!4!","All System Go","룰라",1996-06-15,249420,45,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.809,0.937,7,-3.766,1,0.0733,0.167,0.0000109,0.0572,0.769,122.417,4
spotify:track:2cCC4S226r1tws0d2vDDdO,"사랑은 봄비처럼...이별은 겨울비처럼","A Year Out...In The Island","임현정",2003-03-25,280790,60,false,,1970-01-01T00:00:00Z,"K-발라드","오감엔터테인먼트",0.579,0.501,6,-7.304,1,0.0268,0.25,0,0.155,0.466,82.002,4
spotify:track:64cuomBVoSkO27t6hG4RSl,"흐린 가을 하늘에 편지를 써","김광석 다시 부르기 I","김광석",1993-02-03,284306,38,false,,1970-01-01T00:00:00Z,"K-발라드","With 33 Entertainment",0.548,0.312,7,-14.591,1,0.0301,0.057,0.000331,0.067,0.227,127.832,4
spotify:track:3ZjdXmSOZW6fUq6veGfIq2,"눈물나는 날에는","푸른하늘 2집 (눈물나는 날에는)","Blue Sky",1989-07-01,308333,41,false,,1970-01-01T00:00:00Z,"K-발라드,비주얼계","Beyond Music",0.411,0.436,3,-11.575,1,0.0303,0.126,0.0000891,0.101,0.104,122.451,4
