Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:39oZRFlMSHJrSlbp8DH2L6,"Payadora","Nostalgia And The Delicate Woman","La Ventana",2010-06-22,243435,0,false,cosmelow,2024-01-01T00:03:55Z,"","에반스",0.438,0.383,3,-9.676,1,0.0461,0.0529,0.0103,0.0529,0.227,124.261,4
spotify:track:7CpiLCSnaxMl77JR2z5gpB,"Tu Carta","Nostalgia And The Delicate Woman","La Ventana",2010-06-22,302080,0,false,cosmelow,2024-01-01T00:03:55Z,"","에반스",0.441,0.446,9,-9.287,0,0.0465,0.649,0.00739,0.074,0.17,122.145,4
spotify:track:16Orm2v8fXuPycLAFepuzN,"Yo Soy Maria","Nostalgia And The Delicate Woman","La Ventana",2010-06-22,209763,6,false,cosmelow,2024-01-01T00:03:55Z,"","에반스",0.446,0.436,9,-6.366,0,0.0462,0.584,0,0.0842,0.254,139.936,4
spotify:track:3sUwVqXYzS2gbRctpJstqp,"Concierto Para Quinteto (feat. KoN)","Orquesta Ventana","La Ventana;KoN",2013-05-28,581511,1,false,cosmelow,2024-01-01T00:03:55Z,"","에반스",0.375,0.287,3,-10.079,1,0.0343,0.656,0.053,0.134,0.138,142.297,4
spotify:track:5y8iiLfwAtAEYWJEvBUNz1,"Forest","36.5℃","최고은",2010-10-19,252373,0,false,cosmelow,2024-01-01T00:03:55Z,"","모데스트 몬스터",0.69,0.177,7,-9.801,1,0.0298,0.941,0.00000909,0.207,0.276,97.347,4
spotify:track:3RlpPF4sBDaov1N2O9k7sp,"Eric's Song","36.5℃","최고은",2010-10-19,300786,0,false,cosmelow,2024-01-01T00:03:55Z,"","모데스트 몬스터",0.652,0.267,4,-11.769,1,0.0342,0.709,0,0.251,0.301,74.961,4
spotify:track:4l8FyX6ojx3ZjkvuNElOZG,"Doubtless Wait Me","36.5℃","최고은",2010-10-19,276546,0,false,cosmelow,2024-01-01T00:03:55Z,"","모데스트 몬스터",0.69,0.243,10,-12.392,1,0.0447,0.92,0.0000764,0.0867,0.167,76.822,4
spotify:track:2Fd4Do4xpW9mMZphe463O7,"사라지지 말아요","Take The Air","디어클라우드",2010-08-05,258170,18,false,cosmelow,2024-01-01T00:03:55Z,"한국 록,K-발라드","Cloud Records / MUSICABAL(뮤직커밸)",0.537,0.304,1,-8.811,1,0.0296,0.936,0,0.115,0.104,119.736,4
spotify:track:792zuqxpDkuV5ImwW91bXj,"넌 아름답기만 한 기억으로","Dear Cloud","디어클라우드",2007-11-08,249483,12,false,cosmelow,2024-01-01T00:03:55Z,"한국 록,K-발라드","토이뮤직",0.529,0.422,11,-6.5,1,0.0265,0.726,0.0000143,0.245,0.261,139.912,4
spotify:track:2ECnwNp3QI5Qg6RvYyAd5c,"변두리 소년, 소녀","졸업","브로콜리너마저",2010-11-01,249069,0,false,cosmelow,2024-01-01T00:03:55Z,"한국 록,K-발라드","Studio broccoli",0.568,0.694,7,-6.96,1,0.0322,0.228,0.00049,0.167,0.594,85.071,4
spotify:track:5ByNCtBUygrNmMLjmGOgW5,"환절기","졸업","브로콜리너마저",2010-11-01,303409,0,false,cosmelow,2024-01-01T00:03:55Z,"한국 록,K-발라드","Studio broccoli",0.542,0.703,4,-6.623,1,0.0284,0.00719,0.88,0.153,0.291,136.004,4
spotify:track:6KnN66EkaBplEqTTJyLUtp,"할머니","졸업","브로콜리너마저",2010-11-01,276405,0,false,cosmelow,2024-01-01T00:03:55Z,"한국 록,K-발라드","Studio broccoli",0.538,0.427,7,-9.78,1,0.0331,0.775,0.0942,0.114,0.147,168.131,4
spotify:track:1ifVkH90lEXYpPrjmEVHoX,"졸업","졸업","브로콜리너마저",2010-11-01,325333,0,false,cosmelow,2024-01-01T00:03:55Z,"한국 록,K-발라드","Studio broccoli",0.618,0.572,2,-6.63,1,0.0326,0.0878,0.00141,0.223,0.528,114.832,4
spotify:track:1Em0w0yJ96L1yRVWpmYUva,"Wind","MANA WIND","SmackSoft",2010-12-02,336143,0,false,cosmelow,2024-01-01T00:03:55Z,"아트 팝,한국 록","Mbro music＆SMACKSOFT",0.0942,0.637,4,-5.915,0,0.046,0.00279,0.583,0.0848,0.172,169.758,3
