Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Mko5FVZMHBXsYF9INH4Cl,"상상속의 너","Noise 3rd Revolution","NOISE",1995-04-01,239160,28,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.83,0.935,9,-3.975,1,0.0462,0.171,0,0.0467,0.918,122.281,4
spotify:track:5ZRS1jfampQ4mVfNidYZfk,"3!4!","All System Go","룰라",1996-06-15,249420,45,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.809,0.937,7,-3.766,1,0.0733,0.167,0.0000109,0.0572,0.769,122.417,4
spotify:track:47mdByHmgWGDKOyKrVKp73,"이브의 경고","Jungle New Style","박미경",1995-07-22,252493,39,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.663,0.978,0,-2.623,1,0.0352,0.0601,0.00456,0.0784,0.62,136.374,4
spotify:track:3VuQoOFwJdcQ5IOamXlWZa,"커플","Special","젝스키스",1998-10-03,250066,46,false,,1970-01-01T00:00:00Z,"케이팝,K-발라드","DSP media",0.793,0.88,7,-2.712,1,0.0319,0.0554,0.0000367,0.497,0.891,110.025,4
spotify:track:4AfuS3hTBd6ptS72KJummz,"One and a Half","Two Two One and a Half","TwoTwo;투투(Two Two)",1994-05-01,235826,42,false,,1970-01-01T00:00:00Z,"K-발라드","오아시스레코드 뮤직컴퍼니",0.76,0.73,6,-8.394,1,0.0251,0.249,0,0.0644,0.963,100.932,4
spotify:track:7uvyAs085ltj0AQIfe8pXA,"너에게 원한건","Sound Shock","NOISE",1992-11-01,235493,24,false,,1970-01-01T00:00:00Z,"K-발라드","Media Line",0.774,0.579,9,-14.888,1,0.0413,0.0138,0.0000812,0.318,0.885,115.228,4
spotify:track:2VYLSWoSgHcWTOoJIKr5t5,"천생연분","솔리드(Solid) 3집(Light Camera Action!)","솔리드",1996-04-12,227630,37,false,,1970-01-01T00:00:00Z,"K-발라드","MUSICDESIGN",0.601,0.928,7,-7.442,1,0.0408,0.00836,0.505,0.152,0.674,133.998,4
spotify:track:37EZHboPFZ19iwUJek2aR1,"열정(熱情)","유승준 3집(Now Or Never)","유승준",1999-04-15,233848,40,false,,1970-01-01T00:00:00Z,"","RIAK",0.788,0.992,9,-2.939,0,0.0601,0.0922,0.0000938,0.299,0.907,125.015,4
spotify:track:2X8dHI8PeFg9h8iFwdfsEz,"날개 잃은 천사","날개 잃은 천사","룰라",1997-01-24,242341,43,false,,1970-01-01T00:00:00Z,"","킹핀엔터테인먼트",0.846,0.921,9,-4.557,1,0.0898,0.0528,0.0000615,0.193,0.921,129.169,4
spotify:track:0BZ7TReqG7ptdOnHzajoqh,"바다","Second Birth","UP",1997-04-01,229173,36,false,,1970-01-01T00:00:00Z,"","Beyond Music",0.773,0.934,8,-3.698,1,0.0562,0.0542,0.00000272,0.337,0.778,126.132,4
