Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3komypzGQmNIR2pfMtaGL2,"High Journey","High Journey","cotoba",2025-09-10,229651,20,false,1198158340,2025-09-24T18:26:16Z,"매스 록,한국 록,포스트 록","FABTONE Inc.",0.495,0.792,7,-6.898,0,0.0517,0.00435,0.000331,0.335,0.329,145.068,5
spotify:track:5DlxZDBBmpcqP3fMYd5ZNL,"가린과 쌍곡선","카카시스","Erøtic Wørms Exhibitiøn",2025-10-01,196051,28,false,1198158340,2025-10-17T08:39:57Z,"한국 록","EWE",0.472,0.733,10,-4.045,0,0.0317,0.326,0.0329,0.12,0.441,150.08,4
spotify:track:7lPFh8HF5FFMzSIUOwvRTm,"공드리","22","혁오",2015-05-28,308226,49,false,1198158340,2023-07-11T11:05:20Z,"한국 록,K-발라드","DOOROODOOROO ARTIST COMPANY",0.426,0.142,2,-13.636,1,0.0318,0.978,0.378,0.0717,0.161,159.884,4
spotify:track:2dneZ2MsPvw8NH1XOFX5gF,"노스탤지어","The Earth","MRCH",2024-12-18,210040,30,false,1198158340,2024-12-18T13:06:26Z,"한국 록","theonlyscent",0.674,0.734,4,-6.188,1,0.0369,0.546,0.0000342,0.0859,0.781,106.021,4
spotify:track:1ZKiTRXJjVROEjHUVwmkzd,"came from the mattress","WHERE IS MY FRIEND?","안다영",2025-06-11,174730,10,false,1198158340,2025-06-16T13:29:22Z,"한국 록","MAGIC STRAWBERRY SOUND",0.515,0.792,3,-6.202,1,0.0344,0.306,0.000886,0.108,0.679,75.034,4
spotify:track:0sVoT3puMSO5d4ZImGo3XG,"Dream Hacker (feat. 박소은)","Dream Hacker (feat. 박소은)","베리코이버니;박소은",2025-06-22,228613,26,false,1198158340,2025-06-22T13:46:56Z,"한국 록","verycoybunny",0.537,0.802,5,-6.252,1,0.0349,0.105,0,0.0885,0.449,136.969,4
spotify:track:0rCjCgRdi0K3o1HjHHOWiU,"imissyourbody","Paranoia // Nostalgia","MEMI",2025-06-11,180317,29,false,1198158340,2025-06-12T01:22:40Z,"한국 록","MEMI",0.668,0.676,0,-8.811,1,0.028,0.00365,0.301,0.332,0.839,113.013,4
spotify:track:5t3aNVvAxcACsaPYbLEqrj,"혁명의 연인들","혁명의 연인들","Electriceels",2025-06-25,225815,13,false,1198158340,2025-06-25T13:09:58Z,"한국 록","Electriceels",0.424,0.858,4,-3.805,0,0.0719,0.00183,0.0000355,0.361,0.301,104.024,4
spotify:track:0GznioUrzjfQhGuETEOBHn,"Delicate","Be Numb Freak","The Redemptions",2025-03-04,250433,1,false,1198158340,2025-03-04T19:21:28Z,"한국 록","(주)루비레코드",0.369,0.878,11,-4.779,0,0.0637,0.0000606,0.0557,0.0588,0.602,143.931,4
spotify:track:0V55yoQCXcqzMG3QU5lRl6,"Zero","Zero","Bye Bye Badman",2025-03-25,239263,7,false,1198158340,2025-03-25T15:36:46Z,"한국 록","Bye Bye Badman",0.364,0.893,1,-7.044,1,0.0425,0.0000143,0.84,0.18,0.634,168.032,4
spotify:track:4zracxB9TzP9CaYWwkHDgi,"Sue","유령서점","Ghost Bookstore",2024-10-07,297360,20,false,1198158340,2025-04-18T12:58:39Z,"한국 록,슈게이징","Ghost Bookstore",0.564,0.795,11,-9.136,0,0.0317,0.000222,0.815,0.188,0.281,124.02,4
spotify:track:6s7JrH5sSYmNFOxNhFKg3s,"Off","Persona","sansa",2024-12-26,213879,11,false,1198158340,2025-03-13T02:48:49Z,"","sansa",0.469,0.328,10,-11.051,1,0.0285,0.774,0.767,0.115,0.0573,139.582,4
spotify:track:11A2ZNfjZyOWzsW8Wmb1DI,"아마도 우린","아지랑이","참깨와 솜사탕",2023-09-17,199907,4,false,1198158340,2023-09-20T10:39:02Z,"","authentic",0.7,0.482,6,-7.246,0,0.0342,0.78,0.0000022,0.329,0.406,104.001,4
spotify:track:5322ImzqMfeo3n16yye58E,"혼잣말","Monologue","서자영",2020-06-02,237797,12,false,1198158340,2023-09-09T09:16:18Z,"K-발라드","서자영",0.613,0.578,8,-6.381,1,0.0435,0.562,0,0.307,0.361,87.985,4
spotify:track:2i8DTVoUdPcdlUGfyU8SBR,"Round and Round","Round and Round","Kim sooyoung",2023-02-21,271829,0,false,1198158340,2023-02-25T13:58:30Z,"K-발라드","MAGIC STRAWBERRY SOUND",0.802,0.528,5,-6.351,0,0.0283,0.801,0.00077,0.118,0.695,101.954,4
spotify:track:2X71ww8wImSYbw4s0Mr2ur,"나의 모든 이들에게,","나의 모든 이들에게,","밍기뉴",2022-12-28,161250,52,false,1198158340,2023-07-23T20:51:19Z,"K-발라드","alone",0.594,0.158,9,-7.383,1,0.0428,0.884,0,0.124,0.586,85.932,4
spotify:track:4c6V1yrsrzSkycMusjl73T,"HEYO","HEYO","Moments yumi",2024-10-06,193406,0,false,1198158340,2024-10-06T15:06:17Z,"한국 록","MOMENTSYUMI",0.571,0.651,9,-8.318,1,0.0302,0.0882,0.0939,0.121,0.68,80.059,4
spotify:track:0kcmIybRmQPYanHWqrT8Th,"나의 눈에 흐르는 지하수를 마셔요","나의 눈에 흐르는 지하수를 마셔요","Shin Seol Hee",2023-11-08,188666,0,false,1198158340,2023-11-08T10:35:10Z,"","Keunpado",0.261,0.611,4,-6.983,1,0.035,0.0000947,0.78,0.114,0.246,119.722,5
spotify:track:4mklI5Cr8WQEJTgLqF01mZ,"한참을 울겠지만","한참을 울겠지만","허회경",2024-10-31,209921,22,false,1198158340,2024-10-31T15:27:40Z,"K-발라드","(주)문화인",0.699,0.249,2,-10.561,1,0.0296,0.913,0.00000456,0.103,0.208,82.09,4
spotify:track:6J8BnBUOCehu9kfkfbyW9c,"Love Song","Mother And Lover","Cheon Miji",2019-06-26,154320,0,false,1198158340,2024-01-11T14:15:29Z,"일본 인디,한국 록","천미지",0.696,0.492,8,-12.404,0,0.114,0.911,0.0295,0.787,0.362,104.919,4
spotify:track:1u2vYCVuQT3jLoQI7mehhw,"위성 - Intro Version","Happy Ending","연우",2023-08-24,137423,3,false,1198158340,2023-09-18T08:57:44Z,"","연우 (Yeonwoo)",0.433,0.147,8,-8.787,0,0.0331,0.942,0.00000302,0.134,0.293,117.778,4
spotify:track:1Aa1rMwSzxD5Z90ox1Mqlb,"LETTER","유다빈밴드 1집","유다빈밴드",2021-10-29,206500,47,false,1198158340,2023-04-17T08:56:51Z,"한국 록,K-발라드","YUDABINBAND",0.347,0.646,3,-4.653,1,0.0296,0.0164,0,0.271,0.33,143.884,4
