Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4S6baU1CJNPk8PcCZ8bsgJ,"날 사랑하는게 아니고","지은","Oh Jieun",2009-04-22,272906,13,false,,1970-01-01T00:00:00Z,"","Happy Robot Records",0.554,0.534,4,-8.934,1,0.035,0.045,0.00258,0.0828,0.457,139.987,4
spotify:track:6oty4ulY7OmiZmfAG9taje,"안부를 묻진 않아도","Leesangsoon","이상순",2021-06-04,243746,36,false,,1970-01-01T00:00:00Z,"K-발라드","Esteem Entertainment",0.66,0.43,7,-10.936,1,0.0356,0.811,0.48,0.109,0.455,145.559,4
spotify:track:5izZ37SpG9lCHnaQ7tZoF3,"7번 국도","37년","정미조",2016-02-24,184853,39,false,,1970-01-01T00:00:00Z,"K-발라드","Universal Music Ltd.",0.843,0.456,7,-10.243,0,0.0516,0.374,0.0000617,0.111,0.676,130.006,4
spotify:track:5TG7oEIe5Gw65RWICLPPPO,"넌 눈부셔","넌 눈부셔","커피소년",2021-07-06,217514,27,false,,1970-01-01T00:00:00Z,"K-발라드","로스팅뮤직",0.596,0.478,4,-8.468,0,0.0298,0.826,0.227,0.12,0.306,95.994,4
spotify:track:4lHenOiUVulNF63BM67FEy,"Train","Day Off (1)","Verandah Project",2010-05-18,234026,22,false,,1970-01-01T00:00:00Z,"","Music Farm",0.591,0.329,0,-11.48,1,0.0295,0.888,0.788,0.0912,0.425,90.982,4
spotify:track:41nqSiFrgF8tPcJYuviMmC,"Parade","Parade","라이너스의 담요",2013-08-29,181061,16,false,,1970-01-01T00:00:00Z,"시부야계","레이블 벅스",0.791,0.378,7,-8.718,1,0.0341,0.749,0.00000117,0.133,0.856,113.002,4
spotify:track:5PPiSmpB02wrsk0eopSHvQ,"Promenade","Paris","DUSKY80",2016-12-07,183278,24,false,,1970-01-01T00:00:00Z,"","DUSKY Music Industry",0.525,0.354,9,-4.692,0,0.027,0.492,0,0.0936,0.384,81.068,3
spotify:track:7zg4uPGjW8nHDpLTqp39g4,"Drive In Jeju","Drive in Jeju","재주소년",2020-06-15,180208,16,false,,1970-01-01T00:00:00Z,"","Digital Record",0.611,0.545,1,-11.462,1,0.0381,0.649,0.916,0.112,0.179,92.015,4
spotify:track:2fKUTw58DERB19RyDOIefW,"Sometimes (Demo ver)","Someone I Know","deulrejang",2025-02-21,243925,31,false,,1970-01-01T00:00:00Z,"","wowsanrecord",0.27,0.0326,10,-19.708,1,0.0639,0.984,0.0331,0.116,0.0579,60.293,4
spotify:track:7s4VYw65olGpjwUe3V5aw9,"우리 만난적 있나요","여름날 (유희열 소품집)","유희열",2008-07-29,213356,20,false,,1970-01-01T00:00:00Z,"K-발라드","Antenna",0.625,0.118,9,-16.037,0,0.0344,0.938,0.637,0.0817,0.481,150.683,3
