Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3gGyzpBLb7pqOw5oC47QaV,"The Purge","H1GHR : RED TAPE","박재범;pH-1;BIG Naughty (서동현);Woodie Gochild;김하온;TRADE L;식케이;그루비룸",2020-09-02,221387,55,true,,2025-11-19T05:46:57Z,"한국 랩,케이팝,K-발라드","Genie Music Corporation, Stone Music Entertainment",0.745,0.902,6,-2.373,1,0.137,0.114,0,0.124,0.775,162.045,4
spotify:track:2CTXMnufDSeYiuQfpIfQtp,"NEW ANTHEM (Feat. PENOMECO)","K-FLIP+","식케이;Lil Moshpit;페노메코",2025-03-17,148173,45,true,,2025-11-19T05:46:57Z,"한국 랩","KC, AT AREA",0.519,0.863,9,-2.437,0,0.0965,0.0035,0,0.32,0.673,159.98,4
spotify:track:34BM6TzzctwYSm88scXgRg,"Burn (Feat. 쿠기)","find your light : Burn #2","그루비룸;쿠기",2020-05-31,231746,18,false,,2025-11-19T05:46:57Z,"한국 랩","AZING",0.838,0.869,1,-2.555,1,0.0969,0.00823,0.0000183,0.0965,0.178,99.994,4
spotify:track:0hLgXCcfChXIcOnSSCk4Jz,"Hellifornia","Aleph","Gesaffelstein",2013-10-28,220813,49,false,,2025-11-19T05:46:57Z,"","Parlophone (France)",0.537,0.784,5,-3.734,1,0.0329,0.00000901,0.288,0.101,0.0384,93.988,4
spotify:track:1ugFkxTQspcOg7U4lYbiFX,"EDGE - Blanke Remix","EDGE (The Remixes)","Rezz;Blanke",2024-06-21,165600,35,false,,2025-11-19T05:46:57Z,"EDM,덥스텝,멜로딕 베이스,퓨처 베이스","mau5trap",0.639,0.981,2,-2.49,1,0.0595,0.0012,0.836,0.0975,0.234,100.012,4
spotify:track:3nh6Moj9U4PmjzALwwu50Y,"Can't Slow Me Down","Can't Slow Me Down","VALORANT;미란이;릴보이;그루비룸",2022-02-15,138960,53,false,,2025-11-19T05:46:57Z,"한국 랩","Riot Games",0.829,0.831,1,-4.493,1,0.0787,0.0794,0,0.0618,0.678,121.968,4
spotify:track:4Xy6yqMF7qe4FUGehWNtap,"ZERO GRAVITY","ZERO GRAVITY","Hardwell",2022-07-15,272343,24,false,,2025-11-19T05:46:57Z,"빅 룸,EDM,프로그레시브 하우스,일렉트로니카","Revealed Recordings",0.692,0.998,1,-6.179,1,0.338,0.000137,0.801,0.335,0.0361,128.012,4
spotify:track:5PLfjUnpV6eFXymcsXwa37,"It Gets Better","Paradise Again","Swedish House Mafia",2022-04-15,184611,46,false,,2025-11-19T05:46:57Z,"EDM","Republic Records",0.737,0.707,0,-6.979,1,0.0369,0.00272,0.447,0.283,0.0608,118.979,4
spotify:track:0JJeoiCAa1hwcBsPxBN2w4,"SUNDAY (FEAT. 헤이즈, 박재범)","EVERYWHERE","그루비룸;헤이즈;박재범",2017-07-24,182300,43,false,,2025-11-19T05:46:57Z,"한국 랩,K-발라드,케이팝","H1GHR MUSIC RECORDS",0.693,0.797,7,-5.694,0,0.193,0.0824,0,0.108,0.661,102.908,4
spotify:track:1KIr9uvKxl4vPzURbE4cji,"Tokyo Drift (Cursed By Caster)","Tokyo Drift (Cursed By Caster)","Caster",2025-08-12,173142,35,false,,2025-11-19T05:46:57Z,"데스스텝,덥스텝","Sigil",0.604,0.882,11,-2.199,1,0.0398,0.000174,0.793,0.267,0.461,140.025,4
